time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,192.5,193.0,192.35,192.35,192.93,75592,0,5942271,0,21614
2023-08-03 15:27:00,1691056620,192.75,192.85,192.45,192.45,192.15,41129,0,5866679,0,21614
2023-08-03 15:26:00,1691056560,192.7,192.85,192.6,192.8,192.99,68071,0,5825550,0,21614
2023-08-03 15:25:00,1691056500,192.75,192.9,192.6,192.85,192.14,27985,0,5757479,0,21614
2023-08-03 15:24:00,1691056440,192.95,192.95,192.75,192.8,192.14,17782,0,5729494,0,21614
2023-08-03 15:23:00,1691056380,192.75,192.95,192.75,192.9,193.44,43411,0,5711712,0,21614
2023-08-03 15:22:00,1691056320,193.2,193.2,192.95,192.95,192.13,4996,0,5668301,0,21614
2023-08-03 15:21:00,1691056260,193.35,193.5,193.05,193.15,192.13,22113,0,5663305,0,21614
2023-08-03 15:20:00,1691056200,193.5,193.6,193.25,193.5,193.75,34567,0,5641192,0,21614
2023-08-03 15:19:00,1691056140,193.55,193.55,193.45,193.55,192.12,6774,0,5606625,0,21614
2023-08-03 15:18:00,1691056080,193.35,193.6,193.35,193.6,193.74,34317,0,5599851,0,21614
2023-08-03 15:17:00,1691056020,193.55,193.65,193.5,193.5,192.11,13055,0,5565534,0,21614
2023-08-03 15:16:00,1691055960,193.35,193.55,193.25,193.5,194.98,19248,0,5552479,0,21614
2023-08-03 15:15:00,1691055900,193.45,193.5,193.35,193.5,192.1,18818,0,5533231,0,21614
2023-08-03 15:14:00,1691055840,193.35,193.5,193.3,193.5,192.1,6849,0,5514413,0,21614
2023-08-03 15:13:00,1691055780,193.2,193.45,193.15,193.45,201.69,5732,0,5507564,0,21614
2023-08-03 15:12:00,1691055720,193.15,193.2,193.05,193.15,192.09,8819,0,5501832,0,21614
2023-08-03 15:11:00,1691055660,193.15,193.2,193.1,193.2,192.09,10654,0,5493013,0,21614
2023-08-03 15:10:00,1691055600,193.2,193.2,193.1,193.2,192.09,14538,0,5482359,0,21614
2023-08-03 15:09:00,1691055540,193.2,193.3,193.2,193.25,192.09,4998,0,5467821,0,21614
2023-08-03 15:08:00,1691055480,193.3,193.3,193.2,193.25,192.09,6977,0,5462823,0,21614
2023-08-03 15:07:00,1691055420,193.5,193.5,193.2,193.35,201.98,5508,0,5455846,0,21614
2023-08-03 15:06:00,1691055360,193.25,193.5,193.1,193.4,192.08,10081,0,5450338,0,21614
