time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,783.3,783.3,782.7,783.25,779.82,28926,0,11958273,0,15083
2023-08-08 15:27:00,1691488620,783.5,783.6,783.0,783.25,783.96,26832,0,11929347,0,15083
2023-08-08 15:26:00,1691488560,783.55,783.7,783.1,783.55,783.96,14998,0,11902515,0,15083
2023-08-08 15:25:00,1691488500,783.4,783.75,783.2,783.7,783.96,18600,0,11887517,0,15083
2023-08-08 15:24:00,1691488440,783.2,783.45,782.55,783.45,783.96,22305,0,11868917,0,15083
2023-08-08 15:23:00,1691488380,783.0,783.45,782.65,783.0,783.96,13063,0,11846612,0,15083
2023-08-08 15:22:00,1691488320,783.25,783.45,782.4,782.9,783.96,20868,0,11833549,0,15083
2023-08-08 15:21:00,1691488260,781.85,783.45,781.85,783.2,780.47,33841,0,11812681,0,15083
2023-08-08 15:20:00,1691488200,783.05,783.9,781.7,781.9,782.38,147051,0,11778840,0,15083
2023-08-08 15:19:00,1691488140,784.75,784.85,783.1,783.7,783.99,20705,0,11631789,0,15083
2023-08-08 15:18:00,1691488080,784.5,786.2,784.5,784.9,786.44,47150,0,11611084,0,15083
2023-08-08 15:17:00,1691488020,784.3,784.95,783.65,784.85,783.98,22830,0,11563934,0,15083
2023-08-08 15:16:00,1691487960,784.25,784.7,783.55,783.95,783.98,30308,0,11541104,0,15083
2023-08-08 15:15:00,1691487900,784.75,785.0,783.6,784.35,783.98,46757,0,11510796,0,15083
2023-08-08 15:14:00,1691487840,784.7,785.0,783.8,784.85,783.98,20401,0,11464039,0,15083
2023-08-08 15:13:00,1691487780,783.35,785.0,783.35,785.0,783.98,32925,0,11443638,0,15083
2023-08-08 15:12:00,1691487720,783.7,784.0,783.2,783.5,783.98,20406,0,11410713,0,15083
2023-08-08 15:11:00,1691487660,783.55,784.1,783.2,783.95,783.98,18507,0,11390307,0,15083
2023-08-08 15:10:00,1691487600,784.6,784.9,783.55,783.85,783.98,19469,0,11371800,0,15083
2023-08-08 15:09:00,1691487540,782.65,784.7,782.6,784.7,783.98,21086,0,11352331,0,15083
2023-08-08 15:08:00,1691487480,783.8,784.0,782.65,782.8,783.98,18330,0,11331245,0,15083
2023-08-08 15:07:00,1691487420,784.0,784.6,783.15,784.0,783.98,21396,0,11312915,0,15083
2023-08-08 15:06:00,1691487360,784.55,784.8,783.8,784.05,783.98,18306,0,11291519,0,15083
2023-08-08 15:05:00,1691487300,785.7,786.0,784.3,784.6,783.98,14189,0,11273213,0,15083
2023-08-08 15:04:00,1691487240,786.0,786.2,784.8,785.95,783.98,29061,0,11259024,0,15083
2023-08-08 15:03:00,1691487180,787.55,788.2,786.0,786.25,790.29,17760,0,11229963,0,15083
2023-08-08 15:02:00,1691487120,788.3,788.6,786.45,787.4,787.16,34943,0,11212203,0,15083
2023-08-08 15:01:00,1691487060,788.35,788.8,787.4,788.65,786.82,38916,0,11177260,0,15083
2023-08-08 15:00:00,1691487000,784.25,788.65,784.05,788.2,787.35,65045,0,11138344,0,15083
2023-08-08 14:59:00,1691486940,784.9,784.9,784.2,784.35,783.93,9765,0,11073299,0,15083
