time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,5034.95,5037.0,5030.45,5036.0,5034.67,11590,0,1041921,0,157
2023-08-01 15:27:00,1690883820,5035.85,5035.95,5033.95,5035.0,5034.83,5725,0,1030331,0,157
2023-08-01 15:26:00,1690883760,5035.95,5038.0,5035.0,5035.75,5037.13,3522,0,1024606,0,157
2023-08-01 15:25:00,1690883700,5035.0,5036.5,5034.8,5035.0,5035.15,6863,0,1021084,0,157
2023-08-01 15:24:00,1690883640,5034.55,5035.55,5032.75,5034.95,5034.11,7992,0,1014221,0,157
2023-08-01 15:23:00,1690883580,5030.1,5034.75,5030.1,5034.65,5032.96,3008,0,1006229,0,157
2023-08-01 15:22:00,1690883520,5029.65,5030.0,5029.55,5030.0,5028.93,3673,0,1003221,0,157
2023-08-01 15:21:00,1690883460,5030.45,5032.75,5028.5,5029.55,5029.92,5470,0,999548,0,157
2023-08-01 15:20:00,1690883400,5036.0,5036.4,5030.0,5030.4,5034.14,10657,0,994078,0,157
2023-08-01 15:19:00,1690883340,5030.85,5035.0,5028.0,5035.0,5030.6,11686,0,983421,0,157
2023-08-01 15:18:00,1690883280,5031.75,5032.0,5028.05,5030.35,5031.65,8325,0,971735,0,157
2023-08-01 15:17:00,1690883220,5033.85,5033.85,5030.8,5032.05,5033.07,3262,0,963410,0,157
2023-08-01 15:16:00,1690883160,5034.25,5034.25,5029.7,5033.0,5031.47,7622,0,960148,0,157
2023-08-01 15:15:00,1690883100,5034.9,5035.05,5031.0,5034.35,5034.76,7403,0,952526,0,157
2023-08-01 15:14:00,1690883040,5032.5,5035.0,5031.1,5034.85,5033.24,6045,0,945123,0,157
2023-08-01 15:13:00,1690882980,5034.85,5035.0,5032.0,5032.0,5032.33,2576,0,939078,0,157
2023-08-01 15:12:00,1690882920,5030.3,5035.0,5030.0,5035.0,5034.96,5713,0,936502,0,157
2023-08-01 15:11:00,1690882860,5033.9,5035.0,5030.2,5032.7,5032.51,8270,0,930789,0,157
2023-08-01 15:10:00,1690882800,5032.3,5035.1,5031.7,5033.95,5033.29,7141,0,922519,0,157
2023-08-01 15:09:00,1690882740,5030.05,5031.5,5030.0,5030.45,5030.7,2996,0,915378,0,157
2023-08-01 15:08:00,1690882680,5031.5,5031.5,5029.45,5030.0,5030.06,2724,0,912382,0,157
2023-08-01 15:07:00,1690882620,5025.0,5031.6,5025.0,5031.35,5029.37,4502,0,909658,0,157
2023-08-01 15:06:00,1690882560,5022.5,5025.0,5021.55,5024.75,5021.99,4345,0,905156,0,157
2023-08-01 15:05:00,1690882500,5031.3,5031.6,5022.95,5022.95,5027.69,9987,0,900811,0,157
2023-08-01 15:04:00,1690882440,5032.3,5032.3,5030.1,5031.7,5031.27,2665,0,890824,0,157
2023-08-01 15:03:00,1690882380,5033.65,5033.65,5031.6,5031.95,5030.91,3030,0,888159,0,157
2023-08-01 15:02:00,1690882320,5032.95,5035.1,5032.8,5033.35,5036.21,2511,0,885129,0,157
2023-08-01 15:01:00,1690882260,5034.9,5035.7,5032.95,5033.4,5033.94,1931,0,882618,0,157
2023-08-01 15:00:00,1690882200,5036.5,5040.0,5033.15,5035.4,5035.43,3981,0,880687,0,157
2023-08-01 14:59:00,1690882140,5035.05,5036.5,5034.0,5035.0,5034.82,3455,0,876706,0,157
2023-08-01 14:58:00,1690882080,5035.05,5036.0,5033.55,5035.0,5033.16,1032,0,873251,0,157
2023-08-01 14:57:00,1690882020,5034.0,5036.5,5034.0,5035.3,5036.15,1108,0,872219,0,157
2023-08-01 14:56:00,1690881960,5035.05,5038.35,5034.25,5034.25,5037.57,2974,0,871111,0,157
2023-08-01 14:55:00,1690881900,5036.0,5036.95,5034.8,5035.1,5035.2,1072,0,868137,0,157
2023-08-01 14:54:00,1690881840,5038.1,5038.4,5034.3,5034.45,5033.53,1642,0,867065,0,157
2023-08-01 14:53:00,1690881780,5034.5,5038.4,5033.5,5037.5,5036.34,3715,0,865423,0,157
