time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,840.0,840.05,839.25,839.5,840.19,7339,0,3816490,0,275
2023-08-03 15:27:00,1691056620,839.35,839.9,838.95,839.9,838.87,5830,0,3809151,0,275
2023-08-03 15:26:00,1691056560,837.95,839.55,837.95,839.25,837.22,9272,0,3803321,0,275
2023-08-03 15:25:00,1691056500,838.0,838.7,837.6,837.9,838.21,10495,0,3794049,0,275
2023-08-03 15:24:00,1691056440,838.5,838.55,837.55,838.15,839.68,19600,0,3783554,0,275
2023-08-03 15:23:00,1691056380,839.4,839.5,838.45,838.45,837.0,13272,0,3763954,0,275
2023-08-03 15:22:00,1691056320,839.4,839.5,838.55,839.3,841.11,16975,0,3750682,0,275
2023-08-03 15:21:00,1691056260,839.9,840.5,839.3,840.0,839.9,19823,0,3733707,0,275
2023-08-03 15:20:00,1691056200,841.6,841.6,839.05,839.85,839.07,34037,0,3713884,0,275
2023-08-03 15:19:00,1691056140,841.85,842.35,841.0,841.0,841.98,20158,0,3679847,0,275
2023-08-03 15:18:00,1691056080,840.95,841.95,840.9,841.55,841.57,26808,0,3659689,0,275
2023-08-03 15:17:00,1691056020,840.65,841.15,840.45,840.8,840.62,14349,0,3632881,0,275
2023-08-03 15:16:00,1691055960,840.95,841.15,840.2,840.55,845.69,5274,0,3618532,0,275
2023-08-03 15:15:00,1691055900,840.95,841.6,840.55,841.0,841.43,8479,0,3613258,0,275
2023-08-03 15:14:00,1691055840,841.05,841.25,840.5,840.55,838.91,10591,0,3604779,0,275
2023-08-03 15:13:00,1691055780,841.25,841.6,841.05,841.15,840.2,6509,0,3594188,0,275
2023-08-03 15:12:00,1691055720,841.25,841.25,840.2,841.05,845.73,4386,0,3587679,0,275
2023-08-03 15:11:00,1691055660,841.2,841.25,840.35,841.1,840.71,7126,0,3583293,0,275
2023-08-03 15:10:00,1691055600,841.45,841.5,840.75,841.3,840.31,6577,0,3576167,0,275
2023-08-03 15:09:00,1691055540,841.6,841.75,840.5,840.95,840.4,6660,0,3569590,0,275
2023-08-03 15:08:00,1691055480,841.2,841.75,841.05,841.55,845.76,3878,0,3562930,0,275
2023-08-03 15:07:00,1691055420,841.0,841.3,840.9,841.1,837.99,9141,0,3559052,0,275
2023-08-03 15:06:00,1691055360,841.35,841.5,840.9,840.95,841.84,8994,0,3549911,0,275
2023-08-03 15:05:00,1691055300,841.35,842.0,841.05,841.4,845.79,4671,0,3540917,0,275
2023-08-03 15:04:00,1691055240,842.0,842.0,841.35,841.45,833.92,2979,0,3536246,0,275
2023-08-03 15:03:00,1691055180,842.05,842.35,841.95,842.1,845.8,5136,0,3533267,0,275
2023-08-03 15:02:00,1691055120,842.0,842.4,841.95,842.0,841.19,7650,0,3528131,0,275
2023-08-03 15:01:00,1691055060,841.7,842.05,841.7,841.95,841.25,7707,0,3520481,0,275
2023-08-03 15:00:00,1691055000,841.45,841.85,841.45,841.85,841.23,7641,0,3512774,0,275
2023-08-03 14:59:00,1691054940,840.35,841.7,840.3,841.6,845.83,4198,0,3505133,0,275
2023-08-03 14:58:00,1691054880,840.75,840.75,840.1,840.2,845.83,1224,0,3500935,0,275
2023-08-03 14:57:00,1691054820,840.95,840.95,840.1,840.4,831.76,7447,0,3499711,0,275
2023-08-03 14:56:00,1691054760,840.85,841.5,840.45,840.7,845.86,7026,0,3492264,0,275
2023-08-03 14:55:00,1691054700,840.6,840.85,840.45,840.75,845.86,1356,0,3485238,0,275
2023-08-03 14:54:00,1691054640,839.1,840.6,839.1,840.35,841.49,7961,0,3483882,0,275
2023-08-03 14:53:00,1691054580,838.2,839.7,838.2,839.45,837.07,7888,0,3475921,0,275
2023-08-03 14:52:00,1691054520,839.5,840.0,838.05,838.45,839.08,10162,0,3468033,0,275
2023-08-03 14:51:00,1691054460,840.05,840.25,839.2,839.65,839.3,5224,0,3457871,0,275
2023-08-03 14:50:00,1691054400,840.55,841.45,840.1,840.1,845.92,5234,0,3452647,0,275
2023-08-03 14:49:00,1691054340,840.55,840.55,840.3,840.35,836.41,7240,0,3447413,0,275
2023-08-03 14:48:00,1691054280,841.45,841.45,840.15,840.3,840.34,6143,0,3440173,0,275
2023-08-03 14:47:00,1691054220,840.6,842.0,840.5,841.25,842.51,9973,0,3434030,0,275
2023-08-03 14:46:00,1691054160,841.1,841.35,840.1,840.35,842.33,9420,0,3424057,0,275
2023-08-03 14:45:00,1691054100,841.15,842.25,841.15,841.2,839.85,5573,0,3414637,0,275
2023-08-03 14:44:00,1691054040,841.9,841.9,841.05,841.4,841.24,7187,0,3409064,0,275
2023-08-03 14:43:00,1691053980,843.3,843.3,841.75,841.85,842.37,9394,0,3401877,0,275
2023-08-03 14:42:00,1691053920,844.2,844.25,843.0,843.15,841.43,7414,0,3392483,0,275
2023-08-03 14:41:00,1691053860,845.4,845.4,844.3,844.3,846.01,4681,0,3385069,0,275
2023-08-03 14:40:00,1691053800,845.6,845.6,844.6,845.05,846.01,3962,0,3380388,0,275
2023-08-03 14:39:00,1691053740,845.15,845.9,845.0,845.75,846.01,2277,0,3376426,0,275
2023-08-03 14:38:00,1691053680,845.6,845.6,844.35,845.0,846.01,2287,0,3374149,0,275
2023-08-03 14:37:00,1691053620,844.55,845.6,844.45,845.35,846.01,14234,0,3371862,0,275
2023-08-03 14:36:00,1691053560,844.85,845.6,844.8,844.85,844.39,20602,0,3357628,0,275
2023-08-03 14:35:00,1691053500,844.9,845.0,844.5,844.95,846.02,3122,0,3337026,0,275
2023-08-03 14:34:00,1691053440,844.75,845.0,843.95,844.55,846.02,4467,0,3333904,0,275
2023-08-03 14:33:00,1691053380,845.05,845.05,844.7,844.7,846.02,1870,0,3329437,0,275
2023-08-03 14:32:00,1691053320,844.9,845.05,844.45,845.0,846.02,4602,0,3327567,0,275
2023-08-03 14:31:00,1691053260,843.75,845.05,843.75,844.85,843.12,11452,0,3322965,0,275
2023-08-03 14:30:00,1691053200,844.35,844.45,843.6,844.0,846.03,3751,0,3311513,0,275
2023-08-03 14:29:00,1691053140,844.85,844.9,844.1,844.5,846.03,3868,0,3307762,0,275
2023-08-03 14:28:00,1691053080,844.75,845.2,844.45,844.9,840.18,5642,0,3303894,0,275
2023-08-03 14:27:00,1691053020,845.0,845.0,844.25,844.5,846.04,2681,0,3298252,0,275
2023-08-03 14:26:00,1691052960,845.25,845.25,844.6,844.8,846.04,2037,0,3295571,0,275
2023-08-03 14:25:00,1691052900,845.0,845.35,844.55,845.0,846.04,2277,0,3293534,0,275
2023-08-03 14:24:00,1691052840,845.65,845.65,844.45,844.5,846.04,2531,0,3291257,0,275
2023-08-03 14:23:00,1691052780,844.5,845.75,844.5,845.7,846.04,4893,0,3288726,0,275
2023-08-03 14:22:00,1691052720,844.85,844.85,844.15,844.15,846.04,1384,0,3283833,0,275
2023-08-03 14:21:00,1691052660,844.55,844.85,844.5,844.5,846.04,1582,0,3282449,0,275
2023-08-03 14:20:00,1691052600,843.45,844.9,843.0,844.65,846.04,3869,0,3280867,0,275
2023-08-03 14:19:00,1691052540,843.85,843.9,843.0,843.0,829.33,1961,0,3276998,0,275
2023-08-03 14:18:00,1691052480,842.35,844.0,842.35,844.0,846.05,2412,0,3275037,0,275
2023-08-03 14:17:00,1691052420,842.35,843.5,842.35,842.45,846.05,1902,0,3272625,0,275
2023-08-03 14:16:00,1691052360,844.05,844.05,842.3,842.3,846.05,1972,0,3270723,0,275
2023-08-03 14:15:00,1691052300,844.4,844.8,843.25,844.0,846.05,2270,0,3268751,0,275
2023-08-03 14:14:00,1691052240,843.55,844.95,843.5,844.5,839.53,5007,0,3266481,0,275
