time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,837.0,837.8,835.15,836.0,836.77,7977,0,6336012,0
2023-07-27 15:28:00,1690451880,836.45,836.9,835.9,836.5,835.95,8864,0,6328035,0
2023-07-27 15:27:00,1690451820,836.1,836.75,836.0,836.0,838.66,19195,0,6319171,0
2023-07-27 15:26:00,1690451760,834.8,836.2,834.5,836.05,835.16,29498,0,6299976,0
2023-07-27 15:25:00,1690451700,834.65,835.0,834.45,834.9,835.48,9313,0,6270478,0
2023-07-27 15:24:00,1690451640,834.75,835.0,834.1,834.6,833.38,13485,0,6261165,0
2023-07-27 15:23:00,1690451580,834.0,834.85,833.75,834.85,833.03,14510,0,6247680,0
2023-07-27 15:22:00,1690451520,834.75,834.95,833.9,833.9,835.81,17542,0,6233170,0
2023-07-27 15:21:00,1690451460,834.7,835.35,834.55,834.85,833.62,25172,0,6215628,0
2023-07-27 15:20:00,1690451400,833.85,835.8,833.85,834.35,835.54,71434,0,6190456,0
2023-07-27 15:19:00,1690451340,834.5,834.6,833.3,833.9,831.61,20311,0,6119022,0
2023-07-27 15:18:00,1690451280,834.55,835.4,834.2,834.6,835.24,36469,0,6098711,0
2023-07-27 15:17:00,1690451220,834.4,835.0,834.05,834.65,835.05,37115,0,6062242,0
2023-07-27 15:16:00,1690451160,836.25,836.25,834.4,834.55,835.24,53261,0,6025127,0
2023-07-27 15:15:00,1690451100,836.15,836.65,835.8,836.2,835.73,32634,0,5971866,0
2023-07-27 15:14:00,1690451040,835.6,836.25,835.6,836.0,836.62,21624,0,5939232,0
2023-07-27 15:13:00,1690450980,836.45,836.55,835.5,835.9,835.08,17620,0,5917608,0
2023-07-27 15:12:00,1690450920,836.5,837.0,836.1,836.55,833.86,10719,0,5899988,0
2023-07-27 15:11:00,1690450860,836.95,837.15,836.55,836.85,838.85,16788,0,5889269,0
2023-07-27 15:10:00,1690450800,836.15,837.0,836.1,836.9,834.81,18043,0,5872481,0
2023-07-27 15:09:00,1690450740,835.45,836.4,835.4,836.1,837.36,12904,0,5854438,0
2023-07-27 15:08:00,1690450680,836.4,836.4,835.15,835.25,837.17,6569,0,5841534,0
2023-07-27 15:07:00,1690450620,835.1,836.5,835.05,836.1,837.69,12369,0,5834965,0
2023-07-27 15:06:00,1690450560,835.0,835.8,834.8,835.0,836.09,7421,0,5822596,0
2023-07-27 15:05:00,1690450500,836.2,836.5,834.8,835.25,834.74,8944,0,5815175,0
2023-07-27 15:04:00,1690450440,836.9,837.25,836.25,836.5,834.4,9410,0,5806231,0
2023-07-27 15:03:00,1690450380,836.4,837.1,836.0,836.85,838.39,11379,0,5796821,0
2023-07-27 15:02:00,1690450320,837.0,837.45,836.15,836.15,835.6,15606,0,5785442,0
2023-07-27 15:01:00,1690450260,837.2,837.7,836.9,836.9,837.28,18972,0,5769836,0
2023-07-27 15:00:00,1690450200,834.75,837.65,834.65,837.15,836.14,28679,0,5750864,0
2023-07-27 14:59:00,1690450140,835.65,835.65,834.6,834.85,835.16,8113,0,5722185,0
2023-07-27 14:58:00,1690450080,834.55,836.0,834.5,835.45,834.43,18004,0,5714072,0
2023-07-27 14:57:00,1690450020,834.9,834.95,834.5,834.65,836.21,7000,0,5696068,0
2023-07-27 14:56:00,1690449960,834.5,835.25,834.0,834.95,836.66,19804,0,5689068,0
2023-07-27 14:55:00,1690449900,834.55,835.0,833.8,834.85,833.98,9534,0,5669264,0
2023-07-27 14:54:00,1690449840,835.85,835.85,834.3,834.4,828.04,3864,0,5659730,0
2023-07-27 14:53:00,1690449780,836.35,836.85,835.4,835.45,848.69,2737,0,5655866,0
2023-07-27 14:52:00,1690449720,835.85,836.95,835.75,836.7,834.2,9139,0,5653129,0
2023-07-27 14:51:00,1690449660,835.55,836.0,835.3,835.75,838.36,5453,0,5643990,0
2023-07-27 14:50:00,1690449600,835.45,836.25,835.3,835.9,828.01,2374,0,5638537,0
2023-07-27 14:49:00,1690449540,835.6,835.8,835.1,835.55,828.01,3957,0,5636163,0
2023-07-27 14:48:00,1690449480,836.5,836.5,835.4,835.55,839.87,4743,0,5632206,0
2023-07-27 14:47:00,1690449420,836.65,836.65,836.35,836.55,842.47,3886,0,5627463,0
2023-07-27 14:46:00,1690449360,836.4,836.85,835.75,836.6,835.49,7487,0,5623577,0
2023-07-27 14:45:00,1690449300,836.7,836.7,835.85,836.15,827.98,3839,0,5616090,0
2023-07-27 14:44:00,1690449240,835.9,837.0,835.5,836.3,838.29,21689,0,5612251,0
2023-07-27 14:43:00,1690449180,833.55,835.85,833.55,835.5,834.15,17927,0,5590562,0
2023-07-27 14:42:00,1690449120,833.25,833.7,832.6,833.7,827.92,5123,0,5572635,0
2023-07-27 14:41:00,1690449060,832.9,833.5,832.75,833.3,836.96,6146,0,5567512,0
2023-07-27 14:40:00,1690449000,832.95,833.3,831.95,833.0,832.92,22089,0,5561366,0
2023-07-27 14:39:00,1690448940,833.75,833.75,833.2,833.2,836.19,6658,0,5539277,0
2023-07-27 14:38:00,1690448880,833.3,834.0,833.3,833.7,832.81,11189,0,5532619,0
2023-07-27 14:37:00,1690448820,834.0,834.15,833.2,833.55,827.87,7711,0,5521430,0
2023-07-27 14:36:00,1690448760,834.0,834.25,833.0,834.15,833.79,9284,0,5513719,0
2023-07-27 14:35:00,1690448700,834.6,834.75,834.1,834.1,840.88,4223,0,5504435,0
2023-07-27 14:34:00,1690448640,834.1,835.2,834.05,834.4,835.43,14461,0,5500212,0
2023-07-27 14:33:00,1690448580,835.95,835.95,833.5,834.05,833.98,17758,0,5485751,0
2023-07-27 14:32:00,1690448520,834.7,835.55,834.45,835.0,832.91,10681,0,5467993,0
2023-07-27 14:31:00,1690448460,835.05,835.6,834.0,834.4,834.81,30939,0,5457312,0
2023-07-27 14:30:00,1690448400,836.1,836.95,835.1,835.1,835.98,13169,0,5426373,0
2023-07-27 14:29:00,1690448340,838.25,838.5,836.2,836.2,839.55,9148,0,5413204,0
2023-07-27 14:28:00,1690448280,838.0,839.1,837.85,838.55,839.25,9350,0,5404056,0
2023-07-27 14:27:00,1690448220,837.0,838.0,836.7,837.55,834.95,7421,0,5394706,0
2023-07-27 14:26:00,1690448160,836.95,837.0,836.7,836.95,841.72,3837,0,5387285,0
2023-07-27 14:25:00,1690448100,836.65,837.0,836.6,836.7,827.68,4357,0,5383448,0
2023-07-27 14:24:00,1690448040,836.75,837.2,836.5,836.7,836.86,5849,0,5379091,0
2023-07-27 14:23:00,1690447980,837.0,837.1,836.1,836.55,842.5,7232,0,5373242,0
2023-07-27 14:22:00,1690447920,837.3,837.45,837.0,837.05,827.65,1402,0,5366010,0
2023-07-27 14:21:00,1690447860,837.0,837.5,837.0,837.5,827.65,1947,0,5364608,0
2023-07-27 14:20:00,1690447800,836.9,837.5,836.75,837.2,848.26,2600,0,5362661,0
2023-07-27 14:19:00,1690447740,837.2,837.6,836.95,836.95,827.64,2239,0,5360061,0
2023-07-27 14:18:00,1690447680,837.2,837.8,836.9,837.25,842.47,3610,0,5357822,0
2023-07-27 14:17:00,1690447620,837.9,838.15,836.15,836.9,836.6,11909,0,5354212,0
2023-07-27 14:16:00,1690447560,837.55,838.75,837.55,837.8,838.57,4867,0,5342303,0
2023-07-27 14:15:00,1690447500,838.85,839.2,837.5,838.0,837.36,10915,0,5337436,0
2023-07-27 14:14:00,1690447440,836.95,838.65,836.65,838.5,835.59,6641,0,5326521,0
2023-07-27 14:13:00,1690447380,836.8,837.0,836.5,837.0,834.74,7401,0,5319880,0
2023-07-27 14:12:00,1690447320,836.95,837.0,836.5,836.6,841.25,7745,0,5312479,0
2023-07-27 14:11:00,1690447260,837.3,837.45,836.2,836.6,837.61,10505,0,5304734,0
2023-07-27 14:10:00,1690447200,838.3,838.45,837.0,837.0,835.45,13305,0,5294229,0
2023-07-27 14:09:00,1690447140,837.95,838.95,837.55,838.55,836.2,12105,0,5280924,0
2023-07-27 14:08:00,1690447080,838.5,839.05,837.3,837.7,840.45,16190,0,5268819,0
2023-07-27 14:07:00,1690447020,840.55,840.65,838.5,838.6,839.54,8663,0,5252629,0
2023-07-27 14:06:00,1690446960,840.8,841.2,840.2,840.25,840.3,8124,0,5243966,0
2023-07-27 14:05:00,1690446900,839.6,840.7,839.1,840.7,838.5,9413,0,5235842,0
2023-07-27 14:04:00,1690446840,840.1,840.5,839.05,839.05,839.84,16718,0,5226429,0
2023-07-27 14:03:00,1690446780,842.0,842.25,840.0,840.15,840.5,35371,0,5209711,0
2023-07-27 14:02:00,1690446720,844.65,844.65,841.5,842.3,844.08,21420,0,5174340,0
2023-07-27 14:01:00,1690446660,845.7,845.95,844.0,844.25,845.97,19123,0,5152920,0
2023-07-27 14:00:00,1690446600,843.75,846.0,843.1,845.65,845.32,30821,0,5133797,0
2023-07-27 13:59:00,1690446540,844.7,844.7,842.85,843.6,841.3,17771,0,5102976,0
2023-07-27 13:58:00,1690446480,845.15,845.6,844.0,844.45,846.5,23302,0,5085205,0
2023-07-27 13:57:00,1690446420,843.9,846.35,843.6,845.2,844.05,55308,0,5061903,0
2023-07-27 13:56:00,1690446360,843.65,844.4,843.2,844.0,844.03,28663,0,5006595,0
2023-07-27 13:55:00,1690446300,841.65,844.0,841.1,844.0,842.28,43943,0,4977932,0
2023-07-27 13:54:00,1690446240,841.25,842.0,840.85,842.0,844.3,16504,0,4933989,0
2023-07-27 13:53:00,1690446180,840.0,841.65,840.0,841.55,839.94,14443,0,4917485,0
2023-07-27 13:52:00,1690446120,839.65,840.1,839.35,839.8,826.33,2340,0,4903042,0
2023-07-27 13:51:00,1690446060,839.0,840.1,838.65,840.1,846.21,4925,0,4900702,0
2023-07-27 13:50:00,1690446000,839.3,839.55,838.55,838.95,837.99,8368,0,4895777,0
2023-07-27 13:49:00,1690445940,840.15,840.3,839.25,839.55,839.97,3570,0,4887409,0
2023-07-27 13:48:00,1690445880,840.0,840.4,839.35,840.35,841.18,6545,0,4883839,0
2023-07-27 13:47:00,1690445820,840.9,840.9,839.75,839.75,839.44,11075,0,4877294,0
