time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,948.95,950.0,948.6,950.0,949.65,26936,0,8447695,0,5900
2023-07-28 15:27:00,1690538220,950.0,950.0,948.95,949.0,949.65,77648,0,8420759,0,5900
2023-07-28 15:26:00,1690538160,949.75,950.0,949.75,949.95,949.65,34063,0,8343111,0,5900
2023-07-28 15:25:00,1690538100,949.9,949.9,949.6,949.7,949.65,26641,0,8309048,0,5900
2023-07-28 15:24:00,1690538040,949.9,950.0,949.2,949.85,949.65,58847,0,8282407,0,5900
2023-07-28 15:23:00,1690537980,950.05,950.1,949.85,949.85,949.65,30850,0,8223560,0,5900
2023-07-28 15:22:00,1690537920,950.1,950.4,950.05,950.1,949.65,25024,0,8192710,0,5900
2023-07-28 15:21:00,1690537860,950.6,950.6,950.0,950.05,952.32,30471,0,8167686,0,5900
2023-07-28 15:20:00,1690537800,950.35,950.85,950.35,950.5,949.64,54153,0,8137215,0,5900
2023-07-28 15:19:00,1690537740,950.55,950.55,950.05,950.5,949.64,29624,0,8083062,0,5900
2023-07-28 15:18:00,1690537680,950.5,950.6,950.1,950.5,951.66,39572,0,8053438,0,5900
2023-07-28 15:17:00,1690537620,950.3,950.6,950.25,950.6,949.63,25482,0,8013866,0,5900
2023-07-28 15:16:00,1690537560,949.75,950.4,949.75,950.25,949.63,31886,0,7988384,0,5900
2023-07-28 15:15:00,1690537500,950.25,950.65,949.8,950.0,951.28,47930,0,7956498,0,5900
2023-07-28 15:14:00,1690537440,949.85,950.3,949.8,950.3,949.62,71942,0,7908568,0,5900
2023-07-28 15:13:00,1690537380,949.15,950.0,948.9,950.0,949.62,46243,0,7836626,0,5900
2023-07-28 15:12:00,1690537320,949.7,949.75,949.05,949.1,949.62,27576,0,7790383,0,5900
2023-07-28 15:11:00,1690537260,949.9,950.0,949.65,949.65,949.62,30360,0,7762807,0,5900
2023-07-28 15:10:00,1690537200,949.9,950.0,949.65,950.0,949.62,27238,0,7732447,0,5900
2023-07-28 15:09:00,1690537140,950.0,950.0,949.7,949.7,949.62,22693,0,7705209,0,5900
2023-07-28 15:08:00,1690537080,950.35,950.5,949.55,949.85,949.62,28139,0,7682516,0,5900
2023-07-28 15:07:00,1690537020,950.5,950.6,950.2,950.3,952.3,28407,0,7654377,0,5900
2023-07-28 15:06:00,1690536960,950.4,950.65,950.4,950.55,949.61,24311,0,7625970,0,5900
2023-07-28 15:05:00,1690536900,949.95,950.75,949.95,950.75,949.61,31584,0,7601659,0,5900
2023-07-28 15:04:00,1690536840,950.0,950.3,949.9,950.0,949.61,69158,0,7570075,0,5900
2023-07-28 15:03:00,1690536780,949.9,950.0,949.9,949.95,951.47,39911,0,7500917,0,5900
2023-07-28 15:02:00,1690536720,949.95,950.05,949.55,950.0,949.6,32028,0,7461006,0,5900
2023-07-28 15:01:00,1690536660,949.95,950.05,949.95,950.0,949.6,39847,0,7428978,0,5900
2023-07-28 15:00:00,1690536600,948.35,950.0,948.35,950.0,949.6,52492,0,7389131,0,5900
2023-07-28 14:59:00,1690536540,947.2,948.5,946.7,948.45,947.37,32829,0,7336639,0,5900
2023-07-28 14:58:00,1690536480,947.7,948.05,947.35,947.35,945.58,18111,0,7303810,0,5900
2023-07-28 14:57:00,1690536420,947.95,948.1,947.7,947.75,949.62,11425,0,7285699,0,5900
2023-07-28 14:56:00,1690536360,948.0,948.15,947.85,948.0,949.62,12929,0,7274274,0,5900
2023-07-28 14:55:00,1690536300,948.4,948.4,947.3,948.15,944.57,14371,0,7261345,0,5900
2023-07-28 14:54:00,1690536240,947.55,948.5,947.55,947.95,949.63,11424,0,7246974,0,5900
2023-07-28 14:53:00,1690536180,947.55,947.95,947.2,947.75,949.63,13908,0,7235550,0,5900
2023-07-28 14:52:00,1690536120,948.3,948.45,947.5,947.5,944.2,13292,0,7221642,0,5900
2023-07-28 14:51:00,1690536060,949.2,949.35,948.5,948.55,949.64,16756,0,7208350,0,5900
2023-07-28 14:50:00,1690536000,949.5,949.75,949.05,949.3,949.64,16894,0,7191594,0,5900
2023-07-28 14:49:00,1690535940,949.0,949.8,948.75,949.35,949.64,70357,0,7174700,0,5900
2023-07-28 14:48:00,1690535880,949.55,949.55,948.55,949.15,949.64,11319,0,7104343,0,5900
2023-07-28 14:47:00,1690535820,949.4,949.65,949.15,949.5,949.64,8451,0,7093024,0,5900
2023-07-28 14:46:00,1690535760,949.15,949.75,949.0,949.7,949.64,7536,0,7084573,0,5900
2023-07-28 14:45:00,1690535700,949.15,949.75,949.0,949.2,949.64,11092,0,7077037,0,5900
2023-07-28 14:44:00,1690535640,948.9,949.65,948.65,949.3,949.64,11515,0,7065945,0,5900
2023-07-28 14:43:00,1690535580,948.6,949.5,948.55,948.8,949.64,20861,0,7054430,0,5900
2023-07-28 14:42:00,1690535520,949.9,950.0,948.65,948.7,949.64,30448,0,7033569,0,5900
2023-07-28 14:41:00,1690535460,949.9,950.1,949.6,949.95,949.64,17455,0,7003121,0,5900
2023-07-28 14:40:00,1690535400,949.1,950.0,949.0,950.0,949.64,41958,0,6985666,0,5900
2023-07-28 14:39:00,1690535340,948.5,949.4,948.5,949.2,949.64,14318,0,6943708,0,5900
2023-07-28 14:38:00,1690535280,948.9,949.0,948.5,948.7,949.64,10007,0,6929390,0,5900
2023-07-28 14:37:00,1690535220,948.7,949.05,948.0,948.8,947.24,28805,0,6919383,0,5900
2023-07-28 14:36:00,1690535160,947.65,948.75,947.6,948.75,949.65,18230,0,6890578,0,5900
2023-07-28 14:35:00,1690535100,948.0,948.25,947.4,947.95,949.65,11601,0,6872348,0,5900
2023-07-28 14:34:00,1690535040,948.25,948.45,947.5,948.15,942.44,9513,0,6860747,0,5900
2023-07-28 14:33:00,1690534980,948.25,948.35,947.85,948.15,949.66,7942,0,6851234,0,5900
2023-07-28 14:32:00,1690534920,947.75,948.3,947.35,948.3,949.66,8294,0,6843292,0,5900
2023-07-28 14:31:00,1690534860,948.65,948.65,947.7,948.0,949.66,5017,0,6834998,0,5900
2023-07-28 14:30:00,1690534800,948.7,949.25,948.3,948.75,947.94,39593,0,6829981,0,5900
2023-07-28 14:29:00,1690534740,948.55,948.7,947.5,948.65,949.67,29902,0,6790388,0,5900
2023-07-28 14:28:00,1690534680,948.6,948.8,948.25,948.25,944.57,13238,0,6760486,0,5900
2023-07-28 14:27:00,1690534620,948.5,948.75,948.3,948.7,949.68,7737,0,6747248,0,5900
2023-07-28 14:26:00,1690534560,948.5,948.55,948.0,948.45,949.68,9843,0,6739511,0,5900
2023-07-28 14:25:00,1690534500,948.3,948.55,947.55,948.55,949.68,8526,0,6729668,0,5900
2023-07-28 14:24:00,1690534440,948.45,948.55,948.05,948.05,949.68,5156,0,6721142,0,5900
2023-07-28 14:23:00,1690534380,948.45,948.55,948.0,948.3,949.68,8361,0,6715986,0,5900
2023-07-28 14:22:00,1690534320,948.45,948.9,948.15,948.35,942.53,9375,0,6707625,0,5900
2023-07-28 14:21:00,1690534260,948.15,949.0,948.15,948.55,949.69,23969,0,6698250,0,5900
2023-07-28 14:20:00,1690534200,948.05,948.3,948.0,948.1,949.69,7604,0,6674281,0,5900
2023-07-28 14:19:00,1690534140,948.25,948.35,948.0,948.0,949.69,5641,0,6666677,0,5900
2023-07-28 14:18:00,1690534080,948.5,948.65,948.2,948.35,949.69,10297,0,6661036,0,5900
2023-07-28 14:17:00,1690534020,948.05,948.6,948.05,948.55,943.31,10413,0,6650739,0,5900
2023-07-28 14:16:00,1690533960,948.5,948.6,947.25,947.95,949.7,10839,0,6640326,0,5900
2023-07-28 14:15:00,1690533900,948.1,948.6,948.0,948.45,949.7,14691,0,6629487,0,5900
2023-07-28 14:14:00,1690533840,947.45,948.4,947.35,948.15,945.78,16833,0,6614796,0,5900
2023-07-28 14:13:00,1690533780,946.35,947.9,946.2,947.55,949.71,22375,0,6597963,0,5900
