time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,2369.8,2370.0,2368.0,2369.9,2370.74,2429,0,735334,0,335
2023-08-07 15:27:00,1691402220,2369.8,2370.0,2368.2,2370.0,2369.91,2055,0,732905,0,335
2023-08-07 15:26:00,1691402160,2368.95,2371.05,2368.0,2369.9,2367.76,3598,0,730850,0,335
2023-08-07 15:25:00,1691402100,2369.45,2369.5,2368.0,2368.4,2370.57,2052,0,727252,0,335
2023-08-07 15:24:00,1691402040,2369.3,2369.75,2368.25,2369.0,2368.93,1668,0,725200,0,335
2023-08-07 15:23:00,1691401980,2369.75,2370.3,2369.0,2369.45,2369.31,2583,0,723532,0,335
2023-08-07 15:22:00,1691401920,2370.05,2370.3,2369.3,2369.85,2370.68,4493,0,720949,0,335
2023-08-07 15:21:00,1691401860,2368.7,2370.45,2368.7,2370.1,2370.77,2613,0,716456,0,335
2023-08-07 15:20:00,1691401800,2371.2,2371.4,2368.05,2370.1,2369.21,4271,0,713843,0,335
2023-08-07 15:19:00,1691401740,2372.0,2374.65,2369.35,2370.7,2370.95,3024,0,709572,0,335
2023-08-07 15:18:00,1691401680,2373.95,2374.45,2369.5,2371.5,2372.34,4165,0,706548,0,335
2023-08-07 15:17:00,1691401620,2372.0,2374.45,2369.9,2373.9,2371.67,3758,0,702383,0,335
2023-08-07 15:16:00,1691401560,2369.85,2372.95,2369.45,2371.95,2373.59,1866,0,698625,0,335
2023-08-07 15:15:00,1691401500,2369.4,2369.95,2367.25,2369.45,2368.24,2898,0,696759,0,335
2023-08-07 15:14:00,1691401440,2372.3,2372.3,2368.0,2369.2,2369.41,2663,0,693861,0,335
2023-08-07 15:13:00,1691401380,2372.75,2373.7,2369.0,2371.7,2369.17,1525,0,691198,0,335
2023-08-07 15:12:00,1691401320,2370.5,2371.45,2368.05,2371.45,2370.04,4059,0,689673,0,335
2023-08-07 15:11:00,1691401260,2370.45,2371.55,2370.05,2370.9,2375.64,784,0,685614,0,335
2023-08-07 15:10:00,1691401200,2370.0,2372.75,2368.0,2370.4,2370.26,2778,0,684830,0,335
2023-08-07 15:09:00,1691401140,2373.65,2375.6,2367.5,2369.4,2370.75,3475,0,682052,0,335
2023-08-07 15:08:00,1691401080,2369.2,2374.95,2367.0,2374.95,2370.81,5902,0,678577,0,335
2023-08-07 15:07:00,1691401020,2367.95,2369.85,2366.9,2369.5,2369.5,1719,0,672675,0,335
2023-08-07 15:06:00,1691400960,2367.8,2369.35,2366.0,2366.2,2367.97,1533,0,670956,0,335
2023-08-07 15:05:00,1691400900,2369.35,2369.8,2367.0,2367.05,2365.21,1088,0,669423,0,335
2023-08-07 15:04:00,1691400840,2374.4,2374.4,2365.7,2367.75,2370.1,6035,0,668335,0,335
2023-08-07 15:03:00,1691400780,2374.15,2374.3,2372.25,2374.05,2371.83,1745,0,662300,0,335
2023-08-07 15:02:00,1691400720,2374.0,2374.95,2372.9,2374.3,2376.53,739,0,660555,0,335
2023-08-07 15:01:00,1691400660,2374.0,2375.0,2372.95,2374.95,2371.0,1311,0,659816,0,335
2023-08-07 15:00:00,1691400600,2374.25,2374.5,2370.2,2373.7,2373.11,1499,0,658505,0,335
2023-08-07 14:59:00,1691400540,2373.0,2374.25,2372.45,2374.15,2375.21,568,0,657006,0,335
2023-08-07 14:58:00,1691400480,2371.6,2375.0,2371.6,2373.15,2374.05,2207,0,656438,0,335
2023-08-07 14:57:00,1691400420,2367.0,2371.15,2365.45,2370.0,2366.12,6764,0,654231,0,335
2023-08-07 14:56:00,1691400360,2371.65,2372.0,2366.0,2366.05,2368.21,10497,0,647467,0,335
2023-08-07 14:55:00,1691400300,2373.3,2374.85,2370.0,2371.9,2372.25,4230,0,636970,0,335
2023-08-07 14:54:00,1691400240,2374.9,2375.35,2373.5,2374.0,2372.83,1994,0,632740,0,335
2023-08-07 14:53:00,1691400180,2374.6,2374.95,2373.15,2374.6,2374.78,903,0,630746,0,335
2023-08-07 14:52:00,1691400120,2374.8,2375.0,2374.0,2374.0,2374.37,383,0,629843,0,335
2023-08-07 14:51:00,1691400060,2374.8,2375.0,2373.15,2375.0,2375.57,1305,0,629460,0,335
2023-08-07 14:50:00,1691400000,2373.55,2375.0,2371.0,2375.0,2373.02,1973,0,628155,0,335
2023-08-07 14:49:00,1691399940,2377.1,2378.2,2373.0,2373.0,2374.44,2644,0,626182,0,335
2023-08-07 14:48:00,1691399880,2379.95,2380.0,2377.0,2377.0,2377.06,793,0,623538,0,335
2023-08-07 14:47:00,1691399820,2379.0,2380.0,2379.0,2380.0,2388.67,350,0,622745,0,335
2023-08-07 14:46:00,1691399760,2378.95,2380.0,2377.4,2380.0,2372.74,724,0,622395,0,335
2023-08-07 14:45:00,1691399700,2377.4,2378.9,2377.1,2378.75,2387.22,335,0,621671,0,335
2023-08-07 14:44:00,1691399640,2380.0,2380.0,2377.4,2378.65,2377.8,1598,0,621336,0,335
2023-08-07 14:43:00,1691399580,2379.9,2380.0,2379.3,2379.95,2385.0,314,0,619738,0,335
2023-08-07 14:42:00,1691399520,2379.85,2380.0,2379.3,2380.0,2376.58,775,0,619424,0,335
2023-08-07 14:41:00,1691399460,2379.2,2379.95,2378.3,2379.95,2380.14,696,0,618649,0,335
2023-08-07 14:40:00,1691399400,2380.0,2380.0,2378.1,2379.85,2377.25,652,0,617953,0,335
2023-08-07 14:39:00,1691399340,2379.8,2380.0,2379.1,2379.95,2380.91,846,0,617301,0,335
2023-08-07 14:38:00,1691399280,2379.85,2380.0,2378.0,2380.0,2376.55,256,0,616455,0,335
2023-08-07 14:37:00,1691399220,2379.8,2380.0,2379.0,2379.4,2387.47,661,0,616199,0,335
2023-08-07 14:36:00,1691399160,2379.8,2380.0,2378.0,2378.95,2375.41,1369,0,615538,0,335
2023-08-07 14:35:00,1691399100,2380.7,2381.2,2379.05,2380.0,2385.19,464,0,614169,0,335
2023-08-07 14:34:00,1691399040,2381.3,2381.3,2379.1,2380.0,2379.89,681,0,613705,0,335
2023-08-07 14:33:00,1691398980,2379.95,2381.45,2379.75,2381.45,2378.09,784,0,613024,0,335
2023-08-07 14:32:00,1691398920,2384.65,2384.65,2379.75,2380.0,2382.08,2415,0,612240,0,335
2023-08-07 14:31:00,1691398860,2385.35,2386.1,2383.55,2384.5,2384.4,299,0,609825,0,335
2023-08-07 14:30:00,1691398800,2386.0,2386.15,2385.0,2385.0,2386.12,3104,0,609526,0,335
2023-08-07 14:29:00,1691398740,2388.45,2388.45,2385.0,2385.7,2381.75,694,0,606422,0,335
2023-08-07 14:28:00,1691398680,2389.3,2389.8,2386.3,2387.4,2395.55,405,0,605728,0,335
2023-08-07 14:27:00,1691398620,2391.85,2392.15,2388.85,2388.85,2385.32,753,0,605323,0,335
2023-08-07 14:26:00,1691398560,2388.25,2391.75,2387.45,2391.55,2389.56,2011,0,604570,0,335
2023-08-07 14:25:00,1691398500,2386.6,2387.55,2385.15,2387.5,2387.6,2681,0,602559,0,335
2023-08-07 14:24:00,1691398440,2384.05,2386.95,2383.55,2385.6,2383.96,859,0,599878,0,335
2023-08-07 14:23:00,1691398380,2384.65,2385.0,2383.0,2383.7,2388.79,323,0,599019,0,335
2023-08-07 14:22:00,1691398320,2383.05,2384.85,2382.15,2384.05,2378.03,500,0,598696,0,335
2023-08-07 14:21:00,1691398260,2385.2,2385.2,2381.55,2382.0,2383.29,1260,0,598196,0,335
2023-08-07 14:20:00,1691398200,2380.0,2385.5,2379.75,2384.3,2384.58,3722,0,596936,0,335
2023-08-07 14:19:00,1691398140,2379.4,2380.0,2379.35,2379.75,2381.29,527,0,593214,0,335
2023-08-07 14:18:00,1691398080,2379.65,2380.0,2378.5,2379.0,2372.49,660,0,592687,0,335
2023-08-07 14:17:00,1691398020,2378.95,2379.8,2378.25,2378.9,2387.88,461,0,592027,0,335
2023-08-07 14:16:00,1691397960,2378.55,2380.0,2377.6,2379.0,2377.22,1679,0,591566,0,335
2023-08-07 14:15:00,1691397900,2378.8,2379.9,2378.2,2379.0,2381.8,1184,0,589887,0,335
2023-08-07 14:14:00,1691397840,2378.3,2380.0,2378.0,2378.95,2378.99,1602,0,588703,0,335
2023-08-07 14:13:00,1691397780,2379.85,2381.55,2379.0,2379.0,2377.0,1647,0,587101,0,335
2023-08-07 14:12:00,1691397720,2379.65,2380.6,2378.0,2380.6,2378.36,3238,0,585454,0,335
2023-08-07 14:11:00,1691397660,2378.05,2380.0,2378.0,2380.0,2381.81,1536,0,582216,0,335
2023-08-07 14:10:00,1691397600,2379.85,2380.0,2378.0,2378.95,2377.79,1521,0,580680,0,335
2023-08-07 14:09:00,1691397540,2379.15,2380.0,2378.1,2379.95,2380.67,1729,0,579159,0,335
2023-08-07 14:08:00,1691397480,2380.0,2380.0,2379.0,2380.0,2379.37,718,0,577430,0,335
2023-08-07 14:07:00,1691397420,2380.0,2380.0,2379.75,2379.75,2380.47,3887,0,576712,0,335
2023-08-07 14:06:00,1691397360,2379.75,2380.0,2379.55,2379.9,2377.96,801,0,572825,0,335
2023-08-07 14:05:00,1691397300,2379.95,2380.0,2378.1,2379.65,2376.04,330,0,572024,0,335
2023-08-07 14:04:00,1691397240,2379.0,2380.0,2378.1,2379.55,2377.87,910,0,571694,0,335
2023-08-07 14:03:00,1691397180,2387.15,2387.15,2379.0,2380.0,2381.9,5261,0,570784,0,335
2023-08-07 14:02:00,1691397120,2387.9,2388.5,2386.95,2386.95,2388.09,419,0,565523,0,335
2023-08-07 14:01:00,1691397060,2387.75,2387.9,2384.55,2387.8,2381.23,596,0,565104,0,335
2023-08-07 14:00:00,1691397000,2387.05,2387.9,2385.15,2387.9,2401.51,208,0,564508,0,335
2023-08-07 13:59:00,1691396940,2388.0,2389.15,2385.1,2387.0,2389.34,717,0,564300,0,335
2023-08-07 13:58:00,1691396880,2386.6,2388.6,2386.35,2388.6,2362.02,169,0,563583,0,335
2023-08-07 13:57:00,1691396820,2387.9,2387.9,2385.15,2385.15,2394.87,499,0,563414,0,335
2023-08-07 13:56:00,1691396760,2387.75,2388.6,2385.25,2386.7,2385.14,387,0,562915,0,335
2023-08-07 13:55:00,1691396700,2384.4,2386.45,2383.8,2386.45,2383.53,869,0,562528,0,335
2023-08-07 13:54:00,1691396640,2384.75,2385.0,2382.7,2383.8,2379.6,228,0,561659,0,335
