time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,393.15,393.25,392.25,393.25,393.25,10579,0,3741878,0,341
2023-08-08 15:27:00,1691488620,393.25,393.35,392.6,393.25,393.22,10444,0,3731299,0,341
2023-08-08 15:26:00,1691488560,393.1,393.35,392.55,393.0,391.04,12886,0,3720855,0,341
2023-08-08 15:25:00,1691488500,393.15,393.4,393.0,393.35,392.84,9297,0,3707969,0,341
2023-08-08 15:24:00,1691488440,393.45,393.55,393.0,393.4,396.83,5086,0,3698672,0,341
2023-08-08 15:23:00,1691488380,393.2,393.5,393.15,393.35,396.83,2189,0,3693586,0,341
2023-08-08 15:22:00,1691488320,393.1,394.1,393.0,393.65,394.01,13044,0,3691397,0,341
2023-08-08 15:21:00,1691488260,392.5,393.35,392.3,393.15,392.51,16937,0,3678353,0,341
2023-08-08 15:20:00,1691488200,393.15,393.25,392.0,392.05,391.24,19474,0,3661416,0,341
2023-08-08 15:19:00,1691488140,392.7,393.95,392.6,393.25,396.89,8369,0,3641942,0,341
2023-08-08 15:18:00,1691488080,393.45,393.45,392.1,392.8,392.52,16570,0,3633573,0,341
2023-08-08 15:17:00,1691488020,394.3,394.45,393.0,393.35,392.73,17247,0,3617003,0,341
2023-08-08 15:16:00,1691487960,394.8,394.9,394.05,394.05,394.47,113406,0,3599756,0,341
2023-08-08 15:15:00,1691487900,394.8,395.0,394.5,394.75,395.3,20303,0,3486350,0,341
2023-08-08 15:14:00,1691487840,394.8,394.8,394.5,394.75,397.02,3806,0,3466047,0,341
2023-08-08 15:13:00,1691487780,394.65,394.9,394.5,394.5,386.1,3170,0,3462241,0,341
2023-08-08 15:12:00,1691487720,395.0,395.0,394.75,394.95,397.03,2737,0,3459071,0,341
2023-08-08 15:11:00,1691487660,395.1,395.15,395.0,395.05,397.03,6449,0,3456334,0,341
2023-08-08 15:10:00,1691487600,394.85,395.35,394.6,395.15,394.53,41036,0,3449885,0,341
2023-08-08 15:09:00,1691487540,394.45,394.75,394.4,394.75,397.06,4771,0,3408849,0,341
2023-08-08 15:08:00,1691487480,394.75,394.75,394.2,394.6,397.06,6674,0,3404078,0,341
2023-08-08 15:07:00,1691487420,394.85,394.9,394.6,394.6,367.32,1142,0,3397404,0,341
