time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,201.45,201.45,201.15,201.3,201.99,129164,0,14088627,0
2023-07-28 15:28:00,1690538280,201.5,201.5,201.35,201.4,199.81,49185,0,13959463,0
2023-07-28 15:27:00,1690538220,201.5,201.5,201.3,201.35,201.6,77082,0,13910278,0
2023-07-28 15:26:00,1690538160,201.5,201.55,201.45,201.45,201.67,73362,0,13833196,0
2023-07-28 15:25:00,1690538100,201.5,201.55,201.45,201.55,202.09,59534,0,13759834,0
2023-07-28 15:24:00,1690538040,201.6,201.65,201.5,201.55,201.9,64183,0,13700300,0
2023-07-28 15:23:00,1690537980,201.7,201.7,201.5,201.55,199.77,48455,0,13636117,0
2023-07-28 15:22:00,1690537920,201.5,201.7,201.4,201.65,202.52,97950,0,13587662,0
2023-07-28 15:21:00,1690537860,201.75,201.75,201.4,201.7,200.7,140204,0,13489712,0
2023-07-28 15:20:00,1690537800,201.6,201.8,201.5,201.65,202.06,170098,0,13349508,0
2023-07-28 15:19:00,1690537740,201.4,201.65,201.4,201.55,201.79,125163,0,13179410,0
2023-07-28 15:18:00,1690537680,201.5,201.5,201.35,201.45,200.62,137565,0,13054247,0
2023-07-28 15:17:00,1690537620,201.3,201.5,201.2,201.45,202.07,159584,0,12916682,0
2023-07-28 15:16:00,1690537560,201.25,201.5,201.2,201.35,201.4,214001,0,12757098,0
2023-07-28 15:15:00,1690537500,201.2,201.3,201.2,201.3,201.11,165862,0,12543097,0
2023-07-28 15:14:00,1690537440,201.05,201.25,201.05,201.25,201.23,223078,0,12377235,0
2023-07-28 15:13:00,1690537380,200.55,201.15,200.5,201.15,200.8,381682,0,12154157,0
2023-07-28 15:12:00,1690537320,200.45,200.65,200.4,200.6,200.51,118791,0,11772475,0
2023-07-28 15:11:00,1690537260,200.55,200.6,200.45,200.5,201.06,74816,0,11653684,0
2023-07-28 15:10:00,1690537200,200.35,200.5,200.35,200.45,199.51,93209,0,11578868,0
2023-07-28 15:09:00,1690537140,200.35,200.4,200.35,200.4,204.09,24999,0,11485659,0
2023-07-28 15:08:00,1690537080,200.4,200.45,200.3,200.4,199.5,34661,0,11460660,0
2023-07-28 15:07:00,1690537020,200.4,200.45,200.35,200.45,199.5,20423,0,11425999,0
2023-07-28 15:06:00,1690536960,200.45,200.45,200.35,200.45,199.5,29655,0,11405576,0
2023-07-28 15:05:00,1690536900,200.35,200.45,200.35,200.4,199.5,17627,0,11375921,0
2023-07-28 15:04:00,1690536840,200.35,200.45,200.2,200.4,201.19,66568,0,11358294,0
2023-07-28 15:03:00,1690536780,200.45,200.45,200.3,200.4,199.49,37474,0,11291726,0
2023-07-28 15:02:00,1690536720,200.4,200.5,200.25,200.4,199.49,39561,0,11254252,0
2023-07-28 15:01:00,1690536660,200.15,200.55,200.15,200.5,200.49,110633,0,11214691,0
2023-07-28 15:00:00,1690536600,199.95,200.25,199.8,200.1,200.72,88340,0,11104058,0
2023-07-28 14:59:00,1690536540,199.9,199.95,199.65,199.85,199.47,59782,0,11015718,0
2023-07-28 14:58:00,1690536480,199.95,200.0,199.85,199.85,199.47,13855,0,10955936,0
2023-07-28 14:57:00,1690536420,199.9,200.0,199.85,200.0,199.47,22046,0,10942081,0
2023-07-28 14:56:00,1690536360,199.9,200.0,199.9,200.0,199.47,16809,0,10920035,0
2023-07-28 14:55:00,1690536300,200.05,200.05,199.95,199.95,199.47,14153,0,10903226,0
2023-07-28 14:54:00,1690536240,199.95,200.1,199.9,200.1,199.47,24732,0,10889073,0
2023-07-28 14:53:00,1690536180,200.0,200.05,199.9,200.0,205.19,18931,0,10864341,0
2023-07-28 14:52:00,1690536120,199.95,200.1,199.95,200.05,199.46,24567,0,10845410,0
