time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,96.65,96.7,96.55,96.6,96.73,150378,0,36769796,0,438
2023-08-07 15:27:00,1691402220,96.7,96.7,96.65,96.7,96.73,100791,0,36619418,0,438
2023-08-07 15:26:00,1691402160,96.65,96.75,96.65,96.65,96.73,142130,0,36518627,0,438
2023-08-07 15:25:00,1691402100,96.65,96.7,96.65,96.7,96.73,65403,0,36376497,0,438
2023-08-07 15:24:00,1691402040,96.65,96.7,96.65,96.7,96.73,66764,0,36311094,0,438
2023-08-07 15:23:00,1691401980,96.65,96.7,96.65,96.7,96.73,30927,0,36244330,0,438
2023-08-07 15:22:00,1691401920,96.7,96.75,96.65,96.7,96.73,70804,0,36213403,0,438
2023-08-07 15:21:00,1691401860,96.55,96.7,96.5,96.65,96.73,196010,0,36142599,0,438
2023-08-07 15:20:00,1691401800,96.55,96.65,96.5,96.5,96.73,308085,0,35946589,0,438
2023-08-07 15:19:00,1691401740,96.55,96.65,96.55,96.6,96.73,167096,0,35638504,0,438
2023-08-07 15:18:00,1691401680,96.5,96.5,96.45,96.5,96.73,291963,0,35471408,0,438
2023-08-07 15:17:00,1691401620,96.65,96.65,96.4,96.45,95.33,249566,0,35179445,0,438
2023-08-07 15:16:00,1691401560,96.8,96.8,96.6,96.6,96.74,124107,0,34929879,0,438
2023-08-07 15:15:00,1691401500,96.75,96.85,96.7,96.7,96.74,117859,0,34805772,0,438
2023-08-07 15:14:00,1691401440,96.8,96.9,96.7,96.7,96.74,87972,0,34687913,0,438
2023-08-07 15:13:00,1691401380,96.95,96.95,96.8,96.85,99.75,114561,0,34599941,0,438
2023-08-07 15:12:00,1691401320,96.6,96.95,96.55,96.9,96.73,407530,0,34485380,0,438
2023-08-07 15:11:00,1691401260,96.6,96.65,96.55,96.55,96.73,85159,0,34077850,0,438
2023-08-07 15:10:00,1691401200,96.5,96.65,96.45,96.65,95.4,255023,0,33992691,0,438
2023-08-07 15:09:00,1691401140,96.35,96.45,96.35,96.45,96.74,228052,0,33737668,0,438
2023-08-07 15:08:00,1691401080,96.35,96.4,96.35,96.4,96.74,96766,0,33509616,0,438
2023-08-07 15:07:00,1691401020,96.35,96.4,96.3,96.4,96.74,61455,0,33412850,0,438
2023-08-07 15:06:00,1691400960,96.25,96.35,96.25,96.3,96.74,23821,0,33351395,0,438
2023-08-07 15:05:00,1691400900,96.35,96.35,96.3,96.3,96.74,30522,0,33327574,0,438
2023-08-07 15:04:00,1691400840,96.35,96.4,96.3,96.3,96.74,120082,0,33297052,0,438
2023-08-07 15:03:00,1691400780,96.4,96.4,96.3,96.3,96.74,36639,0,33176970,0,438
2023-08-07 15:02:00,1691400720,96.3,96.4,96.3,96.3,96.74,34666,0,33140331,0,438
2023-08-07 15:01:00,1691400660,96.4,96.4,96.3,96.35,96.74,14499,0,33105665,0,438
2023-08-07 15:00:00,1691400600,96.45,96.45,96.3,96.35,96.74,20540,0,33091166,0,438
2023-08-07 14:59:00,1691400540,96.4,96.45,96.35,96.4,96.74,50166,0,33070626,0,438
2023-08-07 14:58:00,1691400480,96.4,96.4,96.3,96.35,96.74,15773,0,33020460,0,438
2023-08-07 14:57:00,1691400420,96.5,96.5,96.35,96.35,88.16,38466,0,33004687,0,438
2023-08-07 14:56:00,1691400360,96.5,96.55,96.4,96.4,96.75,42203,0,32966221,0,438
2023-08-07 14:55:00,1691400300,96.4,96.55,96.35,96.55,96.75,116827,0,32924018,0,438
2023-08-07 14:54:00,1691400240,96.4,96.4,96.35,96.35,96.75,23795,0,32807191,0,438
2023-08-07 14:53:00,1691400180,96.35,96.4,96.3,96.35,96.75,44867,0,32783396,0,438
2023-08-07 14:52:00,1691400120,96.3,96.4,96.25,96.4,96.75,25970,0,32738529,0,438
2023-08-07 14:51:00,1691400060,96.35,96.4,96.25,96.25,96.75,30190,0,32712559,0,438
2023-08-07 14:50:00,1691400000,96.5,96.6,96.3,96.4,96.75,300170,0,32682369,0,438
2023-08-07 14:49:00,1691399940,96.15,96.35,96.1,96.35,96.75,188028,0,32382199,0,438
2023-08-07 14:48:00,1691399880,96.2,96.3,96.2,96.3,96.75,4412,0,32194171,0,438
2023-08-07 14:47:00,1691399820,96.35,96.35,96.2,96.25,96.75,24383,0,32189759,0,438
2023-08-07 14:46:00,1691399760,96.25,96.35,96.25,96.3,96.75,39761,0,32165376,0,438
2023-08-07 14:45:00,1691399700,96.2,96.3,96.2,96.3,96.75,29053,0,32125615,0,438
2023-08-07 14:44:00,1691399640,96.2,96.25,96.2,96.25,82.97,23276,0,32096562,0,438
2023-08-07 14:43:00,1691399580,96.2,96.25,96.2,96.25,96.76,7606,0,32073286,0,438
2023-08-07 14:42:00,1691399520,96.25,96.25,96.2,96.25,96.76,8010,0,32065680,0,438
2023-08-07 14:41:00,1691399460,96.2,96.25,96.2,96.2,96.76,37524,0,32057670,0,438
2023-08-07 14:40:00,1691399400,96.2,96.25,96.15,96.25,96.76,83616,0,32020146,0,438
2023-08-07 14:39:00,1691399340,96.1,96.2,96.1,96.15,96.76,33262,0,31936530,0,438
2023-08-07 14:38:00,1691399280,96.25,96.25,96.1,96.15,96.76,47798,0,31903268,0,438
2023-08-07 14:37:00,1691399220,96.25,96.25,96.2,96.2,96.76,26336,0,31855470,0,438
2023-08-07 14:36:00,1691399160,96.2,96.25,96.2,96.2,96.76,27657,0,31829134,0,438
2023-08-07 14:35:00,1691399100,96.25,96.3,96.2,96.25,96.76,47028,0,31801477,0,438
2023-08-07 14:34:00,1691399040,96.3,96.35,96.25,96.3,96.76,16058,0,31754449,0,438
2023-08-07 14:33:00,1691398980,96.35,96.35,96.25,96.35,96.76,23782,0,31738391,0,438
2023-08-07 14:32:00,1691398920,96.25,96.35,96.2,96.3,96.76,39942,0,31714609,0,438
2023-08-07 14:31:00,1691398860,96.3,96.4,96.3,96.35,96.76,26384,0,31674667,0,438
2023-08-07 14:30:00,1691398800,96.4,96.4,96.3,96.35,96.76,11850,0,31648283,0,438
2023-08-07 14:29:00,1691398740,96.2,96.45,96.2,96.35,95.27,212030,0,31636433,0,438
2023-08-07 14:28:00,1691398680,96.2,96.25,96.15,96.25,96.77,12461,0,31424403,0,438
2023-08-07 14:27:00,1691398620,96.25,96.3,96.2,96.25,96.77,10228,0,31411942,0,438
2023-08-07 14:26:00,1691398560,96.15,96.3,96.15,96.3,96.77,44536,0,31401714,0,438
2023-08-07 14:25:00,1691398500,96.1,96.2,96.05,96.2,96.77,47554,0,31357178,0,438
2023-08-07 14:24:00,1691398440,96.1,96.15,96.05,96.05,96.77,22074,0,31309624,0,438
2023-08-07 14:23:00,1691398380,96.15,96.15,96.1,96.15,96.77,15272,0,31287550,0,438
2023-08-07 14:22:00,1691398320,96.15,96.15,96.05,96.1,96.77,5925,0,31272278,0,438
2023-08-07 14:21:00,1691398260,96.15,96.2,96.1,96.1,96.77,68327,0,31266353,0,438
2023-08-07 14:20:00,1691398200,96.1,96.15,96.05,96.1,96.77,4592,0,31198026,0,438
2023-08-07 14:19:00,1691398140,96.05,96.15,96.0,96.05,96.77,74808,0,31193434,0,438
2023-08-07 14:18:00,1691398080,96.15,96.15,96.0,96.0,96.77,12885,0,31118626,0,438
2023-08-07 14:17:00,1691398020,96.1,96.15,96.1,96.1,96.77,13842,0,31105741,0,438
2023-08-07 14:16:00,1691397960,96.15,96.2,96.1,96.15,96.77,5819,0,31091899,0,438
2023-08-07 14:15:00,1691397900,96.1,96.25,96.1,96.2,96.77,29270,0,31086080,0,438
2023-08-07 14:14:00,1691397840,96.2,96.25,96.1,96.15,96.77,27099,0,31056810,0,438
2023-08-07 14:13:00,1691397780,96.1,96.2,96.05,96.15,96.77,23621,0,31029711,0,438
2023-08-07 14:12:00,1691397720,96.1,96.15,96.05,96.15,96.77,19876,0,31006090,0,438
2023-08-07 14:11:00,1691397660,96.05,96.1,96.0,96.05,91.72,61284,0,30986214,0,438
2023-08-07 14:10:00,1691397600,96.15,96.15,96.0,96.1,96.78,4057,0,30924930,0,438
2023-08-07 14:09:00,1691397540,96.05,96.15,96.0,96.0,96.78,97157,0,30920873,0,438
2023-08-07 14:08:00,1691397480,96.2,96.2,96.1,96.15,96.78,15608,0,30823716,0,438
2023-08-07 14:07:00,1691397420,96.25,96.25,96.2,96.25,96.78,14059,0,30808108,0,438
2023-08-07 14:06:00,1691397360,96.2,96.25,96.15,96.2,96.78,17682,0,30794049,0,438
2023-08-07 14:05:00,1691397300,96.3,96.3,96.2,96.25,96.78,70504,0,30776367,0,438
2023-08-07 14:04:00,1691397240,96.25,96.3,96.25,96.25,96.78,26281,0,30705863,0,438
2023-08-07 14:03:00,1691397180,96.3,96.3,96.2,96.2,96.78,26052,0,30679582,0,438
2023-08-07 14:02:00,1691397120,96.25,96.3,96.2,96.25,96.78,43452,0,30653530,0,438
2023-08-07 14:01:00,1691397060,96.15,96.25,96.05,96.2,96.78,47024,0,30610078,0,438
2023-08-07 14:00:00,1691397000,96.05,96.15,96.05,96.1,96.78,17482,0,30563054,0,438
2023-08-07 13:59:00,1691396940,96.15,96.15,96.05,96.1,96.78,33599,0,30545572,0,438
2023-08-07 13:58:00,1691396880,96.1,96.2,96.1,96.1,96.78,17745,0,30511973,0,438
2023-08-07 13:57:00,1691396820,96.15,96.2,96.1,96.2,91.69,59889,0,30494228,0,438
2023-08-07 13:56:00,1691396760,96.2,96.2,96.15,96.2,96.79,20815,0,30434339,0,438
2023-08-07 13:55:00,1691396700,95.95,96.2,95.95,96.15,96.79,30557,0,30413524,0,438
2023-08-07 13:54:00,1691396640,95.95,96.05,95.9,96.0,96.79,20357,0,30382967,0,438
2023-08-07 13:53:00,1691396580,96.0,96.0,95.9,95.9,96.79,15607,0,30362610,0,438
2023-08-07 13:52:00,1691396520,96.05,96.1,96.0,96.05,96.79,35085,0,30347003,0,438
2023-08-07 13:51:00,1691396460,96.1,96.1,96.0,96.0,96.79,6662,0,30311918,0,438
2023-08-07 13:50:00,1691396400,96.2,96.2,96.0,96.0,96.79,63565,0,30305256,0,438
2023-08-07 13:49:00,1691396340,96.15,96.2,96.1,96.15,96.79,30702,0,30241691,0,438
2023-08-07 13:48:00,1691396280,96.1,96.15,96.1,96.1,96.79,9778,0,30210989,0,438
2023-08-07 13:47:00,1691396220,96.15,96.2,96.15,96.15,96.79,8285,0,30201211,0,438
2023-08-07 13:46:00,1691396160,96.15,96.2,96.05,96.2,96.79,20118,0,30192926,0,438
2023-08-07 13:45:00,1691396100,96.05,96.15,96.05,96.05,96.79,7782,0,30172808,0,438
2023-08-07 13:44:00,1691396040,96.15,96.15,96.05,96.1,96.79,10516,0,30165026,0,438
2023-08-07 13:43:00,1691395980,96.1,96.15,96.1,96.1,96.79,12742,0,30154510,0,438
2023-08-07 13:42:00,1691395920,96.15,96.2,96.1,96.15,96.79,16411,0,30141768,0,438
2023-08-07 13:41:00,1691395860,96.1,96.25,96.1,96.2,96.79,57848,0,30125357,0,438
2023-08-07 13:40:00,1691395800,96.15,96.2,96.05,96.15,96.79,19388,0,30067509,0,438
2023-08-07 13:39:00,1691395740,96.1,96.15,96.05,96.1,96.79,34302,0,30048121,0,438
2023-08-07 13:38:00,1691395680,96.0,96.1,96.0,96.05,89.7,42274,0,30013819,0,438
