time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,4858.0,4861.95,4851.0,4854.25,4854.64,2283,0,99127,0
2023-07-28 09:41:00,1690517460,4874.0,4874.0,4855.55,4855.7,4864.14,3694,0,96844,0
2023-07-28 09:40:00,1690517400,4873.9,4873.9,4870.0,4872.75,4872.22,1162,0,93150,0
2023-07-28 09:39:00,1690517340,4883.65,4886.9,4872.75,4872.75,4878.57,1453,0,91988,0
2023-07-28 09:38:00,1690517280,4877.0,4887.05,4875.3,4886.35,4879.29,2079,0,90535,0
2023-07-28 09:37:00,1690517220,4885.55,4888.35,4875.0,4875.05,4882.86,3519,0,88456,0
2023-07-28 09:36:00,1690517160,4904.35,4907.25,4885.6,4885.6,4898.04,7683,0,84937,0
2023-07-28 09:35:00,1690517100,4910.55,4912.65,4904.55,4906.55,4909.06,1639,0,77254,0
2023-07-28 09:34:00,1690517040,4908.25,4915.95,4905.3,4910.25,4911.85,1019,0,75615,0
2023-07-28 09:33:00,1690516980,4914.3,4915.55,4905.2,4905.3,4909.6,2489,0,74596,0
2023-07-28 09:32:00,1690516920,4917.05,4920.5,4911.1,4911.6,4916.61,2542,0,72107,0
2023-07-28 09:31:00,1690516860,4935.75,4939.05,4915.85,4919.7,4927.31,5249,0,69565,0
2023-07-28 09:30:00,1690516800,4941.9,4942.35,4935.0,4940.0,4937.99,1526,0,64316,0
2023-07-28 09:29:00,1690516740,4939.25,4945.0,4932.7,4941.85,4939.05,2145,0,62790,0
2023-07-28 09:28:00,1690516680,4958.05,4959.4,4937.85,4939.3,4950.83,5432,0,60645,0
2023-07-28 09:27:00,1690516620,4942.15,4955.0,4942.15,4955.0,4949.39,6301,0,55213,0
2023-07-28 09:26:00,1690516560,4928.35,4941.0,4926.65,4941.0,4932.36,1275,0,48912,0
2023-07-28 09:25:00,1690516500,4940.0,4941.45,4924.25,4928.1,4931.63,3522,0,47637,0
2023-07-28 09:24:00,1690516440,4936.5,4942.0,4936.0,4941.55,4939.29,3186,0,44115,0
2023-07-28 09:23:00,1690516380,4940.0,4947.5,4931.05,4940.0,4939.51,5283,0,40929,0
2023-07-28 09:22:00,1690516320,4924.3,4942.45,4924.3,4942.15,4935.02,4775,0,35646,0
2023-07-28 09:21:00,1690516260,4934.15,4934.15,4921.1,4921.45,4927.22,1980,0,30871,0
2023-07-28 09:20:00,1690516200,4930.65,4937.0,4917.9,4930.4,4928.39,5687,0,28891,0
2023-07-28 09:19:00,1690516140,4916.1,4930.55,4908.9,4927.2,4918.39,4978,0,23204,0
2023-07-28 09:18:00,1690516080,4912.95,4915.1,4896.1,4910.85,4905.74,6253,0,18226,0
2023-07-28 09:17:00,1690516020,4908.75,4920.0,4901.45,4910.6,4913.35,3665,0,11973,0
2023-07-28 09:16:00,1690515960,4893.0,4910.75,4887.6,4909.05,4898.32,2384,0,8308,0
2023-07-28 09:15:00,1690515900,4900.0,4912.0,4890.1,4893.3,4901.7,5401,0,5924,0
