time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,415.5,415.55,414.55,415.2,412.08,23805,0,10051799,0
2023-07-28 15:28:00,1690538280,414.75,415.7,414.65,415.1,416.31,32717,0,10027994,0
2023-07-28 15:27:00,1690538220,414.65,414.95,414.5,414.6,416.31,11816,0,9995277,0
2023-07-28 15:26:00,1690538160,414.8,414.85,414.5,414.75,409.64,14961,0,9983461,0
2023-07-28 15:25:00,1690538100,414.6,414.85,414.6,414.85,416.32,10169,0,9968500,0
2023-07-28 15:24:00,1690538040,414.85,415.0,414.5,414.75,416.32,13873,0,9958331,0
2023-07-28 15:23:00,1690537980,414.8,414.95,414.6,414.7,416.32,10273,0,9944458,0
2023-07-28 15:22:00,1690537920,415.0,415.35,414.9,414.9,416.32,12781,0,9934185,0
2023-07-28 15:21:00,1690537860,415.75,415.8,415.0,415.05,412.53,26124,0,9921404,0
2023-07-28 15:20:00,1690537800,416.35,416.45,415.4,415.65,416.33,67241,0,9895280,0
2023-07-28 15:19:00,1690537740,416.4,416.55,416.1,416.4,416.33,54328,0,9828039,0
2023-07-28 15:18:00,1690537680,416.5,416.5,416.1,416.5,416.33,34044,0,9773711,0
2023-07-28 15:17:00,1690537620,416.25,416.5,416.05,416.25,416.33,10631,0,9739667,0
2023-07-28 15:16:00,1690537560,416.8,416.8,415.8,416.1,416.33,36002,0,9729036,0
2023-07-28 15:15:00,1690537500,415.7,416.75,415.6,416.4,416.33,44902,0,9693034,0
2023-07-28 15:14:00,1690537440,415.45,415.75,415.45,415.5,416.33,14779,0,9648132,0
2023-07-28 15:13:00,1690537380,415.5,416.2,415.3,415.65,416.33,33655,0,9633353,0
2023-07-28 15:12:00,1690537320,415.85,415.9,415.4,415.6,412.13,22826,0,9599698,0
2023-07-28 15:11:00,1690537260,416.4,416.6,415.6,415.65,416.34,12668,0,9576872,0
2023-07-28 15:10:00,1690537200,416.6,416.6,416.15,416.35,416.34,13275,0,9564204,0
2023-07-28 15:09:00,1690537140,416.5,416.6,416.0,416.35,416.34,26723,0,9550929,0
2023-07-28 15:08:00,1690537080,416.25,416.6,416.2,416.35,416.34,17401,0,9524206,0
2023-07-28 15:07:00,1690537020,416.7,416.8,416.2,416.2,421.33,18994,0,9506805,0
2023-07-28 15:06:00,1690536960,416.6,416.75,416.4,416.55,416.33,5982,0,9487811,0
2023-07-28 15:05:00,1690536900,416.5,416.85,416.45,416.7,416.33,7969,0,9481829,0
2023-07-28 15:04:00,1690536840,416.5,416.8,415.7,416.6,416.33,24334,0,9473860,0
2023-07-28 15:03:00,1690536780,416.7,416.75,416.1,416.3,416.33,9349,0,9449526,0
2023-07-28 15:02:00,1690536720,416.35,416.9,416.2,416.45,416.33,9030,0,9440177,0
2023-07-28 15:01:00,1690536660,416.7,417.0,416.25,416.65,416.33,12950,0,9431147,0
2023-07-28 15:00:00,1690536600,415.5,417.0,415.5,416.85,416.33,23646,0,9418197,0
2023-07-28 14:59:00,1690536540,415.9,415.95,415.2,415.95,413.79,36972,0,9394551,0
