time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,746.45,746.5,745.0,746.4,743.55,13961,0,5374582,0,583
2023-07-27 15:27:00,1690451820,747.2,747.25,746.05,746.05,747.57,14565,0,5360621,0,583
2023-07-27 15:26:00,1690451760,747.5,747.85,746.15,747.0,747.36,13690,0,5346056,0,583
2023-07-27 15:25:00,1690451700,748.05,748.05,746.5,747.8,743.84,7171,0,5332366,0,583
2023-07-27 15:24:00,1690451640,747.2,748.2,747.15,748.0,751.28,11592,0,5325195,0,583
2023-07-27 15:23:00,1690451580,746.35,747.35,746.1,747.1,745.09,17123,0,5313603,0,583
2023-07-27 15:22:00,1690451520,746.1,746.4,746.05,746.15,751.3,3350,0,5296480,0,583
2023-07-27 15:21:00,1690451460,745.85,746.45,745.55,746.05,746.21,10385,0,5293130,0,583
2023-07-27 15:20:00,1690451400,745.65,746.0,744.25,745.25,744.18,29490,0,5282745,0,583
2023-07-27 15:19:00,1690451340,745.7,745.8,745.15,745.5,745.96,19427,0,5253255,0,583
2023-07-27 15:18:00,1690451280,746.15,746.4,744.6,745.25,746.83,22978,0,5233828,0,583
2023-07-27 15:17:00,1690451220,745.45,746.45,745.15,746.25,745.81,27873,0,5210850,0,583
2023-07-27 15:16:00,1690451160,745.2,746.0,744.4,745.9,744.96,23973,0,5182977,0,583
2023-07-27 15:15:00,1690451100,745.2,745.8,744.95,745.1,743.37,19092,0,5159004,0,583
2023-07-27 15:14:00,1690451040,745.95,746.45,745.55,745.75,746.45,20393,0,5139912,0,583
2023-07-27 15:13:00,1690450980,744.85,746.35,744.85,746.35,745.18,24188,0,5119519,0,583
2023-07-27 15:12:00,1690450920,744.5,745.25,744.15,745.05,745.8,8888,0,5095331,0,583
2023-07-27 15:11:00,1690450860,744.5,745.0,744.15,744.45,744.1,20445,0,5086443,0,583
2023-07-27 15:10:00,1690450800,745.0,745.0,743.85,744.4,746.09,27590,0,5065998,0,583
2023-07-27 15:09:00,1690450740,744.05,744.7,743.8,744.3,744.15,6755,0,5038408,0,583
2023-07-27 15:08:00,1690450680,743.15,744.7,743.15,744.25,743.18,5965,0,5031653,0,583
2023-07-27 15:07:00,1690450620,743.8,744.7,743.3,743.5,743.84,19316,0,5025688,0,583
2023-07-27 15:06:00,1690450560,743.5,743.95,743.15,743.95,744.3,13590,0,5006372,0,583
