time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,731.9,731.9,731.0,731.5,732.05,15887,0,2392956,0
2023-07-28 15:28:00,1690538280,731.6,731.85,731.15,731.85,730.56,15708,0,2377069,0
2023-07-28 15:27:00,1690538220,731.55,731.85,731.2,731.5,732.12,7918,0,2361361,0
2023-07-28 15:26:00,1690538160,732.15,732.5,731.2,731.8,732.31,8405,0,2353443,0
2023-07-28 15:25:00,1690538100,732.1,732.9,732.1,732.3,732.11,7766,0,2345038,0
2023-07-28 15:24:00,1690538040,732.6,732.6,730.7,732.25,731.54,19378,0,2337272,0
2023-07-28 15:23:00,1690537980,731.95,732.6,731.95,732.5,732.77,9698,0,2317894,0
2023-07-28 15:22:00,1690537920,731.9,732.0,731.85,732.0,731.72,6683,0,2308196,0
2023-07-28 15:21:00,1690537860,731.3,732.35,731.3,731.85,731.39,12102,0,2301513,0
2023-07-28 15:20:00,1690537800,732.55,732.6,731.3,731.35,732.52,25402,0,2289411,0
2023-07-28 15:19:00,1690537740,732.7,732.75,732.2,732.3,732.6,8584,0,2264009,0
2023-07-28 15:18:00,1690537680,732.65,733.0,732.05,732.65,731.25,11265,0,2255425,0
2023-07-28 15:17:00,1690537620,732.7,733.25,732.45,732.6,733.13,10522,0,2244160,0
2023-07-28 15:16:00,1690537560,732.9,733.35,732.55,732.8,733.51,12680,0,2233638,0
2023-07-28 15:15:00,1690537500,732.15,732.95,731.55,732.75,732.24,14547,0,2220958,0
2023-07-28 15:14:00,1690537440,732.9,732.9,731.8,732.0,731.68,6079,0,2206411,0
2023-07-28 15:13:00,1690537380,733.0,733.45,732.55,732.6,732.65,8252,0,2200332,0
2023-07-28 15:12:00,1690537320,733.7,733.7,733.15,733.2,735.32,4589,0,2192080,0
2023-07-28 15:11:00,1690537260,734.1,734.4,733.15,733.6,733.11,9888,0,2187491,0
2023-07-28 15:10:00,1690537200,733.95,734.95,733.8,733.8,734.05,16895,0,2177603,0
2023-07-28 15:09:00,1690537140,733.5,734.15,733.3,734.0,734.32,21137,0,2160708,0
2023-07-28 15:08:00,1690537080,733.5,733.5,733.05,733.2,731.12,5055,0,2139571,0
2023-07-28 15:07:00,1690537020,733.55,733.6,733.15,733.4,735.36,2728,0,2134516,0
2023-07-28 15:06:00,1690536960,733.55,733.65,733.15,733.6,735.36,3365,0,2131788,0
2023-07-28 15:05:00,1690536900,733.8,734.2,733.3,733.35,732.5,7431,0,2128423,0
2023-07-28 15:04:00,1690536840,733.7,734.0,733.15,733.9,733.71,12732,0,2120992,0
2023-07-28 15:03:00,1690536780,733.35,733.9,733.2,733.65,735.38,9064,0,2108260,0
2023-07-28 15:02:00,1690536720,733.25,733.5,732.95,733.5,730.25,4086,0,2099196,0
2023-07-28 15:01:00,1690536660,733.2,733.25,732.6,733.0,735.39,3858,0,2095110,0
2023-07-28 15:00:00,1690536600,732.5,733.55,732.4,733.25,733.34,10165,0,2091252,0
2023-07-28 14:59:00,1690536540,732.25,732.5,732.05,732.4,729.75,3678,0,2081087,0
2023-07-28 14:58:00,1690536480,732.8,732.9,732.1,732.3,735.41,2802,0,2077409,0
2023-07-28 14:57:00,1690536420,732.15,733.0,732.1,732.45,729.76,3671,0,2074607,0
2023-07-28 14:56:00,1690536360,731.9,732.85,731.9,732.6,732.38,6799,0,2070936,0
2023-07-28 14:55:00,1690536300,732.15,732.15,731.6,731.6,735.43,2763,0,2064137,0
2023-07-28 14:54:00,1690536240,731.6,732.15,731.4,732.1,728.42,2937,0,2061374,0
2023-07-28 14:53:00,1690536180,731.55,731.6,731.3,731.4,735.44,2916,0,2058437,0
2023-07-28 14:52:00,1690536120,732.15,732.15,730.9,731.6,729.14,6510,0,2055521,0
2023-07-28 14:51:00,1690536060,731.65,732.1,731.55,732.1,735.46,3472,0,2049011,0
2023-07-28 14:50:00,1690536000,732.0,732.2,731.5,731.9,725.89,2136,0,2045539,0
2023-07-28 14:49:00,1690535940,732.05,732.5,731.75,731.9,735.47,5009,0,2043403,0
2023-07-28 14:48:00,1690535880,731.0,732.9,731.0,732.15,731.33,14671,0,2038394,0
