time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,1070.05,1071.9,1068.95,1069.8,1070.46,5056,0,2437639,0,685
2023-08-03 15:27:00,1691056620,1068.85,1071.15,1067.8,1070.0,1070.46,7313,0,2432583,0,685
2023-08-03 15:26:00,1691056560,1068.75,1069.6,1067.75,1069.6,1066.97,6947,0,2425270,0,685
2023-08-03 15:25:00,1691056500,1067.35,1072.5,1067.2,1068.7,1070.47,13751,0,2418323,0,685
2023-08-03 15:24:00,1691056440,1067.6,1068.8,1066.55,1067.95,1066.37,17472,0,2404572,0,685
2023-08-03 15:23:00,1691056380,1068.45,1068.65,1066.25,1067.35,1068.0,18946,0,2387100,0,685
2023-08-03 15:22:00,1691056320,1069.4,1069.4,1067.25,1068.25,1068.33,10773,0,2368154,0,685
2023-08-03 15:21:00,1691056260,1070.3,1070.95,1068.65,1069.45,1070.53,10873,0,2357381,0,685
2023-08-03 15:20:00,1691056200,1070.75,1072.15,1070.0,1070.05,1070.53,17169,0,2346508,0,685
2023-08-03 15:19:00,1691056140,1071.2,1072.0,1069.95,1069.95,1070.53,11691,0,2329339,0,685
2023-08-03 15:18:00,1691056080,1073.55,1074.35,1071.25,1071.35,1073.17,17425,0,2317648,0,685
2023-08-03 15:17:00,1691056020,1075.1,1075.15,1073.5,1073.5,1074.21,18494,0,2300223,0,685
2023-08-03 15:16:00,1691055960,1075.05,1075.6,1074.5,1075.6,1074.7,16070,0,2281729,0,685
2023-08-03 15:15:00,1691055900,1075.0,1075.5,1073.95,1074.65,1075.59,21793,0,2265659,0,685
2023-08-03 15:14:00,1691055840,1073.0,1075.45,1072.0,1075.4,1073.21,54447,0,2243866,0,685
2023-08-03 15:13:00,1691055780,1070.35,1073.25,1070.35,1072.9,1071.91,27290,0,2189419,0,685
2023-08-03 15:12:00,1691055720,1069.55,1070.75,1069.55,1070.75,1068.26,10533,0,2162129,0,685
2023-08-03 15:11:00,1691055660,1069.0,1069.55,1068.8,1069.5,1070.32,11033,0,2151596,0,685
2023-08-03 15:10:00,1691055600,1068.25,1069.55,1067.9,1069.05,1068.42,11242,0,2140563,0,685
2023-08-03 15:09:00,1691055540,1067.0,1069.0,1067.0,1069.0,1066.28,10470,0,2129321,0,685
2023-08-03 15:08:00,1691055480,1068.75,1068.75,1067.15,1067.15,1070.35,7340,0,2118851,0,685
2023-08-03 15:07:00,1691055420,1068.45,1069.3,1068.0,1068.95,1068.38,10714,0,2111511,0,685
2023-08-03 15:06:00,1691055360,1069.1,1069.25,1068.0,1068.15,1067.53,7400,0,2100797,0,685
2023-08-03 15:05:00,1691055300,1068.1,1068.55,1067.65,1068.55,1067.19,6581,0,2093397,0,685
2023-08-03 15:04:00,1691055240,1066.8,1068.25,1066.25,1068.0,1068.65,12047,0,2086816,0,685
2023-08-03 15:03:00,1691055180,1067.2,1068.3,1066.15,1066.95,1066.32,10150,0,2074769,0,685
2023-08-03 15:02:00,1691055120,1066.0,1068.2,1066.0,1067.0,1067.47,13969,0,2064619,0,685
2023-08-03 15:01:00,1691055060,1067.35,1067.9,1066.05,1066.05,1067.48,6934,0,2050650,0,685
2023-08-03 15:00:00,1691055000,1066.25,1068.2,1066.0,1067.4,1066.92,11559,0,2043716,0,685
2023-08-03 14:59:00,1691054940,1065.5,1066.6,1064.9,1066.6,1064.54,3432,0,2032157,0,685
2023-08-03 14:58:00,1691054880,1065.9,1065.9,1064.1,1065.35,1063.72,3005,0,2028725,0,685
2023-08-03 14:57:00,1691054820,1066.7,1066.7,1065.2,1065.65,1065.67,4209,0,2025720,0,685
2023-08-03 14:56:00,1691054760,1066.7,1067.0,1066.05,1066.85,1070.49,3045,0,2021511,0,685
2023-08-03 14:55:00,1691054700,1065.9,1067.95,1065.75,1066.2,1066.09,4578,0,2018466,0,685
2023-08-03 14:54:00,1691054640,1064.6,1066.45,1064.3,1065.75,1065.04,3682,0,2013888,0,685
2023-08-03 14:53:00,1691054580,1064.75,1065.1,1063.9,1064.3,1065.96,4412,0,2010206,0,685
2023-08-03 14:52:00,1691054520,1065.75,1065.85,1063.9,1064.55,1063.9,6042,0,2005794,0,685
2023-08-03 14:51:00,1691054460,1066.0,1066.2,1066.0,1066.0,1065.21,7481,0,1999752,0,685
2023-08-03 14:50:00,1691054400,1066.05,1066.15,1066.0,1066.05,1065.19,3705,0,1992271,0,685
2023-08-03 14:49:00,1691054340,1066.5,1066.5,1066.0,1066.0,1067.03,5610,0,1988566,0,685
2023-08-03 14:48:00,1691054280,1067.5,1067.75,1066.55,1066.55,1070.58,3239,0,1982956,0,685
2023-08-03 14:47:00,1691054220,1066.8,1067.1,1065.15,1067.1,1065.76,12250,0,1979717,0,685
2023-08-03 14:46:00,1691054160,1067.85,1067.85,1066.75,1066.75,1065.26,3675,0,1967467,0,685
2023-08-03 14:45:00,1691054100,1067.15,1068.85,1067.05,1067.95,1068.23,8200,0,1963792,0,685
2023-08-03 14:44:00,1691054040,1070.8,1071.4,1067.2,1067.2,1070.03,32181,0,1955592,0,685
2023-08-03 14:43:00,1691053980,1070.0,1071.0,1068.5,1070.55,1070.13,37496,0,1923411,0,685
2023-08-03 14:42:00,1691053920,1067.5,1070.35,1067.2,1070.05,1069.03,45575,0,1885915,0,685
2023-08-03 14:41:00,1691053860,1065.5,1068.05,1065.1,1067.55,1066.94,19424,0,1840340,0,685
2023-08-03 14:40:00,1691053800,1065.05,1065.75,1065.0,1065.05,1065.69,7207,0,1820916,0,685
2023-08-03 14:39:00,1691053740,1063.55,1065.9,1063.2,1065.0,1064.68,32298,0,1813709,0,685
2023-08-03 14:38:00,1691053680,1063.4,1064.0,1061.65,1063.3,1064.03,20633,0,1781411,0,685
2023-08-03 14:37:00,1691053620,1062.05,1063.8,1062.0,1063.2,1062.04,7883,0,1760778,0,685
2023-08-03 14:36:00,1691053560,1060.25,1062.1,1060.0,1062.0,1061.24,16056,0,1752895,0,685
2023-08-03 14:35:00,1691053500,1059.8,1060.6,1059.5,1060.1,1058.47,4126,0,1736839,0,685
2023-08-03 14:34:00,1691053440,1060.15,1061.3,1059.6,1060.0,1060.38,3228,0,1732713,0,685
2023-08-03 14:33:00,1691053380,1059.3,1061.0,1058.45,1060.0,1059.81,16668,0,1729485,0,685
2023-08-03 14:32:00,1691053320,1058.15,1059.2,1057.0,1058.9,1058.31,10548,0,1712817,0,685
2023-08-03 14:31:00,1691053260,1057.35,1058.5,1056.65,1057.9,1059.61,5800,0,1702269,0,685
2023-08-03 14:30:00,1691053200,1056.4,1057.7,1056.1,1057.0,1056.05,6627,0,1696469,0,685
2023-08-03 14:29:00,1691053140,1054.8,1056.35,1054.75,1055.8,1054.0,3875,0,1689842,0,685
2023-08-03 14:28:00,1691053080,1055.3,1055.7,1054.45,1055.0,1055.24,6219,0,1685967,0,685
2023-08-03 14:27:00,1691053020,1055.45,1056.25,1054.75,1055.6,1058.84,3970,0,1679748,0,685
2023-08-03 14:26:00,1691052960,1055.6,1056.05,1054.65,1055.4,1055.32,9249,0,1675778,0,685
2023-08-03 14:25:00,1691052900,1055.95,1056.4,1054.55,1055.75,1054.63,8777,0,1666529,0,685
2023-08-03 14:24:00,1691052840,1056.05,1056.55,1055.65,1056.0,1054.36,2860,0,1657752,0,685
2023-08-03 14:23:00,1691052780,1058.05,1058.05,1056.0,1056.0,1058.57,6258,0,1654892,0,685
2023-08-03 14:22:00,1691052720,1059.1,1059.9,1057.4,1057.75,1057.32,5674,0,1648634,0,685
2023-08-03 14:21:00,1691052660,1059.2,1060.0,1058.5,1059.7,1058.63,11113,0,1642960,0,685
2023-08-03 14:20:00,1691052600,1058.5,1059.75,1058.3,1059.25,1061.05,5972,0,1631847,0,685
2023-08-03 14:19:00,1691052540,1058.1,1058.9,1057.95,1058.35,1057.11,3275,0,1625875,0,685
2023-08-03 14:18:00,1691052480,1057.2,1058.8,1056.55,1058.55,1056.53,8347,0,1622600,0,685
2023-08-03 14:17:00,1691052420,1058.1,1058.3,1057.15,1057.15,1059.05,6170,0,1614253,0,685
2023-08-03 14:16:00,1691052360,1057.65,1058.35,1056.65,1058.35,1054.82,3707,0,1608083,0,685
2023-08-03 14:15:00,1691052300,1056.25,1058.2,1055.65,1057.95,1057.19,4271,0,1604376,0,685
