time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,1172.65,1173.0,1171.75,1172.3,1172.74,18842,0,14564816,0,694
2023-07-27 15:27:00,1690451820,1171.95,1173.0,1171.75,1172.4,1174.11,15984,0,14545974,0,694
2023-07-27 15:26:00,1690451760,1171.7,1172.75,1171.6,1172.5,1170.45,26613,0,14529990,0,694
2023-07-27 15:25:00,1690451700,1171.85,1171.95,1171.15,1171.65,1175.79,13422,0,14503377,0,694
2023-07-27 15:24:00,1690451640,1171.95,1171.95,1170.6,1171.8,1170.38,53491,0,14489955,0,694
2023-07-27 15:23:00,1690451580,1171.3,1173.0,1170.7,1171.4,1170.63,25425,0,14436464,0,694
2023-07-27 15:22:00,1690451520,1171.7,1172.25,1170.4,1170.7,1172.47,19140,0,14411039,0,694
2023-07-27 15:21:00,1690451460,1170.75,1172.3,1170.55,1171.4,1172.04,20255,0,14391899,0,694
2023-07-27 15:20:00,1690451400,1172.15,1173.05,1169.95,1170.6,1171.87,123189,0,14371644,0,694
2023-07-27 15:19:00,1690451340,1172.4,1172.55,1171.5,1172.1,1172.18,38914,0,14248455,0,694
2023-07-27 15:18:00,1690451280,1172.0,1172.95,1171.3,1171.65,1172.92,104996,0,14209541,0,694
2023-07-27 15:17:00,1690451220,1171.9,1173.0,1171.5,1171.55,1171.89,39631,0,14104545,0,694
2023-07-27 15:16:00,1690451160,1172.65,1173.7,1171.45,1172.45,1171.14,44043,0,14064914,0,694
2023-07-27 15:15:00,1690451100,1173.0,1173.8,1171.55,1173.4,1173.75,62080,0,14020871,0,694
2023-07-27 15:14:00,1690451040,1171.75,1172.95,1170.15,1172.75,1171.78,78602,0,13958791,0,694
2023-07-27 15:13:00,1690450980,1171.3,1171.9,1171.0,1171.35,1171.4,20599,0,13880189,0,694
2023-07-27 15:12:00,1690450920,1171.1,1171.9,1170.7,1171.0,1168.38,37231,0,13859590,0,694
2023-07-27 15:11:00,1690450860,1170.3,1171.65,1170.05,1171.0,1170.05,25576,0,13822359,0,694
2023-07-27 15:10:00,1690450800,1170.85,1171.15,1170.0,1170.55,1173.54,30958,0,13796783,0,694
2023-07-27 15:09:00,1690450740,1170.5,1170.9,1169.65,1170.35,1164.63,15013,0,13765825,0,694
2023-07-27 15:08:00,1690450680,1169.85,1170.9,1169.5,1170.0,1170.51,23330,0,13750812,0,694
2023-07-27 15:07:00,1690450620,1170.6,1170.95,1168.7,1169.6,1168.88,32133,0,13727482,0,694
2023-07-27 15:06:00,1690450560,1169.7,1172.0,1169.05,1169.85,1172.12,36339,0,13695349,0,694
2023-07-27 15:05:00,1690450500,1170.7,1170.95,1169.5,1170.3,1170.03,25059,0,13659010,0,694
2023-07-27 15:04:00,1690450440,1169.65,1170.7,1169.5,1170.0,1173.32,15579,0,13633951,0,694
2023-07-27 15:03:00,1690450380,1170.45,1170.6,1169.3,1170.1,1164.57,17968,0,13618372,0,694
2023-07-27 15:02:00,1690450320,1169.75,1171.3,1169.0,1169.6,1173.71,29677,0,13600404,0,694
2023-07-27 15:01:00,1690450260,1170.65,1171.2,1169.05,1169.45,1164.55,23582,0,13570727,0,694
2023-07-27 15:00:00,1690450200,1167.8,1172.25,1167.7,1171.4,1171.79,37272,0,13547145,0,694
2023-07-27 14:59:00,1690450140,1167.95,1168.9,1167.7,1168.0,1169.7,26050,0,13509873,0,694
2023-07-27 14:58:00,1690450080,1168.0,1168.95,1167.7,1168.2,1164.52,24507,0,13483823,0,694
2023-07-27 14:57:00,1690450020,1169.65,1169.8,1167.7,1168.2,1170.33,23087,0,13459316,0,694
2023-07-27 14:56:00,1690449960,1168.1,1170.0,1168.1,1169.35,1177.17,21180,0,13436229,0,694
2023-07-27 14:55:00,1690449900,1169.95,1169.95,1168.25,1168.25,1164.49,22924,0,13415049,0,694
2023-07-27 14:54:00,1690449840,1170.5,1171.45,1169.05,1169.05,1164.49,21980,0,13392125,0,694
2023-07-27 14:53:00,1690449780,1172.45,1172.45,1170.55,1170.8,1171.35,19435,0,13370145,0,694
2023-07-27 14:52:00,1690449720,1171.95,1172.5,1171.55,1171.75,1172.74,16132,0,13350710,0,694
2023-07-27 14:51:00,1690449660,1172.55,1172.8,1171.5,1171.65,1175.73,23637,0,13334578,0,694
2023-07-27 14:50:00,1690449600,1170.1,1172.9,1170.1,1172.5,1172.16,51588,0,13310941,0,694
2023-07-27 14:49:00,1690449540,1170.4,1170.9,1170.0,1170.15,1164.42,13444,0,13259353,0,694
2023-07-27 14:48:00,1690449480,1169.55,1170.5,1169.25,1170.0,1169.72,24931,0,13245909,0,694
2023-07-27 14:47:00,1690449420,1168.0,1169.75,1168.0,1169.3,1172.87,15597,0,13220978,0,694
2023-07-27 14:46:00,1690449360,1167.7,1168.75,1167.7,1167.9,1164.4,12227,0,13205381,0,694
2023-07-27 14:45:00,1690449300,1168.15,1169.75,1167.7,1168.2,1168.95,28905,0,13193154,0,694
2023-07-27 14:44:00,1690449240,1168.45,1169.0,1167.1,1168.5,1170.38,21918,0,13164249,0,694
2023-07-27 14:43:00,1690449180,1167.7,1169.5,1167.7,1168.55,1164.38,17338,0,13142331,0,694
2023-07-27 14:42:00,1690449120,1167.9,1169.0,1167.0,1167.95,1169.03,28126,0,13124993,0,694
