time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,2009.5,2011.75,2003.0,2004.8,2007.64,12621,0,3720971,0,15141
2023-07-27 15:27:00,1690451820,2004.9,2011.4,2004.9,2008.75,2008.1,6121,0,3708350,0,15141
2023-07-27 15:26:00,1690451760,2002.75,2005.0,2002.5,2005.0,2005.79,11628,0,3702229,0,15141
2023-07-27 15:25:00,1690451700,2003.25,2003.65,2002.8,2003.4,2002.27,8910,0,3690601,0,15141
2023-07-27 15:24:00,1690451640,2002.0,2003.95,2002.0,2003.35,2000.85,10005,0,3681691,0,15141
2023-07-27 15:23:00,1690451580,2002.4,2002.75,2002.0,2002.5,2006.13,6738,0,3671686,0,15141
2023-07-27 15:22:00,1690451520,2005.4,2005.45,2002.3,2002.85,2004.94,4830,0,3664948,0,15141
2023-07-27 15:21:00,1690451460,2006.85,2007.1,2005.1,2005.45,2003.13,5469,0,3660118,0,15141
2023-07-27 15:20:00,1690451400,2008.8,2010.05,2003.8,2007.55,2007.95,29865,0,3654649,0,15141
2023-07-27 15:19:00,1690451340,2006.2,2009.1,2006.2,2008.85,2005.23,6942,0,3624784,0,15141
2023-07-27 15:18:00,1690451280,2000.9,2007.75,2000.9,2006.05,2005.58,15749,0,3617842,0,15141
2023-07-27 15:17:00,1690451220,1999.95,2001.4,1999.0,2000.95,2000.72,9600,0,3602093,0,15141
2023-07-27 15:16:00,1690451160,1998.7,1999.95,1995.55,1999.9,1998.69,11651,0,3592493,0,15141
2023-07-27 15:15:00,1690451100,1999.4,2000.1,1998.3,1998.75,1998.76,15301,0,3580842,0,15141
2023-07-27 15:14:00,1690451040,1997.85,2000.0,1997.85,1999.95,1998.23,12060,0,3565541,0,15141
2023-07-27 15:13:00,1690450980,1999.3,1999.9,1997.0,1997.8,1998.36,7883,0,3553481,0,15141
2023-07-27 15:12:00,1690450920,1996.85,1998.8,1995.65,1998.75,1998.8,7483,0,3545598,0,15141
2023-07-27 15:11:00,1690450860,1998.1,1998.25,1996.05,1996.25,1997.63,8496,0,3538115,0,15141
2023-07-27 15:10:00,1690450800,1999.4,2000.0,1998.1,1998.25,1998.19,7926,0,3529619,0,15141
2023-07-27 15:09:00,1690450740,1999.75,2001.0,1999.1,1999.65,1998.31,7786,0,3521693,0,15141
2023-07-27 15:08:00,1690450680,1999.6,2000.0,1999.05,1999.85,2000.11,6471,0,3513907,0,15141
2023-07-27 15:07:00,1690450620,1999.2,1999.85,1998.0,1999.45,1999.78,9957,0,3507436,0,15141
2023-07-27 15:06:00,1690450560,1999.0,1999.2,1998.0,1999.0,1997.98,11924,0,3497479,0,15141
2023-07-27 15:05:00,1690450500,1998.9,1999.6,1998.0,1998.5,1998.34,3802,0,3485555,0,15141
2023-07-27 15:04:00,1690450440,1999.95,2000.0,1998.05,1998.95,2002.33,2645,0,3481753,0,15141
2023-07-27 15:03:00,1690450380,1998.65,2000.0,1998.6,1999.1,1998.92,7121,0,3479108,0,15141
2023-07-27 15:02:00,1690450320,2000.0,2001.75,1997.0,1997.5,2000.08,15807,0,3471987,0,15141
2023-07-27 15:01:00,1690450260,1999.9,2000.0,1998.7,1999.6,2000.3,24507,0,3456180,0,15141
2023-07-27 15:00:00,1690450200,1999.75,2000.0,1999.0,1999.7,1999.03,10253,0,3431673,0,15141
2023-07-27 14:59:00,1690450140,1999.45,2000.0,1998.4,1998.75,1999.52,3245,0,3421420,0,15141
2023-07-27 14:58:00,1690450080,2000.0,2000.0,1998.25,1999.0,2000.16,12184,0,3418175,0,15141
2023-07-27 14:57:00,1690450020,1999.95,2000.0,1999.0,1999.95,1999.55,6404,0,3405991,0,15141
2023-07-27 14:56:00,1690449960,2000.9,2001.0,1998.1,1998.8,2000.48,14631,0,3399587,0,15141
2023-07-27 14:55:00,1690449900,2003.0,2003.0,1999.55,1999.95,1999.47,15880,0,3384956,0,15141
2023-07-27 14:54:00,1690449840,2001.8,2004.95,2001.5,2002.95,2004.54,14933,0,3369076,0,15141
2023-07-27 14:53:00,1690449780,2009.2,2009.3,2001.8,2002.0,2004.91,16518,0,3354143,0,15141
2023-07-27 14:52:00,1690449720,2007.25,2009.95,2007.0,2008.25,2008.28,13557,0,3337625,0,15141
2023-07-27 14:51:00,1690449660,2012.0,2012.0,2007.1,2008.0,2007.54,10487,0,3324068,0,15141
2023-07-27 14:50:00,1690449600,2010.0,2014.25,2010.0,2011.25,2013.19,9378,0,3313581,0,15141
2023-07-27 14:49:00,1690449540,2013.65,2014.5,2008.0,2009.2,2010.83,14701,0,3304203,0,15141
2023-07-27 14:48:00,1690449480,2014.85,2015.0,2013.2,2013.35,2012.6,4065,0,3289502,0,15141
2023-07-27 14:47:00,1690449420,2015.85,2016.9,2013.3,2014.65,2014.13,5084,0,3285437,0,15141
2023-07-27 14:46:00,1690449360,2017.0,2017.25,2015.65,2016.6,2017.08,4550,0,3280353,0,15141
2023-07-27 14:45:00,1690449300,2015.15,2017.75,2014.2,2017.15,2013.35,5212,0,3275803,0,15141
2023-07-27 14:44:00,1690449240,2015.65,2017.0,2013.1,2015.55,2018.31,6505,0,3270591,0,15141
2023-07-27 14:43:00,1690449180,2017.4,2019.25,2015.0,2016.95,2016.63,9140,0,3264086,0,15141
2023-07-27 14:42:00,1690449120,2012.5,2018.45,2012.5,2018.45,2014.98,13250,0,3254946,0,15141
