time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,2050.05,2052.0,2050.0,2051.85,2051.92,2394,0,1770207,0
2023-07-28 15:28:00,1690538280,2050.65,2051.35,2046.0,2050.1,2052.19,3516,0,1767813,0
2023-07-28 15:27:00,1690538220,2052.8,2052.8,2051.0,2051.95,2048.35,3133,0,1764297,0
2023-07-28 15:26:00,1690538160,2051.15,2052.9,2051.15,2052.75,2054.31,2043,0,1761164,0
2023-07-28 15:25:00,1690538100,2049.7,2051.8,2049.45,2051.2,2048.21,3152,0,1759121,0
2023-07-28 15:24:00,1690538040,2049.15,2052.0,2049.15,2049.45,2051.26,4928,0,1755969,0
2023-07-28 15:23:00,1690537980,2050.35,2050.5,2048.85,2049.3,2049.42,4221,0,1751041,0
2023-07-28 15:22:00,1690537920,2050.5,2050.7,2050.0,2050.3,2052.75,3316,0,1746820,0
2023-07-28 15:21:00,1690537860,2050.0,2050.5,2048.35,2050.3,2049.44,5564,0,1743504,0
2023-07-28 15:20:00,1690537800,2047.25,2049.9,2047.25,2048.95,2050.01,7922,0,1737940,0
2023-07-28 15:19:00,1690537740,2048.35,2049.65,2047.6,2048.8,2048.04,9221,0,1730018,0
2023-07-28 15:18:00,1690537680,2048.9,2050.0,2046.35,2048.3,2047.99,9166,0,1720797,0
2023-07-28 15:17:00,1690537620,2045.85,2048.05,2044.0,2048.05,2045.11,6104,0,1711631,0
2023-07-28 15:16:00,1690537560,2046.0,2046.1,2045.05,2045.8,2046.11,5420,0,1705527,0
2023-07-28 15:15:00,1690537500,2050.45,2050.45,2044.3,2045.6,2046.86,11591,0,1700107,0
2023-07-28 15:14:00,1690537440,2050.05,2050.45,2049.0,2050.35,2050.38,8532,0,1688516,0
2023-07-28 15:13:00,1690537380,2051.0,2051.4,2050.0,2050.0,2050.26,7308,0,1679984,0
2023-07-28 15:12:00,1690537320,2050.8,2051.95,2050.0,2050.0,2051.19,3401,0,1672676,0
2023-07-28 15:11:00,1690537260,2051.9,2052.05,2050.7,2050.7,2053.44,2940,0,1669275,0
2023-07-28 15:10:00,1690537200,2052.45,2052.5,2050.7,2050.85,2052.06,4246,0,1666335,0
2023-07-28 15:09:00,1690537140,2051.35,2052.45,2050.25,2052.05,2053.05,3976,0,1662089,0
2023-07-28 15:08:00,1690537080,2051.5,2052.15,2050.0,2051.45,2050.68,4606,0,1658113,0
2023-07-28 15:07:00,1690537020,2049.0,2051.5,2048.6,2050.85,2046.8,3139,0,1653507,0
2023-07-28 15:06:00,1690536960,2050.55,2051.45,2048.5,2048.5,2050.57,4602,0,1650368,0
2023-07-28 15:05:00,1690536900,2051.0,2051.75,2050.05,2051.0,2051.02,2222,0,1645766,0
2023-07-28 15:04:00,1690536840,2048.35,2050.2,2048.35,2049.65,2047.29,2961,0,1643544,0
2023-07-28 15:03:00,1690536780,2050.0,2052.05,2048.1,2049.8,2051.77,9417,0,1640583,0
2023-07-28 15:02:00,1690536720,2049.75,2049.9,2049.0,2049.8,2046.87,3021,0,1631166,0
2023-07-28 15:01:00,1690536660,2047.95,2049.8,2046.0,2049.6,2048.42,7877,0,1628145,0
2023-07-28 15:00:00,1690536600,2045.8,2047.95,2043.05,2047.9,2046.44,6195,0,1620268,0
2023-07-28 14:59:00,1690536540,2046.15,2047.75,2045.0,2045.0,2042.25,2568,0,1614073,0
2023-07-28 14:58:00,1690536480,2047.0,2047.7,2046.0,2047.35,2047.35,1414,0,1611505,0
2023-07-28 14:57:00,1690536420,2046.5,2047.3,2045.35,2047.3,2047.45,1399,0,1610091,0
2023-07-28 14:56:00,1690536360,2045.1,2046.8,2044.65,2046.4,2047.74,2723,0,1608692,0
2023-07-28 14:55:00,1690536300,2045.0,2047.5,2044.95,2046.85,2043.83,2028,0,1605969,0
2023-07-28 14:54:00,1690536240,2044.5,2046.0,2043.45,2046.0,2045.2,3446,0,1603941,0
2023-07-28 14:53:00,1690536180,2044.6,2044.6,2043.0,2043.65,2042.39,2459,0,1600495,0
2023-07-28 14:52:00,1690536120,2042.0,2044.9,2041.1,2044.55,2042.46,2428,0,1598036,0
2023-07-28 14:51:00,1690536060,2041.4,2042.0,2041.1,2041.1,2047.13,1416,0,1595608,0
2023-07-28 14:50:00,1690536000,2040.85,2042.05,2040.85,2042.0,2044.49,1846,0,1594192,0
2023-07-28 14:49:00,1690535940,2043.75,2043.75,2041.05,2042.25,2042.02,2580,0,1592346,0
2023-07-28 14:48:00,1690535880,2043.45,2044.0,2042.0,2042.35,2042.0,2577,0,1589766,0
2023-07-28 14:47:00,1690535820,2040.5,2043.4,2040.45,2043.25,2043.92,1961,0,1587189,0
2023-07-28 14:46:00,1690535760,2039.0,2040.45,2039.0,2039.15,2035.83,1443,0,1585228,0
2023-07-28 14:45:00,1690535700,2040.0,2040.6,2038.7,2040.5,2035.83,1370,0,1583785,0
2023-07-28 14:44:00,1690535640,2038.95,2040.5,2037.8,2039.4,2048.29,1268,0,1582415,0
2023-07-28 14:43:00,1690535580,2037.1,2039.0,2037.1,2037.8,2035.82,1588,0,1581147,0
2023-07-28 14:42:00,1690535520,2038.05,2039.2,2037.0,2038.25,2035.82,2276,0,1579559,0
2023-07-28 14:41:00,1690535460,2037.35,2039.7,2037.35,2038.0,2035.82,1138,0,1577283,0
2023-07-28 14:40:00,1690535400,2039.2,2039.2,2037.15,2038.0,2039.69,4052,0,1576145,0
2023-07-28 14:39:00,1690535340,2040.0,2040.1,2038.3,2038.3,2035.81,1573,0,1572093,0
2023-07-28 14:38:00,1690535280,2038.0,2039.0,2037.0,2039.0,2048.52,1234,0,1570520,0
2023-07-28 14:37:00,1690535220,2037.4,2038.55,2036.85,2036.85,2035.8,1447,0,1569286,0
2023-07-28 14:36:00,1690535160,2038.35,2038.55,2037.25,2038.5,2035.8,1396,0,1567839,0
2023-07-28 14:35:00,1690535100,2038.25,2039.45,2037.85,2038.3,2035.8,1525,0,1566443,0
2023-07-28 14:34:00,1690535040,2039.5,2039.55,2038.2,2039.4,2035.8,1185,0,1564918,0
2023-07-28 14:33:00,1690534980,2040.65,2040.7,2038.0,2038.8,2041.17,2902,0,1563733,0
2023-07-28 14:32:00,1690534920,2040.45,2040.95,2039.15,2040.15,2043.67,1977,0,1560831,0
2023-07-28 14:31:00,1690534860,2039.0,2040.0,2038.35,2040.0,2035.78,2655,0,1558854,0
2023-07-28 14:30:00,1690534800,2038.35,2038.95,2037.1,2038.95,2047.63,1312,0,1556199,0
2023-07-28 14:29:00,1690534740,2037.15,2038.55,2037.15,2038.4,2035.77,1056,0,1554887,0
2023-07-28 14:28:00,1690534680,2037.0,2038.45,2035.6,2038.4,2035.77,3616,0,1553831,0
2023-07-28 14:27:00,1690534620,2037.9,2039.15,2037.9,2038.0,2035.77,2002,0,1550215,0
2023-07-28 14:26:00,1690534560,2039.35,2039.9,2037.85,2038.35,2041.25,5627,0,1548213,0
2023-07-28 14:25:00,1690534500,2041.4,2041.55,2040.45,2040.45,2035.75,1708,0,1542586,0
2023-07-28 14:24:00,1690534440,2041.55,2042.45,2040.9,2041.15,2041.64,2609,0,1540878,0
2023-07-28 14:23:00,1690534380,2042.25,2042.25,2040.9,2041.1,2044.93,1672,0,1538269,0
2023-07-28 14:22:00,1690534320,2042.55,2044.0,2041.35,2041.35,2035.73,1369,0,1536597,0
2023-07-28 14:21:00,1690534260,2041.7,2042.95,2040.45,2042.75,2043.92,3736,0,1535228,0
2023-07-28 14:20:00,1690534200,2040.8,2041.8,2040.45,2040.95,2040.72,3050,0,1531492,0
2023-07-28 14:19:00,1690534140,2042.0,2043.3,2040.7,2040.7,2041.8,2501,0,1528442,0
2023-07-28 14:18:00,1690534080,2044.55,2046.5,2041.9,2041.9,2046.02,2946,0,1525941,0
2023-07-28 14:17:00,1690534020,2044.0,2045.5,2043.25,2044.6,2044.0,1826,0,1522995,0
2023-07-28 14:16:00,1690533960,2045.85,2047.8,2044.45,2045.55,2045.02,3243,0,1521169,0
2023-07-28 14:15:00,1690533900,2042.0,2045.45,2041.65,2045.45,2045.09,3205,0,1517926,0
2023-07-28 14:14:00,1690533840,2044.6,2045.4,2041.3,2041.5,2041.88,4823,0,1514721,0
2023-07-28 14:13:00,1690533780,2046.45,2046.45,2042.25,2045.1,2045.27,10843,0,1509898,0
2023-07-28 14:12:00,1690533720,2050.05,2050.7,2046.05,2046.5,2048.29,9338,0,1499055,0
2023-07-28 14:11:00,1690533660,2050.0,2050.1,2048.4,2049.95,2051.15,3785,0,1489717,0
2023-07-28 14:10:00,1690533600,2049.0,2050.65,2048.75,2048.95,2049.92,4083,0,1485932,0
2023-07-28 14:09:00,1690533540,2050.4,2050.6,2048.95,2050.15,2046.95,3828,0,1481849,0
2023-07-28 14:08:00,1690533480,2049.35,2050.35,2048.0,2050.0,2051.12,8380,0,1478021,0
2023-07-28 14:07:00,1690533420,2048.35,2050.55,2048.35,2049.05,2046.56,3887,0,1469641,0
2023-07-28 14:06:00,1690533360,2050.1,2050.5,2048.45,2050.15,2050.79,4690,0,1465754,0
2023-07-28 14:05:00,1690533300,2050.05,2050.5,2048.35,2048.35,2049.0,7353,0,1461064,0
2023-07-28 14:04:00,1690533240,2048.6,2050.05,2048.2,2048.6,2050.46,7532,0,1453711,0
2023-07-28 14:03:00,1690533180,2048.4,2050.5,2047.7,2050.0,2049.04,13285,0,1446179,0
2023-07-28 14:02:00,1690533120,2048.55,2050.5,2048.05,2050.05,2049.41,13683,0,1432894,0
2023-07-28 14:01:00,1690533060,2046.6,2050.5,2046.6,2050.0,2049.3,26786,0,1419211,0
2023-07-28 14:00:00,1690533000,2041.8,2045.95,2041.7,2045.95,2044.0,8704,0,1392425,0
2023-07-28 13:59:00,1690532940,2040.4,2042.95,2040.35,2042.95,2042.55,1696,0,1383721,0
2023-07-28 13:58:00,1690532880,2041.1,2041.7,2040.0,2041.7,2041.83,1857,0,1382025,0
2023-07-28 13:57:00,1690532820,2041.25,2042.55,2040.3,2041.2,2034.39,1263,0,1380168,0
2023-07-28 13:56:00,1690532760,2043.0,2043.0,2040.05,2040.3,2042.46,1705,0,1378905,0
2023-07-28 13:55:00,1690532700,2040.1,2043.0,2040.0,2042.95,2040.73,4323,0,1377200,0
2023-07-28 13:54:00,1690532640,2040.8,2041.0,2040.0,2041.0,2045.25,1259,0,1372877,0
2023-07-28 13:53:00,1690532580,2042.7,2042.7,2040.2,2041.6,2041.51,1912,0,1371618,0
2023-07-28 13:52:00,1690532520,2040.5,2044.35,2040.3,2042.5,2041.33,5848,0,1369706,0
2023-07-28 13:51:00,1690532460,2040.5,2040.5,2039.6,2040.4,2049.4,903,0,1363858,0
2023-07-28 13:50:00,1690532400,2039.9,2040.45,2038.8,2039.45,2034.3,1864,0,1362955,0
2023-07-28 13:49:00,1690532340,2041.0,2041.0,2039.0,2039.35,2041.15,3957,0,1361091,0
2023-07-28 13:48:00,1690532280,2038.5,2041.0,2038.3,2039.45,2039.33,5350,0,1357134,0
2023-07-28 13:47:00,1690532220,2040.05,2040.4,2035.1,2040.4,2037.79,7601,0,1351784,0
2023-07-28 13:46:00,1690532160,2042.2,2042.25,2040.0,2040.0,2040.88,4035,0,1344183,0
2023-07-28 13:45:00,1690532100,2040.1,2042.2,2039.45,2040.75,2040.47,4268,0,1340148,0
2023-07-28 13:44:00,1690532040,2040.1,2040.5,2039.85,2040.05,2039.07,5458,0,1335880,0
2023-07-28 13:43:00,1690531980,2040.15,2040.95,2038.9,2040.0,2041.02,7726,0,1330422,0
2023-07-28 13:42:00,1690531920,2031.4,2041.85,2031.4,2040.1,2037.19,17077,0,1322696,0
2023-07-28 13:41:00,1690531860,2031.0,2031.5,2030.0,2031.35,2034.1,1308,0,1305619,0
2023-07-28 13:40:00,1690531800,2031.0,2031.55,2030.0,2030.0,2034.1,1058,0,1304311,0
2023-07-28 13:39:00,1690531740,2031.0,2031.1,2029.8,2030.35,2034.1,1108,0,1303253,0
2023-07-28 13:38:00,1690531680,2030.75,2030.95,2029.5,2030.9,2022.36,1109,0,1302145,0
2023-07-28 13:37:00,1690531620,2030.5,2030.75,2029.35,2030.0,2034.11,1231,0,1301036,0
2023-07-28 13:36:00,1690531560,2030.45,2030.45,2029.35,2030.0,2023.12,1182,0,1299805,0
2023-07-28 13:35:00,1690531500,2031.75,2032.0,2029.0,2029.65,2034.12,2155,0,1298623,0
2023-07-28 13:34:00,1690531440,2030.1,2030.55,2028.45,2030.55,2030.46,3539,0,1296468,0
2023-07-28 13:33:00,1690531380,2026.4,2030.0,2026.4,2030.0,2026.94,1797,0,1292929,0
