time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,1030.8,1031.0,1030.5,1030.6,1031.64,6464,0,1359565,0,739
2023-07-31 15:27:00,1690797420,1030.5,1030.85,1030.4,1030.85,1029.4,6487,0,1353101,0,739
2023-07-31 15:26:00,1690797360,1030.0,1031.0,1030.0,1030.4,1030.99,4470,0,1346614,0,739
2023-07-31 15:25:00,1690797300,1028.45,1030.05,1028.45,1030.05,1029.35,12767,0,1342144,0,739
2023-07-31 15:24:00,1690797240,1027.4,1028.8,1026.95,1028.8,1027.3,17059,0,1329377,0,739
2023-07-31 15:23:00,1690797180,1027.45,1028.0,1027.1,1027.15,1027.34,9073,0,1312318,0,739
2023-07-31 15:22:00,1690797120,1028.15,1028.15,1027.2,1027.2,1029.17,3710,0,1303245,0,739
2023-07-31 15:21:00,1690797060,1027.65,1028.2,1027.0,1028.1,1026.74,4792,0,1299535,0,739
2023-07-31 15:20:00,1690797000,1028.9,1028.95,1026.05,1027.6,1027.57,12875,0,1294743,0,739
2023-07-31 15:19:00,1690796940,1028.65,1029.35,1028.6,1028.6,1030.37,4309,0,1281868,0,739
2023-07-31 15:18:00,1690796880,1028.7,1030.75,1028.25,1028.8,1029.39,11597,0,1277559,0,739
2023-07-31 15:17:00,1690796820,1029.0,1029.1,1028.45,1028.55,1028.65,3686,0,1265962,0,739
2023-07-31 15:16:00,1690796760,1029.25,1030.4,1028.45,1028.95,1029.87,9780,0,1262276,0,739
2023-07-31 15:15:00,1690796700,1027.8,1029.45,1027.8,1029.3,1027.83,7797,0,1252496,0,739
2023-07-31 15:14:00,1690796640,1030.0,1030.0,1027.9,1027.9,1028.47,13184,0,1244699,0,739
2023-07-31 15:13:00,1690796580,1031.2,1031.65,1030.2,1030.9,1031.68,4514,0,1231515,0,739
2023-07-31 15:12:00,1690796520,1030.4,1031.4,1030.05,1031.05,1029.34,6477,0,1227001,0,739
2023-07-31 15:11:00,1690796460,1029.5,1030.45,1029.4,1030.05,1031.55,4480,0,1220524,0,739
2023-07-31 15:10:00,1690796400,1029.3,1029.7,1029.25,1029.45,1026.99,2678,0,1216044,0,739
2023-07-31 15:09:00,1690796340,1028.95,1029.85,1028.5,1029.4,1029.54,4156,0,1213366,0,739
2023-07-31 15:08:00,1690796280,1030.85,1030.85,1028.5,1028.5,1030.25,8723,0,1209210,0,739
2023-07-31 15:07:00,1690796220,1029.45,1031.0,1029.1,1030.45,1028.52,4451,0,1200487,0,739
2023-07-31 15:06:00,1690796160,1030.95,1031.2,1029.2,1029.25,1030.84,3639,0,1196036,0,739
