time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,1901.0,1901.0,1893.25,1899.4,1899.99,2464,0,867347,0,1901
2023-08-02 15:27:00,1690970220,1900.9,1901.0,1900.9,1900.95,1900.44,2302,0,864883,0,1901
2023-08-02 15:26:00,1690970160,1900.35,1901.0,1900.25,1901.0,1899.83,3731,0,862581,0,1901
2023-08-02 15:25:00,1690970100,1901.0,1901.0,1900.0,1900.0,1900.74,3272,0,858850,0,1901
2023-08-02 15:24:00,1690970040,1900.95,1901.0,1900.95,1900.95,1901.73,2887,0,855578,0,1901
2023-08-02 15:23:00,1690969980,1900.95,1901.0,1900.95,1901.0,1903.02,1671,0,852691,0,1901
2023-08-02 15:22:00,1690969920,1900.05,1900.95,1899.95,1900.75,1898.69,1446,0,851020,0,1901
2023-08-02 15:21:00,1690969860,1901.0,1901.0,1900.0,1900.0,1901.26,4002,0,849574,0,1901
2023-08-02 15:20:00,1690969800,1900.85,1901.0,1900.0,1900.15,1900.33,4447,0,845572,0,1901
2023-08-02 15:19:00,1690969740,1900.5,1901.0,1900.5,1900.8,1901.07,3013,0,841125,0,1901
2023-08-02 15:18:00,1690969680,1899.35,1900.5,1899.3,1900.45,1899.26,2545,0,838112,0,1901
2023-08-02 15:17:00,1690969620,1900.05,1900.65,1897.75,1899.55,1898.55,5655,0,835567,0,1901
2023-08-02 15:16:00,1690969560,1900.1,1900.15,1899.9,1900.0,1900.84,4028,0,829912,0,1901
2023-08-02 15:15:00,1690969500,1899.8,1900.45,1899.75,1900.05,1901.43,2795,0,825884,0,1901
2023-08-02 15:14:00,1690969440,1900.5,1900.5,1898.9,1899.75,1899.49,3552,0,823089,0,1901
2023-08-02 15:13:00,1690969380,1899.95,1900.4,1899.65,1900.25,1900.17,4271,0,819537,0,1901
2023-08-02 15:12:00,1690969320,1898.3,1900.0,1898.1,1900.0,1897.27,1705,0,815266,0,1901
2023-08-02 15:11:00,1690969260,1900.45,1900.45,1897.1,1899.0,1898.42,17428,0,813561,0,1901
