time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,569.85,570.0,569.4,569.7,569.85,180947,0,7435546,0,772
2023-08-04 15:27:00,1691143020,569.65,569.85,569.6,569.8,567.31,15880,0,7254599,0,772
2023-08-04 15:26:00,1691142960,569.85,569.9,569.4,569.6,571.06,13427,0,7238719,0,772
2023-08-04 15:25:00,1691142900,569.7,569.85,569.7,569.8,571.01,13240,0,7225292,0,772
2023-08-04 15:24:00,1691142840,569.6,569.75,569.5,569.75,568.84,18867,0,7212052,0,772
2023-08-04 15:23:00,1691142780,569.25,569.7,569.25,569.65,570.8,12628,0,7193185,0,772
2023-08-04 15:22:00,1691142720,569.15,569.35,569.15,569.3,570.79,12566,0,7180557,0,772
2023-08-04 15:21:00,1691142660,569.05,569.35,569.0,569.25,566.69,14577,0,7167991,0,772
2023-08-04 15:20:00,1691142600,569.5,569.5,569.05,569.45,570.16,33563,0,7153414,0,772
2023-08-04 15:19:00,1691142540,569.05,569.5,569.05,569.3,565.89,13322,0,7119851,0,772
2023-08-04 15:18:00,1691142480,569.9,570.0,569.0,569.3,570.84,36979,0,7106529,0,772
2023-08-04 15:17:00,1691142420,569.75,570.0,569.6,569.85,564.58,11736,0,7069550,0,772
2023-08-04 15:16:00,1691142360,569.9,569.9,569.45,569.8,570.87,24427,0,7057814,0,772
2023-08-04 15:15:00,1691142300,569.5,569.9,569.3,569.85,567.99,16218,0,7033387,0,772
2023-08-04 15:14:00,1691142240,569.65,569.9,569.2,569.75,571.08,37470,0,7017169,0,772
2023-08-04 15:13:00,1691142180,569.65,569.7,568.85,569.5,566.51,20499,0,6979699,0,772
2023-08-04 15:12:00,1691142120,570.0,570.0,569.6,569.6,570.99,24176,0,6959200,0,772
2023-08-04 15:11:00,1691142060,569.95,570.0,569.85,569.95,572.06,14762,0,6935024,0,772
2023-08-04 15:10:00,1691142000,570.05,570.4,569.85,569.9,569.61,28918,0,6920262,0,772
2023-08-04 15:09:00,1691141940,570.1,570.15,569.8,569.85,569.54,18972,0,6891344,0,772
2023-08-04 15:08:00,1691141880,570.25,570.3,570.0,570.05,570.08,20368,0,6872372,0,772
2023-08-04 15:07:00,1691141820,570.0,570.2,569.95,570.2,571.18,12125,0,6852004,0,772
2023-08-04 15:06:00,1691141760,569.95,570.05,569.95,569.95,565.73,12292,0,6839879,0,772
2023-08-04 15:05:00,1691141700,570.15,570.15,569.95,570.0,572.82,16882,0,6827587,0,772
2023-08-04 15:04:00,1691141640,570.1,570.3,570.0,570.1,568.61,24655,0,6810705,0,772
2023-08-04 15:03:00,1691141580,569.95,570.2,569.9,570.0,569.5,27407,0,6786050,0,772
2023-08-04 15:02:00,1691141520,570.0,570.05,569.8,570.0,576.93,7615,0,6758643,0,772
2023-08-04 15:01:00,1691141460,570.3,570.3,569.8,569.95,567.98,15056,0,6751028,0,772
2023-08-04 15:00:00,1691141400,570.1,570.2,569.9,570.0,572.47,15005,0,6735972,0,772
2023-08-04 14:59:00,1691141340,570.0,570.1,569.8,570.0,566.27,12560,0,6720967,0,772
2023-08-04 14:58:00,1691141280,570.35,570.45,569.9,569.9,569.56,27040,0,6708407,0,772
2023-08-04 14:57:00,1691141220,570.05,570.4,570.0,570.15,577.01,5333,0,6681367,0,772
2023-08-04 14:56:00,1691141160,570.15,570.15,569.8,570.0,568.07,7460,0,6676034,0,772
2023-08-04 14:55:00,1691141100,570.0,570.5,570.0,570.05,570.51,20434,0,6668574,0,772
2023-08-04 14:54:00,1691141040,570.0,570.35,569.9,569.95,570.76,10570,0,6648140,0,772
2023-08-04 14:53:00,1691140980,569.9,570.1,569.85,570.05,570.66,20720,0,6637570,0,772
2023-08-04 14:52:00,1691140920,570.15,570.15,569.9,570.0,567.59,13935,0,6616850,0,772
2023-08-04 14:51:00,1691140860,569.95,570.15,569.9,570.0,572.48,14313,0,6602915,0,772
2023-08-04 14:50:00,1691140800,569.95,570.2,569.85,569.9,543.88,1983,0,6588602,0,772
2023-08-04 14:49:00,1691140740,570.0,570.15,569.85,569.85,577.11,6340,0,6586619,0,772
2023-08-04 14:48:00,1691140680,570.15,570.3,569.85,570.15,559.36,3706,0,6580279,0,772
2023-08-04 14:47:00,1691140620,570.5,570.5,569.7,570.25,571.77,24497,0,6576573,0,772
2023-08-04 14:46:00,1691140560,570.1,570.5,570.05,570.25,577.14,2265,0,6552076,0,772
