time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,573.45,574.0,572.25,573.0,572.92,19933,0,2004796,0
2023-07-27 15:28:00,1690451880,573.85,574.0,573.4,573.5,573.83,35276,0,1984863,0
2023-07-27 15:27:00,1690451820,573.7,574.45,573.6,574.0,573.79,16576,0,1949587,0
2023-07-27 15:26:00,1690451760,573.75,574.5,573.65,573.65,574.07,21328,0,1933011,0
2023-07-27 15:25:00,1690451700,573.75,574.5,573.7,573.7,574.98,7390,0,1911683,0
2023-07-27 15:24:00,1690451640,573.85,574.5,573.55,574.1,573.22,10795,0,1904293,0
2023-07-27 15:23:00,1690451580,573.6,574.15,573.6,573.9,572.82,8713,0,1893498,0
2023-07-27 15:22:00,1690451520,573.9,574.5,573.6,573.8,574.09,20514,0,1884785,0
2023-07-27 15:21:00,1690451460,573.75,574.5,573.65,573.95,574.17,22049,0,1864271,0
2023-07-27 15:20:00,1690451400,574.05,574.2,573.6,573.65,573.66,26804,0,1842222,0
2023-07-27 15:19:00,1690451340,573.45,574.1,573.35,574.0,573.71,13579,0,1815418,0
2023-07-27 15:18:00,1690451280,573.85,574.0,573.15,573.5,573.79,14300,0,1801839,0
2023-07-27 15:17:00,1690451220,573.6,574.0,573.5,573.65,575.06,5533,0,1787539,0
2023-07-27 15:16:00,1690451160,573.65,574.25,573.6,573.65,573.5,11355,0,1782006,0
2023-07-27 15:15:00,1690451100,574.5,574.5,573.65,573.7,573.76,26785,0,1770651,0
2023-07-27 15:14:00,1690451040,574.25,574.7,573.95,574.0,575.09,11026,0,1743866,0
2023-07-27 15:13:00,1690450980,574.25,574.55,574.1,574.3,573.31,9695,0,1732840,0
2023-07-27 15:12:00,1690450920,574.15,574.5,574.15,574.3,575.1,8782,0,1723145,0
2023-07-27 15:11:00,1690450860,574.0,574.25,573.95,574.05,572.21,5918,0,1714363,0
2023-07-27 15:10:00,1690450800,574.0,574.25,573.95,573.95,575.11,11004,0,1708445,0
2023-07-27 15:09:00,1690450740,573.95,574.25,573.95,573.95,574.01,15411,0,1697441,0
2023-07-27 15:08:00,1690450680,574.0,574.0,573.9,573.9,571.66,4857,0,1682030,0
2023-07-27 15:07:00,1690450620,573.95,574.1,573.95,573.95,575.13,12450,0,1677173,0
2023-07-27 15:06:00,1690450560,573.95,574.05,573.95,574.0,572.71,6864,0,1664723,0
2023-07-27 15:05:00,1690450500,573.95,574.0,573.85,574.0,575.14,7977,0,1657859,0
2023-07-27 15:04:00,1690450440,574.0,574.15,573.9,574.0,573.34,9121,0,1649882,0
2023-07-27 15:03:00,1690450380,573.7,574.0,573.55,573.95,572.83,7063,0,1640761,0
2023-07-27 15:02:00,1690450320,573.35,573.65,573.25,573.65,572.93,7298,0,1633698,0
2023-07-27 15:01:00,1690450260,572.3,573.35,572.05,573.3,575.17,6277,0,1626400,0
2023-07-27 15:00:00,1690450200,572.9,573.3,572.0,572.25,572.47,17862,0,1620123,0
2023-07-27 14:59:00,1690450140,572.55,573.15,572.5,573.0,568.32,2328,0,1602261,0
2023-07-27 14:58:00,1690450080,572.75,573.3,572.45,572.5,575.21,4588,0,1599933,0
2023-07-27 14:57:00,1690450020,572.8,572.9,572.55,572.9,560.8,1107,0,1595345,0
2023-07-27 14:56:00,1690449960,572.85,572.9,572.4,572.65,575.22,1122,0,1594238,0
2023-07-27 14:55:00,1690449900,572.7,572.8,572.35,572.75,575.22,1571,0,1593116,0
2023-07-27 14:54:00,1690449840,572.55,572.75,572.4,572.55,575.22,688,0,1591545,0
2023-07-27 14:53:00,1690449780,572.35,572.75,572.35,572.6,575.22,1183,0,1590857,0
2023-07-27 14:52:00,1690449720,572.45,572.5,572.3,572.5,562.56,1255,0,1589674,0
2023-07-27 14:51:00,1690449660,573.05,573.45,572.8,572.8,575.23,4649,0,1588419,0
2023-07-27 14:50:00,1690449600,572.8,573.1,572.8,573.1,575.23,676,0,1583770,0
2023-07-27 14:49:00,1690449540,572.65,573.1,572.65,572.9,575.23,1352,0,1583094,0
2023-07-27 14:48:00,1690449480,572.9,573.65,572.85,573.25,572.05,4971,0,1581742,0
2023-07-27 14:47:00,1690449420,572.4,573.0,572.4,573.0,575.24,1099,0,1576771,0
2023-07-27 14:46:00,1690449360,572.2,572.65,572.0,572.35,568.51,2339,0,1575672,0
2023-07-27 14:45:00,1690449300,572.25,572.55,572.0,572.15,573.05,7124,0,1573333,0
2023-07-27 14:44:00,1690449240,572.6,572.6,572.25,572.45,575.26,69,0,1566209,0
2023-07-27 14:43:00,1690449180,572.1,573.1,572.1,572.7,572.21,5133,0,1566140,0
2023-07-27 14:42:00,1690449120,572.75,573.0,572.0,572.55,573.12,14397,0,1561007,0
2023-07-27 14:41:00,1690449060,572.9,573.05,572.8,572.85,567.24,1921,0,1546610,0
2023-07-27 14:40:00,1690449000,572.85,572.95,572.8,572.85,575.3,1265,0,1544689,0
2023-07-27 14:39:00,1690448940,572.85,573.0,572.85,572.9,575.3,4003,0,1543424,0
2023-07-27 14:38:00,1690448880,573.0,573.8,572.85,572.9,572.79,24167,0,1539421,0
2023-07-27 14:37:00,1690448820,573.75,573.75,572.9,573.05,573.81,9895,0,1515254,0
2023-07-27 14:36:00,1690448760,573.7,573.9,573.6,573.6,569.0,2367,0,1505359,0
2023-07-27 14:35:00,1690448700,573.9,574.1,573.8,573.8,575.36,1494,0,1502992,0
2023-07-27 14:34:00,1690448640,574.35,574.4,573.85,574.25,575.36,1258,0,1501498,0
2023-07-27 14:33:00,1690448580,574.8,574.8,573.95,574.4,575.36,2764,0,1500240,0
2023-07-27 14:32:00,1690448520,574.85,574.95,574.5,574.75,575.36,2037,0,1497476,0
2023-07-27 14:31:00,1690448460,574.9,574.95,574.05,574.55,573.59,8413,0,1495439,0
2023-07-27 14:30:00,1690448400,574.75,574.85,574.3,574.85,575.37,2717,0,1487026,0
2023-07-27 14:29:00,1690448340,574.4,574.85,574.4,574.8,575.37,2677,0,1484309,0
2023-07-27 14:28:00,1690448280,574.4,575.05,574.4,574.7,575.37,2407,0,1481632,0
2023-07-27 14:27:00,1690448220,574.85,574.9,574.5,574.6,575.37,1921,0,1479225,0
2023-07-27 14:26:00,1690448160,574.6,574.85,574.5,574.5,575.37,281,0,1477304,0
2023-07-27 14:25:00,1690448100,575.0,575.1,574.7,574.7,575.37,2627,0,1477023,0
2023-07-27 14:24:00,1690448040,575.1,575.1,574.8,575.05,575.37,104,0,1474396,0
2023-07-27 14:23:00,1690447980,575.15,575.35,574.75,574.9,575.37,14303,0,1474292,0
2023-07-27 14:22:00,1690447920,575.1,575.3,575.0,575.0,575.37,266,0,1459989,0
2023-07-27 14:21:00,1690447860,575.45,575.45,575.35,575.45,575.37,224,0,1459723,0
2023-07-27 14:20:00,1690447800,575.25,575.4,575.2,575.4,575.37,305,0,1459499,0
2023-07-27 14:19:00,1690447740,575.15,575.2,575.0,575.2,575.37,591,0,1459194,0
2023-07-27 14:18:00,1690447680,574.85,575.2,574.85,575.2,560.43,976,0,1458603,0
2023-07-27 14:17:00,1690447620,574.95,575.2,574.95,575.2,575.38,33,0,1457627,0
2023-07-27 14:16:00,1690447560,574.85,575.05,574.8,575.05,575.38,162,0,1457594,0
2023-07-27 14:15:00,1690447500,574.95,575.0,574.7,575.0,575.38,393,0,1457432,0
2023-07-27 14:14:00,1690447440,574.7,574.9,574.55,574.65,575.38,641,0,1457039,0
2023-07-27 14:13:00,1690447380,574.8,574.9,574.65,574.65,575.38,188,0,1456398,0
2023-07-27 14:12:00,1690447320,575.05,575.05,574.6,574.7,575.38,1696,0,1456210,0
2023-07-27 14:11:00,1690447260,575.0,575.0,574.7,575.0,575.38,1254,0,1454514,0
2023-07-27 14:10:00,1690447200,574.6,574.9,574.5,574.9,575.38,299,0,1453260,0
2023-07-27 14:09:00,1690447140,574.35,574.65,574.25,574.65,575.38,229,0,1452961,0
2023-07-27 14:08:00,1690447080,574.25,574.7,574.25,574.65,575.38,893,0,1452732,0
2023-07-27 14:07:00,1690447020,574.15,574.6,574.15,574.2,575.38,1216,0,1451839,0
2023-07-27 14:06:00,1690446960,574.25,574.55,574.2,574.2,575.38,1131,0,1450623,0
2023-07-27 14:05:00,1690446900,574.25,574.25,574.2,574.2,575.38,121,0,1449492,0
2023-07-27 14:04:00,1690446840,574.15,574.45,574.15,574.2,575.38,1533,0,1449371,0
2023-07-27 14:03:00,1690446780,574.7,574.9,574.25,574.25,575.38,2367,0,1447838,0
2023-07-27 14:02:00,1690446720,574.55,574.6,574.5,574.55,575.38,1721,0,1445471,0
2023-07-27 14:01:00,1690446660,574.75,574.95,574.6,574.6,575.38,3184,0,1443750,0
2023-07-27 14:00:00,1690446600,575.0,575.15,574.65,574.65,571.91,4151,0,1440566,0
2023-07-27 13:59:00,1690446540,575.4,575.4,575.0,575.2,575.39,796,0,1436415,0
2023-07-27 13:58:00,1690446480,575.35,575.85,575.35,575.35,575.39,10798,0,1435619,0
2023-07-27 13:57:00,1690446420,574.85,575.5,574.8,575.15,575.39,8381,0,1424821,0
2023-07-27 13:56:00,1690446360,574.95,575.2,574.85,575.0,575.09,89649,0,1416440,0
2023-07-27 13:55:00,1690446300,575.05,575.45,574.95,575.05,575.41,1918,0,1326791,0
2023-07-27 13:54:00,1690446240,575.4,575.4,575.0,575.0,575.41,2297,0,1324873,0
2023-07-27 13:53:00,1690446180,575.55,575.55,575.35,575.35,575.41,666,0,1322576,0
2023-07-27 13:52:00,1690446120,575.6,575.6,575.4,575.4,575.41,833,0,1321910,0
2023-07-27 13:51:00,1690446060,575.35,575.55,575.35,575.55,575.41,26,0,1321077,0
2023-07-27 13:50:00,1690446000,575.35,575.65,575.35,575.55,575.41,1238,0,1321051,0
2023-07-27 13:49:00,1690445940,575.35,575.4,575.35,575.4,575.41,28,0,1319813,0
2023-07-27 13:48:00,1690445880,575.8,575.85,575.4,575.4,575.41,2768,0,1319785,0
2023-07-27 13:47:00,1690445820,575.8,575.8,575.6,575.6,575.41,4321,0,1317017,0
2023-07-27 13:46:00,1690445760,575.45,575.6,575.15,575.55,575.41,1050,0,1312696,0
2023-07-27 13:45:00,1690445700,575.3,575.5,575.15,575.25,575.41,2334,0,1311646,0
2023-07-27 13:44:00,1690445640,575.3,575.5,575.3,575.5,575.41,1045,0,1309312,0
2023-07-27 13:43:00,1690445580,575.2,575.5,575.2,575.35,575.41,257,0,1308267,0
2023-07-27 13:42:00,1690445520,575.25,575.65,575.15,575.15,575.04,34664,0,1308010,0
