time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,2040.45,2040.65,2036.6,2039.5,2038.22,2551,0,479034,0,19943
2023-08-07 15:27:00,1691402220,2040.1,2041.8,2040.0,2040.55,2042.56,890,0,476483,0,19943
2023-08-07 15:26:00,1691402160,2041.6,2043.65,2040.05,2041.0,2038.48,963,0,475593,0,19943
2023-08-07 15:25:00,1691402100,2045.45,2045.45,2040.3,2041.4,2043.52,2416,0,474630,0,19943
2023-08-07 15:24:00,1691402040,2047.0,2047.5,2045.0,2045.95,2046.71,1420,0,472214,0,19943
2023-08-07 15:23:00,1691401980,2047.5,2047.6,2047.15,2047.15,2045.26,580,0,470794,0,19943
2023-08-07 15:22:00,1691401920,2048.0,2048.0,2047.5,2047.55,2053.38,452,0,470214,0,19943
2023-08-07 15:21:00,1691401860,2047.8,2050.0,2047.75,2047.95,2046.35,1333,0,469762,0,19943
2023-08-07 15:20:00,1691401800,2047.4,2050.0,2047.05,2048.3,2049.15,4375,0,468429,0,19943
2023-08-07 15:19:00,1691401740,2047.6,2048.75,2047.0,2047.55,2047.02,1443,0,464054,0,19943
2023-08-07 15:18:00,1691401680,2048.0,2048.8,2047.55,2048.75,2048.37,1814,0,462611,0,19943
2023-08-07 15:17:00,1691401620,2047.55,2048.0,2047.5,2047.6,2045.61,585,0,460797,0,19943
2023-08-07 15:16:00,1691401560,2047.35,2048.3,2046.75,2047.15,2046.42,1300,0,460212,0,19943
2023-08-07 15:15:00,1691401500,2048.3,2048.4,2047.0,2047.0,2053.51,533,0,458912,0,19943
2023-08-07 15:14:00,1691401440,2048.5,2049.0,2047.6,2048.0,2047.6,2316,0,458379,0,19943
2023-08-07 15:13:00,1691401380,2048.4,2049.3,2048.1,2048.25,2053.54,325,0,456063,0,19943
2023-08-07 15:12:00,1691401320,2048.55,2049.9,2048.1,2048.3,2046.82,1353,0,455738,0,19943
2023-08-07 15:11:00,1691401260,2049.9,2050.0,2048.5,2048.7,2048.14,838,0,454385,0,19943
