time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,196.3,196.3,196.0,196.25,197.02,56881,0,14338730,0,15044
2023-07-28 15:27:00,1690538220,196.2,196.4,196.0,196.25,195.5,70319,0,14281849,0,15044
2023-07-28 15:26:00,1690538160,196.0,196.25,195.95,196.25,196.31,43471,0,14211530,0,15044
2023-07-28 15:25:00,1690538100,196.15,196.15,195.8,195.95,195.0,61705,0,14168059,0,15044
2023-07-28 15:24:00,1690538040,196.25,196.4,196.0,196.25,199.6,29545,0,14106354,0,15044
2023-07-28 15:23:00,1690537980,196.0,196.4,195.9,196.2,195.75,36507,0,14076809,0,15044
2023-07-28 15:22:00,1690537920,196.0,196.0,195.85,195.9,195.04,30682,0,14040302,0,15044
2023-07-28 15:21:00,1690537860,195.65,196.3,195.65,195.85,197.01,53607,0,14009620,0,15044
2023-07-28 15:20:00,1690537800,196.25,196.3,195.5,195.75,195.72,176319,0,13956013,0,15044
2023-07-28 15:19:00,1690537740,196.4,196.5,196.25,196.3,195.5,32895,0,13779694,0,15044
2023-07-28 15:18:00,1690537680,197.0,197.05,196.05,196.25,196.06,75377,0,13746799,0,15044
2023-07-28 15:17:00,1690537620,196.5,197.05,196.5,196.95,197.37,115938,0,13671422,0,15044
2023-07-28 15:16:00,1690537560,196.2,196.8,196.1,196.65,195.99,107928,0,13555484,0,15044
2023-07-28 15:15:00,1690537500,196.45,196.5,196.1,196.15,196.35,117525,0,13447556,0,15044
2023-07-28 15:14:00,1690537440,196.5,196.5,196.35,196.35,196.16,73202,0,13330031,0,15044
2023-07-28 15:13:00,1690537380,196.85,196.9,196.4,196.4,196.34,151211,0,13256829,0,15044
2023-07-28 15:12:00,1690537320,196.9,196.95,196.8,196.8,199.85,22631,0,13105618,0,15044
2023-07-28 15:11:00,1690537260,196.9,197.0,196.8,196.85,196.83,43190,0,13082987,0,15044
2023-07-28 15:10:00,1690537200,196.95,197.0,196.75,196.8,196.47,152182,0,13039797,0,15044
2023-07-28 15:09:00,1690537140,197.2,197.3,196.75,196.75,199.9,17236,0,12887615,0,15044
