time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,4688.25,4688.55,4681.2,4685.95,4685.23,1806,0,1800678,0,21690
2023-08-07 15:27:00,1691402220,4685.9,4688.95,4681.1,4688.15,4685.96,3031,0,1798872,0,21690
2023-08-07 15:26:00,1691402160,4690.5,4691.0,4686.0,4686.0,4691.71,1448,0,1795841,0,21690
2023-08-07 15:25:00,1691402100,4697.2,4697.2,4690.0,4691.0,4692.35,2484,0,1794393,0,21690
2023-08-07 15:24:00,1691402040,4699.0,4700.0,4695.0,4696.05,4699.36,5819,0,1791909,0,21690
2023-08-07 15:23:00,1691401980,4696.95,4700.0,4696.8,4699.95,4698.35,5945,0,1786090,0,21690
2023-08-07 15:22:00,1691401920,4693.85,4698.8,4693.85,4696.8,4700.95,1938,0,1780145,0,21690
2023-08-07 15:21:00,1691401860,4699.65,4700.0,4693.1,4693.8,4694.09,3673,0,1778207,0,21690
2023-08-07 15:20:00,1691401800,4695.85,4705.05,4692.75,4699.3,4699.4,17486,0,1774534,0,21690
2023-08-07 15:19:00,1691401740,4693.0,4700.0,4690.0,4695.55,4694.73,8712,0,1757048,0,21690
2023-08-07 15:18:00,1691401680,4685.3,4697.35,4682.35,4693.8,4691.49,17806,0,1748336,0,21690
2023-08-07 15:17:00,1691401620,4691.3,4691.35,4683.2,4688.0,4685.97,3432,0,1730530,0,21690
2023-08-07 15:16:00,1691401560,4687.0,4694.5,4685.4,4691.45,4688.09,4361,0,1727098,0,21690
2023-08-07 15:15:00,1691401500,4683.15,4688.9,4680.3,4688.75,4686.46,6265,0,1722737,0,21690
2023-08-07 15:14:00,1691401440,4685.05,4688.2,4682.95,4685.75,4685.69,3133,0,1716472,0,21690
2023-08-07 15:13:00,1691401380,4692.75,4692.75,4687.0,4687.05,4688.01,2702,0,1713339,0,21690
2023-08-07 15:12:00,1691401320,4692.9,4695.0,4688.8,4694.0,4692.67,5441,0,1710637,0,21690
2023-08-07 15:11:00,1691401260,4685.6,4695.0,4683.0,4692.95,4690.69,5956,0,1705196,0,21690
2023-08-07 15:10:00,1691401200,4684.75,4685.6,4680.6,4684.25,4683.87,3483,0,1699240,0,21690
