time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,5581.95,5584.0,5578.1,5578.1,5581.35,3772,0,636052,0
2023-07-28 15:28:00,1690538280,5580.5,5588.0,5580.05,5582.0,5582.26,2159,0,632280,0
2023-07-28 15:27:00,1690538220,5578.7,5582.05,5578.0,5580.45,5580.77,1712,0,630121,0
2023-07-28 15:26:00,1690538160,5576.35,5579.0,5576.35,5578.05,5576.74,1101,0,628409,0
2023-07-28 15:25:00,1690538100,5578.05,5579.8,5576.35,5576.4,5574.5,1375,0,627308,0
2023-07-28 15:24:00,1690538040,5575.95,5578.5,5574.2,5576.35,5577.16,3949,0,625933,0
2023-07-28 15:23:00,1690537980,5576.2,5577.05,5574.5,5576.0,5574.97,2332,0,621984,0
2023-07-28 15:22:00,1690537920,5574.4,5578.0,5573.55,5574.8,5574.4,2220,0,619652,0
2023-07-28 15:21:00,1690537860,5575.75,5580.3,5573.65,5574.45,5577.22,4951,0,617432,0
2023-07-28 15:20:00,1690537800,5579.05,5581.95,5575.05,5575.05,5578.6,10401,0,612481,0
2023-07-28 15:19:00,1690537740,5580.05,5582.5,5578.5,5579.1,5580.02,3481,0,602080,0
2023-07-28 15:18:00,1690537680,5579.15,5582.65,5577.2,5579.6,5580.29,4959,0,598599,0
2023-07-28 15:17:00,1690537620,5580.0,5580.1,5575.75,5579.0,5579.3,3129,0,593640,0
2023-07-28 15:16:00,1690537560,5582.0,5584.0,5578.2,5579.15,5579.96,7920,0,590511,0
2023-07-28 15:15:00,1690537500,5581.45,5585.65,5580.35,5581.75,5583.2,5059,0,582591,0
2023-07-28 15:14:00,1690537440,5586.2,5586.65,5581.3,5581.8,5584.1,2369,0,577532,0
2023-07-28 15:13:00,1690537380,5585.95,5589.0,5582.0,5584.25,5586.58,2389,0,575163,0
2023-07-28 15:12:00,1690537320,5587.3,5589.5,5585.05,5585.8,5585.11,1473,0,572774,0
2023-07-28 15:11:00,1690537260,5588.1,5592.0,5587.05,5587.05,5589.99,5693,0,571301,0
2023-07-28 15:10:00,1690537200,5589.1,5590.0,5587.0,5588.15,5588.99,2210,0,565608,0
2023-07-28 15:09:00,1690537140,5589.9,5591.15,5587.1,5588.0,5588.99,3369,0,563398,0
2023-07-28 15:08:00,1690537080,5588.0,5590.3,5587.2,5589.85,5588.99,2036,0,560029,0
2023-07-28 15:07:00,1690537020,5588.6,5591.75,5587.55,5588.95,5588.99,1755,0,557993,0
2023-07-28 15:06:00,1690536960,5592.15,5592.15,5587.65,5591.65,5588.99,2698,0,556238,0
2023-07-28 15:05:00,1690536900,5591.35,5593.95,5588.9,5592.0,5593.16,1324,0,553540,0
2023-07-28 15:04:00,1690536840,5590.0,5592.15,5588.55,5589.4,5588.98,1454,0,552216,0
2023-07-28 15:03:00,1690536780,5588.95,5592.25,5586.6,5591.6,5588.98,1259,0,550762,0
2023-07-28 15:02:00,1690536720,5593.45,5596.0,5584.35,5591.55,5593.05,4019,0,549503,0
2023-07-28 15:01:00,1690536660,5591.8,5593.7,5590.0,5593.5,5588.95,938,0,545484,0
2023-07-28 15:00:00,1690536600,5580.65,5594.65,5580.35,5592.05,5590.67,3135,0,544546,0
2023-07-28 14:59:00,1690536540,5582.4,5582.6,5579.15,5580.5,5579.57,1154,0,541411,0
2023-07-28 14:58:00,1690536480,5582.6,5583.9,5581.0,5582.45,5578.31,507,0,540257,0
2023-07-28 14:57:00,1690536420,5581.25,5584.15,5580.55,5582.0,5588.97,441,0,539750,0
2023-07-28 14:56:00,1690536360,5582.3,5584.15,5579.85,5581.3,5580.82,661,0,539309,0
2023-07-28 14:55:00,1690536300,5582.3,5582.35,5579.1,5579.6,5579.25,1657,0,538648,0
2023-07-28 14:54:00,1690536240,5582.0,5585.0,5579.85,5580.0,5585.68,1612,0,536991,0
2023-07-28 14:53:00,1690536180,5579.9,5583.7,5577.55,5580.0,5579.48,1679,0,535379,0
2023-07-28 14:52:00,1690536120,5579.35,5581.55,5576.75,5577.5,5576.78,869,0,533700,0
2023-07-28 14:51:00,1690536060,5582.15,5583.0,5575.75,5577.2,5580.38,3050,0,532831,0
2023-07-28 14:50:00,1690536000,5583.65,5585.95,5582.0,5583.0,5583.32,912,0,529781,0
2023-07-28 14:49:00,1690535940,5592.0,5593.05,5583.3,5585.9,5589.67,27445,0,528869,0
2023-07-28 14:48:00,1690535880,5588.75,5592.95,5588.0,5591.0,5589.1,669,0,501424,0
2023-07-28 14:47:00,1690535820,5585.0,5588.4,5585.0,5588.0,5589.1,1541,0,500755,0
2023-07-28 14:46:00,1690535760,5583.0,5586.3,5580.4,5583.55,5583.41,876,0,499214,0
2023-07-28 14:45:00,1690535700,5582.25,5585.1,5580.7,5582.25,5583.2,3354,0,498338,0
2023-07-28 14:44:00,1690535640,5588.9,5589.65,5580.3,5581.95,5585.59,4144,0,494984,0
2023-07-28 14:43:00,1690535580,5591.35,5591.35,5586.2,5587.5,5587.99,4098,0,490840,0
2023-07-28 14:42:00,1690535520,5596.0,5596.95,5591.05,5591.4,5594.11,4890,0,486742,0
2023-07-28 14:41:00,1690535460,5597.55,5600.0,5596.0,5596.8,5600.99,1216,0,481852,0
2023-07-28 14:40:00,1690535400,5598.85,5600.0,5596.0,5597.6,5596.72,630,0,480636,0
2023-07-28 14:39:00,1690535340,5599.65,5600.45,5598.05,5600.0,5595.72,723,0,480006,0
2023-07-28 14:38:00,1690535280,5603.45,5606.4,5600.0,5600.0,5603.23,1014,0,479283,0
2023-07-28 14:37:00,1690535220,5600.95,5603.5,5600.95,5601.2,5605.83,285,0,478269,0
2023-07-28 14:36:00,1690535160,5602.4,5603.7,5600.0,5601.95,5604.86,302,0,477984,0
2023-07-28 14:35:00,1690535100,5605.0,5606.2,5597.0,5600.0,5601.1,2364,0,477682,0
2023-07-28 14:34:00,1690535040,5607.2,5607.35,5602.1,5602.55,5600.35,834,0,475318,0
2023-07-28 14:33:00,1690534980,5607.1,5609.0,5606.0,5606.25,5612.03,616,0,474484,0
2023-07-28 14:32:00,1690534920,5605.0,5609.95,5605.0,5608.0,5606.96,787,0,473868,0
2023-07-28 14:31:00,1690534860,5608.15,5609.0,5605.0,5605.05,5608.71,477,0,473081,0
2023-07-28 14:30:00,1690534800,5604.75,5608.0,5602.25,5608.0,5606.5,1603,0,472604,0
2023-07-28 14:29:00,1690534740,5603.55,5606.1,5602.0,5605.0,5602.73,1013,0,471001,0
2023-07-28 14:28:00,1690534680,5601.4,5605.8,5601.35,5605.0,5607.91,491,0,469988,0
