time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,2580.6,2580.6,2572.0,2574.9,2577.53,1803,0,2092126,0,958
2023-08-02 15:27:00,1690970220,2579.35,2582.15,2577.3,2580.95,2586.49,2230,0,2090323,0,958
2023-08-02 15:26:00,1690970160,2575.5,2581.05,2575.5,2579.4,2573.62,1657,0,2088093,0,958
2023-08-02 15:25:00,1690970100,2580.05,2581.2,2573.65,2576.4,2573.22,2871,0,2086436,0,958
2023-08-02 15:24:00,1690970040,2581.4,2582.1,2580.0,2581.4,2586.25,3298,0,2083565,0,958
2023-08-02 15:23:00,1690969980,2581.2,2582.2,2581.0,2581.0,2571.7,1189,0,2080267,0,958
2023-08-02 15:22:00,1690969920,2584.25,2584.4,2581.7,2581.7,2590.51,1234,0,2079078,0,958
2023-08-02 15:21:00,1690969860,2588.0,2588.95,2584.2,2585.25,2586.92,2227,0,2077844,0,958
2023-08-02 15:20:00,1690969800,2590.0,2590.0,2583.3,2587.95,2586.66,11532,0,2075617,0,958
2023-08-02 15:19:00,1690969740,2593.9,2593.9,2590.05,2590.05,2589.91,2387,0,2064085,0,958
2023-08-02 15:18:00,1690969680,2592.0,2596.95,2591.0,2593.05,2592.92,7157,0,2061698,0,958
2023-08-02 15:17:00,1690969620,2593.3,2597.25,2593.05,2593.05,2597.38,1508,0,2054541,0,958
2023-08-02 15:16:00,1690969560,2598.95,2600.0,2593.0,2593.25,2599.16,5628,0,2053033,0,958
2023-08-02 15:15:00,1690969500,2602.7,2604.4,2598.85,2598.85,2600.23,6672,0,2047405,0,958
2023-08-02 15:14:00,1690969440,2602.55,2604.0,2602.55,2602.55,2600.15,3309,0,2040733,0,958
2023-08-02 15:13:00,1690969380,2603.95,2604.35,2602.05,2602.5,2609.43,2645,0,2037424,0,958
2023-08-02 15:12:00,1690969320,2605.35,2605.35,2603.0,2604.8,2600.32,3314,0,2034779,0,958
2023-08-02 15:11:00,1690969260,2603.6,2605.15,2602.05,2604.25,2602.37,1804,0,2031465,0,958
2023-08-02 15:10:00,1690969200,2608.55,2609.15,2602.4,2602.4,2606.08,6452,0,2029661,0,958
2023-08-02 15:09:00,1690969140,2608.05,2609.45,2607.65,2607.65,2603.87,959,0,2023209,0,958
2023-08-02 15:08:00,1690969080,2609.2,2609.95,2607.5,2608.1,2608.61,2470,0,2022250,0,958
2023-08-02 15:07:00,1690969020,2608.0,2610.0,2607.05,2607.95,2610.99,1442,0,2019780,0,958
2023-08-02 15:06:00,1690968960,2610.0,2610.9,2607.05,2607.05,2612.46,3215,0,2018338,0,958
2023-08-02 15:05:00,1690968900,2612.7,2612.85,2608.0,2609.95,2609.59,5212,0,2015123,0,958
2023-08-02 15:04:00,1690968840,2615.95,2617.55,2611.5,2612.5,2615.11,4034,0,2009911,0,958
2023-08-02 15:03:00,1690968780,2611.3,2616.9,2610.5,2614.55,2613.87,7138,0,2005877,0,958
2023-08-02 15:02:00,1690968720,2608.3,2613.0,2607.65,2612.0,2612.06,4584,0,1998739,0,958
2023-08-02 15:01:00,1690968660,2607.0,2608.3,2607.0,2608.05,2608.72,1213,0,1994155,0,958
2023-08-02 15:00:00,1690968600,2605.35,2606.75,2604.45,2605.3,2599.93,1579,0,1992942,0,958
2023-08-02 14:59:00,1690968540,2605.9,2605.9,2603.0,2603.1,2598.09,735,0,1991363,0,958
2023-08-02 14:58:00,1690968480,2602.95,2605.85,2602.35,2605.8,2604.22,1897,0,1990628,0,958
2023-08-02 14:57:00,1690968420,2602.0,2604.2,2601.0,2603.5,2598.28,1476,0,1988731,0,958
2023-08-02 14:56:00,1690968360,2602.8,2602.9,2600.5,2601.05,2601.41,834,0,1987255,0,958
2023-08-02 14:55:00,1690968300,2603.6,2604.15,2601.05,2601.05,2625.24,777,0,1986421,0,958
2023-08-02 14:54:00,1690968240,2601.4,2604.9,2601.4,2604.2,2564.34,326,0,1985644,0,958
2023-08-02 14:53:00,1690968180,2605.0,2605.05,2602.0,2603.05,2625.25,387,0,1985318,0,958
2023-08-02 14:52:00,1690968120,2604.75,2606.0,2602.0,2603.85,2608.69,1198,0,1984931,0,958
2023-08-02 14:51:00,1690968060,2602.7,2605.0,2602.7,2605.0,2577.0,411,0,1983733,0,958
2023-08-02 14:50:00,1690968000,2597.4,2605.0,2597.4,2605.0,2606.91,2159,0,1983322,0,958
2023-08-02 14:49:00,1690967940,2600.15,2600.5,2597.25,2599.3,2595.8,1343,0,1981163,0,958
2023-08-02 14:48:00,1690967880,2598.95,2601.0,2598.05,2600.35,2625.31,251,0,1979820,0,958
2023-08-02 14:47:00,1690967820,2599.0,2601.0,2598.0,2598.0,2598.32,1466,0,1979569,0,958
2023-08-02 14:46:00,1690967760,2600.1,2601.85,2597.7,2600.0,2595.19,1967,0,1978103,0,958
