time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,262.95,262.95,262.65,262.85,265.71,32340,0,15118516,0,676
2023-08-01 15:27:00,1690883820,262.95,263.0,262.65,262.8,261.04,35776,0,15086176,0,676
2023-08-01 15:26:00,1690883760,263.05,263.2,262.6,262.9,263.18,69813,0,15050400,0,676
2023-08-01 15:25:00,1690883700,263.25,263.35,263.05,263.2,261.03,32560,0,14980587,0,676
2023-08-01 15:24:00,1690883640,263.15,263.35,263.15,263.35,266.55,27008,0,14948027,0,676
2023-08-01 15:23:00,1690883580,263.1,263.2,263.0,263.2,261.02,26315,0,14921019,0,676
2023-08-01 15:22:00,1690883520,262.8,263.2,262.8,263.15,261.02,17327,0,14894704,0,676
2023-08-01 15:21:00,1690883460,262.65,263.05,262.65,263.0,265.84,30783,0,14877377,0,676
2023-08-01 15:20:00,1690883400,262.8,263.05,262.65,262.9,262.22,121570,0,14846594,0,676
2023-08-01 15:19:00,1690883340,262.8,262.9,262.7,262.85,265.43,33154,0,14725024,0,676
2023-08-01 15:18:00,1690883280,262.85,263.05,262.8,262.9,260.99,46706,0,14691870,0,676
2023-08-01 15:17:00,1690883220,263.0,263.05,262.85,262.9,266.58,26117,0,14645164,0,676
2023-08-01 15:16:00,1690883160,262.7,263.0,262.65,262.95,260.98,35444,0,14619047,0,676
2023-08-01 15:15:00,1690883100,262.8,262.95,262.55,262.85,262.99,71981,0,14583603,0,676
2023-08-01 15:14:00,1690883040,262.9,262.95,262.75,262.85,260.97,21466,0,14511622,0,676
2023-08-01 15:13:00,1690882980,262.65,262.9,262.6,262.75,266.14,27955,0,14490156,0,676
2023-08-01 15:12:00,1690882920,263.15,263.35,262.55,262.8,260.96,45006,0,14462201,0,676
2023-08-01 15:11:00,1690882860,263.25,263.3,263.1,263.3,265.79,29787,0,14417195,0,676
2023-08-01 15:10:00,1690882800,263.3,263.5,263.1,263.1,260.95,20489,0,14387408,0,676
2023-08-01 15:09:00,1690882740,263.2,263.3,263.05,263.15,260.95,11598,0,14366919,0,676
2023-08-01 15:08:00,1690882680,263.45,263.5,263.15,263.25,263.52,55579,0,14355321,0,676
2023-08-01 15:07:00,1690882620,263.6,263.6,263.3,263.4,267.66,21245,0,14299742,0,676
2023-08-01 15:06:00,1690882560,263.6,263.7,263.5,263.55,260.93,11002,0,14278497,0,676
2023-08-01 15:05:00,1690882500,263.4,263.8,263.4,263.65,260.93,21110,0,14267495,0,676
2023-08-01 15:04:00,1690882440,263.15,263.6,263.05,263.6,260.93,16095,0,14246385,0,676
2023-08-01 15:03:00,1690882380,263.25,263.4,263.15,263.2,269.92,15804,0,14230290,0,676
2023-08-01 15:02:00,1690882320,263.0,263.45,263.0,263.4,260.92,28628,0,14214486,0,676
2023-08-01 15:01:00,1690882260,264.3,264.3,263.05,263.35,264.75,73508,0,14185858,0,676
2023-08-01 15:00:00,1690882200,263.85,264.45,263.85,264.25,264.21,42380,0,14112350,0,676
2023-08-01 14:59:00,1690882140,263.85,263.95,263.85,263.9,260.89,21966,0,14069970,0,676
2023-08-01 14:58:00,1690882080,263.95,264.1,263.8,263.9,266.18,26461,0,14048004,0,676
2023-08-01 14:57:00,1690882020,263.85,263.95,263.85,263.9,260.88,12202,0,14021543,0,676
2023-08-01 14:56:00,1690881960,264.05,264.05,263.8,263.9,260.88,29513,0,14009341,0,676
2023-08-01 14:55:00,1690881900,263.5,264.05,263.5,264.0,265.72,28818,0,13979828,0,676
2023-08-01 14:54:00,1690881840,263.45,263.55,263.4,263.55,260.87,8818,0,13951010,0,676
2023-08-01 14:53:00,1690881780,263.45,263.5,263.35,263.5,260.87,4851,0,13942192,0,676
2023-08-01 14:52:00,1690881720,263.45,263.55,263.3,263.35,260.87,9141,0,13937341,0,676
2023-08-01 14:51:00,1690881660,263.55,263.55,263.4,263.4,269.88,15440,0,13928200,0,676
2023-08-01 14:50:00,1690881600,263.4,263.75,263.35,263.45,260.86,27840,0,13912760,0,676
2023-08-01 14:49:00,1690881540,263.55,263.55,263.4,263.45,260.86,5741,0,13884920,0,676
2023-08-01 14:48:00,1690881480,263.45,263.65,263.3,263.4,265.17,32077,0,13879179,0,676
2023-08-01 14:47:00,1690881420,263.4,263.5,263.4,263.5,260.85,11868,0,13847102,0,676
2023-08-01 14:46:00,1690881360,263.4,263.55,263.35,263.5,265.26,31266,0,13835234,0,676
2023-08-01 14:45:00,1690881300,263.95,263.95,263.15,263.35,260.84,32408,0,13803968,0,676
2023-08-01 14:44:00,1690881240,264.0,264.0,263.8,263.85,279.77,7268,0,13771560,0,676
2023-08-01 14:43:00,1690881180,264.1,264.2,263.8,263.8,260.83,36689,0,13764292,0,676
2023-08-01 14:42:00,1690881120,264.6,264.7,264.1,264.25,266.42,24470,0,13727603,0,676
2023-08-01 14:41:00,1690881060,264.8,264.8,264.6,264.7,265.33,30255,0,13703133,0,676
