time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,135.9,136.45,135.65,136.25,135.96,541661,0,3056981,0
2023-07-28 09:41:00,1690517460,135.6,135.8,135.45,135.75,135.65,199751,0,2515320,0
2023-07-28 09:40:00,1690517400,135.35,135.6,135.25,135.5,135.46,154548,0,2315569,0
2023-07-28 09:39:00,1690517340,135.25,135.35,135.25,135.3,135.73,21165,0,2161021,0
2023-07-28 09:38:00,1690517280,135.3,135.35,135.15,135.35,135.12,98979,0,2139856,0
2023-07-28 09:37:00,1690517220,135.25,135.3,135.2,135.25,135.48,50061,0,2040877,0
2023-07-28 09:36:00,1690517160,135.15,135.25,135.1,135.2,135.01,56575,0,1990816,0
2023-07-28 09:35:00,1690517100,135.1,135.2,135.0,135.2,135.33,55764,0,1934241,0
2023-07-28 09:34:00,1690517040,135.0,135.1,134.9,135.05,134.64,41173,0,1878477,0
2023-07-28 09:33:00,1690516980,134.75,134.9,134.7,134.9,134.87,75534,0,1837304,0
2023-07-28 09:32:00,1690516920,134.9,135.0,134.7,134.7,134.85,205352,0,1761770,0
2023-07-28 09:31:00,1690516860,135.05,135.05,134.85,134.95,134.6,35877,0,1556418,0
2023-07-28 09:30:00,1690516800,134.9,135.05,134.9,135.0,134.99,73503,0,1520541,0
2023-07-28 09:29:00,1690516740,134.95,135.0,134.75,134.95,134.99,98129,0,1447038,0
2023-07-28 09:28:00,1690516680,134.9,135.15,134.9,135.0,134.87,78354,0,1348909,0
2023-07-28 09:27:00,1690516620,134.95,135.1,134.9,135.0,135.03,71581,0,1270555,0
2023-07-28 09:26:00,1690516560,134.8,135.0,134.75,134.9,134.94,163678,0,1198974,0
2023-07-28 09:25:00,1690516500,134.7,134.85,134.7,134.75,134.82,49706,0,1035296,0
2023-07-28 09:24:00,1690516440,134.75,134.8,134.65,134.75,134.71,61204,0,985590,0
2023-07-28 09:23:00,1690516380,134.35,134.8,134.35,134.7,134.59,82672,0,924386,0
2023-07-28 09:22:00,1690516320,134.2,134.4,134.1,134.3,134.26,74271,0,841714,0
2023-07-28 09:21:00,1690516260,134.65,134.75,134.2,134.25,134.34,182252,0,767443,0
2023-07-28 09:20:00,1690516200,134.6,134.85,134.5,134.7,134.75,44150,0,585191,0
2023-07-28 09:19:00,1690516140,134.55,134.7,134.45,134.55,134.58,82831,0,541041,0
2023-07-28 09:18:00,1690516080,134.3,134.5,134.25,134.5,134.36,82342,0,458210,0
2023-07-28 09:17:00,1690516020,134.45,134.5,134.15,134.25,134.31,95916,0,375868,0
2023-07-28 09:16:00,1690515960,134.15,134.55,134.1,134.5,134.34,96606,0,279952,0
2023-07-28 09:15:00,1690515900,134.1,134.65,134.1,134.1,134.31,170959,0,183346,0
