time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,585.6,586.0,585.5,586.0,585.2,7965,0,1151517,0
2023-07-27 15:28:00,1690451880,585.4,585.9,585.4,585.65,585.9,6710,0,1143552,0
2023-07-27 15:27:00,1690451820,585.6,585.9,585.1,585.6,585.26,5891,0,1136842,0
2023-07-27 15:26:00,1690451760,585.5,585.95,585.45,585.95,585.62,6219,0,1130951,0
2023-07-27 15:25:00,1690451700,585.35,585.5,585.05,585.45,587.34,3000,0,1124732,0
2023-07-27 15:24:00,1690451640,585.15,585.45,585.0,585.4,584.96,3649,0,1121732,0
2023-07-27 15:23:00,1690451580,584.75,585.4,584.5,585.4,584.37,6603,0,1118083,0
2023-07-27 15:22:00,1690451520,584.5,585.25,584.5,584.8,585.55,7889,0,1111480,0
2023-07-27 15:21:00,1690451460,584.05,584.6,584.05,584.6,584.27,12616,0,1103591,0
2023-07-27 15:20:00,1690451400,584.0,584.45,583.9,584.25,583.84,2930,0,1090975,0
2023-07-27 15:19:00,1690451340,583.9,584.3,583.55,584.05,584.41,12516,0,1088045,0
2023-07-27 15:18:00,1690451280,584.1,584.25,583.5,583.95,584.85,4928,0,1075529,0
2023-07-27 15:17:00,1690451220,584.35,584.55,583.75,584.25,583.38,10582,0,1070601,0
2023-07-27 15:16:00,1690451160,585.4,585.4,584.4,584.4,585.3,11877,0,1060019,0
2023-07-27 15:15:00,1690451100,585.0,585.35,584.7,585.3,585.28,4995,0,1048142,0
2023-07-27 15:14:00,1690451040,585.1,585.55,584.65,585.35,584.4,5781,0,1043147,0
2023-07-27 15:13:00,1690450980,584.55,585.05,584.55,584.95,584.77,9019,0,1037366,0
2023-07-27 15:12:00,1690450920,584.35,584.65,584.2,584.5,584.79,2980,0,1028347,0
2023-07-27 15:11:00,1690450860,584.45,584.45,583.95,584.05,583.63,2536,0,1025367,0
2023-07-27 15:10:00,1690450800,584.35,584.55,583.95,584.5,584.07,7970,0,1022831,0
2023-07-27 15:09:00,1690450740,583.95,584.65,583.8,584.65,584.64,7059,0,1014861,0
2023-07-27 15:08:00,1690450680,585.25,585.25,583.8,584.0,583.85,11241,0,1007802,0
2023-07-27 15:07:00,1690450620,584.2,584.95,584.2,584.95,584.24,5170,0,996561,0
2023-07-27 15:06:00,1690450560,583.95,584.25,583.3,584.25,583.49,5820,0,991391,0
2023-07-27 15:05:00,1690450500,583.3,583.8,583.3,583.8,585.09,5669,0,985571,0
2023-07-27 15:04:00,1690450440,583.9,583.9,583.4,583.65,582.53,2056,0,979902,0
2023-07-27 15:03:00,1690450380,583.55,584.25,583.55,583.95,583.06,5402,0,977846,0
2023-07-27 15:02:00,1690450320,584.1,584.4,583.4,583.9,583.95,5916,0,972444,0
2023-07-27 15:01:00,1690450260,583.9,584.55,583.6,583.65,584.27,10897,0,966528,0
2023-07-27 15:00:00,1690450200,584.05,584.35,583.9,583.95,584.49,6112,0,955631,0
2023-07-27 14:59:00,1690450140,583.65,584.0,583.6,583.7,582.11,3710,0,949519,0
2023-07-27 14:58:00,1690450080,583.6,583.95,583.55,583.75,581.68,886,0,945809,0
2023-07-27 14:57:00,1690450020,584.05,584.1,583.6,583.65,584.22,2316,0,944923,0
2023-07-27 14:56:00,1690449960,584.15,584.5,583.55,584.1,584.04,6736,0,942607,0
2023-07-27 14:55:00,1690449900,583.6,584.15,583.5,584.0,586.92,1694,0,935871,0
2023-07-27 14:54:00,1690449840,584.0,584.25,583.35,583.85,583.3,8099,0,934177,0
2023-07-27 14:53:00,1690449780,584.2,584.3,584.0,584.25,580.99,802,0,926078,0
2023-07-27 14:52:00,1690449720,585.1,585.1,583.65,583.65,584.75,8248,0,925276,0
2023-07-27 14:51:00,1690449660,584.8,585.4,584.8,584.9,584.76,2333,0,917028,0
2023-07-27 14:50:00,1690449600,585.5,585.5,585.0,585.15,583.79,3096,0,914695,0
2023-07-27 14:49:00,1690449540,585.6,585.7,585.05,585.45,586.03,1374,0,911599,0
2023-07-27 14:48:00,1690449480,585.4,585.6,584.8,585.45,585.18,8435,0,910225,0
2023-07-27 14:47:00,1690449420,584.4,585.45,584.4,585.45,585.37,7283,0,901790,0
2023-07-27 14:46:00,1690449360,584.05,584.1,583.65,584.1,580.94,2258,0,894507,0
2023-07-27 14:45:00,1690449300,584.3,584.95,584.1,584.1,584.53,6404,0,892249,0
2023-07-27 14:44:00,1690449240,584.2,584.65,584.0,584.65,584.42,2089,0,885845,0
2023-07-27 14:43:00,1690449180,584.2,584.25,583.85,584.05,583.23,2733,0,883756,0
2023-07-27 14:42:00,1690449120,584.0,584.25,583.65,583.65,584.64,5276,0,881023,0
2023-07-27 14:41:00,1690449060,583.55,584.2,583.55,584.05,583.71,10264,0,875747,0
2023-07-27 14:40:00,1690449000,583.9,583.95,583.5,583.65,585.38,3354,0,865483,0
2023-07-27 14:39:00,1690448940,584.0,584.0,583.65,584.0,582.86,5842,0,862129,0
2023-07-27 14:38:00,1690448880,583.2,583.95,583.2,583.95,584.25,5704,0,856287,0
2023-07-27 14:37:00,1690448820,583.9,584.0,583.55,583.8,584.06,6429,0,850583,0
2023-07-27 14:36:00,1690448760,584.45,584.7,584.0,584.0,583.14,4942,0,844154,0
2023-07-27 14:35:00,1690448700,584.9,584.9,584.15,584.15,585.27,6163,0,839212,0
2023-07-27 14:34:00,1690448640,584.95,584.95,584.5,584.85,581.1,2020,0,833049,0
2023-07-27 14:33:00,1690448580,585.0,585.25,584.7,585.0,585.26,9991,0,831029,0
2023-07-27 14:32:00,1690448520,585.1,585.35,585.0,585.2,584.98,3802,0,821038,0
2023-07-27 14:31:00,1690448460,585.25,585.25,585.05,585.15,584.94,9309,0,817236,0
2023-07-27 14:30:00,1690448400,585.3,585.6,585.1,585.4,585.84,7114,0,807927,0
2023-07-27 14:29:00,1690448340,585.0,585.3,585.0,585.15,584.75,7895,0,800813,0
2023-07-27 14:28:00,1690448280,585.1,585.35,584.75,584.75,584.73,5169,0,792918,0
2023-07-27 14:27:00,1690448220,585.7,585.7,585.1,585.35,585.71,8524,0,787749,0
2023-07-27 14:26:00,1690448160,585.2,585.6,584.9,585.4,585.61,7339,0,779225,0
2023-07-27 14:25:00,1690448100,585.9,585.9,584.6,585.35,585.35,42486,0,771886,0
2023-07-27 14:24:00,1690448040,587.3,587.4,586.25,586.25,586.83,17373,0,729400,0
2023-07-27 14:23:00,1690447980,587.0,587.1,586.75,587.0,587.04,4557,0,712027,0
2023-07-27 14:22:00,1690447920,587.0,587.15,586.75,586.85,586.02,8699,0,707470,0
2023-07-27 14:21:00,1690447860,587.6,587.6,587.15,587.4,590.5,1561,0,698771,0
2023-07-27 14:20:00,1690447800,587.55,587.55,587.3,587.55,585.5,735,0,697210,0
2023-07-27 14:19:00,1690447740,588.3,588.35,587.3,587.3,587.33,11635,0,696475,0
2023-07-27 14:18:00,1690447680,588.3,588.3,588.25,588.25,595.12,517,0,684840,0
2023-07-27 14:17:00,1690447620,588.6,588.6,588.05,588.25,589.36,3550,0,684323,0
2023-07-27 14:16:00,1690447560,588.5,588.7,588.4,588.7,575.48,346,0,680773,0
2023-07-27 14:15:00,1690447500,588.5,588.5,588.15,588.2,595.16,476,0,680427,0
2023-07-27 14:14:00,1690447440,588.7,588.7,588.1,588.45,588.94,1093,0,679951,0
2023-07-27 14:13:00,1690447380,588.5,588.55,588.3,588.3,589.37,2336,0,678858,0
2023-07-27 14:12:00,1690447320,588.85,588.9,588.05,588.05,587.15,4186,0,676522,0
2023-07-27 14:11:00,1690447260,588.65,588.8,588.4,588.8,595.24,246,0,672336,0
2023-07-27 14:10:00,1690447200,588.5,588.5,588.05,588.35,587.42,1716,0,672090,0
2023-07-27 14:09:00,1690447140,588.35,588.65,588.05,588.65,595.26,339,0,670374,0
2023-07-27 14:08:00,1690447080,588.35,588.35,588.05,588.3,585.47,1367,0,670035,0
2023-07-27 14:07:00,1690447020,588.25,588.35,588.05,588.25,589.09,3226,0,668668,0
2023-07-27 14:06:00,1690446960,588.4,588.4,588.05,588.3,586.67,770,0,665442,0
2023-07-27 14:05:00,1690446900,588.15,588.45,588.0,588.45,588.65,1990,0,664672,0
2023-07-27 14:04:00,1690446840,587.95,588.25,587.9,588.1,587.29,4905,0,662682,0
2023-07-27 14:03:00,1690446780,587.8,588.0,587.8,588.0,590.59,1366,0,657777,0
2023-07-27 14:02:00,1690446720,587.4,587.75,586.85,587.75,586.36,2891,0,656411,0
2023-07-27 14:01:00,1690446660,588.25,588.25,586.85,587.55,587.7,28273,0,653520,0
2023-07-27 14:00:00,1690446600,589.05,589.05,588.3,588.3,588.87,8894,0,625247,0
2023-07-27 13:59:00,1690446540,589.05,589.5,589.0,589.35,588.35,4059,0,616353,0
2023-07-27 13:58:00,1690446480,589.35,589.35,589.1,589.35,595.95,257,0,612294,0
2023-07-27 13:57:00,1690446420,589.65,589.65,589.0,589.3,591.46,1363,0,612037,0
2023-07-27 13:56:00,1690446360,589.7,589.7,589.2,589.2,589.28,6335,0,610674,0
2023-07-27 13:55:00,1690446300,589.5,589.6,589.5,589.55,586.7,1293,0,604339,0
2023-07-27 13:54:00,1690446240,589.6,589.6,589.0,589.45,591.53,1332,0,603046,0
2023-07-27 13:53:00,1690446180,589.15,589.55,589.15,589.15,589.02,11736,0,601714,0
2023-07-27 13:52:00,1690446120,589.6,589.65,589.0,589.0,596.2,306,0,589978,0
2023-07-27 13:51:00,1690446060,589.4,589.5,589.35,589.5,590.7,1072,0,589672,0
2023-07-27 13:50:00,1690446000,589.2,589.45,589.15,589.45,585.69,1117,0,588600,0
2023-07-27 13:49:00,1690445940,589.0,589.4,588.9,589.4,590.25,982,0,587483,0
2023-07-27 13:48:00,1690445880,588.85,589.2,588.75,588.95,591.09,1137,0,586501,0
2023-07-27 13:47:00,1690445820,589.6,589.6,588.75,589.0,588.07,4265,0,585364,0
2023-07-27 13:46:00,1690445760,589.95,589.95,589.0,589.7,589.39,23381,0,581099,0
2023-07-27 13:45:00,1690445700,590.0,590.0,589.55,589.9,587.07,1169,0,557718,0
2023-07-27 13:44:00,1690445640,590.0,590.0,589.55,589.95,591.5,2169,0,556549,0
2023-07-27 13:43:00,1690445580,589.9,590.0,589.6,589.9,588.45,2697,0,554380,0
2023-07-27 13:42:00,1690445520,590.0,590.0,589.75,590.0,591.69,2206,0,551683,0
2023-07-27 13:41:00,1690445460,590.4,590.4,589.75,589.75,589.6,4606,0,549477,0
2023-07-27 13:40:00,1690445400,590.4,590.6,589.85,590.35,590.1,18961,0,544871,0
2023-07-27 13:39:00,1690445340,590.9,590.9,590.65,590.65,597.0,545,0,525910,0
