time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,1031.85,1032.45,1027.0,1029.0,1030.7,3589,0,1865919,0
2023-07-27 15:28:00,1690451880,1031.45,1031.5,1030.0,1031.3,1033.09,7731,0,1862330,0
2023-07-27 15:27:00,1690451820,1029.75,1031.85,1029.55,1031.5,1030.69,3407,0,1854599,0
2023-07-27 15:26:00,1690451760,1029.9,1030.0,1029.5,1029.8,1028.61,8889,0,1851192,0
2023-07-27 15:25:00,1690451700,1029.55,1030.0,1029.45,1030.0,1030.7,12745,0,1842303,0
2023-07-27 15:24:00,1690451640,1029.0,1029.85,1028.8,1029.8,1028.23,7405,0,1829558,0
2023-07-27 15:23:00,1690451580,1029.15,1029.55,1028.75,1028.95,1028.69,26711,0,1822153,0
2023-07-27 15:22:00,1690451520,1028.55,1029.9,1028.55,1028.8,1030.74,11360,0,1795442,0
2023-07-27 15:21:00,1690451460,1029.65,1030.0,1028.65,1028.65,1028.18,6954,0,1784082,0
2023-07-27 15:20:00,1690451400,1029.85,1029.95,1029.6,1029.8,1030.75,5730,0,1777128,0
2023-07-27 15:19:00,1690451340,1029.7,1029.85,1029.7,1029.8,1030.75,2598,0,1771398,0
2023-07-27 15:18:00,1690451280,1029.7,1029.9,1029.7,1029.75,1025.36,3280,0,1768800,0
2023-07-27 15:17:00,1690451220,1029.6,1029.75,1029.5,1029.75,1030.76,1605,0,1765520,0
2023-07-27 15:16:00,1690451160,1029.3,1029.7,1029.15,1029.65,1030.76,4186,0,1763915,0
2023-07-27 15:15:00,1690451100,1029.5,1029.9,1029.05,1029.5,1030.76,6302,0,1759729,0
2023-07-27 15:14:00,1690451040,1029.95,1030.0,1029.5,1029.6,1026.33,3958,0,1753427,0
2023-07-27 15:13:00,1690450980,1029.95,1030.0,1029.85,1029.9,1030.77,2324,0,1749469,0
2023-07-27 15:12:00,1690450920,1029.85,1030.0,1029.65,1029.75,1030.77,3168,0,1747145,0
2023-07-27 15:11:00,1690450860,1029.8,1030.0,1029.8,1030.0,1030.77,6340,0,1743977,0
2023-07-27 15:10:00,1690450800,1029.25,1030.0,1029.25,1029.85,1030.77,1079,0,1737637,0
2023-07-27 15:09:00,1690450740,1029.8,1030.0,1029.15,1029.45,1029.71,16370,0,1736558,0
2023-07-27 15:08:00,1690450680,1029.95,1030.95,1029.8,1029.95,1029.45,12910,0,1720188,0
2023-07-27 15:07:00,1690450620,1030.95,1030.95,1029.8,1030.0,1030.79,3576,0,1707278,0
2023-07-27 15:06:00,1690450560,1031.15,1031.4,1030.2,1031.0,1030.79,8245,0,1703702,0
2023-07-27 15:05:00,1690450500,1031.0,1031.4,1030.55,1031.25,1030.79,2229,0,1695457,0
2023-07-27 15:04:00,1690450440,1030.0,1031.2,1029.75,1030.55,1030.79,8717,0,1693228,0
2023-07-27 15:03:00,1690450380,1030.0,1030.0,1029.8,1029.85,1030.79,5601,0,1684511,0
2023-07-27 15:02:00,1690450320,1030.0,1030.55,1029.9,1029.95,1030.1,47384,0,1678910,0
2023-07-27 15:01:00,1690450260,1029.8,1031.2,1029.8,1029.95,1030.07,22017,0,1631526,0
2023-07-27 15:00:00,1690450200,1029.6,1030.7,1029.2,1029.95,1029.99,56217,0,1609509,0
2023-07-27 14:59:00,1690450140,1029.15,1030.0,1029.15,1029.3,1030.85,573,0,1553292,0
2023-07-27 14:58:00,1690450080,1029.9,1029.95,1028.95,1028.95,1030.85,1090,0,1552719,0
2023-07-27 14:57:00,1690450020,1029.8,1030.0,1029.65,1030.0,1030.85,1803,0,1551629,0
2023-07-27 14:56:00,1690449960,1029.3,1029.9,1029.3,1029.55,1030.85,936,0,1549826,0
2023-07-27 14:55:00,1690449900,1028.85,1029.9,1028.85,1029.25,1027.34,4405,0,1548890,0
2023-07-27 14:54:00,1690449840,1028.6,1029.0,1028.5,1028.95,1030.86,923,0,1544485,0
2023-07-27 14:53:00,1690449780,1029.0,1029.2,1028.85,1028.85,1028.77,29076,0,1543562,0
2023-07-27 14:52:00,1690449720,1029.0,1029.45,1028.75,1028.85,1030.9,689,0,1514486,0
2023-07-27 14:51:00,1690449660,1029.85,1029.9,1029.25,1029.25,1030.9,2198,0,1513797,0
2023-07-27 14:50:00,1690449600,1029.4,1029.9,1029.25,1029.9,1030.9,781,0,1511599,0
2023-07-27 14:49:00,1690449540,1029.85,1029.9,1029.35,1029.85,1030.9,506,0,1510818,0
2023-07-27 14:48:00,1690449480,1029.8,1029.9,1029.8,1029.9,1030.9,7269,0,1510312,0
2023-07-27 14:47:00,1690449420,1029.75,1029.8,1029.2,1029.2,1030.9,700,0,1503043,0
2023-07-27 14:46:00,1690449360,1028.8,1029.65,1028.7,1029.65,1010.71,744,0,1502343,0
2023-07-27 14:45:00,1690449300,1028.25,1029.3,1027.75,1028.25,1027.66,138654,0,1501599,0
2023-07-27 14:44:00,1690449240,1027.55,1028.8,1027.55,1028.05,1023.73,1814,0,1362945,0
2023-07-27 14:43:00,1690449180,1027.35,1028.3,1027.35,1028.3,1031.25,2841,0,1361131,0
2023-07-27 14:42:00,1690449120,1027.25,1027.85,1027.1,1027.6,1009.97,638,0,1358290,0
2023-07-27 14:41:00,1690449060,1026.8,1027.85,1026.2,1027.0,1031.26,1709,0,1357652,0
2023-07-27 14:40:00,1690449000,1026.9,1027.7,1026.8,1026.9,1024.88,2122,0,1355943,0
2023-07-27 14:39:00,1690448940,1026.05,1027.0,1026.05,1027.0,1031.27,1010,0,1353821,0
2023-07-27 14:38:00,1690448880,1025.8,1026.5,1025.6,1026.25,1022.49,1540,0,1352811,0
2023-07-27 14:37:00,1690448820,1026.2,1026.6,1025.85,1025.85,1024.88,2110,0,1351271,0
2023-07-27 14:36:00,1690448760,1026.85,1027.5,1026.3,1026.3,1031.29,1275,0,1349161,0
2023-07-27 14:35:00,1690448700,1027.45,1027.95,1027.05,1027.05,1026.04,2565,0,1347886,0
2023-07-27 14:34:00,1690448640,1026.5,1029.25,1026.5,1027.3,1028.25,13142,0,1345321,0
2023-07-27 14:33:00,1690448580,1028.0,1028.1,1026.5,1027.0,1026.51,5511,0,1332179,0
2023-07-27 14:32:00,1690448520,1027.95,1028.9,1027.95,1028.1,1031.35,916,0,1326668,0
2023-07-27 14:31:00,1690448460,1026.85,1028.95,1026.85,1027.9,1027.89,11400,0,1325752,0
2023-07-27 14:30:00,1690448400,1027.0,1027.4,1026.7,1026.75,1031.38,1514,0,1314352,0
2023-07-27 14:29:00,1690448340,1026.85,1027.45,1026.7,1026.8,1031.38,960,0,1312838,0
2023-07-27 14:28:00,1690448280,1027.05,1027.65,1027.0,1027.0,1013.58,737,0,1311878,0
2023-07-27 14:27:00,1690448220,1027.35,1027.9,1027.1,1027.3,1031.39,822,0,1311141,0
2023-07-27 14:26:00,1690448160,1027.3,1028.15,1027.3,1027.65,1031.39,1029,0,1310319,0
2023-07-27 14:25:00,1690448100,1028.7,1028.7,1027.2,1027.4,1027.46,3330,0,1309290,0
2023-07-27 14:24:00,1690448040,1027.5,1029.2,1027.25,1028.65,1029.2,5922,0,1305960,0
2023-07-27 14:23:00,1690447980,1027.05,1027.8,1026.85,1027.3,1023.8,1708,0,1300038,0
2023-07-27 14:22:00,1690447920,1027.6,1028.0,1026.5,1027.0,1031.42,1411,0,1298330,0
2023-07-27 14:21:00,1690447860,1028.1,1028.95,1027.7,1027.7,1022.17,1401,0,1296919,0
2023-07-27 14:20:00,1690447800,1028.95,1029.5,1028.35,1028.35,1031.43,1559,0,1295518,0
2023-07-27 14:19:00,1690447740,1029.0,1029.55,1028.8,1029.45,1031.43,1582,0,1293959,0
2023-07-27 14:18:00,1690447680,1028.6,1029.4,1028.55,1028.75,1020.19,1149,0,1292377,0
2023-07-27 14:17:00,1690447620,1029.45,1029.65,1028.8,1028.8,1031.44,2177,0,1291228,0
2023-07-27 14:16:00,1690447560,1029.05,1029.6,1028.95,1029.0,1031.44,502,0,1289051,0
2023-07-27 14:15:00,1690447500,1029.05,1029.85,1029.0,1029.4,1031.44,498,0,1288549,0
2023-07-27 14:14:00,1690447440,1029.0,1029.8,1028.95,1029.45,1026.09,2406,0,1288051,0
2023-07-27 14:13:00,1690447380,1028.95,1029.65,1028.85,1028.95,1031.45,3939,0,1285645,0
2023-07-27 14:12:00,1690447320,1028.8,1029.4,1028.5,1028.9,1022.61,1449,0,1281706,0
2023-07-27 14:11:00,1690447260,1029.3,1029.6,1029.05,1029.05,1031.46,825,0,1280257,0
2023-07-27 14:10:00,1690447200,1029.45,1029.95,1029.3,1029.4,1031.46,1336,0,1279432,0
2023-07-27 14:09:00,1690447140,1030.0,1030.0,1029.4,1029.4,1031.46,699,0,1278096,0
2023-07-27 14:08:00,1690447080,1029.85,1030.0,1029.5,1029.5,1031.46,668,0,1277397,0
2023-07-27 14:07:00,1690447020,1029.9,1029.95,1029.45,1029.9,1031.46,738,0,1276729,0
2023-07-27 14:06:00,1690446960,1029.25,1029.7,1029.1,1029.2,1031.46,498,0,1275991,0
2023-07-27 14:05:00,1690446900,1029.35,1029.9,1029.3,1029.3,1031.46,648,0,1275493,0
2023-07-27 14:04:00,1690446840,1029.2,1029.95,1029.2,1029.75,1031.46,516,0,1274845,0
2023-07-27 14:03:00,1690446780,1029.35,1029.75,1029.25,1029.25,1018.89,1013,0,1274329,0
2023-07-27 14:02:00,1690446720,1029.9,1029.95,1029.4,1029.9,1031.47,395,0,1273316,0
2023-07-27 14:01:00,1690446660,1029.3,1030.0,1029.25,1029.95,1031.47,484,0,1272921,0
2023-07-27 14:00:00,1690446600,1029.75,1029.75,1029.35,1029.5,1031.47,3280,0,1272437,0
2023-07-27 13:59:00,1690446540,1029.75,1030.0,1029.75,1029.95,1031.47,531,0,1269157,0
2023-07-27 13:58:00,1690446480,1029.75,1030.0,1029.75,1029.85,1031.47,1465,0,1268626,0
2023-07-27 13:57:00,1690446420,1029.85,1030.0,1029.85,1030.0,1031.47,531,0,1267161,0
2023-07-27 13:56:00,1690446360,1029.7,1030.0,1029.7,1029.95,1031.47,373,0,1266630,0
2023-07-27 13:55:00,1690446300,1029.6,1030.0,1029.55,1029.95,1031.47,417,0,1266257,0
2023-07-27 13:54:00,1690446240,1029.35,1030.0,1029.35,1030.0,1002.9,443,0,1265840,0
2023-07-27 13:53:00,1690446180,1029.3,1029.85,1029.3,1029.65,1031.48,393,0,1265397,0
2023-07-27 13:52:00,1690446120,1029.2,1029.65,1029.2,1029.35,1031.48,412,0,1265004,0
2023-07-27 13:51:00,1690446060,1029.35,1029.75,1029.1,1029.75,1031.48,522,0,1264592,0
