time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,1693.0,1693.4,1692.05,1693.0,1695.26,2109,0,558089,0,17875
2023-08-01 15:27:00,1690883820,1692.7,1693.0,1691.8,1692.9,1689.14,1184,0,555980,0,17875
2023-08-01 15:26:00,1690883760,1692.65,1693.0,1692.6,1692.65,1693.29,2778,0,554796,0,17875
2023-08-01 15:25:00,1690883700,1691.95,1693.0,1691.45,1692.8,1692.29,4487,0,552018,0,17875
2023-08-01 15:24:00,1690883640,1690.95,1691.8,1690.05,1691.0,1690.94,3067,0,547531,0,17875
2023-08-01 15:23:00,1690883580,1690.95,1691.05,1690.85,1691.0,1689.4,775,0,544464,0,17875
2023-08-01 15:22:00,1690883520,1690.75,1690.95,1690.25,1690.85,1690.7,1700,0,543689,0,17875
2023-08-01 15:21:00,1690883460,1689.1,1690.5,1689.0,1690.25,1690.32,1640,0,541989,0,17875
2023-08-01 15:20:00,1690883400,1691.85,1691.85,1689.0,1689.0,1690.31,11200,0,540349,0,17875
2023-08-01 15:19:00,1690883340,1691.9,1691.9,1691.0,1691.05,1690.31,2341,0,529149,0,17875
2023-08-01 15:18:00,1690883280,1692.05,1692.05,1691.05,1691.2,1693.33,1991,0,526808,0,17875
2023-08-01 15:17:00,1690883220,1692.1,1693.0,1691.05,1691.05,1690.81,2391,0,524817,0,17875
2023-08-01 15:16:00,1690883160,1692.5,1693.0,1691.35,1693.0,1691.66,2112,0,522426,0,17875
2023-08-01 15:15:00,1690883100,1694.0,1694.0,1691.3,1692.4,1692.8,5502,0,520314,0,17875
2023-08-01 15:14:00,1690883040,1692.65,1693.9,1691.6,1693.9,1692.24,2153,0,514812,0,17875
2023-08-01 15:13:00,1690882980,1693.8,1694.0,1692.05,1692.25,1692.6,3513,0,512659,0,17875
2023-08-01 15:12:00,1690882920,1694.0,1694.0,1693.15,1694.0,1694.11,1000,0,509146,0,17875
2023-08-01 15:11:00,1690882860,1693.9,1694.05,1693.45,1694.05,1693.01,2241,0,508146,0,17875
2023-08-01 15:10:00,1690882800,1693.05,1694.05,1693.05,1694.05,1695.38,1126,0,505905,0,17875
2023-08-01 15:09:00,1690882740,1694.9,1695.0,1693.05,1693.65,1695.21,1100,0,504779,0,17875
2023-08-01 15:08:00,1690882680,1694.85,1694.85,1692.05,1694.65,1691.85,1203,0,503679,0,17875
2023-08-01 15:07:00,1690882620,1692.3,1694.9,1692.2,1694.9,1693.34,2258,0,502476,0,17875
2023-08-01 15:06:00,1690882560,1691.75,1692.9,1691.65,1692.9,1693.24,2218,0,500218,0,17875
2023-08-01 15:05:00,1690882500,1691.2,1691.8,1691.2,1691.8,1693.08,435,0,498000,0,17875
2023-08-01 15:04:00,1690882440,1691.1,1691.8,1690.75,1691.8,1690.33,1746,0,497565,0,17875
2023-08-01 15:03:00,1690882380,1691.0,1691.6,1691.0,1691.6,1694.9,512,0,495819,0,17875
2023-08-01 15:02:00,1690882320,1692.3,1692.3,1690.95,1691.6,1691.56,1517,0,495307,0,17875
2023-08-01 15:01:00,1690882260,1692.85,1693.0,1692.25,1692.35,1689.07,634,0,493790,0,17875
2023-08-01 15:00:00,1690882200,1692.0,1693.8,1691.35,1692.8,1692.26,4340,0,493156,0,17875
2023-08-01 14:59:00,1690882140,1688.4,1690.5,1688.4,1690.35,1689.84,5827,0,488816,0,17875
2023-08-01 14:58:00,1690882080,1688.0,1688.95,1688.0,1688.9,1687.0,538,0,482989,0,17875
2023-08-01 14:57:00,1690882020,1687.6,1688.95,1687.6,1688.95,1689.73,949,0,482451,0,17875
2023-08-01 14:56:00,1690881960,1688.35,1688.7,1686.95,1687.0,1689.79,633,0,481502,0,17875
2023-08-01 14:55:00,1690881900,1688.6,1688.95,1687.05,1688.7,1674.59,316,0,480869,0,17875
2023-08-01 14:54:00,1690881840,1687.9,1687.9,1686.55,1687.9,1688.54,1163,0,480553,0,17875
2023-08-01 14:53:00,1690881780,1688.0,1688.45,1687.15,1687.15,1688.44,576,0,479390,0,17875
2023-08-01 14:52:00,1690881720,1689.2,1689.6,1688.4,1688.7,1705.09,148,0,478814,0,17875
2023-08-01 14:51:00,1690881660,1688.4,1690.0,1688.4,1689.5,1686.96,1579,0,478666,0,17875
2023-08-01 14:50:00,1690881600,1688.1,1688.5,1687.6,1688.0,1686.96,524,0,477087,0,17875
2023-08-01 14:49:00,1690881540,1689.2,1689.2,1688.05,1688.95,1687.98,554,0,476563,0,17875
2023-08-01 14:48:00,1690881480,1689.25,1689.5,1689.0,1689.45,1705.19,186,0,476009,0,17875
2023-08-01 14:47:00,1690881420,1689.25,1689.55,1689.0,1689.0,1676.0,163,0,475823,0,17875
2023-08-01 14:46:00,1690881360,1690.0,1690.0,1689.55,1689.95,1685.3,239,0,475660,0,17875
2023-08-01 14:45:00,1690881300,1691.8,1691.8,1689.55,1689.55,1691.83,710,0,475421,0,17875
2023-08-01 14:44:00,1690881240,1690.2,1691.95,1689.2,1691.25,1691.06,2334,0,474711,0,17875
2023-08-01 14:43:00,1690881180,1690.55,1691.35,1690.3,1690.3,1692.01,710,0,472377,0,17875
2023-08-01 14:42:00,1690881120,1690.55,1691.45,1690.4,1690.4,1690.45,317,0,471667,0,17875
2023-08-01 14:41:00,1690881060,1690.95,1691.9,1690.65,1690.65,1685.99,487,0,471350,0,17875
2023-08-01 14:40:00,1690881000,1691.0,1691.9,1690.95,1691.05,1693.65,804,0,470863,0,17875
2023-08-01 14:39:00,1690880940,1691.8,1692.0,1691.15,1691.7,1692.25,1429,0,470059,0,17875
2023-08-01 14:38:00,1690880880,1691.6,1692.7,1691.4,1691.4,1690.73,956,0,468630,0,17875
2023-08-01 14:37:00,1690880820,1691.4,1692.2,1691.15,1691.55,1692.74,1103,0,467674,0,17875
2023-08-01 14:36:00,1690880760,1690.95,1692.2,1690.55,1692.2,1690.16,1822,0,466571,0,17875
2023-08-01 14:35:00,1690880700,1692.3,1692.3,1691.35,1691.35,1685.06,227,0,464749,0,17875
2023-08-01 14:34:00,1690880640,1690.75,1692.2,1690.4,1691.65,1693.95,1598,0,464522,0,17875
2023-08-01 14:33:00,1690880580,1692.0,1692.3,1690.8,1690.8,1681.73,388,0,462924,0,17875
2023-08-01 14:32:00,1690880520,1692.25,1693.65,1692.25,1692.4,1705.6,242,0,462536,0,17875
2023-08-01 14:31:00,1690880460,1690.8,1693.5,1690.8,1693.05,1692.26,1727,0,462294,0,17875
2023-08-01 14:30:00,1690880400,1692.55,1693.85,1691.5,1691.55,1693.47,1132,0,460567,0,17875
2023-08-01 14:29:00,1690880340,1692.8,1693.15,1692.05,1692.05,1688.1,783,0,459435,0,17875
2023-08-01 14:28:00,1690880280,1693.2,1693.2,1692.75,1692.75,1692.88,714,0,458652,0,17875
2023-08-01 14:27:00,1690880220,1694.0,1694.5,1693.65,1693.7,1693.84,1153,0,457938,0,17875
2023-08-01 14:26:00,1690880160,1693.2,1694.55,1692.6,1694.15,1695.1,1709,0,456785,0,17875
2023-08-01 14:25:00,1690880100,1690.0,1693.85,1689.9,1693.3,1690.6,3271,0,455076,0,17875
2023-08-01 14:24:00,1690880040,1689.85,1690.0,1688.95,1689.85,1689.19,540,0,451805,0,17875
2023-08-01 14:23:00,1690879980,1689.85,1690.0,1689.8,1690.0,1690.31,1727,0,451265,0,17875
