time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,322.6,323.0,322.15,322.85,322.8,42932,0,5859991,0,11872
2023-07-27 15:27:00,1690451820,323.4,323.4,322.4,322.4,323.97,32981,0,5817059,0,11872
2023-07-27 15:26:00,1690451760,323.05,323.55,323.05,323.1,322.8,41769,0,5784078,0,11872
2023-07-27 15:25:00,1690451700,323.2,323.4,323.0,323.2,323.71,33812,0,5742309,0,11872
2023-07-27 15:24:00,1690451640,323.2,323.3,322.8,323.1,322.01,33448,0,5708497,0,11872
2023-07-27 15:23:00,1690451580,322.8,323.05,322.65,323.05,323.06,50342,0,5675049,0,11872
2023-07-27 15:22:00,1690451520,322.9,323.0,322.65,323.0,323.73,32410,0,5624707,0,11872
2023-07-27 15:21:00,1690451460,322.4,322.95,322.4,322.95,322.53,41565,0,5592297,0,11872
2023-07-27 15:20:00,1690451400,322.3,322.65,322.1,322.65,321.86,65286,0,5550732,0,11872
2023-07-27 15:19:00,1690451340,322.05,322.4,321.95,322.4,322.41,27594,0,5485446,0,11872
2023-07-27 15:18:00,1690451280,322.0,322.3,321.75,322.3,322.15,43680,0,5457852,0,11872
2023-07-27 15:17:00,1690451220,322.3,322.3,321.85,322.2,322.23,42150,0,5414172,0,11872
2023-07-27 15:16:00,1690451160,322.35,322.45,322.0,322.15,322.98,34794,0,5372022,0,11872
2023-07-27 15:15:00,1690451100,322.4,322.5,322.05,322.2,322.02,43172,0,5337228,0,11872
2023-07-27 15:14:00,1690451040,321.75,322.5,321.75,322.45,321.73,76438,0,5294056,0,11872
2023-07-27 15:13:00,1690450980,320.95,321.85,320.95,321.7,321.64,91181,0,5217618,0,11872
2023-07-27 15:12:00,1690450920,320.5,320.9,320.4,320.9,320.66,41463,0,5126437,0,11872
2023-07-27 15:11:00,1690450860,320.25,320.5,319.75,320.45,319.8,62128,0,5084974,0,11872
2023-07-27 15:10:00,1690450800,319.8,320.35,319.55,320.1,319.69,32620,0,5022846,0,11872
2023-07-27 15:09:00,1690450740,319.65,320.0,319.45,320.0,320.52,21025,0,4990226,0,11872
2023-07-27 15:08:00,1690450680,319.3,319.75,319.25,319.6,318.15,14780,0,4969201,0,11872
2023-07-27 15:07:00,1690450620,318.75,319.65,318.45,319.65,319.51,36107,0,4954421,0,11872
2023-07-27 15:06:00,1690450560,318.5,318.75,318.3,318.6,318.14,13521,0,4918314,0,11872
2023-07-27 15:05:00,1690450500,318.5,318.5,318.35,318.35,318.14,6954,0,4904793,0,11872
2023-07-27 15:04:00,1690450440,318.45,318.55,318.35,318.35,318.14,4803,0,4897839,0,11872
2023-07-27 15:03:00,1690450380,318.55,318.95,318.5,318.55,318.14,5837,0,4893036,0,11872
2023-07-27 15:02:00,1690450320,318.25,318.7,318.2,318.7,318.14,3572,0,4887199,0,11872
2023-07-27 15:01:00,1690450260,318.4,318.75,318.2,318.4,319.73,30455,0,4883627,0,11872
2023-07-27 15:00:00,1690450200,318.35,318.75,318.2,318.35,318.13,3867,0,4853172,0,11872
2023-07-27 14:59:00,1690450140,318.9,318.9,318.1,318.15,318.13,19660,0,4849305,0,11872
2023-07-27 14:58:00,1690450080,318.9,319.2,318.6,318.8,318.13,18213,0,4829645,0,11872
2023-07-27 14:57:00,1690450020,319.55,319.55,319.0,319.0,318.13,15840,0,4811432,0,11872
2023-07-27 14:56:00,1690449960,319.65,319.65,319.35,319.35,321.44,14434,0,4795592,0,11872
2023-07-27 14:55:00,1690449900,319.25,319.65,319.2,319.5,318.12,21230,0,4781158,0,11872
2023-07-27 14:54:00,1690449840,319.4,319.45,319.0,319.2,320.76,17945,0,4759928,0,11872
2023-07-27 14:53:00,1690449780,319.2,319.45,319.15,319.25,318.11,8108,0,4741983,0,11872
