time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,2489.9,2491.0,2488.8,2490.0,2489.04,900,0,91503,0
2023-07-28 09:41:00,1690517460,2489.35,2492.0,2489.35,2489.95,2491.17,1931,0,90603,0
2023-07-28 09:40:00,1690517400,2487.0,2490.0,2486.85,2489.75,2488.99,2928,0,88672,0
2023-07-28 09:39:00,1690517340,2488.1,2490.0,2486.85,2487.1,2488.22,3068,0,85744,0
2023-07-28 09:38:00,1690517280,2485.7,2489.9,2483.65,2489.1,2485.9,2031,0,82676,0
2023-07-28 09:37:00,1690517220,2485.0,2486.15,2484.1,2484.4,2485.29,2844,0,80645,0
2023-07-28 09:36:00,1690517160,2489.15,2489.95,2485.0,2485.35,2487.64,5448,0,77801,0
2023-07-28 09:35:00,1690517100,2485.0,2491.2,2483.25,2491.15,2487.44,7653,0,72353,0
2023-07-28 09:34:00,1690517040,2483.1,2485.0,2480.3,2484.25,2483.06,2844,0,64700,0
2023-07-28 09:33:00,1690516980,2481.55,2483.8,2479.95,2482.1,2481.84,2697,0,61856,0
2023-07-28 09:32:00,1690516920,2478.8,2481.8,2477.65,2480.0,2480.14,3416,0,59159,0
2023-07-28 09:31:00,1690516860,2479.45,2480.5,2476.9,2480.0,2479.62,1866,0,55743,0
2023-07-28 09:30:00,1690516800,2479.0,2484.0,2478.7,2480.0,2481.43,5011,0,53877,0
2023-07-28 09:29:00,1690516740,2473.35,2481.7,2471.35,2480.0,2477.94,3735,0,48866,0
2023-07-28 09:28:00,1690516680,2479.25,2479.25,2474.0,2474.0,2476.32,2789,0,45131,0
2023-07-28 09:27:00,1690516620,2475.8,2480.0,2474.4,2478.4,2477.74,3807,0,42342,0
2023-07-28 09:26:00,1690516560,2477.75,2479.8,2474.35,2475.35,2476.95,2949,0,38535,0
2023-07-28 09:25:00,1690516500,2469.1,2479.6,2469.0,2477.8,2475.74,7144,0,35586,0
2023-07-28 09:24:00,1690516440,2469.0,2471.6,2468.7,2468.7,2469.94,1254,0,28442,0
2023-07-28 09:23:00,1690516380,2469.75,2472.5,2468.9,2470.0,2471.07,2342,0,27188,0
2023-07-28 09:22:00,1690516320,2473.1,2474.65,2468.0,2470.45,2471.08,1968,0,24846,0
2023-07-28 09:21:00,1690516260,2474.85,2475.8,2471.6,2473.85,2473.68,1391,0,22878,0
2023-07-28 09:20:00,1690516200,2476.0,2476.0,2471.95,2473.3,2474.22,3940,0,21487,0
2023-07-28 09:19:00,1690516140,2467.55,2476.0,2464.55,2474.45,2468.67,3500,0,17547,0
2023-07-28 09:18:00,1690516080,2467.5,2469.65,2465.55,2468.15,2467.18,974,0,14047,0
2023-07-28 09:17:00,1690516020,2474.7,2474.7,2467.9,2467.9,2471.25,4412,0,13073,0
2023-07-28 09:16:00,1690515960,2453.0,2471.65,2449.75,2471.0,2463.47,6148,0,8661,0
2023-07-28 09:15:00,1690515900,2452.05,2454.95,2444.8,2451.95,2450.5,2190,0,2513,0
