time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-08 15:28:00,1691488680,3068.05,3070.5,3066.95,3070.0,3069.42,14331,0,2017062,0,1348
2023-08-08 15:27:00,1691488620,3066.45,3069.7,3066.15,3068.1,3067.19,7853,0,2002731,0,1348
2023-08-08 15:26:00,1691488560,3066.9,3066.95,3066.0,3066.4,3068.38,4500,0,1994878,0,1348
2023-08-08 15:25:00,1691488500,3066.1,3066.95,3065.4,3066.95,3064.84,3732,0,1990378,0,1348
2023-08-08 15:24:00,1691488440,3066.1,3067.35,3064.3,3065.85,3066.25,5873,0,1986646,0,1348
2023-08-08 15:23:00,1691488380,3065.0,3067.95,3064.8,3066.15,3065.93,6127,0,1980773,0,1348
2023-08-08 15:22:00,1691488320,3063.6,3065.95,3061.1,3064.85,3065.41,6623,0,1974646,0,1348
2023-08-08 15:21:00,1691488260,3062.6,3066.6,3062.6,3063.55,3064.11,4213,0,1968023,0,1348
2023-08-08 15:20:00,1691488200,3065.85,3069.0,3062.1,3062.7,3065.66,21824,0,1963810,0,1348
2023-08-08 15:19:00,1691488140,3064.0,3066.5,3064.0,3065.95,3067.39,7237,0,1941986,0,1348
2023-08-08 15:18:00,1691488080,3064.75,3066.75,3064.35,3065.75,3064.45,15012,0,1934749,0,1348
2023-08-08 15:17:00,1691488020,3064.9,3066.5,3064.0,3065.0,3065.08,6609,0,1919737,0,1348
2023-08-08 15:16:00,1691487960,3067.0,3068.85,3064.65,3065.0,3068.07,8662,0,1913128,0,1348
2023-08-08 15:15:00,1691487900,3065.4,3067.05,3064.75,3066.45,3066.02,8385,0,1904466,0,1348
2023-08-08 15:14:00,1691487840,3065.85,3065.85,3062.3,3065.0,3063.03,9875,0,1896081,0,1348
2023-08-08 15:13:00,1691487780,3066.9,3066.9,3065.15,3066.5,3066.94,7272,0,1886206,0,1348
2023-08-08 15:12:00,1691487720,3068.75,3068.8,3066.45,3066.95,3067.41,4541,0,1878934,0,1348
2023-08-08 15:11:00,1691487660,3067.85,3069.0,3067.1,3068.65,3069.6,5359,0,1874393,0,1348
2023-08-08 15:10:00,1691487600,3068.15,3068.5,3067.0,3067.95,3067.83,6407,0,1869034,0,1348
2023-08-08 15:09:00,1691487540,3068.45,3068.75,3067.1,3068.2,3068.66,5810,0,1862627,0,1348
2023-08-08 15:08:00,1691487480,3068.3,3068.95,3067.1,3068.5,3066.34,5080,0,1856817,0,1348
2023-08-08 15:07:00,1691487420,3069.0,3069.0,3067.35,3067.65,3070.94,3102,0,1851737,0,1348
2023-08-08 15:06:00,1691487360,3068.0,3069.0,3067.55,3068.85,3068.75,3788,0,1848635,0,1348
2023-08-08 15:05:00,1691487300,3068.3,3069.0,3067.1,3068.1,3065.98,5256,0,1844847,0,1348
2023-08-08 15:04:00,1691487240,3068.25,3069.0,3067.25,3068.05,3067.03,4552,0,1839591,0,1348
2023-08-08 15:03:00,1691487180,3070.0,3070.0,3067.2,3068.3,3069.06,3621,0,1835039,0,1348
