time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,3153.95,3157.0,3147.0,3155.05,3153.76,2548,0,524418,0
2023-07-27 15:28:00,1690451880,3155.15,3158.95,3150.0,3150.0,3155.18,5465,0,521870,0
2023-07-27 15:27:00,1690451820,3155.45,3156.75,3153.85,3154.45,3154.32,1906,0,516405,0
2023-07-27 15:26:00,1690451760,3154.45,3157.45,3153.25,3155.35,3155.9,2772,0,514499,0
2023-07-27 15:25:00,1690451700,3152.05,3154.55,3151.5,3154.4,3152.66,3233,0,511727,0
2023-07-27 15:24:00,1690451640,3154.9,3154.9,3151.6,3152.45,3151.98,3450,0,508494,0
2023-07-27 15:23:00,1690451580,3154.9,3155.0,3151.2,3153.9,3154.03,4332,0,505044,0
2023-07-27 15:22:00,1690451520,3154.9,3155.1,3153.45,3154.85,3154.48,3716,0,500712,0
2023-07-27 15:21:00,1690451460,3149.1,3155.0,3149.0,3155.0,3151.77,7272,0,496996,0
2023-07-27 15:20:00,1690451400,3144.9,3150.0,3144.9,3149.85,3147.87,5853,0,489724,0
2023-07-27 15:19:00,1690451340,3137.8,3146.6,3136.45,3144.5,3141.52,8617,0,483871,0
2023-07-27 15:18:00,1690451280,3136.75,3137.9,3134.4,3136.65,3135.99,3477,0,475254,0
2023-07-27 15:17:00,1690451220,3134.4,3136.5,3133.7,3136.5,3135.89,4136,0,471777,0
2023-07-27 15:16:00,1690451160,3134.5,3135.35,3133.55,3134.0,3134.59,1505,0,467641,0
2023-07-27 15:15:00,1690451100,3133.15,3135.0,3132.95,3134.8,3133.07,3815,0,466136,0
2023-07-27 15:14:00,1690451040,3131.55,3134.25,3131.55,3133.2,3132.76,3860,0,462321,0
2023-07-27 15:13:00,1690450980,3129.55,3132.0,3128.55,3132.0,3130.39,3250,0,458461,0
2023-07-27 15:12:00,1690450920,3129.0,3130.95,3129.0,3130.35,3130.65,2078,0,455211,0
2023-07-27 15:11:00,1690450860,3127.5,3129.05,3127.5,3129.05,3126.59,962,0,453133,0
2023-07-27 15:10:00,1690450800,3124.45,3127.4,3124.15,3127.05,3125.83,2276,0,452171,0
2023-07-27 15:09:00,1690450740,3123.95,3125.85,3123.5,3123.7,3124.31,3631,0,449895,0
2023-07-27 15:08:00,1690450680,3125.05,3125.95,3121.35,3124.0,3124.14,1926,0,446264,0
2023-07-27 15:07:00,1690450620,3124.7,3126.1,3123.1,3125.0,3124.38,1729,0,444338,0
2023-07-27 15:06:00,1690450560,3123.05,3125.95,3123.05,3124.4,3124.88,2866,0,442609,0
2023-07-27 15:05:00,1690450500,3124.7,3126.8,3117.9,3123.0,3120.35,11828,0,439743,0
2023-07-27 15:04:00,1690450440,3124.15,3125.95,3122.0,3123.85,3123.88,4148,0,427915,0
2023-07-27 15:03:00,1690450380,3125.0,3126.45,3124.15,3124.5,3124.73,1451,0,423767,0
2023-07-27 15:02:00,1690450320,3123.35,3126.0,3123.35,3126.0,3124.0,1919,0,422316,0
2023-07-27 15:01:00,1690450260,3123.2,3124.95,3122.95,3124.0,3124.61,1490,0,420397,0
2023-07-27 15:00:00,1690450200,3124.6,3124.9,3122.4,3123.3,3123.07,9522,0,418907,0
2023-07-27 14:59:00,1690450140,3122.5,3123.5,3121.0,3122.95,3121.76,2617,0,409385,0
2023-07-27 14:58:00,1690450080,3122.1,3122.95,3121.7,3122.35,3121.76,1225,0,406768,0
2023-07-27 14:57:00,1690450020,3123.8,3123.8,3122.0,3122.0,3122.61,4697,0,405543,0
2023-07-27 14:56:00,1690449960,3120.95,3123.0,3120.8,3122.85,3121.75,871,0,400846,0
