time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,452.85,453.0,451.05,452.8,452.57,27851,0,5606602,0,1363
2023-07-27 15:27:00,1690451820,452.9,453.0,452.65,452.9,452.1,22384,0,5578751,0,1363
2023-07-27 15:26:00,1690451760,452.95,453.0,452.9,453.0,454.6,19998,0,5556367,0,1363
2023-07-27 15:25:00,1690451700,452.9,453.0,452.9,453.0,452.31,24090,0,5536369,0,1363
2023-07-27 15:24:00,1690451640,452.9,453.0,452.55,453.0,453.09,36098,0,5512279,0,1363
2023-07-27 15:23:00,1690451580,452.45,452.9,452.3,452.8,452.83,30465,0,5476181,0,1363
2023-07-27 15:22:00,1690451520,452.3,452.55,452.05,452.4,451.12,30920,0,5445716,0,1363
2023-07-27 15:21:00,1690451460,451.7,452.15,451.4,452.15,451.79,37679,0,5414796,0,1363
2023-07-27 15:20:00,1690451400,451.0,451.7,450.95,451.6,451.01,43741,0,5377117,0,1363
2023-07-27 15:19:00,1690451340,451.0,451.4,450.95,450.95,452.56,24827,0,5333376,0,1363
2023-07-27 15:18:00,1690451280,450.9,451.15,450.4,451.15,449.63,31225,0,5308549,0,1363
2023-07-27 15:17:00,1690451220,450.8,451.0,450.3,451.0,450.7,38933,0,5277324,0,1363
2023-07-27 15:16:00,1690451160,451.45,451.5,450.65,450.65,451.57,32548,0,5238391,0,1363
2023-07-27 15:15:00,1690451100,451.45,451.75,450.75,451.65,451.39,60693,0,5205843,0,1363
2023-07-27 15:14:00,1690451040,451.8,452.0,451.2,451.55,451.44,30225,0,5145150,0,1363
2023-07-27 15:13:00,1690450980,451.6,451.95,451.1,451.75,451.24,28193,0,5114925,0,1363
2023-07-27 15:12:00,1690450920,451.1,451.8,451.0,451.45,451.94,34534,0,5086732,0,1363
2023-07-27 15:11:00,1690450860,451.55,451.8,451.05,451.25,450.98,38555,0,5052198,0,1363
2023-07-27 15:10:00,1690450800,451.9,452.2,451.1,451.3,451.74,31395,0,5013643,0,1363
2023-07-27 15:09:00,1690450740,451.45,452.25,450.95,451.8,451.25,66713,0,4982248,0,1363
2023-07-27 15:08:00,1690450680,451.25,451.65,451.25,451.6,452.29,18176,0,4915535,0,1363
2023-07-27 15:07:00,1690450620,451.9,451.9,451.25,451.5,451.45,27483,0,4897359,0,1363
2023-07-27 15:06:00,1690450560,452.1,452.35,451.55,451.75,452.74,21288,0,4869876,0,1363
2023-07-27 15:05:00,1690450500,451.45,452.65,451.4,451.9,451.5,27325,0,4848588,0,1363
2023-07-27 15:04:00,1690450440,449.85,451.9,449.85,451.4,451.06,36016,0,4821263,0,1363
2023-07-27 15:03:00,1690450380,449.7,450.3,449.55,449.95,450.0,28123,0,4785247,0,1363
2023-07-27 15:02:00,1690450320,449.1,449.85,448.8,449.65,448.9,38009,0,4757124,0,1363
2023-07-27 15:01:00,1690450260,449.65,449.95,448.85,449.0,449.94,26981,0,4719115,0,1363
2023-07-27 15:00:00,1690450200,448.45,449.7,448.4,449.7,448.29,20329,0,4692134,0,1363
2023-07-27 14:59:00,1690450140,448.55,448.8,448.15,448.3,448.31,20210,0,4671805,0,1363
2023-07-27 14:58:00,1690450080,449.1,449.1,448.4,448.5,448.96,7387,0,4651595,0,1363
2023-07-27 14:57:00,1690450020,449.6,449.7,448.85,449.15,449.19,45500,0,4644208,0,1363
2023-07-27 14:56:00,1690449960,449.9,450.15,449.35,449.45,449.88,25222,0,4598708,0,1363
2023-07-27 14:55:00,1690449900,449.9,450.0,449.8,449.85,455.35,1725,0,4573486,0,1363
2023-07-27 14:54:00,1690449840,450.1,450.15,449.85,450.0,455.35,4186,0,4571761,0,1363
2023-07-27 14:53:00,1690449780,450.0,450.2,449.85,450.0,450.08,25864,0,4567575,0,1363
2023-07-27 14:52:00,1690449720,450.15,450.3,450.0,450.05,447.39,5679,0,4541711,0,1363
2023-07-27 14:51:00,1690449660,450.55,450.6,450.2,450.25,446.77,5257,0,4536032,0,1363
2023-07-27 14:50:00,1690449600,450.3,450.7,450.3,450.5,455.4,2917,0,4530775,0,1363
2023-07-27 14:49:00,1690449540,450.65,450.75,450.2,450.45,455.4,3242,0,4527858,0,1363
2023-07-27 14:48:00,1690449480,450.55,450.85,450.5,450.6,441.78,3321,0,4524616,0,1363
2023-07-27 14:47:00,1690449420,450.9,451.0,450.75,450.8,455.41,5622,0,4521295,0,1363
2023-07-27 14:46:00,1690449360,450.65,450.8,450.6,450.8,433.29,2041,0,4515673,0,1363
2023-07-27 14:45:00,1690449300,450.7,450.75,450.55,450.75,455.42,7884,0,4513632,0,1363
2023-07-27 14:44:00,1690449240,450.45,450.75,450.2,450.6,449.92,16338,0,4505748,0,1363
2023-07-27 14:43:00,1690449180,450.4,450.5,450.25,450.5,447.28,5496,0,4489410,0,1363
2023-07-27 14:42:00,1690449120,450.6,450.65,450.4,450.45,455.45,5914,0,4483914,0,1363
2023-07-27 14:41:00,1690449060,450.4,450.65,450.4,450.65,437.56,2502,0,4478000,0,1363
2023-07-27 14:40:00,1690449000,450.45,450.55,450.15,450.55,455.46,5536,0,4475498,0,1363
2023-07-27 14:39:00,1690448940,450.5,450.65,450.2,450.5,443.31,3677,0,4469962,0,1363
2023-07-27 14:38:00,1690448880,450.3,450.75,450.15,450.3,450.19,16864,0,4466285,0,1363
2023-07-27 14:37:00,1690448820,450.85,450.85,450.25,450.55,450.44,17566,0,4449421,0,1363
2023-07-27 14:36:00,1690448760,451.2,451.2,450.6,450.8,455.51,3521,0,4431855,0,1363
2023-07-27 14:35:00,1690448700,451.45,451.55,450.9,451.15,450.31,8505,0,4428334,0,1363
2023-07-27 14:34:00,1690448640,451.35,451.5,451.3,451.5,455.52,2933,0,4419829,0,1363
2023-07-27 14:33:00,1690448580,451.25,451.6,451.25,451.45,455.52,3687,0,4416896,0,1363
2023-07-27 14:32:00,1690448520,451.2,451.4,451.1,451.3,441.89,3236,0,4413209,0,1363
2023-07-27 14:31:00,1690448460,451.85,451.85,451.25,451.25,449.74,7611,0,4409973,0,1363
2023-07-27 14:30:00,1690448400,451.7,451.9,451.6,451.7,455.54,5907,0,4402362,0,1363
2023-07-27 14:29:00,1690448340,451.95,451.95,451.7,451.75,455.54,2548,0,4396455,0,1363
2023-07-27 14:28:00,1690448280,451.15,452.0,451.15,451.8,446.38,4796,0,4393907,0,1363
2023-07-27 14:27:00,1690448220,451.15,451.4,451.05,451.35,455.55,2870,0,4389111,0,1363
2023-07-27 14:26:00,1690448160,451.2,451.55,450.85,450.9,450.68,26866,0,4386241,0,1363
2023-07-27 14:25:00,1690448100,451.65,451.7,451.1,451.25,452.81,15696,0,4359375,0,1363
2023-07-27 14:24:00,1690448040,451.85,451.85,451.5,451.6,449.34,6947,0,4343679,0,1363
2023-07-27 14:23:00,1690447980,451.75,451.9,451.6,451.7,455.6,6297,0,4336732,0,1363
