time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,150.65,150.95,150.65,150.75,149.6,128608,0,53019665,0,17939
2023-08-01 15:27:00,1690883820,150.95,150.95,150.75,150.8,149.6,51095,0,52891057,0,17939
2023-08-01 15:26:00,1690883760,150.7,150.95,150.7,150.9,149.6,98367,0,52839962,0,17939
2023-08-01 15:25:00,1690883700,150.6,150.85,150.6,150.75,156.55,75698,0,52741595,0,17939
2023-08-01 15:24:00,1690883640,150.55,150.85,150.5,150.65,149.59,152105,0,52665897,0,17939
2023-08-01 15:23:00,1690883580,150.4,150.55,150.35,150.5,149.59,74627,0,52513792,0,17939
2023-08-01 15:22:00,1690883520,150.15,150.4,150.15,150.35,149.59,38492,0,52439165,0,17939
2023-08-01 15:21:00,1690883460,150.15,150.2,150.0,150.2,149.59,67841,0,52400673,0,17939
2023-08-01 15:20:00,1690883400,150.15,150.45,150.05,150.05,150.94,382217,0,52332832,0,17939
2023-08-01 15:19:00,1690883340,150.35,150.45,150.15,150.3,149.58,158370,0,51950615,0,17939
2023-08-01 15:18:00,1690883280,150.4,150.45,150.2,150.2,149.58,184504,0,51792245,0,17939
2023-08-01 15:17:00,1690883220,150.1,150.35,150.0,150.35,149.58,168961,0,51607741,0,17939
2023-08-01 15:16:00,1690883160,150.2,150.2,150.05,150.2,149.58,138262,0,51438780,0,17939
2023-08-01 15:15:00,1690883100,150.3,150.4,150.05,150.3,152.12,200853,0,51300518,0,17939
2023-08-01 15:14:00,1690883040,150.35,150.45,150.3,150.35,149.57,83806,0,51099665,0,17939
2023-08-01 15:13:00,1690882980,150.45,150.45,150.3,150.3,149.57,125028,0,51015859,0,17939
2023-08-01 15:12:00,1690882920,150.2,150.4,150.1,150.4,149.57,65910,0,50890831,0,17939
2023-08-01 15:11:00,1690882860,150.15,150.3,150.1,150.15,149.57,43196,0,50824921,0,17939
2023-08-01 15:10:00,1690882800,150.25,150.3,150.1,150.1,149.57,108829,0,50781725,0,17939
2023-08-01 15:09:00,1690882740,150.35,150.4,150.25,150.3,149.57,79551,0,50672896,0,17939
2023-08-01 15:08:00,1690882680,150.25,150.45,150.25,150.4,149.57,42937,0,50593345,0,17939
2023-08-01 15:07:00,1690882620,150.45,150.5,150.2,150.35,149.57,37731,0,50550408,0,17939
2023-08-01 15:06:00,1690882560,150.3,150.6,150.3,150.4,157.75,61614,0,50512677,0,17939
2023-08-01 15:05:00,1690882500,150.5,150.5,150.1,150.35,149.56,76397,0,50451063,0,17939
2023-08-01 15:04:00,1690882440,150.8,150.8,150.4,150.55,149.56,92942,0,50374666,0,17939
2023-08-01 15:03:00,1690882380,150.65,150.95,150.6,150.7,149.56,131366,0,50281724,0,17939
2023-08-01 15:02:00,1690882320,150.35,150.7,150.35,150.7,149.56,53773,0,50150358,0,17939
2023-08-01 15:01:00,1690882260,150.6,150.65,150.35,150.4,153.78,118180,0,50096585,0,17939
2023-08-01 15:00:00,1690882200,149.85,150.75,149.85,150.65,149.55,181934,0,49978405,0,17939
2023-08-01 14:59:00,1690882140,149.8,149.9,149.8,149.9,149.55,32583,0,49796471,0,17939
2023-08-01 14:58:00,1690882080,149.85,149.9,149.75,149.85,149.55,19933,0,49763888,0,17939
2023-08-01 14:57:00,1690882020,149.8,149.85,149.6,149.8,149.55,29194,0,49743955,0,17939
2023-08-01 14:56:00,1690881960,149.7,149.85,149.55,149.85,149.55,51052,0,49714761,0,17939
2023-08-01 14:55:00,1690881900,149.8,149.9,149.7,149.8,149.55,34674,0,49663709,0,17939
2023-08-01 14:54:00,1690881840,149.85,150.0,149.7,149.95,149.55,65340,0,49629035,0,17939
2023-08-01 14:53:00,1690881780,149.75,150.0,149.7,149.8,149.55,75747,0,49563695,0,17939
2023-08-01 14:52:00,1690881720,149.15,149.8,148.95,149.7,149.55,208172,0,49487948,0,17939
2023-08-01 14:51:00,1690881660,149.25,149.4,149.05,149.05,149.55,114047,0,49279776,0,17939
2023-08-01 14:50:00,1690881600,149.2,149.45,149.15,149.2,149.55,102014,0,49165729,0,17939
2023-08-01 14:49:00,1690881540,149.35,149.6,149.15,149.25,149.55,86433,0,49063715,0,17939
2023-08-01 14:48:00,1690881480,149.7,149.75,149.4,149.4,149.55,99462,0,48977282,0,17939
2023-08-01 14:47:00,1690881420,149.9,150.05,149.6,149.65,149.55,80909,0,48877820,0,17939
2023-08-01 14:46:00,1690881360,150.0,150.1,149.85,149.85,149.55,35289,0,48796911,0,17939
2023-08-01 14:45:00,1690881300,149.85,150.15,149.8,150.05,149.55,30448,0,48761622,0,17939
2023-08-01 14:44:00,1690881240,149.75,149.95,149.4,149.8,149.55,264212,0,48731174,0,17939
2023-08-01 14:43:00,1690881180,149.85,149.95,149.55,149.6,149.55,94858,0,48466962,0,17939
2023-08-01 14:42:00,1690881120,150.35,150.35,149.85,149.9,149.55,138627,0,48372104,0,17939
2023-08-01 14:41:00,1690881060,150.55,150.6,150.3,150.3,149.55,73204,0,48233477,0,17939
2023-08-01 14:40:00,1690881000,150.6,150.7,150.5,150.5,149.55,58560,0,48160273,0,17939
2023-08-01 14:39:00,1690880940,150.75,150.8,150.6,150.65,149.55,11737,0,48101713,0,17939
2023-08-01 14:38:00,1690880880,150.75,150.8,150.7,150.8,149.55,5577,0,48089976,0,17939
2023-08-01 14:37:00,1690880820,150.7,150.9,150.7,150.7,149.55,25469,0,48084399,0,17939
2023-08-01 14:36:00,1690880760,150.85,150.95,150.6,150.8,149.55,27258,0,48058930,0,17939
2023-08-01 14:35:00,1690880700,150.6,150.95,150.55,150.9,159.05,50475,0,48031672,0,17939
2023-08-01 14:34:00,1690880640,150.8,150.8,150.55,150.65,149.54,31995,0,47981197,0,17939
2023-08-01 14:33:00,1690880580,150.5,150.8,150.4,150.75,149.54,93839,0,47949202,0,17939
