time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,127.05,127.1,127.0,127.1,127.11,2994,0,607751,0
2023-07-28 09:41:00,1690517460,126.95,127.2,126.95,127.2,126.86,23681,0,604757,0
2023-07-28 09:40:00,1690517400,126.9,127.0,126.8,126.9,127.12,4913,0,581076,0
2023-07-28 09:39:00,1690517340,127.0,127.05,126.85,126.85,127.12,4622,0,576163,0
2023-07-28 09:38:00,1690517280,127.0,127.1,126.9,126.9,126.78,16629,0,571541,0
2023-07-28 09:37:00,1690517220,126.85,126.95,126.85,126.95,127.13,6158,0,554912,0
2023-07-28 09:36:00,1690517160,126.8,127.0,126.8,126.8,126.52,17433,0,548754,0
2023-07-28 09:35:00,1690517100,126.75,126.75,126.6,126.7,127.15,11781,0,531321,0
2023-07-28 09:34:00,1690517040,126.6,126.85,126.6,126.65,127.15,8115,0,519540,0
2023-07-28 09:33:00,1690516980,126.65,126.75,126.5,126.55,126.47,14754,0,511425,0
2023-07-28 09:32:00,1690516920,126.55,126.65,126.5,126.55,127.17,2178,0,496671,0
2023-07-28 09:31:00,1690516860,126.65,126.65,126.5,126.65,126.57,8182,0,494493,0
2023-07-28 09:30:00,1690516800,126.6,126.7,126.5,126.55,126.42,6361,0,486311,0
2023-07-28 09:29:00,1690516740,126.65,126.75,126.55,126.65,126.66,17456,0,479950,0
2023-07-28 09:28:00,1690516680,127.05,127.05,126.6,126.6,126.72,9291,0,462494,0
2023-07-28 09:27:00,1690516620,127.15,127.15,126.85,126.95,126.96,17280,0,453203,0
2023-07-28 09:26:00,1690516560,127.35,127.35,127.05,127.05,127.23,19142,0,435923,0
2023-07-28 09:25:00,1690516500,126.85,127.35,126.85,127.25,127.23,24039,0,416781,0
2023-07-28 09:24:00,1690516440,126.55,126.9,126.55,126.9,126.7,7286,0,392742,0
2023-07-28 09:23:00,1690516380,126.8,126.8,126.4,126.5,126.52,29747,0,385456,0
2023-07-28 09:22:00,1690516320,126.65,126.95,126.6,126.9,127.3,4506,0,355709,0
2023-07-28 09:21:00,1690516260,126.45,126.65,126.45,126.6,126.58,23028,0,351203,0
2023-07-28 09:20:00,1690516200,126.55,126.95,126.55,126.8,126.56,8130,0,328175,0
2023-07-28 09:19:00,1690516140,126.9,126.9,126.4,126.65,126.64,38971,0,320045,0
2023-07-28 09:18:00,1690516080,127.1,127.25,126.75,126.95,126.96,54238,0,281074,0
2023-07-28 09:17:00,1690516020,127.8,127.8,126.8,126.95,127.3,97070,0,226836,0
2023-07-28 09:16:00,1690515960,127.75,128.05,127.25,127.9,127.68,44224,0,129766,0
2023-07-28 09:15:00,1690515900,127.5,128.05,127.25,128.0,127.88,71716,0,85542,0
