time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,279.55,279.7,279.55,279.6,282.56,17351,0,7421613,0,1406
2023-07-28 15:27:00,1690538220,279.55,279.7,279.55,279.6,275.74,32442,0,7404262,0,1406
2023-07-28 15:26:00,1690538160,279.4,279.65,279.4,279.6,282.59,22039,0,7371820,0,1406
2023-07-28 15:25:00,1690538100,279.45,279.6,279.35,279.45,282.59,21381,0,7349781,0,1406
2023-07-28 15:24:00,1690538040,279.5,279.5,279.35,279.4,277.52,28825,0,7328400,0,1406
2023-07-28 15:23:00,1690537980,279.45,279.5,279.45,279.45,282.61,12053,0,7299575,0,1406
2023-07-28 15:22:00,1690537920,279.5,279.6,279.45,279.5,273.77,8241,0,7287522,0,1406
2023-07-28 15:21:00,1690537860,279.35,279.6,279.35,279.6,282.62,13659,0,7279281,0,1406
2023-07-28 15:20:00,1690537800,279.35,279.7,279.35,279.5,279.21,42483,0,7265622,0,1406
2023-07-28 15:19:00,1690537740,279.55,279.65,279.35,279.5,279.33,21763,0,7223139,0,1406
2023-07-28 15:18:00,1690537680,279.6,279.65,279.15,279.5,279.11,40531,0,7201376,0,1406
2023-07-28 15:17:00,1690537620,279.45,279.8,279.4,279.65,279.69,24009,0,7160845,0,1406
2023-07-28 15:16:00,1690537560,279.65,279.65,279.4,279.4,279.89,25553,0,7136836,0,1406
2023-07-28 15:15:00,1690537500,279.7,279.8,279.45,279.6,279.15,39967,0,7111283,0,1406
2023-07-28 15:14:00,1690537440,279.5,279.65,279.3,279.6,279.79,24165,0,7071316,0,1406
2023-07-28 15:13:00,1690537380,279.4,279.5,279.25,279.3,279.3,20591,0,7047151,0,1406
2023-07-28 15:12:00,1690537320,279.5,279.65,279.4,279.5,282.73,12977,0,7026560,0,1406
2023-07-28 15:11:00,1690537260,279.05,279.8,279.0,279.65,279.09,76427,0,7013583,0,1406
2023-07-28 15:10:00,1690537200,279.15,279.15,279.0,279.15,279.97,24688,0,6937156,0,1406
2023-07-28 15:09:00,1690537140,279.15,279.3,279.0,279.05,276.45,21783,0,6912468,0,1406
2023-07-28 15:08:00,1690537080,279.1,279.3,279.05,279.3,279.25,19364,0,6890685,0,1406
2023-07-28 15:07:00,1690537020,279.3,279.3,279.0,279.05,279.22,19129,0,6871321,0,1406
2023-07-28 15:06:00,1690536960,279.4,279.45,279.15,279.2,282.82,16809,0,6852192,0,1406
2023-07-28 15:05:00,1690536900,279.45,279.45,279.35,279.45,273.39,7244,0,6835383,0,1406
2023-07-28 15:04:00,1690536840,279.3,279.45,279.15,279.35,280.56,30068,0,6828139,0,1406
2023-07-28 15:03:00,1690536780,279.35,279.35,279.15,279.15,277.98,13979,0,6798071,0,1406
2023-07-28 15:02:00,1690536720,279.4,279.5,279.15,279.3,279.18,18483,0,6784092,0,1406
2023-07-28 15:01:00,1690536660,279.45,279.65,279.3,279.5,277.82,13406,0,6765609,0,1406
2023-07-28 15:00:00,1690536600,279.15,279.65,279.15,279.25,280.56,29164,0,6752203,0,1406
2023-07-28 14:59:00,1690536540,279.3,279.3,279.05,279.2,279.52,19962,0,6723039,0,1406
2023-07-28 14:58:00,1690536480,279.25,279.35,279.25,279.25,272.48,6433,0,6703077,0,1406
2023-07-28 14:57:00,1690536420,279.2,279.25,279.1,279.2,282.9,5716,0,6696644,0,1406
2023-07-28 14:56:00,1690536360,279.25,279.25,279.05,279.1,282.9,6879,0,6690928,0,1406
2023-07-28 14:55:00,1690536300,279.05,279.45,279.0,279.2,277.14,23146,0,6684049,0,1406
2023-07-28 14:54:00,1690536240,279.0,279.1,279.0,279.1,282.92,12213,0,6660903,0,1406
2023-07-28 14:53:00,1690536180,279.25,279.25,279.0,279.1,277.36,23860,0,6648690,0,1406
2023-07-28 14:52:00,1690536120,279.1,279.3,279.05,279.15,282.94,10110,0,6624830,0,1406
2023-07-28 14:51:00,1690536060,279.2,279.4,279.1,279.2,279.13,17319,0,6614720,0,1406
2023-07-28 14:50:00,1690536000,279.35,279.35,279.0,279.15,279.45,18831,0,6597401,0,1406
2023-07-28 14:49:00,1690535940,278.9,279.1,278.7,278.9,276.61,20679,0,6578570,0,1406
2023-07-28 14:48:00,1690535880,278.35,279.1,278.3,278.8,279.0,32856,0,6557891,0,1406
2023-07-28 14:47:00,1690535820,278.5,278.7,278.3,278.3,280.33,24401,0,6525035,0,1406
2023-07-28 14:46:00,1690535760,278.55,278.6,278.3,278.4,276.83,20993,0,6500634,0,1406
2023-07-28 14:45:00,1690535700,278.4,278.65,278.4,278.6,276.66,10162,0,6479641,0,1406
2023-07-28 14:44:00,1690535640,278.75,278.75,278.3,278.5,279.65,19048,0,6469479,0,1406
2023-07-28 14:43:00,1690535580,278.35,278.5,278.3,278.4,283.05,4732,0,6450431,0,1406
2023-07-28 14:42:00,1690535520,278.15,278.7,278.1,278.5,276.41,19376,0,6445699,0,1406
2023-07-28 14:41:00,1690535460,278.5,278.5,278.1,278.1,283.07,5842,0,6426323,0,1406
2023-07-28 14:40:00,1690535400,278.35,278.5,278.1,278.35,276.16,9289,0,6420481,0,1406
2023-07-28 14:39:00,1690535340,278.35,278.6,278.15,278.2,279.73,19135,0,6411192,0,1406
2023-07-28 14:38:00,1690535280,278.45,278.45,278.0,278.25,278.32,26738,0,6392057,0,1406
2023-07-28 14:37:00,1690535220,278.65,278.65,278.1,278.3,278.22,25960,0,6365319,0,1406
2023-07-28 14:36:00,1690535160,278.3,278.75,278.2,278.45,279.51,17507,0,6339359,0,1406
2023-07-28 14:35:00,1690535100,277.9,278.25,277.8,278.2,276.96,20425,0,6321852,0,1406
2023-07-28 14:34:00,1690535040,278.1,278.1,277.6,277.75,277.39,43434,0,6301427,0,1406
2023-07-28 14:33:00,1690534980,278.65,278.75,277.85,278.0,278.6,80676,0,6257993,0,1406
2023-07-28 14:32:00,1690534920,278.8,278.8,278.6,278.6,278.41,12722,0,6177317,0,1406
2023-07-28 14:31:00,1690534860,279.0,279.0,278.7,278.75,276.67,18625,0,6164595,0,1406
2023-07-28 14:30:00,1690534800,278.75,279.3,278.75,278.8,278.88,41549,0,6145970,0,1406
2023-07-28 14:29:00,1690534740,279.15,279.15,278.5,278.65,279.3,60208,0,6104421,0,1406
2023-07-28 14:28:00,1690534680,279.15,279.4,279.0,279.0,277.95,33338,0,6044213,0,1406
2023-07-28 14:27:00,1690534620,279.45,279.85,279.15,279.2,281.11,26299,0,6010875,0,1406
2023-07-28 14:26:00,1690534560,280.4,280.4,279.2,279.3,279.76,160303,0,5984576,0,1406
2023-07-28 14:25:00,1690534500,280.5,280.65,280.05,280.2,279.34,27879,0,5824273,0,1406
2023-07-28 14:24:00,1690534440,280.2,280.7,280.2,280.6,283.52,12891,0,5796394,0,1406
2023-07-28 14:23:00,1690534380,280.2,280.3,280.0,280.15,279.45,14190,0,5783503,0,1406
2023-07-28 14:22:00,1690534320,280.3,280.3,280.0,280.05,280.34,35978,0,5769313,0,1406
2023-07-28 14:21:00,1690534260,280.2,280.3,280.1,280.15,278.93,24738,0,5733335,0,1406
2023-07-28 14:20:00,1690534200,280.45,280.45,280.2,280.25,279.11,12783,0,5708597,0,1406
2023-07-28 14:19:00,1690534140,280.4,280.7,280.3,280.35,283.58,11497,0,5695814,0,1406
2023-07-28 14:18:00,1690534080,280.45,280.45,280.25,280.3,278.05,10266,0,5684317,0,1406
2023-07-28 14:17:00,1690534020,280.25,280.4,280.2,280.35,283.59,8935,0,5674051,0,1406
2023-07-28 14:16:00,1690533960,280.3,280.3,280.2,280.3,283.59,3215,0,5665116,0,1406
2023-07-28 14:15:00,1690533900,280.15,280.25,280.1,280.2,271.55,4702,0,5661901,0,1406
2023-07-28 14:14:00,1690533840,280.2,280.25,280.1,280.2,279.99,15638,0,5657199,0,1406
2023-07-28 14:13:00,1690533780,280.35,280.45,280.15,280.25,283.61,8629,0,5641561,0,1406
2023-07-28 14:12:00,1690533720,280.85,280.85,280.25,280.25,279.98,30938,0,5632932,0,1406
2023-07-28 14:11:00,1690533660,281.0,281.0,280.75,280.8,283.63,9028,0,5601994,0,1406
2023-07-28 14:10:00,1690533600,281.15,281.15,280.85,280.85,263.39,2762,0,5592966,0,1406
2023-07-28 14:09:00,1690533540,281.25,281.25,280.9,281.05,283.64,17998,0,5590204,0,1406
2023-07-28 14:08:00,1690533480,281.35,281.35,281.05,281.05,272.23,4883,0,5572206,0,1406
2023-07-28 14:07:00,1690533420,281.45,281.5,281.15,281.2,283.65,7447,0,5567323,0,1406
2023-07-28 14:06:00,1690533360,281.05,281.4,280.9,281.25,280.54,17849,0,5559876,0,1406
2023-07-28 14:05:00,1690533300,280.9,281.15,280.65,281.15,283.66,15083,0,5542027,0,1406
2023-07-28 14:04:00,1690533240,280.65,280.95,280.6,280.8,278.97,11774,0,5526944,0,1406
2023-07-28 14:03:00,1690533180,280.65,280.8,280.6,280.75,277.46,8880,0,5515170,0,1406
2023-07-28 14:02:00,1690533120,280.65,280.8,280.6,280.75,283.68,3748,0,5506290,0,1406
2023-07-28 14:01:00,1690533060,280.85,280.85,280.6,280.6,283.68,9646,0,5502542,0,1406
2023-07-28 14:00:00,1690533000,280.8,280.9,280.75,280.75,283.68,3642,0,5492896,0,1406
2023-07-28 13:59:00,1690532940,280.7,280.9,280.7,280.9,279.11,12007,0,5489254,0,1406
2023-07-28 13:58:00,1690532880,280.8,280.9,280.65,280.75,283.69,6799,0,5477247,0,1406
2023-07-28 13:57:00,1690532820,280.75,280.9,280.75,280.75,277.37,8650,0,5470448,0,1406
2023-07-28 13:56:00,1690532760,281.05,281.2,280.8,280.8,280.28,15937,0,5461798,0,1406
2023-07-28 13:55:00,1690532700,281.45,281.45,281.0,281.0,283.71,11766,0,5445861,0,1406
2023-07-28 13:54:00,1690532640,281.85,281.95,281.3,281.3,281.44,47522,0,5434095,0,1406
2023-07-28 13:53:00,1690532580,281.7,281.95,281.5,281.95,280.17,15123,0,5386573,0,1406
2023-07-28 13:52:00,1690532520,281.45,281.8,281.35,281.55,283.74,10728,0,5371450,0,1406
2023-07-28 13:51:00,1690532460,281.3,281.65,281.25,281.35,278.5,10219,0,5360722,0,1406
2023-07-28 13:50:00,1690532400,281.7,281.7,281.25,281.35,283.75,3908,0,5350503,0,1406
2023-07-28 13:49:00,1690532340,281.75,281.85,281.6,281.6,283.75,10568,0,5346595,0,1406
2023-07-28 13:48:00,1690532280,281.1,281.75,281.1,281.6,283.75,6445,0,5336027,0,1406
2023-07-28 13:47:00,1690532220,281.35,281.4,281.1,281.2,275.31,6313,0,5329582,0,1406
2023-07-28 13:46:00,1690532160,281.45,281.45,281.25,281.4,283.76,4824,0,5323269,0,1406
2023-07-28 13:45:00,1690532100,281.4,281.5,281.25,281.35,283.76,10481,0,5318445,0,1406
2023-07-28 13:44:00,1690532040,281.4,281.55,281.35,281.5,276.14,6957,0,5307964,0,1406
2023-07-28 13:43:00,1690531980,281.6,281.7,281.4,281.55,283.77,4907,0,5301007,0,1406
2023-07-28 13:42:00,1690531920,281.65,281.7,281.5,281.7,283.77,8217,0,5296100,0,1406
2023-07-28 13:41:00,1690531860,281.65,281.65,281.5,281.5,272.31,4614,0,5287883,0,1406
2023-07-28 13:40:00,1690531800,281.8,281.85,281.5,281.5,283.78,9792,0,5283269,0,1406
2023-07-28 13:39:00,1690531740,281.85,281.9,281.6,281.85,283.78,11669,0,5273477,0,1406
2023-07-28 13:38:00,1690531680,281.9,281.9,281.85,281.9,283.78,4215,0,5261808,0,1406
2023-07-28 13:37:00,1690531620,282.0,282.0,281.8,281.85,281.16,39971,0,5257593,0,1406
2023-07-28 13:36:00,1690531560,281.7,282.0,281.55,281.95,283.8,15257,0,5217622,0,1406
2023-07-28 13:35:00,1690531500,281.75,281.75,281.55,281.6,278.59,9978,0,5202365,0,1406
2023-07-28 13:34:00,1690531440,281.9,281.9,281.55,281.55,280.5,15655,0,5192387,0,1406
2023-07-28 13:33:00,1690531380,281.65,281.95,281.65,281.85,283.82,18393,0,5176732,0,1406
2023-07-28 13:32:00,1690531320,281.1,281.7,281.0,281.7,281.42,21414,0,5158339,0,1406
2023-07-28 13:31:00,1690531260,280.9,281.15,280.9,281.05,275.77,6369,0,5136925,0,1406
