time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,164.0,164.15,163.95,164.0,163.56,196762,0,55186385,0,30125
2023-08-03 15:27:00,1691056620,164.3,164.4,164.0,164.15,163.65,383750,0,54989623,0,30125
2023-08-03 15:26:00,1691056560,164.8,164.8,164.15,164.35,164.87,389877,0,54605873,0,30125
2023-08-03 15:25:00,1691056500,165.1,165.1,164.7,164.75,165.07,224710,0,54215996,0,30125
2023-08-03 15:24:00,1691056440,164.7,165.4,164.6,165.0,164.45,485131,0,53991286,0,30125
2023-08-03 15:23:00,1691056380,164.65,164.95,164.6,164.6,165.1,290474,0,53506155,0,30125
2023-08-03 15:22:00,1691056320,165.6,165.8,164.5,164.7,165.47,477003,0,53215681,0,30125
2023-08-03 15:21:00,1691056260,166.35,166.6,165.55,165.7,166.46,475395,0,52738678,0,30125
2023-08-03 15:20:00,1691056200,165.55,166.95,165.25,166.25,165.88,1350190,0,52263283,0,30125
2023-08-03 15:19:00,1691056140,165.2,165.7,164.95,165.6,165.3,820198,0,50913093,0,30125
2023-08-03 15:18:00,1691056080,164.85,165.7,164.4,165.0,165.26,1277675,0,50092895,0,30125
2023-08-03 15:17:00,1691056020,165.3,165.7,164.7,165.2,165.02,602778,0,48815220,0,30125
2023-08-03 15:16:00,1691055960,163.95,163.95,163.95,163.95,156.93,25589,0,48212442,0,30125
2023-08-03 15:15:00,1691055900,163.95,163.95,163.95,163.95,171.58,32863,0,48186853,0,30125
2023-08-03 15:14:00,1691055840,163.95,163.95,163.95,163.95,156.92,24246,0,48153990,0,30125
2023-08-03 15:13:00,1691055780,163.95,163.95,163.95,163.95,156.92,16370,0,48129744,0,30125
2023-08-03 15:12:00,1691055720,163.95,163.95,163.95,163.95,171.1,33901,0,48113374,0,30125
2023-08-03 15:11:00,1691055660,163.95,163.95,163.95,163.95,156.91,36711,0,48079473,0,30125
2023-08-03 15:10:00,1691055600,163.95,163.95,163.95,163.95,165.68,109226,0,48042762,0,30125
2023-08-03 15:09:00,1691055540,163.95,163.95,163.95,163.95,156.89,26960,0,47933536,0,30125
2023-08-03 15:08:00,1691055480,163.95,163.95,163.95,163.95,168.46,41368,0,47906576,0,30125
2023-08-03 15:07:00,1691055420,163.95,163.95,163.95,163.95,166.63,97952,0,47865208,0,30125
2023-08-03 15:06:00,1691055360,163.95,163.95,163.95,163.95,156.86,32050,0,47767256,0,30125
2023-08-03 15:05:00,1691055300,163.95,163.95,163.95,163.95,167.15,46324,0,47735206,0,30125
2023-08-03 15:04:00,1691055240,163.95,163.95,163.95,163.95,164.48,124560,0,47688882,0,30125
2023-08-03 15:03:00,1691055180,163.95,163.95,163.95,163.95,162.85,157425,0,47564322,0,30125
2023-08-03 15:02:00,1691055120,162.95,163.95,162.7,163.95,163.69,2725594,0,47406897,0,30125
2023-08-03 15:01:00,1691055060,162.7,162.95,162.55,162.7,163.34,191882,0,44681303,0,30125
2023-08-03 15:00:00,1691055000,162.65,163.0,162.65,162.75,162.41,219397,0,44489421,0,30125
2023-08-03 14:59:00,1691054940,162.45,162.85,162.25,162.85,162.12,152202,0,44270024,0,30125
2023-08-03 14:58:00,1691054880,162.25,162.45,162.25,162.35,161.47,85224,0,44117822,0,30125
2023-08-03 14:57:00,1691054820,162.2,162.45,162.15,162.3,162.84,134072,0,44032598,0,30125
2023-08-03 14:56:00,1691054760,162.75,162.85,162.25,162.3,162.42,142413,0,43898526,0,30125
2023-08-03 14:55:00,1691054700,162.65,162.9,162.65,162.8,163.16,251891,0,43756113,0,30125
2023-08-03 14:54:00,1691054640,162.4,162.75,162.35,162.7,162.2,360381,0,43504222,0,30125
2023-08-03 14:53:00,1691054580,161.8,162.45,161.7,162.45,162.37,344831,0,43143841,0,30125
2023-08-03 14:52:00,1691054520,161.25,162.1,161.25,161.85,161.76,301223,0,42799010,0,30125
2023-08-03 14:51:00,1691054460,161.3,161.3,161.0,161.2,160.95,87045,0,42497787,0,30125
2023-08-03 14:50:00,1691054400,161.15,161.25,160.8,161.25,162.4,133475,0,42410742,0,30125
2023-08-03 14:49:00,1691054340,161.3,161.4,161.1,161.25,160.17,102149,0,42277267,0,30125
2023-08-03 14:48:00,1691054280,160.85,161.4,160.8,161.25,160.8,176373,0,42175118,0,30125
2023-08-03 14:47:00,1691054220,161.15,161.3,160.9,160.9,160.76,88284,0,41998745,0,30125
2023-08-03 14:46:00,1691054160,161.0,161.35,160.85,161.2,161.59,149601,0,41910461,0,30125
2023-08-03 14:45:00,1691054100,161.05,161.05,160.8,160.95,162.12,135589,0,41760860,0,30125
2023-08-03 14:44:00,1691054040,161.0,161.1,160.75,161.0,161.11,241329,0,41625271,0,30125
2023-08-03 14:43:00,1691053980,161.55,161.65,161.05,161.15,159.19,126644,0,41383942,0,30125
2023-08-03 14:42:00,1691053920,161.2,161.9,161.15,161.5,162.29,385024,0,41257298,0,30125
2023-08-03 14:41:00,1691053860,161.0,161.25,160.7,161.15,160.13,190953,0,40872274,0,30125
2023-08-03 14:40:00,1691053800,161.3,161.35,160.6,161.1,160.36,357163,0,40681321,0,30125
2023-08-03 14:39:00,1691053740,161.45,161.6,160.9,161.2,161.34,503166,0,40324158,0,30125
2023-08-03 14:38:00,1691053680,162.35,162.4,161.6,161.75,162.06,497104,0,39820992,0,30125
2023-08-03 14:37:00,1691053620,162.9,162.9,162.2,162.45,162.71,441052,0,39323888,0,30125
2023-08-03 14:36:00,1691053560,162.7,163.2,162.65,162.75,162.87,987540,0,38882836,0,30125
2023-08-03 14:35:00,1691053500,161.7,162.8,161.7,162.8,162.43,789505,0,37895296,0,30125
2023-08-03 14:34:00,1691053440,161.5,161.95,161.5,161.8,161.65,569767,0,37105791,0,30125
2023-08-03 14:33:00,1691053380,161.8,161.9,161.3,161.65,161.51,619309,0,36536024,0,30125
2023-08-03 14:32:00,1691053320,161.4,161.8,161.0,161.6,161.29,948511,0,35916715,0,30125
2023-08-03 14:31:00,1691053260,160.1,161.45,160.1,161.3,161.08,875975,0,34968204,0,30125
2023-08-03 14:30:00,1691053200,159.2,160.2,158.8,160.15,159.72,468759,0,34092229,0,30125
2023-08-03 14:29:00,1691053140,158.7,159.5,158.6,159.15,159.14,513430,0,33623470,0,30125
2023-08-03 14:28:00,1691053080,158.9,159.2,158.6,158.75,158.92,300699,0,33110040,0,30125
2023-08-03 14:27:00,1691053020,159.25,159.45,158.8,158.8,158.88,297857,0,32809341,0,30125
2023-08-03 14:26:00,1691052960,159.25,160.35,159.2,159.3,159.57,1109926,0,32511484,0,30125
2023-08-03 14:25:00,1691052900,159.15,159.4,158.75,159.3,159.07,389850,0,31401558,0,30125
2023-08-03 14:24:00,1691052840,159.2,159.45,158.55,159.2,159.19,792440,0,31011708,0,30125
2023-08-03 14:23:00,1691052780,159.15,159.8,159.05,159.1,159.42,882574,0,30219268,0,30125
2023-08-03 14:22:00,1691052720,159.05,159.5,159.0,159.3,159.42,832408,0,29336694,0,30125
2023-08-03 14:21:00,1691052660,158.1,159.0,158.0,159.0,158.44,1060429,0,28504286,0,30125
2023-08-03 14:20:00,1691052600,157.05,158.3,157.05,158.15,157.83,819714,0,27443857,0,30125
2023-08-03 14:19:00,1691052540,156.8,157.2,156.65,157.0,156.57,255939,0,26624143,0,30125
2023-08-03 14:18:00,1691052480,156.6,157.3,156.55,156.65,157.06,501149,0,26368204,0,30125
2023-08-03 14:17:00,1691052420,156.2,156.95,156.05,156.7,156.47,651670,0,25867055,0,30125
2023-08-03 14:16:00,1691052360,155.65,156.25,155.65,156.0,155.97,732876,0,25215385,0,30125
2023-08-03 14:15:00,1691052300,154.75,155.55,154.7,155.55,155.09,883272,0,24482509,0,30125
2023-08-03 14:14:00,1691052240,154.0,154.8,153.9,154.8,154.3,401647,0,23599237,0,30125
2023-08-03 14:13:00,1691052180,153.55,153.95,153.5,153.95,153.13,36085,0,23197590,0,30125
2023-08-03 14:12:00,1691052120,153.55,153.65,153.5,153.6,153.13,30664,0,23161505,0,30125
2023-08-03 14:11:00,1691052060,153.65,153.65,153.55,153.6,153.13,6148,0,23130841,0,30125
2023-08-03 14:10:00,1691052000,153.55,153.6,153.5,153.6,153.13,99411,0,23124693,0,30125
2023-08-03 14:09:00,1691051940,153.55,153.6,153.5,153.5,153.13,10469,0,23025282,0,30125
2023-08-03 14:08:00,1691051880,153.6,153.65,153.55,153.6,153.13,4795,0,23014813,0,30125
2023-08-03 14:07:00,1691051820,153.5,153.7,153.5,153.55,157.6,51279,0,23010018,0,30125
2023-08-03 14:06:00,1691051760,153.5,153.6,153.5,153.55,153.12,51818,0,22958739,0,30125
2023-08-03 14:05:00,1691051700,153.8,153.8,153.55,153.55,153.12,60876,0,22906921,0,30125
2023-08-03 14:04:00,1691051640,153.8,153.9,153.65,153.9,153.12,55219,0,22846045,0,30125
2023-08-03 14:03:00,1691051580,153.7,153.8,153.55,153.75,153.12,42914,0,22790826,0,30125
2023-08-03 14:02:00,1691051520,153.65,153.7,153.55,153.65,153.12,41814,0,22747912,0,30125
2023-08-03 14:01:00,1691051460,153.05,153.8,153.05,153.6,153.12,122594,0,22706098,0,30125
2023-08-03 14:00:00,1691051400,152.9,153.15,152.9,153.0,153.12,19646,0,22583504,0,30125
2023-08-03 13:59:00,1691051340,153.0,153.1,152.8,152.85,153.12,28198,0,22563858,0,30125
2023-08-03 13:58:00,1691051280,153.05,153.1,153.0,153.05,153.12,6778,0,22535660,0,30125
