time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,1359.5,1363.6,1359.5,1363.6,1360.57,1556,0,468391,0
2023-07-27 15:28:00,1690451880,1361.7,1363.55,1357.85,1359.2,1359.67,3548,0,466835,0
2023-07-27 15:27:00,1690451820,1360.1,1362.7,1358.65,1361.4,1360.5,4423,0,463287,0
2023-07-27 15:26:00,1690451760,1360.7,1361.05,1359.05,1360.45,1360.98,1715,0,458864,0
2023-07-27 15:25:00,1690451700,1360.4,1362.3,1360.0,1360.9,1360.84,3222,0,457149,0
2023-07-27 15:24:00,1690451640,1357.4,1360.85,1357.4,1360.85,1359.44,3195,0,453927,0
2023-07-27 15:23:00,1690451580,1359.1,1359.7,1357.25,1357.25,1358.64,1773,0,450732,0
2023-07-27 15:22:00,1690451520,1359.95,1360.25,1359.05,1359.7,1359.28,1007,0,448959,0
2023-07-27 15:21:00,1690451460,1360.4,1360.4,1359.3,1360.25,1361.11,1697,0,447952,0
2023-07-27 15:20:00,1690451400,1359.3,1361.1,1359.3,1360.0,1359.51,4173,0,446255,0
2023-07-27 15:19:00,1690451340,1357.05,1359.45,1357.05,1359.25,1359.22,1929,0,442082,0
2023-07-27 15:18:00,1690451280,1356.65,1357.45,1355.05,1357.45,1356.26,4615,0,440153,0
2023-07-27 15:17:00,1690451220,1356.8,1357.45,1354.9,1356.2,1355.71,9381,0,435538,0
2023-07-27 15:16:00,1690451160,1357.85,1358.8,1355.2,1356.95,1356.74,12424,0,426157,0
2023-07-27 15:15:00,1690451100,1357.5,1358.8,1357.2,1358.6,1358.85,3023,0,413733,0
2023-07-27 15:14:00,1690451040,1358.5,1358.5,1356.7,1357.8,1357.07,2811,0,410710,0
2023-07-27 15:13:00,1690450980,1360.25,1362.4,1357.55,1358.9,1361.21,2563,0,407899,0
2023-07-27 15:12:00,1690450920,1358.85,1361.75,1358.85,1360.4,1359.75,6012,0,405336,0
2023-07-27 15:11:00,1690450860,1354.95,1358.45,1354.5,1358.35,1357.18,4870,0,399324,0
2023-07-27 15:10:00,1690450800,1356.55,1358.25,1354.8,1354.8,1358.59,1975,0,394454,0
2023-07-27 15:09:00,1690450740,1354.95,1357.35,1354.95,1357.0,1356.56,2429,0,392479,0
2023-07-27 15:08:00,1690450680,1353.95,1355.0,1353.95,1355.0,1353.97,3622,0,390050,0
2023-07-27 15:07:00,1690450620,1354.95,1355.0,1353.95,1354.0,1355.96,1317,0,386428,0
2023-07-27 15:06:00,1690450560,1356.2,1356.55,1354.15,1355.0,1355.54,2077,0,385111,0
2023-07-27 15:05:00,1690450500,1359.3,1359.35,1356.15,1356.25,1357.43,3597,0,383034,0
2023-07-27 15:04:00,1690450440,1358.6,1359.4,1357.3,1358.9,1359.64,1442,0,379437,0
2023-07-27 15:03:00,1690450380,1359.55,1359.7,1357.85,1358.1,1357.74,2619,0,377995,0
2023-07-27 15:02:00,1690450320,1359.6,1362.3,1358.05,1358.9,1360.35,4035,0,375376,0
2023-07-27 15:01:00,1690450260,1355.0,1359.45,1353.5,1359.45,1355.72,16075,0,371341,0
2023-07-27 15:00:00,1690450200,1353.0,1355.0,1352.0,1354.75,1353.05,2565,0,355266,0
2023-07-27 14:59:00,1690450140,1351.95,1353.3,1351.15,1351.9,1355.09,1012,0,352701,0
2023-07-27 14:58:00,1690450080,1351.05,1352.05,1350.7,1352.05,1350.69,3980,0,351689,0
2023-07-27 14:57:00,1690450020,1352.05,1352.05,1350.95,1350.95,1356.48,376,0,347709,0
2023-07-27 14:56:00,1690449960,1352.0,1352.35,1351.5,1352.15,1348.84,616,0,347333,0
2023-07-27 14:55:00,1690449900,1352.4,1352.4,1352.0,1352.4,1357.47,418,0,346717,0
2023-07-27 14:54:00,1690449840,1352.15,1352.25,1351.85,1352.0,1347.92,194,0,346299,0
2023-07-27 14:53:00,1690449780,1351.05,1351.95,1351.05,1351.85,1340.7,138,0,346105,0
2023-07-27 14:52:00,1690449720,1351.75,1351.75,1351.05,1351.5,1353.34,832,0,345967,0
2023-07-27 14:51:00,1690449660,1351.35,1352.1,1350.85,1351.05,1349.74,643,0,345135,0
2023-07-27 14:50:00,1690449600,1353.65,1354.45,1351.4,1351.4,1353.0,8116,0,344492,0
2023-07-27 14:49:00,1690449540,1353.3,1354.6,1353.1,1353.9,1346.38,170,0,336376,0
2023-07-27 14:48:00,1690449480,1352.15,1353.45,1352.1,1353.0,1355.29,309,0,336206,0
2023-07-27 14:47:00,1690449420,1351.3,1352.45,1351.3,1351.5,1353.56,266,0,335897,0
2023-07-27 14:46:00,1690449360,1352.45,1353.0,1350.95,1351.85,1352.72,1489,0,335631,0
2023-07-27 14:45:00,1690449300,1352.1,1353.0,1351.4,1352.0,1351.61,2042,0,334142,0
2023-07-27 14:44:00,1690449240,1352.7,1353.0,1352.15,1352.15,1355.13,1181,0,332100,0
2023-07-27 14:43:00,1690449180,1352.15,1352.65,1351.8,1352.65,1347.37,174,0,330919,0
2023-07-27 14:42:00,1690449120,1353.25,1353.3,1352.0,1352.0,1353.56,515,0,330745,0
2023-07-27 14:41:00,1690449060,1352.3,1353.45,1351.55,1353.2,1351.35,875,0,330230,0
2023-07-27 14:40:00,1690449000,1352.3,1352.4,1351.1,1352.25,1352.09,2279,0,329355,0
2023-07-27 14:39:00,1690448940,1353.1,1353.65,1352.8,1352.8,1344.31,294,0,327076,0
2023-07-27 14:38:00,1690448880,1353.1,1353.75,1353.05,1353.75,1366.57,176,0,326782,0
2023-07-27 14:37:00,1690448820,1353.2,1353.9,1353.05,1353.75,1343.57,142,0,326606,0
2023-07-27 14:36:00,1690448760,1353.75,1353.95,1353.0,1353.95,1353.21,244,0,326464,0
2023-07-27 14:35:00,1690448700,1356.0,1356.65,1354.5,1354.5,1355.85,1512,0,326220,0
2023-07-27 14:34:00,1690448640,1355.6,1356.5,1355.15,1356.5,1348.66,541,0,324708,0
2023-07-27 14:33:00,1690448580,1355.15,1355.8,1355.05,1355.55,1366.67,211,0,324167,0
