time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-31 15:28:00,1690797480,1386.15,1387.2,1385.0,1385.15,1386.32,2624,0,792000,0,21770
2023-07-31 15:27:00,1690797420,1387.05,1387.2,1386.0,1386.25,1386.27,5225,0,789376,0,21770
2023-07-31 15:26:00,1690797360,1386.9,1387.2,1386.25,1387.1,1386.99,4777,0,784151,0,21770
2023-07-31 15:25:00,1690797300,1387.65,1387.85,1385.35,1386.05,1387.31,7592,0,779374,0,21770
2023-07-31 15:24:00,1690797240,1387.45,1388.5,1386.7,1387.85,1386.9,5444,0,771782,0,21770
2023-07-31 15:23:00,1690797180,1387.9,1388.8,1386.1,1388.0,1388.36,7994,0,766338,0,21770
2023-07-31 15:22:00,1690797120,1390.55,1390.55,1387.2,1388.0,1388.87,13632,0,758344,0,21770
2023-07-31 15:21:00,1690797060,1389.3,1391.2,1388.6,1390.8,1389.61,16283,0,744712,0,21770
2023-07-31 15:20:00,1690797000,1387.45,1389.95,1387.45,1388.55,1388.98,13577,0,728429,0,21770
2023-07-31 15:19:00,1690796940,1386.8,1387.85,1385.9,1387.0,1387.27,11965,0,714852,0,21770
2023-07-31 15:18:00,1690796880,1385.7,1387.25,1385.0,1386.7,1385.76,8461,0,702887,0,21770
2023-07-31 15:17:00,1690796820,1386.5,1386.5,1384.25,1385.4,1385.9,8152,0,694426,0,21770
2023-07-31 15:16:00,1690796760,1385.35,1386.55,1385.1,1386.55,1386.1,5874,0,686274,0,21770
2023-07-31 15:15:00,1690796700,1387.65,1387.65,1385.4,1385.4,1385.88,6548,0,680400,0,21770
2023-07-31 15:14:00,1690796640,1387.75,1388.0,1386.5,1387.25,1387.41,5046,0,673852,0,21770
2023-07-31 15:13:00,1690796580,1387.35,1387.9,1386.55,1387.35,1387.14,7324,0,668806,0,21770
2023-07-31 15:12:00,1690796520,1386.05,1387.9,1385.2,1387.4,1387.6,7425,0,661482,0,21770
2023-07-31 15:11:00,1690796460,1387.0,1387.6,1385.55,1385.9,1386.94,9815,0,654057,0,21770
2023-07-31 15:10:00,1690796400,1386.5,1387.55,1385.05,1387.55,1385.96,6370,0,644242,0,21770
2023-07-31 15:09:00,1690796340,1387.05,1387.55,1384.55,1386.15,1386.59,12238,0,637872,0,21770
2023-07-31 15:08:00,1690796280,1387.3,1388.2,1387.0,1387.45,1387.11,15605,0,625634,0,21770
2023-07-31 15:07:00,1690796220,1387.7,1388.5,1386.95,1387.25,1387.58,13458,0,610029,0,21770
2023-07-31 15:06:00,1690796160,1385.0,1388.05,1384.8,1386.9,1385.71,7039,0,596571,0,21770
2023-07-31 15:05:00,1690796100,1382.85,1385.4,1382.85,1385.2,1384.05,7976,0,589532,0,21770
2023-07-31 15:04:00,1690796040,1379.9,1383.15,1379.8,1383.15,1381.23,7624,0,581556,0,21770
2023-07-31 15:03:00,1690795980,1380.1,1380.7,1380.0,1380.0,1380.13,11209,0,573932,0,21770
2023-07-31 15:02:00,1690795920,1379.9,1380.85,1379.9,1380.2,1380.12,31180,0,562723,0,21770
2023-07-31 15:01:00,1690795860,1380.05,1380.65,1379.05,1379.85,1379.67,9515,0,531543,0,21770
2023-07-31 15:00:00,1690795800,1378.3,1380.65,1378.2,1380.55,1380.03,8003,0,522028,0,21770
2023-07-31 14:59:00,1690795740,1379.35,1379.95,1378.0,1378.1,1378.53,1804,0,514025,0,21770
2023-07-31 14:58:00,1690795680,1379.8,1380.3,1379.0,1379.55,1380.03,26330,0,512221,0,21770
2023-07-31 14:57:00,1690795620,1378.9,1379.7,1378.8,1379.4,1376.93,1082,0,485891,0,21770
2023-07-31 14:56:00,1690795560,1378.35,1378.9,1378.25,1378.55,1387.53,321,0,484809,0,21770
2023-07-31 14:55:00,1690795500,1378.8,1379.8,1377.45,1378.4,1378.57,3133,0,484488,0,21770
2023-07-31 14:54:00,1690795440,1379.0,1379.95,1378.4,1378.4,1376.47,1176,0,481355,0,21770
2023-07-31 14:53:00,1690795380,1378.55,1379.45,1378.55,1379.05,1372.38,237,0,480179,0,21770
2023-07-31 14:52:00,1690795320,1379.5,1379.8,1377.5,1378.5,1380.56,586,0,479942,0,21770
2023-07-31 14:51:00,1690795260,1379.1,1379.55,1377.0,1378.9,1379.69,1305,0,479356,0,21770
2023-07-31 14:50:00,1690795200,1379.8,1379.95,1379.05,1379.3,1378.79,1479,0,478051,0,21770
2023-07-31 14:49:00,1690795140,1379.7,1379.8,1379.05,1379.05,1382.81,454,0,476572,0,21770
2023-07-31 14:48:00,1690795080,1379.7,1379.75,1379.05,1379.05,1372.32,358,0,476118,0,21770
2023-07-31 14:47:00,1690795020,1379.7,1379.75,1379.05,1379.05,1389.8,272,0,475760,0,21770
2023-07-31 14:46:00,1690794960,1379.75,1379.95,1379.0,1379.05,1379.41,2661,0,475488,0,21770
2023-07-31 14:45:00,1690794900,1379.8,1379.85,1379.0,1379.05,1372.27,268,0,472827,0,21770
2023-07-31 14:44:00,1690794840,1379.05,1379.8,1379.0,1379.05,1387.65,307,0,472559,0,21770
2023-07-31 14:43:00,1690794780,1378.15,1379.45,1378.15,1379.45,1377.14,964,0,472252,0,21770
2023-07-31 14:42:00,1690794720,1378.6,1378.7,1378.05,1378.05,1372.25,221,0,471288,0,21770
2023-07-31 14:41:00,1690794660,1378.0,1378.55,1377.35,1378.05,1384.86,373,0,471067,0,21770
2023-07-31 14:40:00,1690794600,1377.85,1377.95,1377.35,1377.35,1372.24,262,0,470694,0,21770
2023-07-31 14:39:00,1690794540,1378.45,1378.45,1377.3,1377.35,1379.82,619,0,470432,0,21770
2023-07-31 14:38:00,1690794480,1380.0,1380.0,1377.95,1379.05,1377.85,834,0,469813,0,21770
2023-07-31 14:37:00,1690794420,1379.15,1380.0,1379.15,1379.6,1383.37,420,0,468979,0,21770
2023-07-31 14:36:00,1690794360,1379.0,1380.0,1379.0,1379.1,1379.56,5665,0,468559,0,21770
2023-07-31 14:35:00,1690794300,1378.9,1379.9,1378.3,1379.05,1380.02,1750,0,462894,0,21770
2023-07-31 14:34:00,1690794240,1378.1,1379.05,1377.35,1378.3,1377.28,886,0,461144,0,21770
2023-07-31 14:33:00,1690794180,1377.0,1378.1,1377.0,1377.3,1372.08,421,0,460258,0,21770
2023-07-31 14:32:00,1690794120,1378.35,1378.35,1377.0,1377.05,1377.34,872,0,459837,0,21770
2023-07-31 14:31:00,1690794060,1378.5,1378.95,1377.5,1377.55,1380.9,519,0,458965,0,21770
2023-07-31 14:30:00,1690794000,1377.0,1378.3,1376.0,1378.3,1376.26,17824,0,458446,0,21770
2023-07-31 14:29:00,1690793940,1375.8,1376.5,1374.05,1376.5,1374.43,5139,0,440622,0,21770
2023-07-31 14:28:00,1690793880,1375.7,1376.0,1374.0,1374.9,1375.27,7516,0,435483,0,21770
2023-07-31 14:27:00,1690793820,1376.45,1376.85,1375.55,1376.0,1384.3,342,0,427967,0,21770
2023-07-31 14:26:00,1690793760,1375.9,1376.8,1375.55,1375.55,1371.79,504,0,427625,0,21770
2023-07-31 14:25:00,1690793700,1376.2,1376.85,1375.55,1375.95,1377.12,799,0,427121,0,21770
2023-07-31 14:24:00,1690793640,1376.7,1376.85,1375.05,1375.15,1375.55,3358,0,426322,0,21770
2023-07-31 14:23:00,1690793580,1376.7,1376.7,1376.45,1376.65,1378.98,1166,0,422964,0,21770
