time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,579.65,581.8,579.55,580.0,579.18,4606,0,1492897,0
2023-07-28 15:28:00,1690538280,580.4,580.8,579.2,579.55,580.29,6805,0,1488291,0
2023-07-28 15:27:00,1690538220,580.8,581.3,580.4,580.45,581.76,5052,0,1481486,0
2023-07-28 15:26:00,1690538160,581.5,581.55,580.25,580.65,582.49,4463,0,1476434,0
2023-07-28 15:25:00,1690538100,581.4,581.75,581.15,581.55,581.68,5057,0,1471971,0
2023-07-28 15:24:00,1690538040,581.15,581.7,581.0,581.45,580.84,8771,0,1466914,0
2023-07-28 15:23:00,1690537980,581.05,581.5,580.65,581.35,581.61,7525,0,1458143,0
2023-07-28 15:22:00,1690537920,581.2,581.55,580.95,581.15,580.3,6407,0,1450618,0
2023-07-28 15:21:00,1690537860,581.15,581.5,580.95,581.5,581.44,7606,0,1444211,0
2023-07-28 15:20:00,1690537800,580.3,581.5,580.3,581.4,580.24,12673,0,1436605,0
2023-07-28 15:19:00,1690537740,580.85,580.85,579.95,580.6,581.03,15875,0,1423932,0
2023-07-28 15:18:00,1690537680,580.4,580.85,580.1,580.8,580.16,15416,0,1408057,0
2023-07-28 15:17:00,1690537620,579.75,580.7,579.75,580.35,580.58,16568,0,1392641,0
2023-07-28 15:16:00,1690537560,579.95,580.2,579.6,579.85,579.64,6665,0,1376073,0
2023-07-28 15:15:00,1690537500,580.65,580.7,579.55,580.0,579.55,13435,0,1369408,0
2023-07-28 15:14:00,1690537440,580.15,581.0,580.05,581.0,582.05,6157,0,1355973,0
2023-07-28 15:13:00,1690537380,580.35,580.75,579.8,580.05,579.2,7143,0,1349816,0
2023-07-28 15:12:00,1690537320,580.65,580.65,579.9,580.5,580.54,7833,0,1342673,0
2023-07-28 15:11:00,1690537260,580.85,581.15,580.15,580.75,580.4,5308,0,1334840,0
2023-07-28 15:10:00,1690537200,581.15,581.25,580.05,580.8,581.81,8218,0,1329532,0
2023-07-28 15:09:00,1690537140,581.8,581.8,580.05,581.1,580.56,10029,0,1321314,0
2023-07-28 15:08:00,1690537080,581.15,581.75,580.8,581.75,581.06,15720,0,1311285,0
2023-07-28 15:07:00,1690537020,581.0,581.3,580.75,581.2,581.31,8455,0,1295565,0
2023-07-28 15:06:00,1690536960,580.75,581.45,580.25,581.3,580.75,13720,0,1287110,0
2023-07-28 15:05:00,1690536900,580.1,580.75,580.1,580.7,579.8,13465,0,1273390,0
2023-07-28 15:04:00,1690536840,580.0,580.0,579.55,580.0,580.34,7132,0,1259925,0
2023-07-28 15:03:00,1690536780,579.85,580.0,579.55,579.95,580.46,6904,0,1252793,0
