time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,8.45,8.5,8.45,8.5,8.63,1270641,0,345921388,0,14366
2023-07-27 15:27:00,1690451820,8.5,8.5,8.45,8.5,8.63,727219,0,344650747,0,14366
2023-07-27 15:26:00,1690451760,8.45,8.5,8.45,8.45,0.4,417519,0,343923528,0,14366
2023-07-27 15:25:00,1690451700,8.45,8.5,8.45,8.5,8.64,200743,0,343506009,0,14366
2023-07-27 15:24:00,1690451640,8.4,8.5,8.4,8.5,8.64,2053324,0,343305266,0,14366
2023-07-27 15:23:00,1690451580,8.4,8.45,8.4,8.45,8.64,475814,0,341251942,0,14366
2023-07-27 15:22:00,1690451520,8.45,8.45,8.4,8.45,8.64,456630,0,340776128,0,14366
2023-07-27 15:21:00,1690451460,8.45,8.5,8.4,8.4,8.64,2271765,0,340319498,0,14366
2023-07-27 15:20:00,1690451400,8.5,8.5,8.45,8.5,8.64,2526110,0,338047733,0,14366
2023-07-27 15:19:00,1690451340,8.45,8.5,8.45,8.45,8.64,477098,0,335521623,0,14366
2023-07-27 15:18:00,1690451280,8.45,8.5,8.45,8.5,8.64,988545,0,335044525,0,14366
2023-07-27 15:17:00,1690451220,8.45,8.5,8.45,8.5,8.64,2778863,0,334055980,0,14366
2023-07-27 15:16:00,1690451160,8.5,8.55,8.5,8.5,8.64,467829,0,331277117,0,14366
2023-07-27 15:15:00,1690451100,8.55,8.55,8.5,8.55,8.64,328575,0,330809288,0,14366
2023-07-27 15:14:00,1690451040,8.55,8.55,8.5,8.5,8.64,364523,0,330480713,0,14366
2023-07-27 15:13:00,1690450980,8.55,8.55,8.5,8.5,8.64,274599,0,330116190,0,14366
2023-07-27 15:12:00,1690450920,8.5,8.55,8.5,8.5,8.64,337482,0,329841591,0,14366
2023-07-27 15:11:00,1690450860,8.5,8.55,8.5,8.55,8.64,215775,0,329504109,0,14366
2023-07-27 15:10:00,1690450800,8.55,8.55,8.5,8.55,8.64,1516302,0,329288334,0,14366
2023-07-27 15:09:00,1690450740,8.55,8.55,8.5,8.5,8.64,81605,0,327772032,0,14366
2023-07-27 15:08:00,1690450680,8.5,8.55,8.5,8.5,8.64,165595,0,327690427,0,14366
2023-07-27 15:07:00,1690450620,8.55,8.55,8.5,8.55,8.64,268976,0,327524832,0,14366
2023-07-27 15:06:00,1690450560,8.55,8.55,8.5,8.5,8.64,118096,0,327255856,0,14366
2023-07-27 15:05:00,1690450500,8.5,8.55,8.5,8.5,8.64,180365,0,327137760,0,14366
2023-07-27 15:04:00,1690450440,8.55,8.55,8.5,8.55,8.64,137097,0,326957395,0,14366
2023-07-27 15:03:00,1690450380,8.5,8.55,8.5,8.5,8.64,1078666,0,326820298,0,14366
2023-07-27 15:02:00,1690450320,8.5,8.55,8.45,8.55,8.64,895710,0,325741632,0,14366
2023-07-27 15:01:00,1690450260,8.45,8.5,8.45,8.45,8.64,101308,0,324845922,0,14366
2023-07-27 15:00:00,1690450200,8.5,8.5,8.45,8.5,8.64,59332,0,324744614,0,14366
2023-07-27 14:59:00,1690450140,8.45,8.5,8.45,8.45,8.64,207441,0,324685282,0,14366
2023-07-27 14:58:00,1690450080,8.45,8.5,8.45,8.5,8.64,103597,0,324477841,0,14366
2023-07-27 14:57:00,1690450020,8.45,8.5,8.45,8.5,8.64,68390,0,324374244,0,14366
2023-07-27 14:56:00,1690449960,8.5,8.5,8.45,8.5,8.64,51497,0,324305854,0,14366
2023-07-27 14:55:00,1690449900,8.5,8.5,8.45,8.45,7.8,3831996,0,324254357,0,14366
2023-07-27 14:54:00,1690449840,8.45,8.5,8.45,8.45,8.65,126873,0,320422361,0,14366
2023-07-27 14:53:00,1690449780,8.45,8.5,8.45,8.5,8.65,191160,0,320295488,0,14366
2023-07-27 14:52:00,1690449720,8.5,8.5,8.45,8.5,8.65,265736,0,320104328,0,14366
2023-07-27 14:51:00,1690449660,8.5,8.5,8.45,8.45,8.65,121707,0,319838592,0,14366
2023-07-27 14:50:00,1690449600,8.5,8.5,8.45,8.45,8.65,114710,0,319716885,0,14366
2023-07-27 14:49:00,1690449540,8.45,8.5,8.45,8.45,8.65,532220,0,319602175,0,14366
2023-07-27 14:48:00,1690449480,8.5,8.5,8.45,8.5,8.65,182593,0,319069955,0,14366
2023-07-27 14:47:00,1690449420,8.5,8.5,8.45,8.45,8.65,2944871,0,318887362,0,14366
2023-07-27 14:46:00,1690449360,8.5,8.55,8.45,8.45,8.65,2314184,0,315942491,0,14366
2023-07-27 14:45:00,1690449300,8.45,8.55,8.45,8.55,8.65,2507399,0,313628307,0,14366
2023-07-27 14:44:00,1690449240,8.5,8.5,8.45,8.5,8.65,1097319,0,311120908,0,14366
2023-07-27 14:43:00,1690449180,8.5,8.5,8.45,8.45,8.65,675430,0,310023589,0,14366
2023-07-27 14:42:00,1690449120,8.5,8.5,8.45,8.45,8.65,37896,0,309348159,0,14366
2023-07-27 14:41:00,1690449060,8.45,8.5,8.45,8.45,8.65,226932,0,309310263,0,14366
2023-07-27 14:40:00,1690449000,8.45,8.5,8.45,8.5,8.65,127361,0,309083331,0,14366
2023-07-27 14:39:00,1690448940,8.45,8.5,8.45,8.5,8.65,1575003,0,308955970,0,14366
2023-07-27 14:38:00,1690448880,8.5,8.5,8.45,8.5,7.74,3360359,0,307380967,0,14366
2023-07-27 14:37:00,1690448820,8.5,8.5,8.45,8.45,8.66,82673,0,304020608,0,14366
2023-07-27 14:36:00,1690448760,8.5,8.5,8.45,8.45,8.66,139207,0,303937935,0,14366
2023-07-27 14:35:00,1690448700,8.45,8.5,8.45,8.45,8.66,150108,0,303798728,0,14366
2023-07-27 14:34:00,1690448640,8.5,8.5,8.45,8.5,8.66,55849,0,303648620,0,14366
2023-07-27 14:33:00,1690448580,8.5,8.5,8.45,8.45,8.66,38809,0,303592771,0,14366
2023-07-27 14:32:00,1690448520,8.5,8.5,8.45,8.45,8.66,1921171,0,303553962,0,14366
2023-07-27 14:31:00,1690448460,8.45,8.5,8.45,8.45,8.66,86862,0,301632791,0,14366
