time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,83.5,83.65,83.5,83.55,83.71,141328,0,6650698,0
2023-07-28 09:41:00,1690517460,83.6,83.6,83.5,83.55,84.19,67306,0,6509370,0
2023-07-28 09:40:00,1690517400,83.55,83.65,83.5,83.55,83.47,489047,0,6442064,0
2023-07-28 09:39:00,1690517340,83.3,83.45,83.25,83.45,83.21,95660,0,5953017,0
2023-07-28 09:38:00,1690517280,83.0,83.25,83.0,83.25,83.21,79479,0,5857357,0
2023-07-28 09:37:00,1690517220,83.05,83.1,83.0,83.1,82.58,91230,0,5777878,0
2023-07-28 09:36:00,1690517160,83.15,83.2,83.05,83.1,83.22,141217,0,5686648,0
2023-07-28 09:35:00,1690517100,83.1,83.2,83.05,83.1,83.22,116574,0,5545431,0
2023-07-28 09:34:00,1690517040,83.05,83.15,83.05,83.15,83.22,133595,0,5428857,0
2023-07-28 09:33:00,1690516980,83.0,83.15,82.95,83.1,82.51,73661,0,5295262,0
2023-07-28 09:32:00,1690516920,83.1,83.15,82.9,83.05,82.99,415080,0,5221601,0
2023-07-28 09:31:00,1690516860,83.35,83.4,83.0,83.2,83.25,304127,0,4806521,0
2023-07-28 09:30:00,1690516800,83.25,83.4,83.2,83.4,83.25,80116,0,4502394,0
2023-07-28 09:29:00,1690516740,83.35,83.4,83.05,83.2,83.12,318450,0,4422278,0
2023-07-28 09:28:00,1690516680,83.45,83.45,83.35,83.4,83.48,178160,0,4103828,0
2023-07-28 09:27:00,1690516620,83.4,83.55,83.4,83.5,83.47,166894,0,3925668,0
2023-07-28 09:26:00,1690516560,83.55,83.6,83.4,83.45,83.45,164227,0,3758774,0
2023-07-28 09:25:00,1690516500,83.8,83.8,83.45,83.45,83.69,286633,0,3594547,0
2023-07-28 09:24:00,1690516440,83.85,83.9,83.7,83.75,83.8,500392,0,3307914,0
2023-07-28 09:23:00,1690516380,83.4,83.9,83.35,83.8,83.47,420631,0,2807522,0
2023-07-28 09:22:00,1690516320,83.15,83.4,83.05,83.35,83.24,185979,0,2386891,0
2023-07-28 09:21:00,1690516260,83.35,83.4,83.0,83.1,83.22,318920,0,2200912,0
2023-07-28 09:20:00,1690516200,82.9,83.4,82.9,83.4,83.07,368006,0,1881992,0
2023-07-28 09:19:00,1690516140,83.1,83.1,82.9,82.95,83.02,135204,0,1513986,0
2023-07-28 09:18:00,1690516080,83.0,83.15,82.95,83.05,82.99,265018,0,1378782,0
2023-07-28 09:17:00,1690516020,82.95,83.0,82.8,82.95,82.94,314750,0,1113764,0
2023-07-28 09:16:00,1690515960,83.1,83.2,82.9,83.1,83.01,257094,0,799014,0
2023-07-28 09:15:00,1690515900,82.95,83.05,82.55,83.05,82.75,445803,0,541920,0
