time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,122.45,122.5,122.35,122.35,122.91,76384,0,13980384,0,220
2023-07-28 15:27:00,1690538220,122.5,122.5,122.4,122.4,122.91,42112,0,13904000,0,220
2023-07-28 15:26:00,1690538160,122.4,122.5,122.35,122.4,121.04,73981,0,13861888,0,220
2023-07-28 15:25:00,1690538100,122.45,122.45,122.4,122.45,122.92,104643,0,13787907,0,220
2023-07-28 15:24:00,1690538040,122.45,122.55,122.4,122.4,122.92,87124,0,13683264,0,220
2023-07-28 15:23:00,1690537980,122.55,122.55,122.4,122.5,122.92,73556,0,13596140,0,220
2023-07-28 15:22:00,1690537920,122.45,122.55,122.4,122.5,120.74,62004,0,13522584,0,220
2023-07-28 15:21:00,1690537860,122.45,122.55,122.4,122.5,122.93,37898,0,13460580,0,220
2023-07-28 15:20:00,1690537800,122.6,122.65,122.4,122.5,122.32,218573,0,13422682,0,220
2023-07-28 15:19:00,1690537740,122.6,122.65,122.55,122.55,122.94,46567,0,13204109,0,220
2023-07-28 15:18:00,1690537680,122.7,122.75,122.6,122.65,122.94,58644,0,13157542,0,220
2023-07-28 15:17:00,1690537620,122.65,122.75,122.65,122.65,122.94,77174,0,13098898,0,220
2023-07-28 15:16:00,1690537560,122.75,122.75,122.6,122.7,122.94,92660,0,13021724,0,220
2023-07-28 15:15:00,1690537500,122.7,122.8,122.7,122.7,122.94,54712,0,12929064,0,220
2023-07-28 15:14:00,1690537440,122.75,122.75,122.6,122.65,121.8,112008,0,12874352,0,220
2023-07-28 15:13:00,1690537380,122.85,122.85,122.7,122.7,122.95,18353,0,12762344,0,220
2023-07-28 15:12:00,1690537320,122.9,122.9,122.7,122.8,122.95,66642,0,12743991,0,220
2023-07-28 15:11:00,1690537260,122.9,122.95,122.85,122.85,122.95,14055,0,12677349,0,220
2023-07-28 15:10:00,1690537200,122.95,122.95,122.85,122.85,122.95,17763,0,12663294,0,220
2023-07-28 15:09:00,1690537140,123.0,123.05,122.85,122.9,122.95,35582,0,12645531,0,220
