time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,388.7,388.95,388.3,388.5,388.43,31505,0,2514615,0
2023-07-28 09:41:00,1690517460,388.8,389.0,387.9,388.45,388.8,33275,0,2483110,0
2023-07-28 09:40:00,1690517400,389.1,389.1,388.6,388.75,388.97,35776,0,2449835,0
2023-07-28 09:39:00,1690517340,388.1,389.25,387.8,389.2,388.4,52956,0,2414059,0
2023-07-28 09:38:00,1690517280,387.6,388.2,387.3,387.95,388.74,17505,0,2361103,0
2023-07-28 09:37:00,1690517220,387.6,387.85,387.0,387.8,387.08,24818,0,2343598,0
2023-07-28 09:36:00,1690517160,387.05,387.55,386.45,387.55,387.28,28783,0,2318780,0
2023-07-28 09:35:00,1690517100,386.3,387.2,385.5,386.75,385.89,34253,0,2289997,0
2023-07-28 09:34:00,1690517040,386.75,387.0,386.4,386.4,386.79,6297,0,2255744,0
2023-07-28 09:33:00,1690516980,386.7,386.95,386.35,386.7,388.32,4385,0,2249447,0
2023-07-28 09:32:00,1690516920,387.7,387.9,386.5,386.5,386.83,30435,0,2245062,0
2023-07-28 09:31:00,1690516860,386.5,387.6,386.0,387.6,386.98,72533,0,2214627,0
2023-07-28 09:30:00,1690516800,388.45,388.8,386.55,386.85,387.73,44476,0,2142094,0
2023-07-28 09:29:00,1690516740,387.85,388.3,387.15,388.3,387.96,24648,0,2097618,0
2023-07-28 09:28:00,1690516680,386.55,387.95,386.35,387.65,387.4,35879,0,2072970,0
2023-07-28 09:27:00,1690516620,387.0,387.05,386.25,386.3,386.6,21068,0,2037091,0
2023-07-28 09:26:00,1690516560,387.75,388.35,386.6,386.8,387.35,79697,0,2016023,0
2023-07-28 09:25:00,1690516500,385.55,387.9,385.25,387.6,386.74,96383,0,1936326,0
2023-07-28 09:24:00,1690516440,384.2,386.35,384.2,385.5,385.51,108689,0,1839943,0
2023-07-28 09:23:00,1690516380,384.0,384.6,383.55,384.05,384.3,61294,0,1731254,0
2023-07-28 09:22:00,1690516320,383.3,385.15,383.05,384.4,384.5,90118,0,1669960,0
2023-07-28 09:21:00,1690516260,381.75,383.4,381.45,383.35,382.35,34947,0,1579842,0
2023-07-28 09:20:00,1690516200,383.55,383.8,381.55,381.55,382.46,78213,0,1544895,0
2023-07-28 09:19:00,1690516140,383.0,384.25,382.55,383.8,383.24,126976,0,1466682,0
2023-07-28 09:18:00,1690516080,381.05,383.25,380.95,383.25,382.14,119736,0,1339706,0
2023-07-28 09:17:00,1690516020,379.85,382.85,378.7,381.15,380.69,219034,0,1219970,0
2023-07-28 09:16:00,1690515960,384.65,384.65,378.9,379.3,380.91,555834,0,1000936,0
2023-07-28 09:15:00,1690515900,381.65,386.85,381.65,384.55,384.39,344702,0,445102,0
