time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-02 15:28:00,1690970280,214.6,214.65,214.4,214.55,215.52,20500,0,6464045,0,1515
2023-08-02 15:27:00,1690970220,214.55,214.75,214.55,214.75,218.68,6277,0,6443545,0,1515
2023-08-02 15:26:00,1690970160,215.0,215.0,214.5,214.5,214.13,14137,0,6437268,0,1515
2023-08-02 15:25:00,1690970100,214.9,215.0,214.9,214.95,210.85,8187,0,6423131,0,1515
2023-08-02 15:24:00,1690970040,215.0,215.05,214.5,214.95,216.09,24578,0,6414944,0,1515
2023-08-02 15:23:00,1690969980,215.0,215.15,215.0,215.1,214.69,15890,0,6390366,0,1515
2023-08-02 15:22:00,1690969920,214.8,215.0,214.6,214.95,213.58,24742,0,6374476,0,1515
2023-08-02 15:21:00,1690969860,214.85,215.1,214.8,214.85,216.23,25255,0,6349734,0,1515
2023-08-02 15:20:00,1690969800,215.0,215.1,214.75,215.0,215.17,52600,0,6324479,0,1515
2023-08-02 15:19:00,1690969740,214.95,215.1,214.9,215.05,215.14,34316,0,6271879,0,1515
2023-08-02 15:18:00,1690969680,215.25,215.3,215.0,215.05,215.18,34351,0,6237563,0,1515
2023-08-02 15:17:00,1690969620,215.2,215.3,215.15,215.2,211.89,8947,0,6203212,0,1515
2023-08-02 15:16:00,1690969560,215.65,215.65,215.0,215.3,214.79,45729,0,6194265,0,1515
2023-08-02 15:15:00,1690969500,215.35,215.65,215.15,215.5,216.3,23970,0,6148536,0,1515
2023-08-02 15:14:00,1690969440,215.45,215.45,215.2,215.25,213.73,11911,0,6124566,0,1515
2023-08-02 15:13:00,1690969380,215.45,215.5,215.3,215.35,218.88,7299,0,6112655,0,1515
2023-08-02 15:12:00,1690969320,215.35,215.5,215.3,215.35,214.79,29740,0,6105356,0,1515
2023-08-02 15:11:00,1690969260,215.55,215.65,215.5,215.5,218.9,4113,0,6075616,0,1515
2023-08-02 15:10:00,1690969200,215.65,215.7,215.55,215.65,215.73,19142,0,6071503,0,1515
2023-08-02 15:09:00,1690969140,215.7,215.75,215.55,215.55,218.91,6976,0,6052361,0,1515
2023-08-02 15:08:00,1690969080,215.75,215.75,215.5,215.6,208.27,5681,0,6045385,0,1515
2023-08-02 15:07:00,1690969020,215.8,215.8,215.65,215.65,218.92,6359,0,6039704,0,1515
2023-08-02 15:06:00,1690968960,215.4,215.85,215.4,215.7,214.9,29889,0,6033345,0,1515
2023-08-02 15:05:00,1690968900,215.15,215.5,215.15,215.3,218.94,4822,0,6003456,0,1515
2023-08-02 15:04:00,1690968840,215.25,215.3,215.15,215.3,218.94,4416,0,5998634,0,1515
2023-08-02 15:03:00,1690968780,215.5,215.5,215.25,215.4,215.49,17369,0,5994218,0,1515
2023-08-02 15:02:00,1690968720,215.3,215.7,215.3,215.6,215.46,17079,0,5976849,0,1515
2023-08-02 15:01:00,1690968660,215.4,215.55,215.2,215.35,213.16,10261,0,5959770,0,1515
2023-08-02 15:00:00,1690968600,215.0,215.3,215.0,215.25,214.07,12134,0,5949509,0,1515
2023-08-02 14:59:00,1690968540,215.1,215.1,214.85,214.95,218.98,8205,0,5937375,0,1515
2023-08-02 14:58:00,1690968480,215.15,215.15,215.0,215.05,218.98,2100,0,5929170,0,1515
2023-08-02 14:57:00,1690968420,214.9,215.25,214.9,215.1,212.74,18953,0,5927070,0,1515
2023-08-02 14:56:00,1690968360,214.85,214.95,214.7,214.95,219.0,7499,0,5908117,0,1515
2023-08-02 14:55:00,1690968300,215.0,215.0,214.85,214.9,219.0,1740,0,5900618,0,1515
2023-08-02 14:54:00,1690968240,214.75,215.1,214.6,214.95,212.49,27081,0,5898878,0,1515
2023-08-02 14:53:00,1690968180,214.75,214.75,214.6,214.7,219.03,5595,0,5871797,0,1515
2023-08-02 14:52:00,1690968120,214.6,214.8,214.5,214.8,214.99,14493,0,5866202,0,1515
2023-08-02 14:51:00,1690968060,214.65,214.7,214.55,214.55,219.04,7964,0,5851709,0,1515
2023-08-02 14:50:00,1690968000,213.9,214.8,213.9,214.75,213.79,66069,0,5843745,0,1515
2023-08-02 14:49:00,1690967940,213.65,213.9,213.65,213.8,219.1,4468,0,5777676,0,1515
2023-08-02 14:48:00,1690967880,213.5,213.75,213.5,213.75,209.36,5922,0,5773208,0,1515
2023-08-02 14:47:00,1690967820,213.65,213.7,213.5,213.65,219.11,2098,0,5767286,0,1515
2023-08-02 14:46:00,1690967760,213.5,213.8,213.5,213.6,219.11,3901,0,5765188,0,1515
2023-08-02 14:45:00,1690967700,213.6,213.6,213.35,213.45,209.42,5945,0,5761287,0,1515
2023-08-02 14:44:00,1690967640,213.9,213.9,213.5,213.7,211.97,8043,0,5755342,0,1515
2023-08-02 14:43:00,1690967580,213.95,214.0,213.85,213.85,219.13,6234,0,5747299,0,1515
2023-08-02 14:42:00,1690967520,213.7,213.8,213.65,213.75,212.29,16748,0,5741065,0,1515
2023-08-02 14:41:00,1690967460,213.7,213.7,213.5,213.6,219.15,5287,0,5724317,0,1515
2023-08-02 14:40:00,1690967400,213.7,213.75,213.55,213.55,213.6,10304,0,5719030,0,1515
2023-08-02 14:39:00,1690967340,213.45,213.65,213.3,213.65,211.5,7446,0,5708726,0,1515
2023-08-02 14:38:00,1690967280,213.3,213.5,213.25,213.3,212.8,8942,0,5701280,0,1515
2023-08-02 14:37:00,1690967220,213.0,213.25,213.0,213.25,215.27,14540,0,5692338,0,1515
2023-08-02 14:36:00,1690967160,212.85,213.25,212.75,213.25,208.81,5468,0,5677798,0,1515
2023-08-02 14:35:00,1690967100,212.55,212.9,212.55,212.9,219.2,3915,0,5672330,0,1515
2023-08-02 14:34:00,1690967040,212.55,212.8,212.5,212.75,207.96,5042,0,5668415,0,1515
2023-08-02 14:33:00,1690966980,212.6,212.65,212.55,212.65,219.21,4034,0,5663373,0,1515
2023-08-02 14:32:00,1690966920,212.75,212.9,212.45,212.5,207.12,9348,0,5659339,0,1515
2023-08-02 14:31:00,1690966860,213.2,213.2,212.75,212.95,219.23,4310,0,5649991,0,1515
2023-08-02 14:30:00,1690966800,212.6,213.2,212.6,213.15,213.19,18649,0,5645681,0,1515
2023-08-02 14:29:00,1690966740,212.45,212.7,212.15,212.7,213.32,18923,0,5627032,0,1515
2023-08-02 14:28:00,1690966680,212.6,212.75,212.4,212.4,208.65,10551,0,5608109,0,1515
2023-08-02 14:27:00,1690966620,212.8,212.9,212.55,212.65,213.62,9857,0,5597558,0,1515
2023-08-02 14:26:00,1690966560,212.55,212.75,212.5,212.75,213.67,9924,0,5587701,0,1515
2023-08-02 14:25:00,1690966500,212.5,212.65,212.4,212.6,204.88,3864,0,5577777,0,1515
2023-08-02 14:24:00,1690966440,212.6,212.65,212.3,212.3,219.32,7764,0,5573913,0,1515
2023-08-02 14:23:00,1690966380,212.4,212.65,212.25,212.65,207.49,4704,0,5566149,0,1515
2023-08-02 14:22:00,1690966320,212.45,212.55,212.35,212.45,214.21,10850,0,5561445,0,1515
2023-08-02 14:21:00,1690966260,212.7,212.8,212.55,212.55,209.44,5602,0,5550595,0,1515
2023-08-02 14:20:00,1690966200,212.2,212.75,212.2,212.6,212.34,31497,0,5544993,0,1515
2023-08-02 14:19:00,1690966140,212.15,212.3,212.1,212.25,213.27,9002,0,5513496,0,1515
2023-08-02 14:18:00,1690966080,212.35,212.5,212.1,212.2,213.8,9817,0,5504494,0,1515
2023-08-02 14:17:00,1690966020,212.5,212.5,212.35,212.4,210.96,6495,0,5494677,0,1515
2023-08-02 14:16:00,1690965960,212.25,212.65,212.2,212.45,212.69,24386,0,5488182,0,1515
2023-08-02 14:15:00,1690965900,212.4,212.5,212.25,212.35,208.81,5131,0,5463796,0,1515
2023-08-02 14:14:00,1690965840,212.5,212.5,212.3,212.45,212.05,7358,0,5458665,0,1515
2023-08-02 14:13:00,1690965780,213.0,213.0,212.5,212.6,213.43,9023,0,5451307,0,1515
2023-08-02 14:12:00,1690965720,212.9,213.25,212.6,212.85,209.44,10822,0,5442284,0,1515
2023-08-02 14:11:00,1690965660,213.6,213.6,212.95,213.0,213.47,53514,0,5431462,0,1515
2023-08-02 14:10:00,1690965600,213.25,213.25,212.9,212.95,219.56,3622,0,5377948,0,1515
2023-08-02 14:09:00,1690965540,213.25,213.3,212.95,213.15,209.2,5186,0,5374326,0,1515
2023-08-02 14:08:00,1690965480,213.2,213.3,213.0,213.2,219.57,3094,0,5369140,0,1515
2023-08-02 14:07:00,1690965420,213.0,213.2,213.0,213.0,208.28,4752,0,5366046,0,1515
2023-08-02 14:06:00,1690965360,213.0,213.45,212.75,213.15,212.33,22118,0,5361294,0,1515
