time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,214.7,215.0,214.25,214.6,214.28,6892,0,2517287,0
2023-07-28 15:28:00,1690538280,214.6,214.7,214.4,214.45,214.28,10179,0,2510395,0
2023-07-28 15:27:00,1690538220,214.4,214.6,214.4,214.5,214.28,11574,0,2500216,0
2023-07-28 15:26:00,1690538160,214.55,214.65,214.5,214.55,214.28,13968,0,2488642,0
2023-07-28 15:25:00,1690538100,214.6,214.65,214.5,214.5,214.28,10384,0,2474674,0
2023-07-28 15:24:00,1690538040,214.75,214.8,214.55,214.55,217.59,7404,0,2464290,0
2023-07-28 15:23:00,1690537980,214.8,214.8,214.55,214.6,214.27,16642,0,2456886,0
2023-07-28 15:22:00,1690537920,214.4,214.9,214.3,214.7,214.27,21998,0,2440244,0
2023-07-28 15:21:00,1690537860,214.35,214.45,214.3,214.3,214.27,5357,0,2418246,0
2023-07-28 15:20:00,1690537800,214.7,214.7,214.3,214.3,215.24,24416,0,2412889,0
2023-07-28 15:19:00,1690537740,214.55,214.7,214.5,214.65,214.26,7133,0,2388473,0
2023-07-28 15:18:00,1690537680,214.4,214.7,214.25,214.6,214.26,18620,0,2381340,0
2023-07-28 15:17:00,1690537620,214.4,214.4,214.25,214.25,214.26,3845,0,2362720,0
2023-07-28 15:16:00,1690537560,214.25,214.45,214.2,214.35,214.26,11379,0,2358875,0
2023-07-28 15:15:00,1690537500,214.45,214.55,214.35,214.35,214.26,9565,0,2347496,0
2023-07-28 15:14:00,1690537440,214.5,214.55,214.4,214.55,214.26,6066,0,2337931,0
2023-07-28 15:13:00,1690537380,215.05,215.05,214.45,214.45,214.86,37947,0,2331865,0
2023-07-28 15:12:00,1690537320,214.7,215.05,214.6,215.0,214.8,79265,0,2293918,0
2023-07-28 15:11:00,1690537260,214.6,214.85,214.6,214.6,215.37,19120,0,2214653,0
2023-07-28 15:10:00,1690537200,214.4,214.8,214.35,214.75,214.22,28932,0,2195533,0
2023-07-28 15:09:00,1690537140,214.5,214.5,214.3,214.35,214.22,5090,0,2166601,0
2023-07-28 15:08:00,1690537080,214.65,214.65,214.45,214.45,214.22,5646,0,2161511,0
2023-07-28 15:07:00,1690537020,214.6,214.7,214.5,214.55,215.08,24501,0,2155865,0
2023-07-28 15:06:00,1690536960,214.7,214.7,214.55,214.65,214.21,5402,0,2131364,0
2023-07-28 15:05:00,1690536900,214.7,214.95,214.65,214.8,214.21,8106,0,2125962,0
2023-07-28 15:04:00,1690536840,215.0,215.0,214.8,214.85,214.69,43191,0,2117856,0
2023-07-28 15:03:00,1690536780,214.6,214.75,214.4,214.5,216.8,7919,0,2074665,0
2023-07-28 15:02:00,1690536720,214.6,214.85,214.6,214.75,214.19,9612,0,2066746,0
2023-07-28 15:01:00,1690536660,214.65,214.75,214.65,214.65,214.19,1596,0,2057134,0
2023-07-28 15:00:00,1690536600,214.45,214.9,214.45,214.75,214.19,21146,0,2055538,0
2023-07-28 14:59:00,1690536540,214.15,214.45,214.05,214.35,214.19,6117,0,2034392,0
2023-07-28 14:58:00,1690536480,214.4,214.45,214.2,214.35,214.19,1814,0,2028275,0
2023-07-28 14:57:00,1690536420,214.2,214.4,214.0,214.2,214.19,12384,0,2026461,0
2023-07-28 14:56:00,1690536360,214.35,214.35,214.3,214.3,214.19,2173,0,2014077,0
2023-07-28 14:55:00,1690536300,214.0,214.35,213.95,214.3,214.19,8245,0,2011904,0
2023-07-28 14:54:00,1690536240,214.0,214.0,213.85,213.95,214.19,685,0,2003659,0
2023-07-28 14:53:00,1690536180,213.8,214.0,213.8,213.95,214.19,614,0,2002974,0
2023-07-28 14:52:00,1690536120,214.15,214.2,213.9,213.95,214.19,1054,0,2002360,0
2023-07-28 14:51:00,1690536060,214.4,214.4,214.0,214.2,214.19,1402,0,2001306,0
2023-07-28 14:50:00,1690536000,214.2,214.45,214.05,214.45,214.19,7548,0,1999904,0
2023-07-28 14:49:00,1690535940,214.05,214.25,214.05,214.15,214.19,4311,0,1992356,0
2023-07-28 14:48:00,1690535880,213.9,214.0,213.8,214.0,214.19,2732,0,1988045,0
2023-07-28 14:47:00,1690535820,213.95,214.0,213.8,213.8,214.19,2135,0,1985313,0
2023-07-28 14:46:00,1690535760,213.95,214.05,213.95,214.0,214.19,2964,0,1983178,0
2023-07-28 14:45:00,1690535700,213.8,213.95,213.8,213.85,214.19,3657,0,1980214,0
2023-07-28 14:44:00,1690535640,213.9,214.0,213.85,214.0,214.19,5754,0,1976557,0
2023-07-28 14:43:00,1690535580,213.6,213.8,213.55,213.8,214.19,1764,0,1970803,0
2023-07-28 14:42:00,1690535520,213.65,213.8,213.65,213.75,214.19,630,0,1969039,0
2023-07-28 14:41:00,1690535460,213.8,213.85,213.8,213.8,214.19,378,0,1968409,0
2023-07-28 14:40:00,1690535400,213.6,213.9,213.6,213.85,214.19,6621,0,1968031,0
2023-07-28 14:39:00,1690535340,213.35,213.4,213.3,213.4,214.19,3994,0,1961410,0
2023-07-28 14:38:00,1690535280,213.45,213.45,213.35,213.4,214.19,323,0,1957416,0
2023-07-28 14:37:00,1690535220,213.3,213.45,213.3,213.35,214.19,431,0,1957093,0
2023-07-28 14:36:00,1690535160,213.5,213.5,213.3,213.45,214.19,1596,0,1956662,0
2023-07-28 14:35:00,1690535100,213.5,213.6,213.3,213.45,210.27,4982,0,1955066,0
2023-07-28 14:34:00,1690535040,213.6,213.75,213.5,213.6,214.2,1613,0,1950084,0
2023-07-28 14:33:00,1690534980,213.9,213.9,213.65,213.7,214.2,1976,0,1948471,0
2023-07-28 14:32:00,1690534920,213.8,213.85,213.8,213.85,214.2,1001,0,1946495,0
2023-07-28 14:31:00,1690534860,213.85,213.85,213.75,213.85,214.2,910,0,1945494,0
2023-07-28 14:30:00,1690534800,213.8,213.85,213.55,213.75,214.2,5153,0,1944584,0
2023-07-28 14:29:00,1690534740,213.55,213.8,213.5,213.7,214.2,1118,0,1939431,0
2023-07-28 14:28:00,1690534680,213.5,213.5,213.4,213.5,214.2,899,0,1938313,0
2023-07-28 14:27:00,1690534620,213.45,213.65,213.45,213.45,214.2,1273,0,1937414,0
2023-07-28 14:26:00,1690534560,213.6,213.65,213.6,213.65,214.2,903,0,1936141,0
2023-07-28 14:25:00,1690534500,213.55,213.6,213.5,213.5,214.2,5551,0,1935238,0
2023-07-28 14:24:00,1690534440,213.5,213.65,213.5,213.5,214.2,469,0,1929687,0
2023-07-28 14:23:00,1690534380,213.4,213.65,213.4,213.65,214.2,6451,0,1929218,0
2023-07-28 14:22:00,1690534320,213.6,213.6,213.45,213.45,214.2,637,0,1922767,0
2023-07-28 14:21:00,1690534260,213.45,213.55,213.4,213.4,214.2,497,0,1922130,0
2023-07-28 14:20:00,1690534200,213.4,213.4,213.4,213.4,207.94,3068,0,1921633,0
2023-07-28 14:19:00,1690534140,213.45,213.45,213.45,213.45,0.0,0,0,1918565,0
2023-07-28 14:18:00,1690534080,213.5,213.65,213.45,213.45,214.21,3603,0,1918565,0
2023-07-28 14:17:00,1690534020,213.3,213.4,213.25,213.4,214.21,1391,0,1914962,0
2023-07-28 14:16:00,1690533960,213.35,213.35,213.2,213.2,214.21,1132,0,1913571,0
2023-07-28 14:15:00,1690533900,213.4,213.6,213.2,213.2,214.21,10977,0,1912439,0
2023-07-28 14:14:00,1690533840,213.6,213.6,213.5,213.5,214.21,514,0,1901462,0
2023-07-28 14:13:00,1690533780,213.5,213.6,213.45,213.5,214.21,1315,0,1900948,0
2023-07-28 14:12:00,1690533720,213.55,213.55,213.45,213.45,209.5,4029,0,1899633,0
2023-07-28 14:11:00,1690533660,213.6,213.7,213.5,213.6,214.22,1938,0,1895604,0
2023-07-28 14:10:00,1690533600,213.75,213.75,213.6,213.75,214.22,1094,0,1893666,0
2023-07-28 14:09:00,1690533540,213.75,213.75,213.6,213.6,214.22,10555,0,1892572,0
2023-07-28 14:08:00,1690533480,213.7,213.95,213.7,213.95,214.22,2267,0,1882017,0
2023-07-28 14:07:00,1690533420,213.9,213.9,213.7,213.75,214.22,91,0,1879750,0
2023-07-28 14:06:00,1690533360,213.9,213.9,213.75,213.75,214.22,58,0,1879659,0
2023-07-28 14:05:00,1690533300,213.7,213.9,213.7,213.75,214.22,2077,0,1879601,0
2023-07-28 14:04:00,1690533240,213.75,213.9,213.75,213.9,214.22,1024,0,1877524,0
2023-07-28 14:03:00,1690533180,213.95,213.95,213.85,213.85,214.22,47,0,1876500,0
2023-07-28 14:02:00,1690533120,213.85,213.95,213.8,213.8,214.22,2773,0,1876453,0
2023-07-28 14:01:00,1690533060,213.85,213.85,213.7,213.7,214.22,113,0,1873680,0
2023-07-28 14:00:00,1690533000,213.7,213.85,213.7,213.7,214.22,64,0,1873567,0
2023-07-28 13:59:00,1690532940,213.65,213.8,213.65,213.8,214.22,31,0,1873503,0
2023-07-28 13:58:00,1690532880,213.75,213.8,213.65,213.8,214.22,3400,0,1873472,0
2023-07-28 13:57:00,1690532820,213.9,213.9,213.7,213.9,214.22,1388,0,1870072,0
2023-07-28 13:56:00,1690532760,213.75,213.75,213.7,213.7,214.22,1069,0,1868684,0
2023-07-28 13:55:00,1690532700,213.85,213.9,213.8,213.8,214.22,858,0,1867615,0
2023-07-28 13:54:00,1690532640,213.9,213.9,213.75,213.8,214.22,1223,0,1866757,0
2023-07-28 13:53:00,1690532580,213.85,213.9,213.75,213.75,214.22,927,0,1865534,0
2023-07-28 13:52:00,1690532520,213.9,213.9,213.75,213.8,214.22,869,0,1864607,0
2023-07-28 13:51:00,1690532460,213.65,213.85,213.65,213.85,214.22,1465,0,1863738,0
2023-07-28 13:50:00,1690532400,213.65,213.7,213.6,213.7,214.22,905,0,1862273,0
2023-07-28 13:49:00,1690532340,213.65,213.65,213.6,213.6,214.22,1220,0,1861368,0
2023-07-28 13:48:00,1690532280,213.65,213.65,213.6,213.6,211.6,7076,0,1860148,0
2023-07-28 13:47:00,1690532220,213.6,213.65,213.6,213.6,214.23,3678,0,1853072,0
2023-07-28 13:46:00,1690532160,213.6,213.6,213.45,213.5,214.23,5002,0,1849394,0
2023-07-28 13:45:00,1690532100,213.75,213.75,213.5,213.5,214.23,8543,0,1844392,0
2023-07-28 13:44:00,1690532040,213.6,213.7,213.6,213.7,214.23,1387,0,1835849,0
2023-07-28 13:43:00,1690531980,214.0,214.0,213.65,213.7,214.23,4453,0,1834462,0
2023-07-28 13:42:00,1690531920,214.05,214.05,213.85,213.95,214.23,537,0,1830009,0
2023-07-28 13:41:00,1690531860,214.0,214.0,214.0,214.0,199.77,1265,0,1829472,0
2023-07-28 13:40:00,1690531800,214.2,214.2,213.95,213.95,214.24,8953,0,1828207,0
2023-07-28 13:39:00,1690531740,214.25,214.3,214.05,214.05,214.24,2626,0,1819254,0
2023-07-28 13:38:00,1690531680,214.3,214.3,214.15,214.2,214.24,1989,0,1816628,0
2023-07-28 13:37:00,1690531620,214.4,214.4,214.2,214.2,214.24,1975,0,1814639,0
2023-07-28 13:36:00,1690531560,214.65,214.65,214.3,214.3,214.24,10321,0,1812664,0
2023-07-28 13:35:00,1690531500,214.55,214.55,214.55,214.55,243.39,618,0,1802343,0
2023-07-28 13:34:00,1690531440,214.75,214.85,214.65,214.65,214.23,1249,0,1801725,0
2023-07-28 13:33:00,1690531380,214.8,214.9,214.8,214.8,214.23,1666,0,1800476,0
2023-07-28 13:32:00,1690531320,214.9,214.9,214.9,214.9,214.23,3000,0,1798810,0
2023-07-28 13:31:00,1690531260,214.8,214.8,214.6,214.8,214.23,1262,0,1795810,0
2023-07-28 13:30:00,1690531200,214.75,214.75,214.6,214.75,214.23,357,0,1794548,0
2023-07-28 13:29:00,1690531140,214.6,214.6,214.6,214.6,214.23,175,0,1794191,0
2023-07-28 13:28:00,1690531080,214.65,214.85,214.65,214.65,214.23,785,0,1794016,0
2023-07-28 13:27:00,1690531020,214.65,214.9,214.6,214.8,214.23,3434,0,1793231,0
2023-07-28 13:26:00,1690530960,214.55,214.55,214.55,214.55,214.23,213,0,1789797,0
2023-07-28 13:25:00,1690530900,214.55,214.65,214.55,214.65,214.23,76,0,1789584,0
2023-07-28 13:24:00,1690530840,214.55,214.7,214.55,214.65,214.23,1724,0,1789508,0
2023-07-28 13:23:00,1690530780,214.75,214.75,214.6,214.6,214.23,1614,0,1787784,0
2023-07-28 13:22:00,1690530720,214.8,214.8,214.6,214.6,214.23,91,0,1786170,0
2023-07-28 13:21:00,1690530660,214.8,214.8,214.65,214.65,214.23,2789,0,1786079,0
2023-07-28 13:20:00,1690530600,214.95,214.95,214.75,214.75,214.23,1064,0,1783290,0
2023-07-28 13:19:00,1690530540,214.7,214.8,214.7,214.8,214.23,156,0,1782226,0
2023-07-28 13:18:00,1690530480,214.7,214.8,214.7,214.8,214.23,3044,0,1782070,0
2023-07-28 13:17:00,1690530420,214.7,214.8,214.7,214.8,214.23,1146,0,1779026,0
2023-07-28 13:16:00,1690530360,214.95,214.95,214.7,214.85,214.23,3436,0,1777880,0
2023-07-28 13:15:00,1690530300,214.65,214.8,214.65,214.65,214.23,174,0,1774444,0
2023-07-28 13:14:00,1690530240,214.7,214.7,214.7,214.7,214.23,3647,0,1774270,0
2023-07-28 13:13:00,1690530180,214.85,214.9,214.75,214.75,216.3,8484,0,1770623,0
2023-07-28 13:12:00,1690530120,214.85,215.0,214.8,214.8,214.22,791,0,1762139,0
2023-07-28 13:11:00,1690530060,214.9,215.0,214.9,215.0,214.22,334,0,1761348,0
2023-07-28 13:10:00,1690530000,215.0,215.0,214.9,215.0,214.22,145,0,1761014,0
2023-07-28 13:09:00,1690529940,214.9,215.05,214.9,215.05,214.22,465,0,1760869,0
2023-07-28 13:08:00,1690529880,214.95,215.15,214.9,215.0,214.22,7282,0,1760404,0
2023-07-28 13:07:00,1690529820,215.2,215.2,215.0,215.0,216.1,9256,0,1753122,0
2023-07-28 13:06:00,1690529760,214.9,215.0,214.9,215.0,214.21,7293,0,1743866,0
2023-07-28 13:05:00,1690529700,214.75,214.95,214.75,214.95,214.21,1073,0,1736573,0
2023-07-28 13:04:00,1690529640,214.75,214.85,214.75,214.85,214.21,157,0,1735500,0
2023-07-28 13:03:00,1690529580,214.85,215.0,214.75,214.85,214.21,4090,0,1735343,0
2023-07-28 13:02:00,1690529520,214.95,214.95,214.8,214.8,214.21,586,0,1731253,0
2023-07-28 13:01:00,1690529460,214.8,214.8,214.75,214.8,214.21,777,0,1730667,0
2023-07-28 13:00:00,1690529400,214.75,214.75,214.75,214.75,214.21,1168,0,1729890,0
2023-07-28 12:59:00,1690529340,214.75,214.75,214.75,214.75,214.21,1344,0,1728722,0
2023-07-28 12:58:00,1690529280,214.7,214.7,214.65,214.7,214.21,531,0,1727378,0
2023-07-28 12:57:00,1690529220,214.7,214.7,214.5,214.65,214.21,561,0,1726847,0
2023-07-28 12:56:00,1690529160,214.6,214.65,214.5,214.5,214.21,1368,0,1726286,0
2023-07-28 12:55:00,1690529100,214.8,214.8,214.5,214.5,214.21,2295,0,1724918,0
2023-07-28 12:54:00,1690529040,214.8,214.85,214.7,214.7,214.21,2238,0,1722623,0
2023-07-28 12:53:00,1690528980,215.0,215.0,214.6,214.7,220.0,5913,0,1720385,0
2023-07-28 12:52:00,1690528920,215.0,215.0,214.95,214.95,214.19,1555,0,1714472,0
2023-07-28 12:51:00,1690528860,215.0,215.0,214.95,214.95,214.19,3977,0,1712917,0
2023-07-28 12:50:00,1690528800,214.95,215.05,214.95,214.95,214.19,2855,0,1708940,0
2023-07-28 12:49:00,1690528740,215.15,215.15,214.95,215.0,214.19,434,0,1706085,0
2023-07-28 12:48:00,1690528680,215.2,215.25,215.0,215.0,214.19,3567,0,1705651,0
2023-07-28 12:47:00,1690528620,215.1,215.25,214.95,215.05,214.19,6472,0,1702084,0
2023-07-28 12:46:00,1690528560,215.15,215.2,214.95,215.2,214.19,5722,0,1695612,0
2023-07-28 12:45:00,1690528500,215.25,215.4,215.0,215.0,215.56,12193,0,1689890,0
2023-07-28 12:44:00,1690528440,215.25,215.3,215.05,215.3,214.18,3705,0,1677697,0
2023-07-28 12:43:00,1690528380,215.3,215.3,215.1,215.15,214.18,6022,0,1673992,0
2023-07-28 12:42:00,1690528320,215.0,215.3,214.95,215.25,215.46,12929,0,1667970,0
2023-07-28 12:41:00,1690528260,215.15,215.15,214.95,214.95,214.17,9255,0,1655041,0
2023-07-28 12:40:00,1690528200,214.9,215.25,214.9,215.1,215.28,14597,0,1645786,0
2023-07-28 12:39:00,1690528140,214.55,214.85,214.55,214.8,214.16,4071,0,1631189,0
2023-07-28 12:38:00,1690528080,214.75,214.75,214.6,214.6,214.16,998,0,1627118,0
2023-07-28 12:37:00,1690528020,214.75,214.75,214.65,214.65,214.16,275,0,1626120,0
2023-07-28 12:36:00,1690527960,214.75,214.75,214.65,214.65,214.16,380,0,1625845,0
2023-07-28 12:35:00,1690527900,214.65,214.75,214.55,214.65,226.19,1350,0,1625465,0
2023-07-28 12:34:00,1690527840,214.9,214.9,214.75,214.75,214.15,3614,0,1624115,0
2023-07-28 12:33:00,1690527780,215.1,215.1,214.95,214.95,214.15,4916,0,1620501,0
2023-07-28 12:32:00,1690527720,214.95,215.05,214.9,215.0,215.07,17189,0,1615585,0
2023-07-28 12:31:00,1690527660,214.9,215.0,214.75,214.9,214.14,7807,0,1598396,0
2023-07-28 12:30:00,1690527600,214.7,214.7,214.55,214.7,214.14,3435,0,1590589,0
2023-07-28 12:29:00,1690527540,214.75,214.75,214.55,214.55,214.14,2481,0,1587154,0
2023-07-28 12:28:00,1690527480,214.45,214.75,214.45,214.6,215.88,9009,0,1584673,0
2023-07-28 12:27:00,1690527420,214.3,214.4,214.2,214.4,214.13,1648,0,1575664,0
2023-07-28 12:26:00,1690527360,214.2,214.2,214.05,214.2,214.13,1684,0,1574016,0
2023-07-28 12:25:00,1690527300,213.85,214.2,213.85,214.05,214.13,279,0,1572332,0
2023-07-28 12:24:00,1690527240,214.15,214.25,213.85,214.0,214.13,8180,0,1572053,0
2023-07-28 12:23:00,1690527180,214.2,214.2,214.0,214.0,214.13,2480,0,1563873,0
2023-07-28 12:22:00,1690527120,214.25,214.25,214.05,214.15,214.13,1514,0,1561393,0
2023-07-28 12:21:00,1690527060,214.1,214.1,214.1,214.1,214.13,428,0,1559879,0
2023-07-28 12:20:00,1690527000,214.05,214.05,214.05,214.05,214.13,1247,0,1559451,0
2023-07-28 12:19:00,1690526940,214.1,214.3,214.1,214.1,214.13,2266,0,1558204,0
2023-07-28 12:18:00,1690526880,214.35,214.35,214.15,214.15,214.13,2439,0,1555938,0
2023-07-28 12:17:00,1690526820,214.25,214.4,214.15,214.25,214.13,1531,0,1553499,0
2023-07-28 12:16:00,1690526760,214.5,214.5,214.4,214.4,214.13,61,0,1551968,0
2023-07-28 12:15:00,1690526700,214.25,214.5,214.25,214.4,214.13,1047,0,1551907,0
2023-07-28 12:14:00,1690526640,214.35,214.35,214.15,214.2,214.13,6717,0,1550860,0
2023-07-28 12:13:00,1690526580,214.3,214.4,214.25,214.25,214.13,680,0,1544143,0
2023-07-28 12:12:00,1690526520,214.25,214.4,214.25,214.4,214.13,1526,0,1543463,0
2023-07-28 12:11:00,1690526460,214.25,214.25,214.2,214.2,214.13,345,0,1541937,0
2023-07-28 12:10:00,1690526400,214.4,214.4,214.1,214.4,214.13,10352,0,1541592,0
2023-07-28 12:09:00,1690526340,214.2,214.3,214.2,214.3,214.13,1345,0,1531240,0
2023-07-28 12:08:00,1690526280,214.0,214.0,214.0,214.0,214.13,1148,0,1529895,0
2023-07-28 12:07:00,1690526220,213.85,214.1,213.85,213.95,214.13,1597,0,1528747,0
2023-07-28 12:06:00,1690526160,214.05,214.1,213.85,213.95,214.13,8644,0,1527150,0
2023-07-28 12:05:00,1690526100,214.0,214.15,214.0,214.15,214.13,929,0,1518506,0
2023-07-28 12:04:00,1690526040,214.15,214.15,214.05,214.15,214.13,4622,0,1517577,0
2023-07-28 12:03:00,1690525980,214.2,214.2,214.1,214.1,214.13,748,0,1512955,0
2023-07-28 12:02:00,1690525920,214.35,214.45,214.35,214.4,214.13,3326,0,1512207,0
2023-07-28 12:01:00,1690525860,214.3,214.3,214.2,214.3,214.13,4661,0,1508881,0
2023-07-28 12:00:00,1690525800,214.5,214.5,214.35,214.35,214.13,3025,0,1504220,0
2023-07-28 11:59:00,1690525740,214.3,214.3,214.25,214.3,214.13,428,0,1501195,0
2023-07-28 11:58:00,1690525680,214.4,214.4,214.2,214.4,214.13,800,0,1500767,0
2023-07-28 11:57:00,1690525620,214.4,214.45,214.25,214.45,214.13,1168,0,1499967,0
2023-07-28 11:56:00,1690525560,214.45,214.5,214.2,214.2,214.13,4461,0,1498799,0
2023-07-28 11:55:00,1690525500,214.25,214.5,214.25,214.3,214.13,6582,0,1494338,0
2023-07-28 11:54:00,1690525440,214.25,214.25,214.15,214.15,214.13,463,0,1487756,0
2023-07-28 11:53:00,1690525380,214.2,214.25,214.15,214.15,214.13,700,0,1487293,0
2023-07-28 11:52:00,1690525320,214.45,214.45,214.2,214.25,214.13,3103,0,1486593,0
2023-07-28 11:51:00,1690525260,214.45,214.45,214.35,214.35,214.13,494,0,1483490,0
2023-07-28 11:50:00,1690525200,214.35,214.5,214.35,214.5,214.13,1129,0,1482996,0
2023-07-28 11:49:00,1690525140,214.4,214.45,214.25,214.45,214.13,3004,0,1481867,0
2023-07-28 11:48:00,1690525080,214.5,214.7,214.15,214.15,214.13,10217,0,1478863,0
2023-07-28 11:47:00,1690525020,215.35,215.5,214.7,214.85,216.62,5862,0,1468646,0
2023-07-28 11:46:00,1690524960,214.8,215.45,214.7,215.2,214.92,35598,0,1462784,0
2023-07-28 11:45:00,1690524900,214.7,214.9,214.7,214.7,214.1,2389,0,1427186,0
2023-07-28 11:44:00,1690524840,214.75,214.85,214.7,214.75,214.1,409,0,1424797,0
2023-07-28 11:43:00,1690524780,214.85,214.85,214.7,214.7,214.1,2641,0,1424388,0
2023-07-28 11:42:00,1690524720,214.85,215.0,214.8,214.9,215.4,10798,0,1421747,0
2023-07-28 11:41:00,1690524660,214.45,214.8,214.35,214.8,214.09,9269,0,1410949,0
2023-07-28 11:40:00,1690524600,214.4,214.45,214.25,214.35,214.09,1017,0,1401680,0
2023-07-28 11:39:00,1690524540,214.4,214.4,214.3,214.3,214.09,362,0,1400663,0
2023-07-28 11:38:00,1690524480,214.5,214.5,214.3,214.5,214.09,4483,0,1400301,0
2023-07-28 11:37:00,1690524420,214.1,214.5,214.05,214.3,214.09,3557,0,1395818,0
2023-07-28 11:36:00,1690524360,214.2,214.3,214.05,214.05,214.09,2202,0,1392261,0
2023-07-28 11:35:00,1690524300,214.15,214.35,214.15,214.3,214.09,2216,0,1390059,0
