time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,3082.4,3084.9,3080.25,3083.0,3083.13,6475,0,108750,0
2023-07-28 09:41:00,1690517460,3075.7,3082.55,3075.0,3082.0,3078.48,6112,0,102275,0
2023-07-28 09:40:00,1690517400,3072.0,3077.0,3070.0,3077.0,3073.85,3690,0,96163,0
2023-07-28 09:39:00,1690517340,3071.8,3073.25,3066.0,3071.95,3069.03,2709,0,92473,0
2023-07-28 09:38:00,1690517280,3072.0,3073.95,3064.7,3067.15,3069.04,4495,0,89764,0
2023-07-28 09:37:00,1690517220,3073.0,3077.9,3070.5,3074.05,3074.74,8559,0,85269,0
2023-07-28 09:36:00,1690517160,3067.95,3075.0,3066.65,3071.55,3072.0,3577,0,76710,0
2023-07-28 09:35:00,1690517100,3065.0,3069.0,3065.0,3067.85,3067.65,1023,0,73133,0
2023-07-28 09:34:00,1690517040,3062.0,3067.0,3062.0,3066.0,3065.09,2606,0,72110,0
2023-07-28 09:33:00,1690516980,3068.0,3069.95,3060.75,3063.5,3064.32,2975,0,69504,0
2023-07-28 09:32:00,1690516920,3059.3,3073.95,3056.1,3069.2,3066.18,7348,0,66529,0
2023-07-28 09:31:00,1690516860,3063.8,3064.95,3056.65,3059.6,3061.49,1496,0,59181,0
2023-07-28 09:30:00,1690516800,3062.5,3065.0,3060.15,3065.0,3062.89,1222,0,57685,0
2023-07-28 09:29:00,1690516740,3064.0,3069.0,3062.55,3063.95,3065.99,3634,0,56463,0
2023-07-28 09:28:00,1690516680,3062.55,3065.45,3061.55,3065.45,3062.7,1025,0,52829,0
2023-07-28 09:27:00,1690516620,3065.0,3068.95,3060.75,3063.3,3065.47,3421,0,51804,0
2023-07-28 09:26:00,1690516560,3057.0,3068.0,3057.0,3066.15,3063.65,2462,0,48383,0
2023-07-28 09:25:00,1690516500,3052.15,3058.9,3047.0,3058.9,3052.07,3060,0,45921,0
2023-07-28 09:24:00,1690516440,3059.0,3060.6,3052.0,3055.0,3057.32,4326,0,42861,0
2023-07-28 09:23:00,1690516380,3060.0,3069.95,3057.0,3059.8,3063.99,7143,0,38535,0
2023-07-28 09:22:00,1690516320,3050.05,3062.0,3049.1,3061.0,3057.21,6472,0,31392,0
2023-07-28 09:21:00,1690516260,3049.4,3052.4,3048.8,3050.5,3050.27,3508,0,24920,0
2023-07-28 09:20:00,1690516200,3046.95,3049.4,3045.0,3047.3,3047.61,2722,0,21412,0
2023-07-28 09:19:00,1690516140,3034.8,3046.75,3030.0,3046.75,3036.54,3564,0,18690,0
2023-07-28 09:18:00,1690516080,3048.75,3048.75,3036.0,3036.0,3043.28,1881,0,15126,0
2023-07-28 09:17:00,1690516020,3036.8,3049.95,3035.0,3047.0,3042.92,5264,0,13245,0
2023-07-28 09:16:00,1690515960,3026.4,3039.0,3025.15,3036.85,3030.18,2693,0,7981,0
2023-07-28 09:15:00,1690515900,3017.0,3027.7,3007.1,3026.35,3016.68,4653,0,5288,0
