time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 15:29:00,1690538340,467.6,468.0,467.4,467.65,466.6,19275,0,9973695,0
2023-07-28 15:28:00,1690538280,467.6,468.0,467.45,467.45,470.38,52256,0,9954420,0
2023-07-28 15:27:00,1690538220,467.35,467.8,467.35,467.55,466.58,32428,0,9902164,0
2023-07-28 15:26:00,1690538160,467.25,467.5,467.25,467.3,466.58,38449,0,9869736,0
2023-07-28 15:25:00,1690538100,467.3,467.3,467.25,467.3,466.58,34367,0,9831287,0
2023-07-28 15:24:00,1690538040,467.45,467.8,467.25,467.25,466.58,76570,0,9796920,0
2023-07-28 15:23:00,1690537980,467.8,467.85,467.4,467.6,468.6,47766,0,9720350,0
2023-07-28 15:22:00,1690537920,467.75,467.85,467.7,467.85,468.78,43431,0,9672584,0
2023-07-28 15:21:00,1690537860,467.95,468.25,467.7,467.7,466.56,43528,0,9629153,0
2023-07-28 15:20:00,1690537800,468.15,468.35,467.75,468.1,467.89,141064,0,9585625,0
2023-07-28 15:19:00,1690537740,468.25,468.45,468.15,468.2,468.66,44197,0,9444561,0
2023-07-28 15:18:00,1690537680,468.35,468.45,468.0,468.3,468.31,52389,0,9400364,0
2023-07-28 15:17:00,1690537620,468.2,468.45,468.05,468.45,468.47,47678,0,9347975,0
2023-07-28 15:16:00,1690537560,468.65,468.65,468.1,468.15,468.02,60839,0,9300297,0
2023-07-28 15:15:00,1690537500,468.85,469.0,468.45,468.45,468.93,75124,0,9239458,0
2023-07-28 15:14:00,1690537440,469.05,469.05,468.8,468.8,470.05,51052,0,9164334,0
2023-07-28 15:13:00,1690537380,469.0,469.1,468.8,469.0,468.2,51915,0,9113282,0
2023-07-28 15:12:00,1690537320,469.2,469.35,468.9,468.95,468.34,47675,0,9061367,0
2023-07-28 15:11:00,1690537260,469.3,469.4,468.85,469.15,469.25,63534,0,9013692,0
2023-07-28 15:10:00,1690537200,469.3,469.45,469.05,469.4,469.72,53890,0,8950158,0
2023-07-28 15:09:00,1690537140,469.0,469.3,469.0,469.2,469.52,56550,0,8896268,0
2023-07-28 15:08:00,1690537080,469.0,469.1,468.9,469.05,468.05,52377,0,8839718,0
2023-07-28 15:07:00,1690537020,468.9,469.0,468.75,468.95,469.05,32634,0,8787341,0
2023-07-28 15:06:00,1690536960,468.9,469.0,468.7,468.85,468.44,41831,0,8754707,0
2023-07-28 15:05:00,1690536900,468.7,469.0,468.7,468.95,470.98,37467,0,8712876,0
2023-07-28 15:04:00,1690536840,469.1,469.1,468.4,468.75,467.59,68300,0,8675409,0
2023-07-28 15:03:00,1690536780,469.15,469.45,469.0,469.05,469.61,77567,0,8607109,0
2023-07-28 15:02:00,1690536720,468.8,469.35,468.75,469.25,469.02,92620,0,8529542,0
2023-07-28 15:01:00,1690536660,468.55,468.85,468.4,468.85,469.26,55704,0,8436922,0
2023-07-28 15:00:00,1690536600,467.7,468.7,467.7,468.5,468.23,83211,0,8381218,0
2023-07-28 14:59:00,1690536540,467.8,467.9,467.25,467.75,466.22,59830,0,8298007,0
2023-07-28 14:58:00,1690536480,467.75,467.95,467.75,467.9,472.14,13887,0,8238177,0
2023-07-28 14:57:00,1690536420,467.75,467.9,467.65,467.8,466.21,22321,0,8224290,0
2023-07-28 14:56:00,1690536360,467.6,467.85,467.55,467.85,466.21,14432,0,8201969,0
2023-07-28 14:55:00,1690536300,467.45,467.7,467.4,467.7,470.14,20765,0,8187537,0
2023-07-28 14:54:00,1690536240,467.5,467.7,467.45,467.5,466.2,24502,0,8166772,0
2023-07-28 14:53:00,1690536180,467.65,467.7,467.4,467.55,469.37,25542,0,8142270,0
2023-07-28 14:52:00,1690536120,467.7,467.8,467.5,467.55,466.19,23846,0,8116728,0
2023-07-28 14:51:00,1690536060,467.75,467.95,467.5,467.75,468.73,31733,0,8092882,0
2023-07-28 14:50:00,1690536000,467.95,468.05,467.5,467.8,466.18,28659,0,8061149,0
2023-07-28 14:49:00,1690535940,467.65,468.1,467.55,468.0,468.35,73111,0,8032490,0
2023-07-28 14:48:00,1690535880,467.7,467.85,467.55,467.8,466.16,29391,0,7959379,0
2023-07-28 14:47:00,1690535820,467.75,467.75,467.45,467.5,469.32,24938,0,7929988,0
2023-07-28 14:46:00,1690535760,467.5,467.75,467.4,467.7,466.15,25171,0,7905050,0
2023-07-28 14:45:00,1690535700,467.4,467.7,467.3,467.6,468.22,37868,0,7879879,0
2023-07-28 14:44:00,1690535640,467.7,467.75,467.35,467.45,468.28,36442,0,7842011,0
2023-07-28 14:43:00,1690535580,467.35,467.7,467.1,467.5,466.13,40294,0,7805569,0
2023-07-28 14:42:00,1690535520,467.65,467.75,467.3,467.4,469.03,26673,0,7765275,0
2023-07-28 14:41:00,1690535460,467.65,467.85,467.55,467.75,466.12,21532,0,7738602,0
2023-07-28 14:40:00,1690535400,467.6,467.85,467.45,467.75,468.76,29039,0,7717070,0
2023-07-28 14:39:00,1690535340,467.5,467.85,467.5,467.75,468.44,32766,0,7688031,0
2023-07-28 14:38:00,1690535280,467.8,467.8,467.35,467.7,466.1,26299,0,7655265,0
2023-07-28 14:37:00,1690535220,467.35,467.8,467.15,467.75,467.81,44334,0,7628966,0
2023-07-28 14:36:00,1690535160,467.0,467.45,466.95,467.15,466.09,26216,0,7584632,0
2023-07-28 14:35:00,1690535100,467.0,467.25,467.0,467.2,469.47,22236,0,7558416,0
2023-07-28 14:34:00,1690535040,467.2,467.25,467.0,467.05,466.08,15481,0,7536180,0
2023-07-28 14:33:00,1690534980,467.3,467.45,467.0,467.15,466.08,24755,0,7520699,0
2023-07-28 14:32:00,1690534920,467.45,467.45,467.25,467.4,470.07,18712,0,7495944,0
2023-07-28 14:31:00,1690534860,467.4,467.6,467.2,467.35,466.07,34821,0,7477232,0
2023-07-28 14:30:00,1690534800,466.9,467.3,466.55,467.3,468.4,31778,0,7442411,0
2023-07-28 14:29:00,1690534740,466.6,466.85,466.25,466.8,466.06,50817,0,7410633,0
2023-07-28 14:28:00,1690534680,466.9,467.25,466.45,466.65,466.06,43235,0,7359816,0
2023-07-28 14:27:00,1690534620,466.95,467.1,466.8,466.95,469.94,18783,0,7316581,0
2023-07-28 14:26:00,1690534560,467.6,467.7,466.8,467.0,466.05,36827,0,7297798,0
2023-07-28 14:25:00,1690534500,467.5,467.7,467.45,467.65,469.49,21029,0,7260971,0
2023-07-28 14:24:00,1690534440,467.35,467.6,467.35,467.55,466.04,17497,0,7239942,0
2023-07-28 14:23:00,1690534380,467.35,467.5,467.25,467.45,468.58,28233,0,7222445,0
