time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,660.45,661.0,658.0,658.0,660.9,1600,0,1611485,0
2023-07-27 15:28:00,1690451880,659.85,660.85,659.3,660.3,659.76,14011,0,1609885,0
2023-07-27 15:27:00,1690451820,659.95,660.0,659.5,660.0,659.44,10830,0,1595874,0
2023-07-27 15:26:00,1690451760,659.9,660.0,659.85,660.0,660.92,4702,0,1585044,0
2023-07-27 15:25:00,1690451700,659.3,660.0,659.3,659.85,660.92,2348,0,1580342,0
2023-07-27 15:24:00,1690451640,659.1,659.45,658.6,659.45,657.78,10011,0,1577994,0
2023-07-27 15:23:00,1690451580,660.1,660.15,659.7,659.75,660.94,9324,0,1567983,0
2023-07-27 15:22:00,1690451520,659.65,660.1,659.65,660.05,660.94,3105,0,1558659,0
2023-07-27 15:21:00,1690451460,660.0,660.7,659.85,660.0,659.73,12845,0,1555554,0
2023-07-27 15:20:00,1690451400,659.75,660.45,659.5,660.45,660.04,16869,0,1542709,0
2023-07-27 15:19:00,1690451340,660.45,660.45,659.35,659.5,659.88,27959,0,1525840,0
2023-07-27 15:18:00,1690451280,660.0,660.95,659.85,660.3,660.48,29867,0,1497881,0
2023-07-27 15:17:00,1690451220,660.0,660.4,659.95,659.95,658.65,6253,0,1468014,0
2023-07-27 15:16:00,1690451160,659.9,660.1,659.8,659.9,659.77,11849,0,1461761,0
2023-07-27 15:15:00,1690451100,660.25,660.3,659.9,660.0,661.01,7126,0,1449912,0
2023-07-27 15:14:00,1690451040,660.3,660.35,659.95,660.0,661.01,6546,0,1442786,0
2023-07-27 15:13:00,1690450980,659.9,660.5,659.9,660.0,660.02,14501,0,1436240,0
2023-07-27 15:12:00,1690450920,659.9,660.5,659.9,660.0,659.93,12929,0,1421739,0
2023-07-27 15:11:00,1690450860,659.9,660.0,659.85,660.0,657.16,3634,0,1408810,0
2023-07-27 15:10:00,1690450800,660.45,660.45,659.65,660.0,661.04,11548,0,1405176,0
2023-07-27 15:09:00,1690450740,659.7,660.0,659.7,660.0,659.05,6983,0,1393628,0
2023-07-27 15:08:00,1690450680,659.65,659.8,659.05,659.8,658.42,5263,0,1386645,0
2023-07-27 15:07:00,1690450620,659.25,659.75,659.25,659.7,661.06,3309,0,1381382,0
2023-07-27 15:06:00,1690450560,659.4,659.7,659.35,659.35,661.06,2754,0,1378073,0
2023-07-27 15:05:00,1690450500,659.25,659.5,659.2,659.5,661.06,1328,0,1375319,0
2023-07-27 15:04:00,1690450440,658.85,659.3,658.85,659.3,654.34,2042,0,1373991,0
2023-07-27 15:03:00,1690450380,659.0,659.35,658.6,658.9,661.07,2949,0,1371949,0
2023-07-27 15:02:00,1690450320,658.7,659.0,658.55,658.75,657.61,3949,0,1369000,0
2023-07-27 15:01:00,1690450260,658.35,658.95,658.15,658.55,659.16,7073,0,1365051,0
2023-07-27 15:00:00,1690450200,657.45,658.5,657.3,658.5,657.48,11196,0,1357978,0
2023-07-27 14:59:00,1690450140,657.15,657.4,656.9,657.4,656.95,9633,0,1346782,0
2023-07-27 14:58:00,1690450080,657.4,657.55,657.35,657.55,657.97,4195,0,1337149,0
2023-07-27 14:57:00,1690450020,657.55,657.9,657.5,657.5,656.67,2968,0,1332954,0
2023-07-27 14:56:00,1690449960,658.0,658.1,657.65,657.65,661.17,430,0,1329986,0
2023-07-27 14:55:00,1690449900,657.8,657.8,657.7,657.8,661.17,113,0,1329556,0
2023-07-27 14:54:00,1690449840,658.15,658.15,657.6,657.6,661.17,357,0,1329443,0
2023-07-27 14:53:00,1690449780,657.7,658.3,657.6,657.9,657.31,3436,0,1329086,0
2023-07-27 14:52:00,1690449720,657.7,657.95,657.55,657.55,661.18,832,0,1325650,0
2023-07-27 14:51:00,1690449660,658.55,658.95,657.95,657.95,659.22,6728,0,1324818,0
2023-07-27 14:50:00,1690449600,658.3,659.0,658.3,659.0,657.22,3313,0,1318090,0
2023-07-27 14:49:00,1690449540,658.25,658.25,658.25,658.25,661.2,279,0,1314777,0
2023-07-27 14:48:00,1690449480,658.25,658.35,658.15,658.15,661.2,1544,0,1314498,0
2023-07-27 14:47:00,1690449420,658.25,658.35,658.25,658.35,647.09,930,0,1312954,0
2023-07-27 14:46:00,1690449360,658.25,658.35,658.15,658.35,661.21,1868,0,1312024,0
2023-07-27 14:45:00,1690449300,658.05,658.35,657.95,658.35,657.53,7085,0,1310156,0
2023-07-27 14:44:00,1690449240,657.4,657.95,657.4,657.8,661.23,1082,0,1303071,0
2023-07-27 14:43:00,1690449180,657.35,657.8,657.1,657.35,661.23,1714,0,1301989,0
2023-07-27 14:42:00,1690449120,657.2,657.55,657.0,657.3,654.36,1890,0,1300275,0
2023-07-27 14:41:00,1690449060,657.7,657.7,657.1,657.1,657.29,3283,0,1298385,0
2023-07-27 14:40:00,1690449000,657.3,657.65,657.2,657.3,655.27,2163,0,1295102,0
2023-07-27 14:39:00,1690448940,657.6,657.9,657.6,657.7,661.26,665,0,1292939,0
2023-07-27 14:38:00,1690448880,657.55,657.7,657.4,657.65,661.26,804,0,1292274,0
2023-07-27 14:37:00,1690448820,657.8,658.0,657.35,657.4,649.74,2240,0,1291470,0
2023-07-27 14:36:00,1690448760,658.25,658.25,657.9,657.9,661.28,612,0,1289230,0
2023-07-27 14:35:00,1690448700,658.5,658.5,658.0,658.0,661.28,797,0,1288618,0
2023-07-27 14:34:00,1690448640,658.5,658.5,658.2,658.2,661.28,2436,0,1287821,0
2023-07-27 14:33:00,1690448580,659.25,659.25,658.0,658.35,659.21,6196,0,1285385,0
2023-07-27 14:32:00,1690448520,659.15,659.3,659.1,659.1,661.29,141,0,1279189,0
2023-07-27 14:31:00,1690448460,659.05,659.15,658.9,658.9,661.29,1492,0,1279048,0
2023-07-27 14:30:00,1690448400,658.95,659.35,658.8,659.35,658.18,4106,0,1277556,0
2023-07-27 14:29:00,1690448340,659.45,659.45,658.95,659.2,661.3,2384,0,1273450,0
2023-07-27 14:28:00,1690448280,660.0,660.0,659.6,659.7,655.14,2063,0,1271066,0
2023-07-27 14:27:00,1690448220,659.95,659.95,659.2,659.45,661.31,4141,0,1269003,0
2023-07-27 14:26:00,1690448160,660.25,660.55,659.75,660.0,661.31,2487,0,1264862,0
2023-07-27 14:25:00,1690448100,660.75,660.75,660.25,660.55,656.06,2401,0,1262375,0
2023-07-27 14:24:00,1690448040,660.95,661.0,660.75,660.9,661.32,897,0,1259974,0
2023-07-27 14:23:00,1690447980,660.55,661.05,660.45,661.05,661.32,4351,0,1259077,0
2023-07-27 14:22:00,1690447920,661.0,661.15,660.55,660.75,661.32,2117,0,1254726,0
2023-07-27 14:21:00,1690447860,660.95,661.0,660.95,660.95,661.32,1612,0,1252609,0
2023-07-27 14:20:00,1690447800,661.0,661.2,661.0,661.0,661.32,220,0,1250997,0
2023-07-27 14:19:00,1690447740,661.35,661.35,660.95,660.95,661.32,471,0,1250777,0
2023-07-27 14:18:00,1690447680,661.4,661.4,660.9,661.0,661.32,673,0,1250306,0
