time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,2327.2,2327.2,2325.0,2327.1,2326.84,4768,0,743974,0,11654
2023-07-28 15:27:00,1690538220,2329.0,2330.3,2327.0,2327.05,2328.99,7046,0,739206,0,11654
2023-07-28 15:26:00,1690538160,2333.0,2335.4,2325.45,2330.35,2329.68,10674,0,732160,0,11654
2023-07-28 15:25:00,1690538100,2340.6,2340.6,2335.0,2335.9,2338.71,4685,0,721486,0,11654
2023-07-28 15:24:00,1690538040,2342.1,2342.2,2340.0,2340.0,2339.87,3899,0,716801,0,11654
2023-07-28 15:23:00,1690537980,2345.9,2347.15,2340.05,2342.4,2343.87,4328,0,712902,0,11654
2023-07-28 15:22:00,1690537920,2347.0,2349.3,2345.15,2346.35,2348.0,4838,0,708574,0,11654
2023-07-28 15:21:00,1690537860,2341.6,2348.1,2341.6,2346.95,2345.0,4173,0,703736,0,11654
2023-07-28 15:20:00,1690537800,2357.0,2357.85,2340.05,2346.5,2349.51,18035,0,699563,0,11654
2023-07-28 15:19:00,1690537740,2358.0,2359.15,2355.35,2356.4,2359.13,2975,0,681528,0,11654
2023-07-28 15:18:00,1690537680,2360.0,2362.0,2358.0,2359.1,2359.05,4889,0,678553,0,11654
2023-07-28 15:17:00,1690537620,2363.85,2365.0,2360.0,2361.75,2363.01,5004,0,673664,0,11654
2023-07-28 15:16:00,1690537560,2367.95,2367.95,2363.85,2363.9,2365.45,4886,0,668660,0,11654
2023-07-28 15:15:00,1690537500,2366.35,2369.0,2365.35,2367.2,2367.97,9975,0,663774,0,11654
2023-07-28 15:14:00,1690537440,2370.15,2371.8,2366.0,2366.6,2368.47,2742,0,653799,0,11654
2023-07-28 15:13:00,1690537380,2374.4,2374.4,2368.65,2370.2,2369.73,10016,0,651057,0,11654
2023-07-28 15:12:00,1690537320,2376.95,2376.95,2372.55,2372.8,2376.93,1761,0,641041,0,11654
2023-07-28 15:11:00,1690537260,2375.55,2376.95,2375.55,2376.45,2375.35,1290,0,639280,0,11654
2023-07-28 15:10:00,1690537200,2377.0,2377.05,2375.5,2376.0,2376.14,2337,0,637990,0,11654
2023-07-28 15:09:00,1690537140,2376.0,2376.8,2373.55,2375.65,2378.99,1171,0,635653,0,11654
2023-07-28 15:08:00,1690537080,2376.85,2378.5,2375.05,2376.75,2371.51,1066,0,634482,0,11654
2023-07-28 15:07:00,1690537020,2376.6,2378.5,2375.1,2378.5,2376.74,2378,0,633416,0,11654
2023-07-28 15:06:00,1690536960,2378.5,2378.5,2375.0,2376.8,2377.87,1796,0,631038,0,11654
2023-07-28 15:05:00,1690536900,2378.0,2379.85,2377.0,2377.1,2379.18,1545,0,629242,0,11654
2023-07-28 15:04:00,1690536840,2378.25,2379.25,2378.0,2378.2,2379.84,1602,0,627697,0,11654
2023-07-28 15:03:00,1690536780,2377.7,2378.75,2377.25,2378.75,2375.04,1221,0,626095,0,11654
2023-07-28 15:02:00,1690536720,2377.9,2379.25,2376.75,2377.25,2378.17,3219,0,624874,0,11654
2023-07-28 15:01:00,1690536660,2376.75,2378.65,2376.7,2377.0,2378.87,1847,0,621655,0,11654
2023-07-28 15:00:00,1690536600,2372.4,2379.0,2372.4,2375.65,2375.17,3602,0,619808,0,11654
2023-07-28 14:59:00,1690536540,2373.0,2373.0,2371.2,2371.85,2374.27,1142,0,616206,0,11654
2023-07-28 14:58:00,1690536480,2373.8,2374.45,2372.35,2373.35,2364.87,595,0,615064,0,11654
2023-07-28 14:57:00,1690536420,2373.8,2374.85,2372.45,2372.45,2373.65,828,0,614469,0,11654
2023-07-28 14:56:00,1690536360,2373.0,2374.9,2372.55,2374.9,2374.37,1137,0,613641,0,11654
2023-07-28 14:55:00,1690536300,2373.7,2374.5,2372.2,2372.25,2380.99,409,0,612504,0,11654
2023-07-28 14:54:00,1690536240,2375.0,2375.0,2373.6,2374.5,2368.9,452,0,612095,0,11654
2023-07-28 14:53:00,1690536180,2374.5,2374.75,2374.1,2374.75,2378.11,342,0,611643,0,11654
2023-07-28 14:52:00,1690536120,2374.05,2374.5,2371.85,2374.45,2374.32,1126,0,611301,0,11654
2023-07-28 14:51:00,1690536060,2371.3,2374.5,2371.3,2374.5,2371.14,1711,0,610175,0,11654
2023-07-28 14:50:00,1690536000,2371.25,2372.9,2371.25,2372.7,2382.47,446,0,608464,0,11654
2023-07-28 14:49:00,1690535940,2373.4,2373.4,2371.65,2373.0,2370.8,480,0,608018,0,11654
2023-07-28 14:48:00,1690535880,2372.5,2373.6,2372.0,2372.1,2358.3,321,0,607538,0,11654
2023-07-28 14:47:00,1690535820,2372.15,2373.55,2372.15,2373.2,2374.0,274,0,607217,0,11654
2023-07-28 14:46:00,1690535760,2372.6,2373.0,2371.05,2373.0,2372.63,1030,0,606943,0,11654
2023-07-28 14:45:00,1690535700,2370.1,2371.05,2370.0,2370.85,2379.38,360,0,605913,0,11654
2023-07-28 14:44:00,1690535640,2371.0,2371.05,2370.0,2371.05,2368.73,880,0,605553,0,11654
2023-07-28 14:43:00,1690535580,2370.6,2371.0,2370.0,2370.25,2370.66,1179,0,604673,0,11654
2023-07-28 14:42:00,1690535520,2374.0,2374.0,2372.0,2372.0,2372.56,254,0,603494,0,11654
2023-07-28 14:41:00,1690535460,2374.55,2374.6,2373.15,2373.15,2381.43,405,0,603240,0,11654
2023-07-28 14:40:00,1690535400,2374.7,2374.7,2373.7,2374.0,2363.92,186,0,602835,0,11654
2023-07-28 14:39:00,1690535340,2374.95,2375.0,2373.1,2373.7,2373.72,1064,0,602649,0,11654
2023-07-28 14:38:00,1690535280,2373.5,2375.05,2373.25,2374.55,2376.53,908,0,601585,0,11654
2023-07-28 14:37:00,1690535220,2375.0,2375.0,2373.2,2373.4,2370.07,911,0,600677,0,11654
2023-07-28 14:36:00,1690535160,2372.85,2375.95,2372.0,2374.95,2375.06,1399,0,599766,0,11654
2023-07-28 14:35:00,1690535100,2372.0,2373.9,2371.6,2372.1,2374.86,1104,0,598367,0,11654
