time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,426.5,427.05,426.3,426.85,423.18,43903,0,29682138,0,1997
2023-08-04 15:27:00,1691143020,425.3,426.7,425.3,426.2,428.67,53869,0,29638235,0,1997
2023-08-04 15:26:00,1691142960,425.0,425.25,424.7,425.1,423.17,47787,0,29584366,0,1997
2023-08-04 15:25:00,1691142900,424.85,425.0,424.45,424.95,423.17,61866,0,29536579,0,1997
2023-08-04 15:24:00,1691142840,425.15,425.2,424.55,424.65,423.17,49299,0,29474713,0,1997
2023-08-04 15:23:00,1691142780,425.0,425.2,424.8,424.9,432.5,31485,0,29425414,0,1997
2023-08-04 15:22:00,1691142720,424.75,425.25,424.55,424.95,423.16,40783,0,29393929,0,1997
2023-08-04 15:21:00,1691142660,424.5,424.9,424.4,424.7,423.16,48750,0,29353146,0,1997
2023-08-04 15:20:00,1691142600,425.6,425.95,424.35,424.45,425.52,123508,0,29304396,0,1997
2023-08-04 15:19:00,1691142540,425.9,426.25,424.85,425.9,426.24,93831,0,29180888,0,1997
2023-08-04 15:18:00,1691142480,425.8,426.4,425.45,426.0,425.61,116925,0,29087057,0,1997
2023-08-04 15:17:00,1691142420,425.5,426.25,425.5,425.85,423.13,61995,0,28970132,0,1997
2023-08-04 15:16:00,1691142360,426.35,426.45,425.2,425.4,427.98,118505,0,28908137,0,1997
2023-08-04 15:15:00,1691142300,426.65,427.1,426.15,426.25,426.23,91866,0,28789632,0,1997
2023-08-04 15:14:00,1691142240,427.0,427.3,426.6,426.9,423.1,42546,0,28697766,0,1997
2023-08-04 15:13:00,1691142180,427.05,427.45,426.75,426.9,429.19,93669,0,28655220,0,1997
2023-08-04 15:12:00,1691142120,427.0,427.3,426.9,427.0,427.64,62392,0,28561551,0,1997
2023-08-04 15:11:00,1691142060,427.0,427.2,426.7,427.2,423.07,42719,0,28499159,0,1997
2023-08-04 15:10:00,1691142000,427.0,427.2,426.65,426.95,428.18,55563,0,28456440,0,1997
2023-08-04 15:09:00,1691141940,426.65,427.15,426.55,427.1,423.06,42102,0,28400877,0,1997
2023-08-04 15:08:00,1691141880,426.5,426.95,426.05,426.55,427.24,67521,0,28358775,0,1997
2023-08-04 15:07:00,1691141820,426.95,427.2,426.2,426.2,428.0,113758,0,28291254,0,1997
2023-08-04 15:06:00,1691141760,428.0,428.3,426.8,426.8,425.97,95286,0,28177496,0,1997
2023-08-04 15:05:00,1691141700,427.8,428.5,427.55,427.65,427.91,57206,0,28082210,0,1997
2023-08-04 15:04:00,1691141640,427.65,428.6,426.8,427.5,429.71,124762,0,28025004,0,1997
