time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-07 15:28:00,1691402280,1081.95,1082.0,1080.55,1081.1,1079.5,10405,0,2593283,0,10440
2023-08-07 15:27:00,1691402220,1081.5,1081.9,1080.05,1081.9,1082.0,4741,0,2582878,0,10440
2023-08-07 15:26:00,1691402160,1080.95,1081.6,1080.2,1081.0,1082.0,5343,0,2578137,0,10440
2023-08-07 15:25:00,1691402100,1081.2,1083.0,1080.9,1081.0,1079.99,12780,0,2572794,0,10440
2023-08-07 15:24:00,1691402040,1080.85,1081.15,1080.2,1081.0,1082.01,13741,0,2560014,0,10440
2023-08-07 15:23:00,1691401980,1081.3,1082.0,1080.3,1081.0,1082.01,6984,0,2546273,0,10440
2023-08-07 15:22:00,1691401920,1080.0,1081.7,1079.95,1081.25,1078.17,6606,0,2539289,0,10440
2023-08-07 15:21:00,1691401860,1078.45,1080.0,1078.45,1079.95,1082.02,5127,0,2532683,0,10440
2023-08-07 15:20:00,1691401800,1080.85,1080.85,1078.8,1078.8,1079.29,45481,0,2527556,0,10440
2023-08-07 15:19:00,1691401740,1080.35,1081.45,1079.75,1080.9,1080.67,17729,0,2482075,0,10440
2023-08-07 15:18:00,1691401680,1080.5,1081.0,1080.0,1080.0,1082.08,12075,0,2464346,0,10440
2023-08-07 15:17:00,1691401620,1081.15,1081.35,1080.15,1080.65,1076.34,4272,0,2452271,0,10440
2023-08-07 15:16:00,1691401560,1081.65,1082.0,1080.45,1080.7,1082.09,11768,0,2447999,0,10440
2023-08-07 15:15:00,1691401500,1081.55,1081.95,1080.1,1081.15,1080.66,16982,0,2436231,0,10440
2023-08-07 15:14:00,1691401440,1081.15,1081.8,1080.55,1081.25,1082.1,7499,0,2419249,0,10440
2023-08-07 15:13:00,1691401380,1081.0,1081.5,1080.5,1080.85,1082.1,7999,0,2411750,0,10440
2023-08-07 15:12:00,1691401320,1081.9,1081.95,1080.3,1080.75,1079.42,8949,0,2403751,0,10440
2023-08-07 15:11:00,1691401260,1082.5,1082.55,1081.35,1081.35,1082.11,7599,0,2394802,0,10440
2023-08-07 15:10:00,1691401200,1082.5,1082.5,1081.6,1082.45,1082.11,6494,0,2387203,0,10440
2023-08-07 15:09:00,1691401140,1082.1,1082.85,1081.5,1081.55,1082.11,16470,0,2380709,0,10440
2023-08-07 15:08:00,1691401080,1082.55,1082.85,1082.2,1082.3,1082.11,5833,0,2364239,0,10440
2023-08-07 15:07:00,1691401020,1083.15,1083.4,1082.35,1082.35,1084.87,8508,0,2358406,0,10440
2023-08-07 15:06:00,1691400960,1082.9,1082.95,1082.5,1082.95,1082.1,5361,0,2349898,0,10440
2023-08-07 15:05:00,1691400900,1082.55,1083.0,1082.5,1082.5,1082.1,5081,0,2344537,0,10440
2023-08-07 15:04:00,1691400840,1083.75,1083.85,1082.15,1083.0,1082.1,6146,0,2339456,0,10440
2023-08-07 15:03:00,1691400780,1082.0,1083.95,1081.3,1083.3,1084.42,9997,0,2333310,0,10440
2023-08-07 15:02:00,1691400720,1081.35,1082.2,1081.1,1081.95,1082.09,2299,0,2323313,0,10440
2023-08-07 15:01:00,1691400660,1081.75,1082.35,1081.15,1082.0,1076.34,4031,0,2321014,0,10440
2023-08-07 15:00:00,1691400600,1082.3,1082.3,1081.1,1081.25,1082.1,2835,0,2316983,0,10440
2023-08-07 14:59:00,1691400540,1082.45,1082.5,1081.8,1081.8,1082.1,1361,0,2314148,0,10440
2023-08-07 14:58:00,1691400480,1082.2,1082.25,1081.8,1081.95,1082.1,1123,0,2312787,0,10440
2023-08-07 14:57:00,1691400420,1082.45,1082.45,1081.8,1081.85,1082.1,864,0,2311664,0,10440
2023-08-07 14:56:00,1691400360,1082.4,1082.55,1081.85,1082.35,1082.1,1911,0,2310800,0,10440
2023-08-07 14:55:00,1691400300,1082.2,1082.4,1081.7,1081.75,1082.1,1131,0,2308889,0,10440
2023-08-07 14:54:00,1691400240,1081.3,1082.45,1080.85,1081.95,1082.1,1967,0,2307758,0,10440
2023-08-07 14:53:00,1691400180,1081.7,1081.85,1080.85,1080.9,1082.1,6148,0,2305791,0,10440
2023-08-07 14:52:00,1691400120,1082.7,1082.95,1081.75,1082.1,1082.1,1088,0,2299643,0,10440
2023-08-07 14:51:00,1691400060,1083.65,1083.65,1082.3,1082.3,1082.1,2096,0,2298555,0,10440
2023-08-07 14:50:00,1691400000,1083.4,1083.7,1082.85,1083.1,1082.1,1170,0,2296459,0,10440
2023-08-07 14:49:00,1691399940,1083.15,1083.7,1082.6,1082.95,1082.1,1049,0,2295289,0,10440
2023-08-07 14:48:00,1691399880,1083.0,1083.3,1082.65,1082.7,1082.1,938,0,2294240,0,10440
2023-08-07 14:47:00,1691399820,1083.3,1083.3,1082.5,1082.6,1082.1,2286,0,2293302,0,10440
2023-08-07 14:46:00,1691399760,1083.9,1083.9,1082.65,1083.5,1088.03,3855,0,2291016,0,10440
2023-08-07 14:45:00,1691399700,1084.0,1084.0,1083.45,1083.95,1082.09,2783,0,2287161,0,10440
2023-08-07 14:44:00,1691399640,1084.05,1084.05,1083.35,1083.5,1082.09,2114,0,2284378,0,10440
2023-08-07 14:43:00,1691399580,1084.8,1084.85,1084.0,1084.3,1082.09,1991,0,2282264,0,10440
2023-08-07 14:42:00,1691399520,1084.2,1084.85,1083.75,1084.85,1084.26,10416,0,2280273,0,10440
2023-08-07 14:41:00,1691399460,1085.25,1086.8,1083.95,1083.95,1085.24,14245,0,2269857,0,10440
2023-08-07 14:40:00,1691399400,1084.0,1085.25,1083.8,1085.15,1084.75,24847,0,2255612,0,10440
2023-08-07 14:39:00,1691399340,1083.0,1083.9,1082.8,1083.9,1082.03,2221,0,2230765,0,10440
2023-08-07 14:38:00,1691399280,1083.9,1083.9,1082.5,1083.45,1090.03,2782,0,2228544,0,10440
2023-08-07 14:37:00,1691399220,1083.5,1084.0,1083.05,1083.7,1082.02,6779,0,2225762,0,10440
2023-08-07 14:36:00,1691399160,1083.0,1083.4,1082.75,1083.0,1082.02,3718,0,2218983,0,10440
2023-08-07 14:35:00,1691399100,1079.9,1083.7,1079.45,1082.75,1080.82,18424,0,2215265,0,10440
2023-08-07 14:34:00,1691399040,1079.4,1079.95,1079.0,1079.85,1082.03,1548,0,2196841,0,10440
2023-08-07 14:33:00,1691398980,1079.45,1079.5,1078.5,1079.1,1079.09,29531,0,2195293,0,10440
2023-08-07 14:32:00,1691398920,1079.1,1079.4,1078.6,1079.0,1082.07,819,0,2165762,0,10440
2023-08-07 14:31:00,1691398860,1079.5,1079.5,1079.05,1079.5,1082.07,2312,0,2164943,0,10440
2023-08-07 14:30:00,1691398800,1079.25,1079.45,1078.7,1079.45,1057.04,864,0,2162631,0,10440
2023-08-07 14:29:00,1691398740,1078.65,1079.25,1078.6,1078.8,1082.08,462,0,2161767,0,10440
2023-08-07 14:28:00,1691398680,1079.2,1079.2,1078.65,1079.1,1082.08,943,0,2161305,0,10440
2023-08-07 14:27:00,1691398620,1079.2,1079.3,1078.5,1078.75,1078.99,34509,0,2160362,0,10440
2023-08-07 14:26:00,1691398560,1079.0,1079.5,1078.9,1079.0,1082.13,5064,0,2125853,0,10440
2023-08-07 14:25:00,1691398500,1079.0,1079.0,1078.5,1078.55,1059.03,918,0,2120789,0,10440
2023-08-07 14:24:00,1691398440,1078.7,1079.0,1078.5,1078.55,1082.14,2254,0,2119871,0,10440
2023-08-07 14:23:00,1691398380,1078.95,1078.95,1078.5,1078.6,1082.14,698,0,2117617,0,10440
2023-08-07 14:22:00,1691398320,1079.0,1079.0,1078.05,1078.6,1074.97,2952,0,2116919,0,10440
2023-08-07 14:21:00,1691398260,1078.85,1079.0,1078.6,1078.9,1082.15,639,0,2113967,0,10440
