time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,1105.6,1107.8,1105.25,1107.8,1106.95,2893,0,716586,0,17534
2023-07-28 15:27:00,1690538220,1106.0,1106.1,1105.2,1105.7,1105.27,3416,0,713693,0,17534
2023-07-28 15:26:00,1690538160,1106.6,1107.05,1106.0,1106.05,1109.45,706,0,710277,0,17534
2023-07-28 15:25:00,1690538100,1108.4,1108.45,1106.3,1107.3,1109.45,1248,0,709571,0,17534
2023-07-28 15:24:00,1690538040,1110.6,1110.65,1108.15,1108.45,1109.45,2750,0,708323,0,17534
2023-07-28 15:23:00,1690537980,1111.0,1111.0,1110.6,1110.65,1109.45,949,0,705573,0,17534
2023-07-28 15:22:00,1690537920,1111.0,1111.4,1109.9,1109.9,1109.45,1754,0,704624,0,17534
2023-07-28 15:21:00,1690537860,1112.25,1112.3,1110.55,1111.1,1113.57,1701,0,702870,0,17534
2023-07-28 15:20:00,1690537800,1112.5,1113.5,1111.45,1112.3,1111.97,5479,0,701169,0,17534
2023-07-28 15:19:00,1690537740,1112.15,1112.95,1111.75,1112.3,1113.52,3372,0,695690,0,17534
2023-07-28 15:18:00,1690537680,1112.75,1112.75,1111.4,1111.75,1111.35,3521,0,692318,0,17534
2023-07-28 15:17:00,1690537620,1113.15,1113.15,1112.3,1112.8,1113.49,1673,0,688797,0,17534
2023-07-28 15:16:00,1690537560,1113.3,1113.7,1112.9,1113.25,1109.38,1178,0,687124,0,17534
2023-07-28 15:15:00,1690537500,1114.55,1115.0,1113.8,1113.8,1115.57,4400,0,685946,0,17534
2023-07-28 15:14:00,1690537440,1114.35,1114.65,1113.35,1114.65,1113.6,3184,0,681546,0,17534
2023-07-28 15:13:00,1690537380,1113.55,1114.45,1113.0,1113.95,1114.77,2476,0,678362,0,17534
2023-07-28 15:12:00,1690537320,1114.3,1114.7,1113.6,1113.6,1109.3,968,0,675886,0,17534
2023-07-28 15:11:00,1690537260,1114.7,1115.0,1114.1,1114.7,1114.55,1282,0,674918,0,17534
2023-07-28 15:10:00,1690537200,1113.8,1115.0,1113.5,1115.0,1114.28,1345,0,673636,0,17534
2023-07-28 15:09:00,1690537140,1113.4,1113.9,1113.4,1113.85,1120.84,581,0,672291,0,17534
2023-07-28 15:08:00,1690537080,1114.9,1114.9,1113.9,1113.9,1113.53,1570,0,671710,0,17534
2023-07-28 15:07:00,1690537020,1115.0,1115.0,1114.6,1114.6,1109.26,701,0,670140,0,17534
2023-07-28 15:06:00,1690536960,1116.0,1116.0,1114.4,1115.1,1116.34,943,0,669439,0,17534
2023-07-28 15:05:00,1690536900,1114.85,1115.95,1114.05,1115.95,1119.41,657,0,668496,0,17534
2023-07-28 15:04:00,1690536840,1116.0,1116.55,1114.3,1114.3,1116.42,1855,0,667839,0,17534
2023-07-28 15:03:00,1690536780,1116.4,1117.0,1115.6,1116.55,1112.97,1767,0,665984,0,17534
2023-07-28 15:02:00,1690536720,1116.0,1116.6,1115.05,1116.25,1118.3,1457,0,664217,0,17534
2023-07-28 15:01:00,1690536660,1114.3,1116.15,1114.3,1115.7,1113.35,1587,0,662760,0,17534
2023-07-28 15:00:00,1690536600,1110.45,1113.95,1109.65,1113.95,1112.76,1838,0,661173,0,17534
2023-07-28 14:59:00,1690536540,1110.8,1110.9,1109.15,1110.35,1109.17,4087,0,659335,0,17534
2023-07-28 14:58:00,1690536480,1112.65,1112.65,1110.75,1111.4,1112.47,1979,0,655248,0,17534
2023-07-28 14:57:00,1690536420,1114.15,1114.4,1112.25,1112.5,1112.75,1813,0,653269,0,17534
2023-07-28 14:56:00,1690536360,1115.25,1115.25,1114.3,1114.3,1125.71,393,0,651456,0,17534
2023-07-28 14:55:00,1690536300,1114.8,1115.4,1114.7,1115.35,1109.14,810,0,651063,0,17534
2023-07-28 14:54:00,1690536240,1115.7,1115.7,1115.0,1115.65,1126.19,381,0,650253,0,17534
2023-07-28 14:53:00,1690536180,1115.15,1115.75,1115.1,1115.65,1109.13,60,0,649872,0,17534
2023-07-28 14:52:00,1690536120,1116.0,1116.0,1115.15,1115.8,1109.13,146,0,649812,0,17534
2023-07-28 14:51:00,1690536060,1116.9,1116.95,1115.85,1116.35,1115.33,1045,0,649666,0,17534
2023-07-28 14:50:00,1690536000,1115.4,1116.95,1115.4,1116.95,1115.35,1038,0,648621,0,17534
2023-07-28 14:49:00,1690535940,1115.7,1116.45,1115.1,1115.5,1115.56,1002,0,647583,0,17534
2023-07-28 14:48:00,1690535880,1115.5,1116.0,1115.15,1115.15,1117.95,729,0,646581,0,17534
2023-07-28 14:47:00,1690535820,1116.0,1116.0,1115.15,1115.7,1109.09,234,0,645852,0,17534
2023-07-28 14:46:00,1690535760,1115.05,1115.85,1114.5,1115.85,1125.34,397,0,645618,0,17534
2023-07-28 14:45:00,1690535700,1113.4,1115.9,1113.15,1114.75,1115.0,3250,0,645221,0,17534
2023-07-28 14:44:00,1690535640,1113.4,1113.5,1112.85,1112.85,1109.05,504,0,641971,0,17534
2023-07-28 14:43:00,1690535580,1113.5,1113.5,1112.8,1112.8,1109.05,92,0,641467,0,17534
2023-07-28 14:42:00,1690535520,1113.1,1113.45,1112.95,1112.95,1114.96,1083,0,641375,0,17534
2023-07-28 14:41:00,1690535460,1113.4,1114.15,1113.3,1113.55,1109.04,233,0,640292,0,17534
2023-07-28 14:40:00,1690535400,1114.15,1114.3,1113.55,1114.25,1109.04,96,0,640059,0,17534
2023-07-28 14:39:00,1690535340,1113.2,1113.55,1112.8,1113.55,1109.04,700,0,639963,0,17534
2023-07-28 14:38:00,1690535280,1113.35,1114.0,1113.35,1113.4,1109.04,129,0,639263,0,17534
2023-07-28 14:37:00,1690535220,1113.8,1113.95,1113.3,1113.95,1109.04,162,0,639134,0,17534
2023-07-28 14:36:00,1690535160,1112.25,1114.0,1112.25,1113.95,1133.51,261,0,638972,0,17534
2023-07-28 14:35:00,1690535100,1112.2,1112.8,1112.15,1112.8,1109.03,571,0,638711,0,17534
2023-07-28 14:34:00,1690535040,1112.75,1113.45,1112.05,1112.75,1109.03,883,0,638140,0,17534
2023-07-28 14:33:00,1690534980,1114.35,1114.75,1113.3,1113.95,1118.22,692,0,637257,0,17534
2023-07-28 14:32:00,1690534920,1114.2,1115.05,1113.95,1114.9,1114.73,5521,0,636565,0,17534
2023-07-28 14:31:00,1690534860,1112.45,1113.5,1112.1,1113.5,1114.12,1222,0,631044,0,17534
2023-07-28 14:30:00,1690534800,1111.9,1112.1,1111.45,1112.1,1108.96,589,0,629822,0,17534
2023-07-28 14:29:00,1690534740,1110.8,1112.0,1110.8,1112.0,1108.96,670,0,629233,0,17534
2023-07-28 14:28:00,1690534680,1112.1,1112.1,1111.4,1111.4,1108.96,209,0,628563,0,17534
2023-07-28 14:27:00,1690534620,1112.0,1112.4,1112.0,1112.4,1108.96,253,0,628354,0,17534
2023-07-28 14:26:00,1690534560,1111.45,1112.45,1110.5,1112.45,1112.95,1570,0,628101,0,17534
2023-07-28 14:25:00,1690534500,1108.6,1110.5,1108.05,1110.5,1109.9,6508,0,626531,0,17534
2023-07-28 14:24:00,1690534440,1107.3,1108.4,1107.05,1108.1,1107.95,6230,0,620023,0,17534
2023-07-28 14:23:00,1690534380,1106.0,1106.2,1105.4,1105.4,1108.95,348,0,613793,0,17534
2023-07-28 14:22:00,1690534320,1105.45,1106.2,1105.4,1105.4,1103.21,1068,0,613445,0,17534
2023-07-28 14:21:00,1690534260,1106.95,1106.95,1106.2,1106.2,1108.96,133,0,612377,0,17534
2023-07-28 14:20:00,1690534200,1106.85,1106.85,1106.2,1106.2,1108.96,82,0,612244,0,17534
2023-07-28 14:19:00,1690534140,1106.25,1106.3,1106.25,1106.3,1108.96,5,0,612162,0,17534
2023-07-28 14:18:00,1690534080,1106.35,1106.35,1106.35,1106.35,1108.96,5,0,612157,0,17534
2023-07-28 14:17:00,1690534020,1107.3,1107.3,1105.95,1106.3,1108.96,533,0,612152,0,17534
2023-07-28 14:16:00,1690533960,1107.5,1107.5,1106.8,1107.45,1108.96,299,0,611619,0,17534
2023-07-28 14:15:00,1690533900,1106.65,1107.65,1106.65,1107.45,1108.96,150,0,611320,0,17534
2023-07-28 14:14:00,1690533840,1106.95,1106.95,1106.5,1106.55,1108.96,183,0,611170,0,17534
2023-07-28 14:13:00,1690533780,1106.4,1106.4,1106.4,1106.4,1108.96,115,0,610987,0,17534
