time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-28 15:28:00,1690538280,97.55,97.65,97.5,97.6,97.42,60451,0,20040877,0,4204
2023-07-28 15:27:00,1690538220,97.5,97.55,97.5,97.5,97.42,58998,0,19980426,0,4204
2023-07-28 15:26:00,1690538160,97.5,97.55,97.5,97.55,100.0,76667,0,19921428,0,4204
2023-07-28 15:25:00,1690538100,97.5,97.55,97.5,97.55,97.41,90993,0,19844761,0,4204
2023-07-28 15:24:00,1690538040,97.5,97.55,97.5,97.55,97.41,57757,0,19753768,0,4204
2023-07-28 15:23:00,1690537980,97.55,97.55,97.5,97.55,97.41,157750,0,19696011,0,4204
2023-07-28 15:22:00,1690537920,97.5,97.55,97.5,97.5,97.41,46334,0,19538261,0,4204
2023-07-28 15:21:00,1690537860,97.55,97.55,97.45,97.55,97.41,86970,0,19491927,0,4204
2023-07-28 15:20:00,1690537800,97.6,97.65,97.5,97.5,97.41,903288,0,19404957,0,4204
2023-07-28 15:19:00,1690537740,97.4,97.5,97.4,97.5,98.77,134476,0,18501669,0,4204
2023-07-28 15:18:00,1690537680,97.45,97.45,97.4,97.45,97.4,56700,0,18367193,0,4204
2023-07-28 15:17:00,1690537620,97.45,97.45,97.4,97.4,97.4,50636,0,18310493,0,4204
2023-07-28 15:16:00,1690537560,97.5,97.5,97.4,97.4,97.4,47886,0,18259857,0,4204
2023-07-28 15:15:00,1690537500,97.4,97.5,97.4,97.45,97.4,59133,0,18211971,0,4204
2023-07-28 15:14:00,1690537440,97.45,97.45,97.4,97.45,97.4,52321,0,18152838,0,4204
2023-07-28 15:13:00,1690537380,97.5,97.5,97.4,97.4,97.4,46171,0,18100517,0,4204
2023-07-28 15:12:00,1690537320,97.45,97.5,97.45,97.45,97.4,26219,0,18054346,0,4204
2023-07-28 15:11:00,1690537260,97.5,97.5,97.45,97.5,97.4,46829,0,18028127,0,4204
2023-07-28 15:10:00,1690537200,97.5,97.5,97.45,97.45,97.4,50993,0,17981298,0,4204
2023-07-28 15:09:00,1690537140,97.45,97.5,97.45,97.45,97.4,51016,0,17930305,0,4204
2023-07-28 15:08:00,1690537080,97.45,97.5,97.45,97.5,97.4,32612,0,17879289,0,4204
2023-07-28 15:07:00,1690537020,97.45,97.5,97.4,97.5,97.4,41067,0,17846677,0,4204
2023-07-28 15:06:00,1690536960,97.35,97.4,97.3,97.4,97.4,33410,0,17805610,0,4204
2023-07-28 15:05:00,1690536900,97.3,97.4,97.3,97.4,97.4,16360,0,17772200,0,4204
2023-07-28 15:04:00,1690536840,97.25,97.4,97.25,97.4,97.4,14789,0,17755840,0,4204
2023-07-28 15:03:00,1690536780,97.35,97.5,97.3,97.35,97.4,89747,0,17741051,0,4204
2023-07-28 15:02:00,1690536720,97.25,97.4,97.25,97.4,97.4,36166,0,17651304,0,4204
2023-07-28 15:01:00,1690536660,97.2,97.3,97.15,97.3,97.4,93573,0,17615138,0,4204
2023-07-28 15:00:00,1690536600,97.0,97.3,97.0,97.25,96.0,124552,0,17521565,0,4204
2023-07-28 14:59:00,1690536540,97.0,97.05,96.9,96.95,97.41,30729,0,17397013,0,4204
2023-07-28 14:58:00,1690536480,97.05,97.1,97.0,97.05,97.41,13261,0,17366284,0,4204
2023-07-28 14:57:00,1690536420,97.0,97.1,97.0,97.1,97.41,41985,0,17353023,0,4204
2023-07-28 14:56:00,1690536360,96.95,97.15,96.95,97.1,97.41,63973,0,17311038,0,4204
2023-07-28 14:55:00,1690536300,96.9,97.0,96.9,97.0,97.41,9038,0,17247065,0,4204
2023-07-28 14:54:00,1690536240,97.0,97.0,96.9,97.0,97.41,8904,0,17238027,0,4204
2023-07-28 14:53:00,1690536180,97.0,97.0,96.9,96.95,97.41,7741,0,17229123,0,4204
2023-07-28 14:52:00,1690536120,96.9,97.0,96.85,96.95,97.41,13546,0,17221382,0,4204
2023-07-28 14:51:00,1690536060,96.95,97.0,96.9,96.95,97.41,18515,0,17207836,0,4204
2023-07-28 14:50:00,1690536000,96.9,97.05,96.8,97.05,97.41,116455,0,17189321,0,4204
2023-07-28 14:49:00,1690535940,96.65,96.9,96.65,96.85,92.65,35858,0,17072866,0,4204
2023-07-28 14:48:00,1690535880,96.5,96.7,96.5,96.7,97.42,37103,0,17037008,0,4204
2023-07-28 14:47:00,1690535820,96.5,96.55,96.5,96.55,97.42,24805,0,16999905,0,4204
2023-07-28 14:46:00,1690535760,96.5,96.6,96.5,96.55,97.42,13893,0,16975100,0,4204
2023-07-28 14:45:00,1690535700,96.5,96.55,96.4,96.55,96.4,165547,0,16961207,0,4204
2023-07-28 14:44:00,1690535640,96.75,96.8,96.5,96.6,96.51,182246,0,16795660,0,4204
2023-07-28 14:43:00,1690535580,96.8,96.9,96.75,96.8,97.44,60596,0,16613414,0,4204
2023-07-28 14:42:00,1690535520,96.75,96.85,96.75,96.85,97.44,7988,0,16552818,0,4204
2023-07-28 14:41:00,1690535460,96.8,96.8,96.75,96.8,97.44,5184,0,16544830,0,4204
2023-07-28 14:40:00,1690535400,96.8,96.8,96.75,96.75,97.44,8933,0,16539646,0,4204
2023-07-28 14:39:00,1690535340,96.7,96.8,96.7,96.75,97.44,9912,0,16530713,0,4204
2023-07-28 14:38:00,1690535280,96.75,96.75,96.7,96.75,97.44,3620,0,16520801,0,4204
2023-07-28 14:37:00,1690535220,96.7,96.8,96.65,96.7,97.44,18584,0,16517181,0,4204
2023-07-28 14:36:00,1690535160,96.6,96.8,96.6,96.8,97.44,21754,0,16498597,0,4204
2023-07-28 14:35:00,1690535100,96.65,96.75,96.6,96.7,97.44,24856,0,16476843,0,4204
2023-07-28 14:34:00,1690535040,96.75,96.85,96.65,96.75,95.38,79522,0,16451987,0,4204
2023-07-28 14:33:00,1690534980,96.85,96.85,96.75,96.85,97.45,22310,0,16372465,0,4204
2023-07-28 14:32:00,1690534920,96.8,96.9,96.8,96.8,97.45,6651,0,16350155,0,4204
2023-07-28 14:31:00,1690534860,96.95,97.0,96.8,96.9,97.45,54182,0,16343504,0,4204
2023-07-28 14:30:00,1690534800,96.95,97.0,96.9,97.0,97.45,6876,0,16289322,0,4204
2023-07-28 14:29:00,1690534740,96.95,97.0,96.9,97.0,97.45,10154,0,16282446,0,4204
2023-07-28 14:28:00,1690534680,97.05,97.1,96.9,97.0,97.45,36592,0,16272292,0,4204
2023-07-28 14:27:00,1690534620,97.05,97.15,97.05,97.1,97.45,11326,0,16235700,0,4204
2023-07-28 14:26:00,1690534560,97.3,97.4,96.75,97.1,97.2,637511,0,16224374,0,4204
2023-07-28 14:25:00,1690534500,97.1,97.4,97.0,97.4,96.97,315909,0,15586863,0,4204
2023-07-28 14:24:00,1690534440,97.0,97.05,97.0,97.05,97.47,5434,0,15270954,0,4204
2023-07-28 14:23:00,1690534380,97.0,97.1,97.0,97.05,97.47,4352,0,15265520,0,4204
2023-07-28 14:22:00,1690534320,97.0,97.1,96.95,97.1,97.47,16542,0,15261168,0,4204
2023-07-28 14:21:00,1690534260,97.05,97.1,97.0,97.1,97.47,15260,0,15244626,0,4204
2023-07-28 14:20:00,1690534200,97.0,97.1,97.0,97.1,97.47,21510,0,15229366,0,4204
2023-07-28 14:19:00,1690534140,97.05,97.15,97.0,97.1,97.47,38007,0,15207856,0,4204
2023-07-28 14:18:00,1690534080,97.1,97.15,97.05,97.15,97.47,4238,0,15169849,0,4204
2023-07-28 14:17:00,1690534020,97.0,97.15,97.0,97.15,97.47,39950,0,15165611,0,4204
2023-07-28 14:16:00,1690533960,96.8,97.1,96.8,97.1,96.72,199890,0,15125661,0,4204
2023-07-28 14:15:00,1690533900,96.85,96.95,96.85,96.9,97.48,26514,0,14925771,0,4204
2023-07-28 14:14:00,1690533840,96.85,96.95,96.85,96.95,97.48,92499,0,14899257,0,4204
2023-07-28 14:13:00,1690533780,96.8,96.95,96.8,96.9,91.43,24439,0,14806758,0,4204
