time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-04 15:28:00,1691143080,4879.7,4883.85,4875.05,4880.2,4878.35,3863,0,1137047,0,13751
2023-08-04 15:27:00,1691143020,4877.05,4880.95,4877.0,4879.05,4880.04,5158,0,1133184,0,13751
2023-08-04 15:26:00,1691142960,4882.35,4882.45,4877.1,4879.0,4879.8,4315,0,1128026,0,13751
2023-08-04 15:25:00,1691142900,4880.0,4887.0,4879.85,4882.45,4882.21,3324,0,1123711,0,13751
2023-08-04 15:24:00,1691142840,4879.95,4885.0,4876.55,4881.15,4879.77,6275,0,1120387,0,13751
2023-08-04 15:23:00,1691142780,4879.0,4879.95,4876.1,4879.7,4877.19,1897,0,1114112,0,13751
2023-08-04 15:22:00,1691142720,4881.0,4882.05,4876.15,4877.7,4879.21,2225,0,1112215,0,13751
2023-08-04 15:21:00,1691142660,4886.7,4888.55,4882.05,4882.05,4886.38,1961,0,1109990,0,13751
2023-08-04 15:20:00,1691142600,4891.75,4894.4,4884.95,4888.15,4889.76,10532,0,1108029,0,13751
2023-08-04 15:19:00,1691142540,4885.15,4892.0,4883.0,4890.05,4886.51,6061,0,1097497,0,13751
2023-08-04 15:18:00,1691142480,4887.65,4890.0,4885.0,4885.0,4887.74,10540,0,1091436,0,13751
2023-08-04 15:17:00,1691142420,4885.7,4888.0,4885.0,4886.15,4885.81,2725,0,1080896,0,13751
2023-08-04 15:16:00,1691142360,4890.0,4892.0,4885.1,4885.35,4889.68,4941,0,1078171,0,13751
2023-08-04 15:15:00,1691142300,4883.05,4894.5,4883.0,4889.0,4888.51,6579,0,1073230,0,13751
2023-08-04 15:14:00,1691142240,4883.25,4886.0,4883.0,4883.2,4884.54,3717,0,1066651,0,13751
2023-08-04 15:13:00,1691142180,4884.95,4887.1,4882.0,4883.75,4884.7,3014,0,1062934,0,13751
2023-08-04 15:12:00,1691142120,4889.5,4890.0,4882.1,4887.35,4884.9,4970,0,1059920,0,13751
2023-08-04 15:11:00,1691142060,4888.0,4890.0,4888.0,4889.0,4890.03,3348,0,1054950,0,13751
2023-08-04 15:10:00,1691142000,4888.95,4890.0,4885.75,4888.5,4887.25,2837,0,1051602,0,13751
2023-08-04 15:09:00,1691141940,4888.25,4890.0,4887.95,4889.8,4889.51,2124,0,1048765,0,13751
2023-08-04 15:08:00,1691141880,4896.3,4897.0,4889.9,4890.0,4892.77,2740,0,1046641,0,13751
2023-08-04 15:07:00,1691141820,4891.9,4898.65,4889.05,4896.55,4896.56,2727,0,1043901,0,13751
2023-08-04 15:06:00,1691141760,4903.0,4905.05,4891.8,4891.8,4901.21,6244,0,1041174,0,13751
2023-08-04 15:05:00,1691141700,4894.4,4906.0,4886.55,4904.75,4897.51,8553,0,1034930,0,13751
2023-08-04 15:04:00,1691141640,4881.1,4895.8,4876.0,4890.85,4884.46,5911,0,1026377,0,13751
2023-08-04 15:03:00,1691141580,4876.95,4884.0,4876.95,4881.0,4881.06,1628,0,1020466,0,13751
2023-08-04 15:02:00,1691141520,4874.4,4878.6,4874.4,4878.5,4875.04,2690,0,1018838,0,13751
2023-08-04 15:01:00,1691141460,4882.3,4883.65,4874.4,4874.95,4881.24,3215,0,1016148,0,13751
2023-08-04 15:00:00,1691141400,4876.65,4886.75,4876.0,4884.9,4879.58,4424,0,1012933,0,13751
2023-08-04 14:59:00,1691141340,4874.75,4877.55,4872.0,4877.55,4874.93,4041,0,1008509,0,13751
2023-08-04 14:58:00,1691141280,4886.5,4888.45,4872.3,4875.05,4878.15,6420,0,1004468,0,13751
