time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-03 15:28:00,1691056680,962.95,963.0,962.1,962.9,958.95,3031,0,4009755,0,2412
2023-08-03 15:27:00,1691056620,963.05,964.9,962.5,962.5,963.38,18134,0,4006724,0,2412
2023-08-03 15:26:00,1691056560,960.05,963.65,960.05,963.25,961.46,14778,0,3988590,0,2412
2023-08-03 15:25:00,1691056500,960.4,960.5,958.3,960.2,960.01,22583,0,3973812,0,2412
2023-08-03 15:24:00,1691056440,962.1,962.15,960.0,960.15,961.78,14926,0,3951229,0,2412
2023-08-03 15:23:00,1691056380,962.2,962.2,961.0,962.0,961.18,17520,0,3936303,0,2412
2023-08-03 15:22:00,1691056320,960.7,962.2,960.0,961.9,960.69,29860,0,3918783,0,2412
2023-08-03 15:21:00,1691056260,961.1,962.8,960.6,960.9,961.15,60707,0,3888923,0,2412
2023-08-03 15:20:00,1691056200,963.0,963.65,960.65,960.75,962.48,77168,0,3828216,0,2412
2023-08-03 15:19:00,1691056140,963.85,964.0,962.3,963.7,963.33,114031,0,3751048,0,2412
2023-08-03 15:18:00,1691056080,965.95,966.15,962.45,963.4,963.88,27117,0,3637017,0,2412
2023-08-03 15:17:00,1691056020,965.95,966.9,965.15,965.25,966.97,17122,0,3609900,0,2412
2023-08-03 15:16:00,1691055960,965.45,966.25,965.25,966.15,967.06,17199,0,3592778,0,2412
2023-08-03 15:15:00,1691055900,966.0,966.0,962.1,965.4,962.91,27264,0,3575579,0,2412
2023-08-03 15:14:00,1691055840,964.9,966.0,964.15,965.75,966.37,15063,0,3548315,0,2412
2023-08-03 15:13:00,1691055780,965.05,965.9,964.15,964.2,963.52,10657,0,3533252,0,2412
2023-08-03 15:12:00,1691055720,966.85,966.85,965.15,965.6,967.68,6083,0,3522595,0,2412
2023-08-03 15:11:00,1691055660,966.1,967.3,966.0,966.8,965.94,9314,0,3516512,0,2412
2023-08-03 15:10:00,1691055600,967.4,967.9,966.0,966.05,966.87,15808,0,3507198,0,2412
2023-08-03 15:09:00,1691055540,966.2,967.3,964.9,964.9,966.82,10390,0,3491390,0,2412
2023-08-03 15:08:00,1691055480,967.45,967.8,964.05,966.1,964.46,11453,0,3481000,0,2412
2023-08-03 15:07:00,1691055420,968.0,968.0,967.0,967.0,968.49,13583,0,3469547,0,2412
2023-08-03 15:06:00,1691055360,966.15,969.1,966.15,968.05,968.03,18520,0,3455964,0,2412
2023-08-03 15:05:00,1691055300,965.65,967.4,965.0,966.8,963.91,10587,0,3437444,0,2412
2023-08-03 15:04:00,1691055240,962.6,966.75,962.05,965.7,965.94,17668,0,3426857,0,2412
2023-08-03 15:03:00,1691055180,963.15,963.4,962.3,962.75,959.86,4923,0,3409189,0,2412
2023-08-03 15:02:00,1691055120,963.9,963.9,962.25,963.3,965.77,8548,0,3404266,0,2412
2023-08-03 15:01:00,1691055060,962.45,964.1,962.25,964.1,960.8,10470,0,3395718,0,2412
2023-08-03 15:00:00,1691055000,962.55,963.65,962.25,962.25,966.44,4611,0,3385248,0,2412
2023-08-03 14:59:00,1691054940,962.3,963.65,962.15,962.95,963.19,9549,0,3380637,0,2412
2023-08-03 14:58:00,1691054880,964.45,964.45,962.9,962.9,959.48,4696,0,3371088,0,2412
2023-08-03 14:57:00,1691054820,963.05,964.45,963.05,964.35,966.34,8959,0,3366392,0,2412
2023-08-03 14:56:00,1691054760,962.65,964.5,961.6,964.0,961.34,8029,0,3357433,0,2412
2023-08-03 14:55:00,1691054700,962.4,963.9,962.0,962.55,962.23,8598,0,3349404,0,2412
2023-08-03 14:54:00,1691054640,962.0,962.55,961.65,962.3,965.33,3888,0,3340806,0,2412
2023-08-03 14:53:00,1691054580,961.7,962.55,961.25,962.25,961.01,10303,0,3336918,0,2412
2023-08-03 14:52:00,1691054520,962.5,962.55,961.05,962.1,964.32,6882,0,3326615,0,2412
2023-08-03 14:51:00,1691054460,961.45,962.65,961.45,962.0,957.55,4036,0,3319733,0,2412
2023-08-03 14:50:00,1691054400,961.65,962.45,961.3,961.3,963.18,6112,0,3315697,0,2412
2023-08-03 14:49:00,1691054340,961.5,962.3,961.5,962.0,958.92,4377,0,3309585,0,2412
2023-08-03 14:48:00,1691054280,962.3,963.0,961.5,961.65,965.07,7348,0,3305208,0,2412
2023-08-03 14:47:00,1691054220,962.35,962.6,961.15,962.0,961.33,7750,0,3297860,0,2412
2023-08-03 14:46:00,1691054160,960.85,963.2,960.55,961.45,963.75,6351,0,3290110,0,2412
2023-08-03 14:45:00,1691054100,960.5,961.8,960.15,961.6,957.75,8005,0,3283759,0,2412
2023-08-03 14:44:00,1691054040,962.85,963.45,960.25,960.45,961.84,7959,0,3275754,0,2412
2023-08-03 14:43:00,1691053980,963.0,964.0,962.5,962.55,967.73,5055,0,3267795,0,2412
2023-08-03 14:42:00,1691053920,964.05,964.8,963.05,963.65,963.15,8842,0,3262740,0,2412
2023-08-03 14:41:00,1691053860,964.0,965.0,963.05,964.0,962.35,13641,0,3253898,0,2412
2023-08-03 14:40:00,1691053800,964.35,964.8,962.0,963.6,963.78,9239,0,3240257,0,2412
2023-08-03 14:39:00,1691053740,963.5,965.0,960.25,965.0,962.68,16595,0,3231018,0,2412
2023-08-03 14:38:00,1691053680,960.75,964.55,960.4,963.7,963.07,19797,0,3214423,0,2412
2023-08-03 14:37:00,1691053620,959.35,960.95,959.0,960.7,961.32,9713,0,3194626,0,2412
2023-08-03 14:36:00,1691053560,958.0,959.55,958.0,958.9,957.61,7538,0,3184913,0,2412
2023-08-03 14:35:00,1691053500,958.45,959.0,958.0,958.45,958.52,9899,0,3177375,0,2412
2023-08-03 14:34:00,1691053440,957.95,958.5,957.7,958.5,959.31,10345,0,3167476,0,2412
2023-08-03 14:33:00,1691053380,957.1,958.0,957.1,958.0,955.43,9845,0,3157131,0,2412
2023-08-03 14:32:00,1691053320,957.35,958.0,956.05,957.0,957.62,12868,0,3147286,0,2412
2023-08-03 14:31:00,1691053260,957.0,957.95,957.0,957.55,960.05,4259,0,3134418,0,2412
2023-08-03 14:30:00,1691053200,957.15,958.4,957.1,957.2,953.02,4312,0,3130159,0,2412
2023-08-03 14:29:00,1691053140,956.8,958.5,956.55,957.05,959.86,12505,0,3125847,0,2412
2023-08-03 14:28:00,1691053080,957.35,957.35,956.05,956.4,955.97,9860,0,3113342,0,2412
2023-08-03 14:27:00,1691053020,957.65,958.0,956.05,956.55,956.56,15146,0,3103482,0,2412
2023-08-03 14:26:00,1691052960,957.35,958.25,956.15,957.0,957.33,10450,0,3088336,0,2412
2023-08-03 14:25:00,1691052900,957.45,958.3,955.55,957.6,958.0,42676,0,3077886,0,2412
2023-08-03 14:24:00,1691052840,957.5,957.95,957.2,957.5,955.28,4540,0,3035210,0,2412
2023-08-03 14:23:00,1691052780,958.15,958.4,957.45,957.9,957.23,6681,0,3030670,0,2412
2023-08-03 14:22:00,1691052720,958.9,959.0,957.5,957.5,959.78,9662,0,3023989,0,2412
2023-08-03 14:21:00,1691052660,958.05,959.2,958.05,958.6,957.34,18228,0,3014327,0,2412
2023-08-03 14:20:00,1691052600,957.75,958.0,957.25,958.0,958.04,8538,0,2996099,0,2412
2023-08-03 14:19:00,1691052540,958.15,958.95,957.5,958.0,960.91,8123,0,2987561,0,2412
2023-08-03 14:18:00,1691052480,959.65,959.8,957.5,958.25,957.26,12923,0,2979438,0,2412
2023-08-03 14:17:00,1691052420,960.0,960.55,959.0,959.8,958.95,10585,0,2966515,0,2412
