time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-28 09:42:00,1690517520,1082.2,1082.25,1080.05,1081.25,1080.59,9256,0,921935,0
2023-07-28 09:41:00,1690517460,1083.8,1084.6,1081.55,1082.25,1082.74,10856,0,912679,0
2023-07-28 09:40:00,1690517400,1084.15,1086.45,1082.95,1084.4,1084.35,14285,0,901823,0
2023-07-28 09:39:00,1690517340,1082.7,1083.85,1081.5,1083.8,1082.8,9566,0,887538,0
2023-07-28 09:38:00,1690517280,1082.8,1083.75,1080.9,1082.45,1082.87,14054,0,877972,0
2023-07-28 09:37:00,1690517220,1079.6,1083.3,1079.1,1083.3,1081.04,15570,0,863918,0
2023-07-28 09:36:00,1690517160,1078.65,1079.6,1076.6,1079.15,1078.33,13548,0,848348,0
2023-07-28 09:35:00,1690517100,1077.9,1079.7,1075.1,1078.75,1077.13,14541,0,834800,0
2023-07-28 09:34:00,1690517040,1078.9,1079.0,1077.0,1077.6,1078.25,15914,0,820259,0
2023-07-28 09:33:00,1690516980,1079.65,1080.0,1078.2,1078.3,1079.46,9062,0,804345,0
2023-07-28 09:32:00,1690516920,1081.5,1082.0,1079.35,1080.15,1080.33,7819,0,795283,0
2023-07-28 09:31:00,1690516860,1081.25,1083.25,1078.0,1081.95,1081.12,14951,0,787464,0
2023-07-28 09:30:00,1690516800,1085.1,1085.7,1077.65,1080.65,1081.25,46225,0,772513,0
2023-07-28 09:29:00,1690516740,1088.3,1089.9,1085.0,1085.75,1086.78,12826,0,726288,0
2023-07-28 09:28:00,1690516680,1086.0,1090.0,1085.7,1088.95,1088.51,14048,0,713462,0
2023-07-28 09:27:00,1690516620,1085.9,1087.8,1083.4,1086.35,1085.42,28064,0,699414,0
2023-07-28 09:26:00,1690516560,1088.1,1088.55,1085.1,1086.0,1086.71,28248,0,671350,0
2023-07-28 09:25:00,1690516500,1093.2,1093.55,1085.6,1086.3,1089.31,23222,0,643102,0
2023-07-28 09:24:00,1690516440,1091.05,1095.2,1089.5,1094.1,1092.78,53045,0,619880,0
2023-07-28 09:23:00,1690516380,1091.0,1093.7,1090.3,1091.55,1092.54,16256,0,566835,0
2023-07-28 09:22:00,1690516320,1093.05,1093.45,1090.8,1091.3,1091.76,15183,0,550579,0
2023-07-28 09:21:00,1690516260,1090.3,1096.0,1087.6,1094.5,1091.83,57640,0,535396,0
2023-07-28 09:20:00,1690516200,1092.55,1093.25,1090.2,1090.7,1091.18,32746,0,477756,0
2023-07-28 09:19:00,1690516140,1096.35,1097.95,1092.0,1093.35,1094.21,71430,0,445010,0
2023-07-28 09:18:00,1690516080,1099.6,1102.2,1092.45,1096.15,1097.12,116422,0,373580,0
2023-07-28 09:17:00,1690516020,1108.55,1108.65,1097.25,1102.45,1102.6,81428,0,257158,0
2023-07-28 09:16:00,1690515960,1106.75,1111.8,1104.8,1108.65,1106.92,93576,0,175730,0
2023-07-28 09:15:00,1690515900,1104.4,1107.85,1102.0,1107.0,1103.55,71662,0,82154,0
