time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-07-27 15:28:00,1690451880,62.4,62.45,62.35,62.4,62.92,487840,0,95005423,0,10666
2023-07-27 15:27:00,1690451820,62.4,62.55,62.4,62.45,62.92,528784,0,94517583,0,10666
2023-07-27 15:26:00,1690451760,62.35,62.45,62.35,62.45,61.24,556197,0,93988799,0,10666
2023-07-27 15:25:00,1690451700,62.4,62.45,62.35,62.4,62.93,690717,0,93432602,0,10666
2023-07-27 15:24:00,1690451640,62.35,62.4,62.35,62.35,62.93,687858,0,92741885,0,10666
2023-07-27 15:23:00,1690451580,62.35,62.4,62.35,62.4,60.75,422052,0,92054027,0,10666
2023-07-27 15:22:00,1690451520,62.4,62.4,62.35,62.4,62.94,290531,0,91631975,0,10666
2023-07-27 15:21:00,1690451460,62.35,62.4,62.35,62.35,62.94,457930,0,91341444,0,10666
2023-07-27 15:20:00,1690451400,62.4,62.5,62.35,62.4,61.75,761515,0,90883514,0,10666
2023-07-27 15:19:00,1690451340,62.35,62.45,62.35,62.45,62.95,766307,0,90121999,0,10666
2023-07-27 15:18:00,1690451280,62.35,62.4,62.3,62.3,62.24,1254300,0,89355692,0,10666
2023-07-27 15:17:00,1690451220,62.3,62.4,62.3,62.4,62.96,189174,0,88101392,0,10666
2023-07-27 15:16:00,1690451160,62.4,62.4,62.3,62.4,62.96,349194,0,87912218,0,10666
2023-07-27 15:15:00,1690451100,62.3,62.4,62.3,62.35,61.53,609247,0,87563024,0,10666
2023-07-27 15:14:00,1690451040,62.3,62.4,62.3,62.35,62.97,407042,0,86953777,0,10666
2023-07-27 15:13:00,1690450980,62.45,62.45,62.3,62.35,62.97,482457,0,86546735,0,10666
2023-07-27 15:12:00,1690450920,62.4,62.45,62.35,62.35,61.42,554439,0,86064278,0,10666
2023-07-27 15:11:00,1690450860,62.4,62.4,62.35,62.35,62.98,278666,0,85509839,0,10666
2023-07-27 15:10:00,1690450800,62.4,62.4,62.35,62.35,62.98,122379,0,85231173,0,10666
2023-07-27 15:09:00,1690450740,62.4,62.4,62.35,62.35,62.98,151587,0,85108794,0,10666
2023-07-27 15:08:00,1690450680,62.35,62.45,62.35,62.35,61.45,553334,0,84957207,0,10666
2023-07-27 15:07:00,1690450620,62.35,62.4,62.3,62.4,62.99,214113,0,84403873,0,10666
2023-07-27 15:06:00,1690450560,62.4,62.4,62.3,62.4,62.99,263406,0,84189760,0,10666
2023-07-27 15:05:00,1690450500,62.4,62.4,62.35,62.35,62.99,192369,0,83926354,0,10666
2023-07-27 15:04:00,1690450440,62.4,62.45,62.35,62.35,62.99,175055,0,83733985,0,10666
2023-07-27 15:03:00,1690450380,62.35,62.45,62.35,62.45,62.99,320783,0,83558930,0,10666
2023-07-27 15:02:00,1690450320,62.45,62.5,62.35,62.4,61.19,460661,0,83238147,0,10666
2023-07-27 15:01:00,1690450260,62.45,62.5,62.4,62.5,63.0,312026,0,82777486,0,10666
2023-07-27 15:00:00,1690450200,62.3,62.5,62.3,62.4,63.0,567121,0,82465460,0,10666
2023-07-27 14:59:00,1690450140,62.25,62.35,62.25,62.35,60.56,334294,0,81898339,0,10666
2023-07-27 14:58:00,1690450080,62.3,62.3,62.2,62.3,63.01,230541,0,81564045,0,10666
2023-07-27 14:57:00,1690450020,62.3,62.35,62.25,62.25,63.01,582059,0,81333504,0,10666
2023-07-27 14:56:00,1690449960,62.35,62.4,62.3,62.35,59.26,215230,0,80751445,0,10666
2023-07-27 14:55:00,1690449900,62.35,62.4,62.3,62.4,63.02,144547,0,80536215,0,10666
2023-07-27 14:54:00,1690449840,62.3,62.4,62.3,62.3,63.02,162945,0,80391668,0,10666
2023-07-27 14:53:00,1690449780,62.35,62.4,62.3,62.35,63.02,96500,0,80228723,0,10666
2023-07-27 14:52:00,1690449720,62.4,62.45,62.35,62.4,63.02,255840,0,80132223,0,10666
2023-07-27 14:51:00,1690449660,62.45,62.5,62.45,62.45,63.02,87592,0,79876383,0,10666
2023-07-27 14:50:00,1690449600,62.45,62.5,62.45,62.5,63.02,132930,0,79788791,0,10666
2023-07-27 14:49:00,1690449540,62.45,62.5,62.4,62.5,63.02,225658,0,79655861,0,10666
2023-07-27 14:48:00,1690449480,62.5,62.55,62.45,62.5,58.17,163464,0,79430203,0,10666
2023-07-27 14:47:00,1690449420,62.5,62.5,62.45,62.45,63.03,139324,0,79266739,0,10666
2023-07-27 14:46:00,1690449360,62.4,62.45,62.35,62.45,63.03,117008,0,79127415,0,10666
2023-07-27 14:45:00,1690449300,62.4,62.45,62.35,62.45,63.03,99705,0,79010407,0,10666
2023-07-27 14:44:00,1690449240,62.4,62.45,62.35,62.45,63.03,83370,0,78910702,0,10666
2023-07-27 14:43:00,1690449180,62.4,62.45,62.35,62.45,63.03,81167,0,78827332,0,10666
2023-07-27 14:42:00,1690449120,62.35,62.45,62.3,62.45,63.03,130762,0,78746165,0,10666
2023-07-27 14:41:00,1690449060,62.3,62.4,62.3,62.3,63.03,136332,0,78615403,0,10666
2023-07-27 14:40:00,1690449000,62.35,62.4,62.3,62.35,63.03,178520,0,78479071,0,10666
2023-07-27 14:39:00,1690448940,62.3,62.35,62.3,62.3,58.67,179237,0,78300551,0,10666
2023-07-27 14:38:00,1690448880,62.35,62.4,62.3,62.35,63.04,214583,0,78121314,0,10666
2023-07-27 14:37:00,1690448820,62.4,62.45,62.3,62.3,63.04,356119,0,77906731,0,10666
2023-07-27 14:36:00,1690448760,62.4,62.45,62.35,62.35,63.04,258028,0,77550612,0,10666
2023-07-27 14:35:00,1690448700,62.5,62.55,62.4,62.45,60.92,363746,0,77292584,0,10666
2023-07-27 14:34:00,1690448640,62.55,62.55,62.5,62.55,63.05,106021,0,76928838,0,10666
2023-07-27 14:33:00,1690448580,62.65,62.65,62.5,62.5,63.05,268843,0,76822817,0,10666
2023-07-27 14:32:00,1690448520,62.6,62.7,62.6,62.6,63.05,75115,0,76553974,0,10666
2023-07-27 14:31:00,1690448460,62.65,62.7,62.6,62.65,63.05,123378,0,76478859,0,10666
2023-07-27 14:30:00,1690448400,62.65,62.7,62.6,62.7,63.05,95924,0,76355481,0,10666
2023-07-27 14:29:00,1690448340,62.65,62.7,62.6,62.7,63.05,268382,0,76259557,0,10666
2023-07-27 14:28:00,1690448280,62.5,62.7,62.5,62.7,63.05,247892,0,75991175,0,10666
2023-07-27 14:27:00,1690448220,62.45,62.55,62.45,62.55,63.05,194011,0,75743283,0,10666
