time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,token
2023-08-01 15:28:00,1690883880,251.95,252.1,251.9,252.1,253.67,83351,0,23482010,0,14977
2023-08-01 15:27:00,1690883820,251.9,252.0,251.9,252.0,250.06,64787,0,23398659,0,14977
2023-08-01 15:26:00,1690883760,251.95,252.0,251.9,251.95,253.68,68334,0,23333872,0,14977
2023-08-01 15:25:00,1690883700,251.8,251.95,251.8,251.9,249.91,61668,0,23265538,0,14977
2023-08-01 15:24:00,1690883640,251.95,251.95,251.7,251.9,253.69,73771,0,23203870,0,14977
2023-08-01 15:23:00,1690883580,251.85,251.95,251.8,251.9,249.28,52345,0,23130099,0,14977
2023-08-01 15:22:00,1690883520,251.85,251.9,251.8,251.9,253.7,33987,0,23077754,0,14977
2023-08-01 15:21:00,1690883460,251.45,251.85,251.45,251.8,249.8,58950,0,23043767,0,14977
2023-08-01 15:20:00,1690883400,251.7,251.8,251.15,251.5,251.55,419279,0,22984817,0,14977
2023-08-01 15:19:00,1690883340,251.8,251.8,251.5,251.65,251.78,114177,0,22565538,0,14977
2023-08-01 15:18:00,1690883280,251.75,251.8,251.5,251.75,251.87,236204,0,22451361,0,14977
2023-08-01 15:17:00,1690883220,251.7,251.75,251.6,251.7,249.76,55132,0,22215157,0,14977
2023-08-01 15:16:00,1690883160,251.95,251.95,251.55,251.75,251.77,109495,0,22160025,0,14977
2023-08-01 15:15:00,1690883100,251.85,251.95,251.65,251.9,251.93,117650,0,22050530,0,14977
2023-08-01 15:14:00,1690883040,251.9,252.0,251.85,251.95,251.15,82200,0,21932880,0,14977
2023-08-01 15:13:00,1690882980,251.9,252.05,251.85,252.0,253.82,52123,0,21850680,0,14977
2023-08-01 15:12:00,1690882920,251.9,252.0,251.85,251.95,253.82,37288,0,21798557,0,14977
2023-08-01 15:11:00,1690882860,251.95,252.0,251.8,252.0,251.79,107160,0,21761269,0,14977
2023-08-01 15:10:00,1690882800,251.95,252.1,251.85,252.05,251.86,109445,0,21654109,0,14977
2023-08-01 15:09:00,1690882740,251.85,251.9,251.6,251.9,251.4,88202,0,21544664,0,14977
2023-08-01 15:08:00,1690882680,251.85,251.9,251.75,251.8,249.91,54331,0,21456462,0,14977
2023-08-01 15:07:00,1690882620,252.0,252.05,251.8,251.9,253.86,59288,0,21402131,0,14977
2023-08-01 15:06:00,1690882560,252.1,252.15,252.05,252.05,250.29,59728,0,21342843,0,14977
2023-08-01 15:05:00,1690882500,252.15,252.2,252.1,252.15,253.87,38031,0,21283115,0,14977
2023-08-01 15:04:00,1690882440,252.1,252.2,252.1,252.2,253.87,38946,0,21245084,0,14977
2023-08-01 15:03:00,1690882380,252.0,252.2,252.0,252.15,250.78,68531,0,21206138,0,14977
2023-08-01 15:02:00,1690882320,252.05,252.1,252.0,252.05,253.88,24324,0,21137607,0,14977
2023-08-01 15:01:00,1690882260,252.05,252.1,252.0,252.1,253.88,23304,0,21113283,0,14977
2023-08-01 15:00:00,1690882200,251.9,252.1,251.9,252.1,250.87,69886,0,21089979,0,14977
2023-08-01 14:59:00,1690882140,251.9,251.95,251.8,251.95,253.89,18853,0,21020093,0,14977
2023-08-01 14:58:00,1690882080,251.9,251.95,251.7,251.8,250.27,57930,0,21001240,0,14977
2023-08-01 14:57:00,1690882020,251.75,252.0,251.75,251.95,253.9,50193,0,20943310,0,14977
2023-08-01 14:56:00,1690881960,251.9,251.9,251.75,251.8,253.9,40611,0,20893117,0,14977
