time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-07-27 15:29:00,1690451940,251.05,251.25,251.0,251.1,251.17,14451,0,8123877,0
2023-07-27 15:28:00,1690451880,251.3,251.35,251.0,251.0,251.17,61833,0,8109426,0
2023-07-27 15:27:00,1690451820,251.1,251.4,251.0,251.15,251.17,75895,0,8047593,0
2023-07-27 15:26:00,1690451760,251.25,251.4,251.0,251.05,251.17,62732,0,7971698,0
2023-07-27 15:25:00,1690451700,251.35,251.45,251.1,251.1,251.17,65876,0,7908966,0
2023-07-27 15:24:00,1690451640,251.0,251.4,250.95,251.4,251.17,75317,0,7843090,0
2023-07-27 15:23:00,1690451580,251.5,251.6,251.0,251.15,251.17,75257,0,7767773,0
2023-07-27 15:22:00,1690451520,251.3,251.55,251.2,251.45,251.17,48245,0,7692516,0
2023-07-27 15:21:00,1690451460,251.0,251.35,250.9,251.2,251.17,75337,0,7644271,0
2023-07-27 15:20:00,1690451400,250.9,251.0,250.7,250.95,250.3,86528,0,7568934,0
2023-07-27 15:19:00,1690451340,250.65,250.9,250.6,250.75,251.18,61250,0,7482406,0
2023-07-27 15:18:00,1690451280,250.5,250.85,250.5,250.7,251.18,65156,0,7421156,0
2023-07-27 15:17:00,1690451220,250.4,250.55,250.25,250.55,250.04,64101,0,7356000,0
2023-07-27 15:16:00,1690451160,250.65,250.65,250.25,250.35,250.53,109274,0,7291899,0
2023-07-27 15:15:00,1690451100,250.8,250.95,250.55,250.7,250.55,109188,0,7182625,0
2023-07-27 15:14:00,1690451040,250.9,251.0,250.8,250.85,251.21,86273,0,7073437,0
2023-07-27 15:13:00,1690450980,250.6,250.9,250.6,250.85,250.19,67896,0,6987164,0
2023-07-27 15:12:00,1690450920,250.7,250.9,250.55,250.65,251.22,70213,0,6919268,0
2023-07-27 15:11:00,1690450860,250.55,250.7,250.45,250.6,250.42,84571,0,6849055,0
2023-07-27 15:10:00,1690450800,250.75,250.8,250.45,250.5,250.45,86057,0,6764484,0
2023-07-27 15:09:00,1690450740,250.8,251.05,250.55,250.65,250.57,98416,0,6678427,0
2023-07-27 15:08:00,1690450680,250.8,251.0,250.75,250.9,251.25,54637,0,6580011,0
2023-07-27 15:07:00,1690450620,250.3,250.85,250.25,250.65,250.46,81678,0,6525374,0
2023-07-27 15:06:00,1690450560,250.15,250.7,250.1,250.35,250.48,82284,0,6443696,0
